Subject;Activity;Verb phrases;Noun phrases;VerbPhrases;NounPhrases;ProperNouns
TRS;Monitor Cooling Flow;monitors;Cooling Flow;;;Monitor Cooling
Probe;Preset FSS Translation Stage;presets;FSS Translation Stage;;;FSS Translation
User;Display Guide Detector Signals;displays;Guide Detector Signals;;;Guide Detector
User;Get M2 Tilt Angles;gets;M2 Tilt Angles;;;M2 Tilt
ASM;Close Enclosure On Bad Meteo Conditions;closes;Enclosure On Bad Meteo Conditions;;;Enclosure On Bad Meteo
Air Conditioning;Check Status Air Conditioning;checks;Status Air Conditioning;;;Status Air
TRS;Monitor Power Status;monitors;Power Status;;;Monitor Power
User;Get Guide Star Data;gets;Guide Star Data;;;Guide Star
Nasmyth Wheel;Set Nasmyth Wheel;sets;Nasmyth Wheel;;;Set Nasmyth
M2 Mirror;Get M2 Center Position;gets;M2 Center Position;;;M2 Center
User;Set Guide Parameters;sets;Guide Parameters;;;Set Guide
User;Prepare for Delay Constant Alignment;prepares for;Delay Constant Alignment;;;Delay Constant
TRS;Monitor Telescope Temperature;monitors;Telescope Temperature;;;Monitor Telescope
User;Set Guide Window Size;sets;Guide Window Size;;;Guide Window
User;Center M10;centers;M10;;;
Coude Beam Switching Device;Set Coude Beam Switching Device;sets;Beam Switching Device;;;Coude Beam Switching
Telescope Temperature Sensors;Monitor Temperature data;monitors;Temperature data;;data;Monitor Temperature
User;Stop Air Conditioning;stops;Air Conditioning;;;Stop Air
User;Get M6 Tilt Angles;gets;Tilt Angles;;;M6 Tilt
User;Start Chopping;starts;Chopping;;;
User;Check Status Enclosure;checks;Status Enclosure;;;Check Status
FSS STRAP;Optimize Field Stabilisation;optimizes;Field Stabilisation;;;Optimize Field
Azimuth Drive;Calibrate Az axis;calibrates;axis;;;Calibrate Az
DewPoint Sensor;Monitor Environmental data;monitors;Environmental data;;data;Monitor Environmental
Air Conditioning;Monitor Telescope Temperature;monitors;Telescope Temperature;;;Monitor Telescope
User;Power On FAS;powers on;FAS;;;Power On
FAS TCCD;Calibrate Az axis;calibrates;axis;;;Calibrate Az
M2 Mirror;Get M2 Focus Position;gets;M2 Focus Position;;;M2 Focus
User;Adjust Pointing Axis Reference Points;adjusts pointing;Axis Reference Points;;;Pointing Axis Reference
User;Set M6 Tilt Angles;sets;M6 Tilt Angles;;;M6 Tilt
User;Make Pointing Error Measurement;makes pointing;Error Measurement;;;Pointing Error
TRS;Power On/Off M6;powers on;M6;/;;Power On|Off
Tracking Axis Drive;Preset Telescope;presets;Telescope;;;
FSS Field Diaphragm;Set FSS Field Diaphragm;sets;FSS Field Diaphragm;;;FSS Field
TRS;Stop Autoguiding;stops;Autoguiding;;;
User;Probe to Next Guide Star;probes to;Next Guide Star;Probe to;;Next Guide
FAS TCCD;Power On FAS;powers on;FAS;;;Power On
User;Set M2 Tilt Angles;sets;M2 Tilt Angles;;;M2 Tilt
User;Offset Guide Probe on star;off sets;Guide Probe on star;;star;Probe
User;Get M2 Center Position;gets;M2 Center Position;;;M2 Center
M6 Mirror;Center M6;centers;M6;;;
User;Cyclic closed loop active optics corrections;;Cyclic closed loop active optics corrections;;closed loop active optics corrections;
Enclosure;Close Enclosure;closes;Enclosure;;;
M10 Mirror;Center M10;centers;M10;;;
M6 Mirror;Monitor M6 Status;monitors;M6 Status;;;Monitor M6
Tracking Axis Drive;Preset Telescope to Named Position;presets;Telescope|Named Position;Telescope to;;Named
TRS;Monitor M6 Status;monitors;M6 Status;;;Monitor M6
User;Prepare for Pupil Alignment;prepares for;Pupil Alignment;Prepare for;;Pupil
TRS;Monitor Cabinet Cooling;monitors;Cabinet Cooling;;;Monitor Cabinet
User;Measure and Install POM;instals;Measure|POM;;;Measure|Install
TRS;Get Tracking Remaining Time;gets;Tracking|Time;;;Tracking Remaining
FSS Filter Wheel;Set FSS Filter Wheel;sets;;;;FSS Filter
User;Adjust Coude Focus;adjusts;Focus;;;Adjust Coude
Altitude Cabinet;Monitor Cabinet Cooling;monitors;Cabinet Cooling;;;Monitor Cabinet
User;Combined Offset;combines;Offset;;;
Transporter;Check Status Anchors;checks;Status Anchors;;;Check Status
User;Set M10 Tilt Angles;sets;Tilt Angles;;;M10 Tilt
User;Read Telescope Temperature Sensors;reads;Telescope Temperature Sensors;;;Telescope Temperature
User;Set M2 Focus Position;sets;M2 Focus Position;;;M2 Focus
User;Stop Field Stabilization;stops;Field Stabilization;;;Stop Field
User;Calibrate Az axis;calibrates;axis;;;Calibrate Az
FSS Filter Wheel;Get FSS Filter Wheel;gets;;;;FSS Filter
M2 Mirror;Do one M2 position setting;does;M|position setting;;M2 position setting;
User;Stop Autoguiding;stops;;;;
Tracking Axis Drive;Stop Telescope Motion;stops;Telescope Motion;;;Stop Telescope
Catalogs;Probe to Next Guide Star;;Probe to;Probe to;;Next Guide
User;Stop VLTI Focus Adjustment;stops;VLTI Focus Adjustment;;;VLTI Focus
User;Install POM;instals;;;;
User;Set Reference Temperature;sets;Reference Temperature;;;Set Reference
M10 Mirror;Set M10 Tilt Angles;sets;Tilt Angles;;;M10 Tilt
User;Modify POM term;modifies;POM term;;;Modify POM
ASM;Monitor Environmental data;monitors;Environmental data;;data;Monitor Environmental
User;Get Enclosure Temperature;gets;Enclosure Temperature;;;Get Enclosure
User;Set Tracking Wavelength;sets;Tracking Wavelength;;;Set Tracking
TRS;Control FS Corrections;;Control FS Corrections;;;Control FS
TRS;Stop Chopping;stops;Chopping;;;
User;Switch On/Off Nasmyth Beacon Light Source;switches on;Beacon Light Source;;;Switch On / Off Nasmyth Beacon Light
TRS;Monitor Environmental data;monitors;Environmental data;;data;Monitor Environmental
FSS STRAP;Set FSS Filter Wheel;sets;FSS Filter Wheel;;;FSS Filter
Tracking Axis Drive;Offset Alt/Az;off sets;Alt/Az;/;;Alt
FSS STRAP;Stop FSS Acquisition;stops;FSS Acquisition;;;Stop FSS
Nasmyth Beacon Light Sources;Set Nasmyth Beacon Light Level;sets;Level;;;Nasmyth Beacon Light
User;Set FSS Field Diaphragm;sets;Field Diaphragm;;;FSS Field
User;Preset Telescope to Astronomical Coordinates;presets;Telescope|Astronomical Coordinates;Telescope to;;Astronomical
User;Prepare FAS Setup;prepares;FAS Setup;;;Prepare FAS
User;Control FS Corrections;controls;FS Corrections;;;Control FS
User;Preset Telescope in Alt/Az Coordinates;presets;Telescope in Alt/Az Coordinates;Telescope in;;Alt / Az
FSS STRAP;Send FSS Setup;sends;FSS Setup;;;Send FSS
User;Do one calibrated correction;does;correction;;correction;calibrated
User;Close Enclosure;closes;Enclosure;;;
User;Offset Alt/Az;off sets;Alt/Az;/;;Alt
M6 Mirror;Set M6 Tilt Angles;sets;M6 Tilt Angles;;;M6 Tilt
User;Check Status Air Conditioning;checks;Status Air Conditioning;;;Status Air
FSS STRAP;Start FSS Acquisition;starts;Acquisition;;;Start FSS
M6 Mirror;Monitor Power Status;monitors;Power Status;;;Monitor Power
Tracking Axis Drive;Preset Telescope in Alt/Az Coordinates;presets;Telescope in Alt/Az Coordinates;Telescope in;;Alt / Az
TRS;Start Autoguiding;starts;Autoguiding;;;
ASM;Periodic Set Reference Temperature;;Periodic Set Reference Temperature;;;Set Reference
TRS;Start Field Stabilization;starts;Field Stabilization;;;Start Field
M10 Mirror;Get M10 Tilt Angles;gets;Angles;;;M10 Tilt
User;Save Guide Detector Image;saves;Guide Detector Image;;;Guide Detector
Air Conditioning;Monitor Temperature data;monitors;Temperature data;;data;Monitor Temperature
User;Set M2 Center Position;sets;M2 Center Position;;;M2 Center
User;Telescope Offset;;Telescope Offset;;;
FSS STRAP;Calibrate M6 versus Coude Sensors;calibrates;M6|Coude Sensors;;;M6|Coude
Hydraulic & Pneumatic Systems;Monitor HPS Status;monitors;HPS Status;;;Monitor HPS
Telescope Temperature Sensors;Read Telescope Temperature Sensors;reads;Telescope Temperature Sensors;;;Telescope Temperature
User;Switch On/Off Pupil Beacon Light Source;switches on;Pupil Beacon Light Source;;;Switch On / Off Pupil Beacon Light
Enclosure;Open Enclosure;opens;Enclosure;;;
User;Center Guide Star;centers;Guide Star;;;Center Guide
User;Prepare for Image Alignment;prepares for;Image Alignment;Prepare for;;Image
User;Set Storage Mode for Pointing Measurements;sets;Storage Mode for Pointing Measurements;;;Mode|Pointing
User;Configure Chopping;configures;Chopping;;;
M2 Beacon;Switch On/Off Pupil Beacon Light Source;switches on;Pupil Beacon Light Source;;;Switch On / Off Pupil Beacon Light
User;Center Object;centers;Object;;;
M1 Temperature;Monitor Temperature data;monitors;Temperature data;;data;Monitor Temperature
Tracking Axis Drive;Make Pointing Error Measurement;makes;Pointing Error Measurement;;;Pointing Error
User;Store POM Measure;stores;POM Measure;;;Store POM
FAS TCCD;Stop FAS Acquisition;stops;FAS Acquisition;;;Stop FAS
User;Get FSS Field Diaphragm;gets;FSS Field Diaphragm;;;FSS Field
User;Set Dew Point Margin;sets;Dew Point Margin;;;Dew Point
User;Check Status Anchors;checks;Status Anchors;;;Check Status
Flow Meter;Monitor Cooling Flow;monitors;Cooling Flow;;;Monitor Cooling
User;Center M6;centers;M6;;;
User;Optimize Field Stabilisation;optimizes;Field Stabilisation;;;Optimize Field
TRS;Start Chopping;starts;Chopping;;;
User;Set Nasmyth Wheel;sets;Nasmyth Wheel;;;Set Nasmyth
Air Conditioning;Stop Air Conditioning;stops;Air Conditioning;;;Stop Air
User;Start Autoguiding;starts;Autoguiding;;;
Enclosure Anemometer;Monitor Enclosure Anemometer;monitors;Enclosure Anemometer;;;Monitor Enclosure
User;Set FAS Integration Time;sets;FAS Integration Time;;;FAS Integration
Enclosure;Monitor Temperature data;monitors;Temperature data;;data;Monitor Temperature
User;Make POM;makes;POM;;;
User;Set Tracking Additional Velocity;sets;Tracking Additional Velocity;;;Tracking Additional
User;Set Coude Beam Switching Device;sets;Coude Beam Switching Device;;;Coude Beam Switching
TRS;Stop Field Stabilization;stops;Field Stabilization;;;Stop Field
User;Start Field Stabilization;starts;Field Stabilization;;;Start Field
M2 Mirror;Get M2 Tilt Angles;gets;M2 Tilt Angles;;;M2 Tilt
User;Get FSS Filter Wheel;gets;FSS Filter Wheel;;;FSS Filter
TRS;Monitor Enclosure Anemometer;monitors;Enclosure Anemometer;;;Monitor Enclosure
FAS TCCD;Start FAS Acquisition;starts;FAS Acquisition;;;Start FAS
Enclosure Anemometer;Monitor Environmental data;monitors;Environmental data;;data;Monitor Environmental
Nasmyth Beacon Light Sources;Switch On Nasmyth Beacon Light Source;switches on;Beacon Light Source;;;On Nasmyth Beacon Light
M2 Mirror;Set M2 Center Position;sets;M2 Center Position;;;M2 Center
User;Start FAS Acquisition;starts;FAS Acquisition;;;Start FAS
User;Stop Delay Constant Alignment;stops;Delay Constant Alignment;;;Delay Constant
User;Set FSS Filter Wheel;sets;FSS Filter Wheel;;;FSS Filter
User;Stop current action;stops;current action;;current action;
User;Preset Telescope to Catalogue Object;presets;Telescope|Catalogue Object;Telescope to;;Catalogue
FSS Field Diaphragm;Get FSS Field Diaphragm;gets;FSS Field Diaphragm;;;FSS Field
Support Manager;Review & Escalate;Review;;;;
Employee;Enter Order;Enter;Order;;;
Clerk;Fill a Post label;Fill;Post label;Fill;label;Post
Business participant;Increment Tally;Increment;Tally;;;
Hardware Retailer;Take out extra insurance;Take out;extra insurance;Take out;extra insurance;
2nd Level Support Agent;Ask developer;Ask;developer;;developer;
Nobel Committee Medicine;Select Final Candidates and Their Works;Select;Final Candidates|Works;;;Final Candidates|Their
Order Process;Approve Order;Approve;Order;;;
Candidate;Submit Application;Submit;Application;;;
Travel Agent;Confirm Booking;Confirm;Booking;;;
Expert;Assess Candidates Work;Assess;Candidates Work;;;Assess Candidates
Business participant;Check availability with supplier;Check;availability with supplier;;availability with supplier;
Online Shop;Check Stock Level;Check;Stock Level;;;Check Stock
Candidate;Interview;Interview;;;;
Business participant;Cancel Request;Cancel;Request;;;
System Communication;Book Order;Book;Order;;;
No Magic;Prepare Talk Presentation;Prepare;Talk Presentation;;;Prepare Talk
Seller;Send an offer to the client;Send;offer to the client;;offer to the client;
Pizza Customer;Ask for the pizza;Ask for;pizza;;pizza;
Car House;Enter User and Dates;Enter;User|Dates;;;User
Logistics Manager;Take out extra insurance;Take out;extra insurance;Take out;extra insurance;
Sales Department;Prepare special terms;Prepare;special terms;;special terms;
Business participant;E-Mail Vote Deadline Warning;E-mail;Vote Deadline Warning;-;;E|Mail Vote Deadline
Seller;Develop proposal;Develop;proposal;;proposal;
Software developer;Provide feedback for 2nd level support;Provide;feedback for 2nd level support;;feedback for 2nd level support;
Clerk;Assign carrier;Assign;carrier;;carrier;
Developer;Verify bug;Verify;bug;;;
Bank;Assess risk;Assess;risk;;risk;
1st level support;Edit 1st level ticket;Edit;1st level|ticket;;1st level ticket;
Travel Agent;Propose Booking Status;Propose;Booking Status;;;Propose Booking
Nobel Committee Medicine;Hold Nobel Price Ceremony;Hold;Nobel Price Ceremony;;;Nobel Price
Warehouse;Ship Goods;Ship;Goods;;;
Trouble Ticket System;edit 1st level ticket;Edit;edit 1st level ticket;edit;1st level ticket;
Trouble Ticket System;Edit account manager;Edit;Edit account manager;;account manager;
Customer;Confirm Interest;Confirm;Interest;;;
Hardware Retailer;Decide if normal post or special shipment;Decide;normal post|special shipment;;normal post|special shipment;
No Magic;Publish Seminar Description in Website;Publish;Seminar Description in Website;Description in;;
Vacation Request Approval Process;Mark vacation in Calendar;Mark;vacation in Calendar;vacation in;;
User;report bug;report;bug;;report;
Customer;Place Order;Place;Order;;;
Marketing Manager;Publish Seminar Description in Website;Publish;Seminar Description in Website;Description in;;
Customer;Select Travel;Select;Travel;;;
Trouble Ticket System;Add to backlog;Add to;backlog;Add to;;
Administrator;Notify user;Notify;user;;user;
1st level support;Edit account manager;Edit;account manager;;account manager;
Librarian;Register Reservation;Register;Reservation;;;
1st Level Support Agent;Classify ticket;Classify;ticket;;ticket;
Business participant;Send Results Via E-Mail;Send;Results Via E-Mail;;;Results Via E -
Business participant;Request Hold;Request;Hold;;;
Technician;Receive Notification;Receive;Notification;;;
Risk Analyst;Assess risks;Assess;risks;;Assess risks;
Car House;Select Car;Select;Car;;;
No Magic;Welcome Participants;Welcome;Participants;;;
Seller;Change the terms of the offer;Change;terms of the offer;;terms of the offer;
Business participant;Get Book Status;Get;Book Status;;;Get Book
No Magic;Evaluate Participants Number;Evaluate;Participants Number;;;Evaluate Participants
Manager;Approve Order;Approve;Order;;;
Business participant;Reply On Loan ;Reply on;Loan;;;Reply On
Cab Driver;Pickup Customer;Pickup;Customer;;;
Business participant;Send Registered Warning Letter;Send;Registered Warning Letter;;;Registered Warning
Support Department;Work Offline;Work;Offline;;;
Organization;Initiate File;Initiate;File;;;
Nobel Committee Medicine;Select Preliminary Candidates;Select;Preliminary Candidates;;;Select Preliminary
Nobel Assembly;Announce Nobel Prize Laureates;Announce;Nobel Prize Laureates;;;Nobel Prize
Pizza Customer;Eat the pizza;Eat;pizza;;pizza;
Firm;Reject Application;Reject;Application;;;
Candidate;Review Offer;Review;Offer;;;
Trouble Ticket System;Send Mail to Account Manager;Send;Mail to Account Manager;Mail to;;Account
Business participant;Receive Issue List;Receive;Issue List;;;Receive Issue
Warehouse Worker;Package goods;Package;Goods;;;
Business participant;Process Payment;Process;Payment;;;
No Magic;Register Participant;Register;Participant;;;
Hardware Retailer;Request quotes from carriers;Request;quotes from carriers;;quotes from carriers;
1st Level Support Agent;Handle 1st level issue;Handle;1st level issue;;1st level issue;
No Magic;Give talk;Give;talk;;talk;
Online Shop;Suggest Change;Suggest;Change;;;
Recruiter;Schedule Interview;Schedule;Interview;;;
Car House;Show Reservation;Show;Reservation;;;
pizza chef;Bake the pizza;Bake;pizza;;pizza;
Administrative Department;Bill;Bill;;;;
Hardware Retailer;Fill a Post label;Fill;Post label;Fill;label;Post
1st level support;Open Ticket;Open;ticket;;;
System Communication;Store in Marketing System Client 100;Store in;Marketing System Client 100;;;Marketing System Client
Nobel Committee Medicine;Send Nomination Form;Send;Nomination Form;;;Send Nomination
Business participant;Moderate Conference Call Discussion;Moderate;Conference Call Discussion;;;Conference Call
Technician;Work Offline;Work;Offline;;;
Hardware Retailer;Add paperwork;Add;paperwork;;paperwork;
2nd level support;Edit 2nd level ticket;Edit;Edit 2nd level ticket;;2nd level ticket;
Marketing Manager;Collect Questionnaries;Collect;Questionnaries;;;
Reader;Return Item;Return;Item;;;
Trouble Ticket System;Edit 2nd level ticket;Edit;2nd Level Ticket;;2nd level ticket;
Marketing Manager;Make Internal Seminar Anoucement;Make;Seminar;;;Internal Seminar
Business participant;Register Order in Manufacturing System;Register;Order in Manufacturing System;Order in;;Manufacturing
Aqua Distilled Water Company;Verify Customer Identity;Verify;Customer Identity;;;Verify Customer
2nd level support;Add to backlog;Add to;backlog;Add to;;
Seminar Coordinator;Make Internal Seminar Anoucement;Make;Seminar;;;Internal Seminar
Nobel Committee Medicine;Submit Report with Recommendations;Submit;Report with Recommendations;Report with;;
Reservation;Submit Car Reservation;Submit;Car Reservation;;;Submit Car
Nobel Committee Medicine;Send list of Selected Preliminary Candidates;Send;list of Preliminary Candidates;;list;Selected Preliminary
2nd level support;edit 2nd level ticket;edit;2nd level|ticket;edit;2nd level ticket;
Nominator;Identify Potential Nominee(s);Identify;Potential Nominee;;;Identify Potential Nominee
Travel Agent;Get Alternative Time;Get;Alternative Time;;;Get Alternative
Organization;Check Solvency;Check;Solvency;;;
Order Process;Enter Order;Enter;Order;;;
Employee;Update Vacation Request;Update;Vacation Request;;;Update Vacation
Organization;Bill;Bill;;;;
Trouble Ticket System;Insert issue into product backlog;Insert;issue into product|backlog;issue into;product;
Organization;Book Travel;Book;Travel;;;
Candidate;Fill out Employment Froms;Fill out;Employment Froms;Fill out;;Employment
Customer;Request Booking;Request;Booking;;;
Trouble Ticket System;edit 2nd level ticket;edit;Edit 2nd level ticket;edit;2nd level ticket;
Business participant;Moderate E-mail Discussion;Moderate;E-mail Discussion;;mail;E
Developer;Notify administrator;Notify;administrator;;administrator;
Trouble Ticket System;Send mail to account manager;Send;Mail to Account Manager;mail to;account manager;
Sales Department;Prepare contract;Prepare;contract;;;
Seminar Speaker;Give talk;Give;talk;;talk;
Aqua Distilled Water Company;Deliver Water;Deliver;Water;;;
Firm;Review Application;Review;Application;;;
Logistic Department Worker;Deliver Water;Deliver;Water;;;
No Magic;Arrange Facilities and Meals;Arrange;Facilities|Meals;;;Facilities
Travel Agent;Check Availability;Check;Availability;;;
Business participant;Reduce Number of Voting Members and Recalculate Votes;Reduce;Number of Voting Members|Recalculate Votes;;;Number|Voting Members|Recalculate
Bank;Send quote;Send;quote;;quote;
Administrator;Install new version;Install;new version;;new version;
Clerk;Decide if normal post or special shipment;Decide;normal post|special shipment;;normal post|special shipment;
Nobel Committee Medicine;Determine Need for Expert Assistance;Determine;Need for Expert Assistance;Need for;;Expert
Seller;Consider the proposal;Consider;proposal;Consider;proposal;
No Magic;Send Invitations to Customers;Send;Invitations to Customers;Invitations to;;
Sales Representative;Suggest Change;Suggest;Change;;;
Front Desk;Review & Escalate;Escalate;Review;;;
Clerk;Check if extra insurance is necessary;Check;extra insurance;;extra insurance;
System Communication;Store in Statistical System;Store in;Statistical System;Store in;;Statistical
CRM;Get Client Information;Get;Client Information;;;Get Client
Support Department;Receive Notification;Receive;Notification;;;
Vacation Request Approval Process;Approve Vacation Request;Approve;Vacation Request;;;Approve Vacation
Marketing Manager;Welcome Participants;Welcome;Participants;;;
2nd level support;edit 2nd level ticket;Edit;2nd Level Ticket;edit;2nd level ticket;
Customer Service Assistant;Forward Order;Forward;Order;;;
Sales rep;Calculate terms;Calculate;terms;;;
Trouble Ticket System;Open ticket;Open;ticket;;ticket;
Business participant;Receive Book Request;Receive;Book Request;;;Receive Book
Support Manager;Receive Notification;Receive;Notification;;;
Nobel Assembly;Discuss Nominators (Meeting 1);Discuss;Nominators|Meeting 1;;1;Discuss Nominators|Meeting
No Magic;Prepare Seminar Description;Prepare;Seminar Description;;;Prepare Seminar
Firm;Prepare Offer;Prepare;Offer;;;
Sales Department;Indicate Price;Indicate;Price;;;
Reader;Find Wanted Title;Find Wanted;Title;;;Find Wanted
Business participant;Post Results on Web Site;Post;Post Results on Web Site;Results on;;Web
Sales manager;Consider the proposal;Consider;proposal;Consider;proposal;
Librarian;Notify First Waiting Reader;Notify;First Waiting Reader;;;First Waiting
Service Contract Implementation Layer;Store in Marketing System Client 200;Store in;Marketing System Client;Store in;;Marketing System Client
Marketing Manager;Arrange Facilities and Meals;Arrange;Facilities|Meals;;;Facilities
Recruiter;Prepare Offer;Prepare;Offer;;;
1st level support;Send Mail to Account Manager;Send;Mail to Account Manager;Mail to;;Account
2nd level support;Insert issue into product backlog;Insert;issue into product|backlog;issue into;product;
Vacation Request Approval Process;Book Vacation;Book;Vacation;;;
Nobel Committee Medicine;Collect Candidates Work Assessment Reports;Collect;Candidates Work Assessment Reports;;;Candidates Work Assessment
Travel Agent;Get Booking Request;Get;Booking Request;;;Get Booking
Nominator;Send Nominee Completed Form(s);Send;Form;;;Send Nominee Completed Form
Reservation;Get Confirmation;Get;Confirmation;;;
Key account manager;Get problem description;Get;problem description;;problem description;
Business participant;Check Calendar for Conference Call;Check;Calendar for Call;Calendar for;;Conference
Sales Department;Send quote;Send;quote;;quote;
Manager;Approve Vacation Request;Approve;Vacation Request;;;Approve Vacation
Employee;Mark vacation in Calendar;Mark;vacation in Calendar;vacation in;;
Trouble Ticket System;Close Ticket;Close;ticket;;;
Technician;Acknowledge;Acknowledge;;;;
Hardware Retailer;Package goods;Package;goods;;;
Sales Department;Initiate File;Initiate;File;;;
Sales manager;Prepare special terms;Prepare;special terms;;special terms;
Order Process;Book Order;Book;Order;;;
Pizza Customer;Select a pizza;Select;pizza;Select;pizza;
Bank;Prepare special terms;Prepare;special terms;;special terms;
Support Department;Update Client on Delay;Update;Client on Delay|Escl;Client on;;
Vacation Request Approval Process;Update Vacation Request;Update;Update Vacation Request;;;Update Vacation
Sales Department;Calculate terms;Calculate;terms;;;
ERP Expert;Resolve Communication Problem and Book Order;Resolve;Communication Problem|Book Order;;;Communication Problem|Book
Business participant;Hold Reply;Hold;Reply;;;
Car House;Set Available Cars;Set;Available Cars;;;Set Available
2nd Level Support Agent;Document 2nd level result;Document;2nd level result;;2nd level result;
Car House;Get Confirmation;Get;Confirmation;;;
Trouble Ticket System;Open Ticket;Open;ticket;;;
Organization;Indicate Price;Indicate;Price;;;
Trouble Ticket System;Insert Issue into Product Backlog;Insert;Issue into Product Backlog;Issue into;;Product
Seminar Coordinator;Open Seminar;Open;Seminar;;;
Business participant;Prepare Invoice;Prepare;Invoice;;;
Service Contract Implementation Layer;Book Order;Book;Order;;;
Service Contract Implementation Layer;Store in Marketing System Client 100;Store in;Marketing System Client;;;Marketing System Client
Technician;Connect Remotely to Client;Connect;Client;Remotely to;;
Reader;Get Item;Get;Item;;;
Administrative Department;Check Solvency;Check;Solvency;;;
Seminar Coordinator;Send Invitations to Customers;Send;Invitations to Customers;Invitations to;;
Support Department;Acknowledge;Acknowledge;;;;
Aqua Distilled Water Company;Forward Order;Forward;Order;;;
1st level support;Edit 1st Level Ticket;Edit;1st Level|Ticket;;;Level
Software developer;Examine problem;Examine;problem;;problem;
Seller;Close an offer;Close;offer;;offer;
Seminar Coordinator;Publish Seminar Description in Website;Publish;Seminar Description in Website;Description in;;
Business participant;Start Investigation;Start;Investigation;;;
Firm;Schedule Interview;Schedule;Interview;;;
No Magic;Send Reminder to Participants;Send;Reminder to Participants;Reminder to;;
Seminar Coordinator;Prepare Seminar Description;Prepare;Seminar Description;;;Prepare Seminar
Key account manager;Send mail to support system;Send;mail to support system;support;mail|system;
Marketing Manager;Prepare Seminar Description;Prepare;Seminar Description;;;Prepare Seminar
Customer;Send credit request;Send;credit request;;credit request;
Sales rep;Review request;Review;Request;;request;
Reader;Make Reservation;Make;Reservation;;;
Nobel Committee Medicine;Write Recommendations Report;Write;Recommendations Report;;;Write Recommendations
Sales staff;Develop proposal;Develop;proposal;;proposal;
Trouble Ticket System;Edit 2nd level ticket;Edit;2nd Level Ticket;;2nd level ticket;
2nd Level Support Agent;Handle 2nd level issue;Handle;2nd level issue;;2nd level issue;
No Magic;Make Internal Seminar Anoucement;Make;Seminar;;;Internal Seminar
Business participant;Order from supplier;Order from;supplier;;supplier;
Organization;Check Availability;Check;Availability;;;
Warehouse;Pack Goods;Pack;Goods;;;
1st level support;Close Ticket;Close;Ticket;;;
Business participant;Checkout Book;Checkout;Checkout;;;
Firm;Interview;Interview;;;;
No Magic;Prepare Handouts;Prepare;Handouts;;;
Client;Select Car;Select;Car;;;
Hardware Retailer;Check if extra insurance is necessary;Check;extra insurance;;extra insurance;
Bank;Review request;Review;Request;;request;
Recruiter;Submit Offer;Submit;Offer;;;
Marketing Manager;Prepare Handouts;Prepare;Handouts;;;
