Subject;Activity;Verb phrases;Noun phrases;ActivityCombined;VerbPhrases;NounPhrases;ProperNouns
TRS;Monitor LCM Status;monitors;"TRS;Status";TRS Monitor LCM Status;;TRS Monitor LCM Status;
Air Conditioning;Get Enclosure Temperature;gets;"Air Conditioning;Enclosure Temperature";Air Conditioning Get Enclosure Temperature;Gets;Air Conditioning|Enclosure Temperature;
User;Get Tracking Remaining Time;gets;"User;Tracking Remaining Time";User Get Tracking Remaining Time;Gets|Remainings;User|Tracking|Time;
User;Stop Chopping;stops;"User;Chopping";User Stop Chopping;Stops Chopping;User;
Power Module;Monitor Power Status;monitors;"Power Module;Power Status";Power Module Monitor Power Status;;Power Module Monitor Power Status;
User;Stop Image Alignment;stops;"User;Image Alignment";User Stop Image Alignment;Stops;User|Image Alignment;
User;Do one star analysis;does;"User;star analysis";User Do one star analysis;Dos;User|star analysis;
User;Stop FAS Acquisition;stops;"User;FAS Acquisition";User Stop FAS Acquisition;Stops;User|FAS Acquisition;
User;Check STRAP Pupil Alignment;checks;"User;STRAP Pupil Alignment";User Check STRAP Pupil Alignment;;User Check STRAP Pupil Alignment;
User;Set M2 Pupil Beacon Light Level;sets;"User;M2 Pupil Beacon Light Level";User Set M2 Pupil Beacon Light Level;;User Set M2 Pupil Beacon Light Level;
Air Conditioning;Set Reference Temperature;sets;"Air Conditioning;Reference Temperature";Air Conditioning Set Reference Temperature;;Air Conditioning Set Reference Temperature;
User;Calibrate M6 versus Coude Sensors;calibrates;"User;M6|Coude Sensors";User Calibrate M6 versus Coude Sensors;Calibrates;User|M6 versus Coude Sensors;
TRS;Monitor HPS Status;monitors;"TRS;HPS Status";TRS Monitor HPS Status;;TRS Monitor HPS Status;
User;Get M2 Focus Position;gets;"User;M2 Focus Position";User Get M2 Focus Position;Gets;User|M2 Focus Position;
User;Set Nasmyth Beacon Light Level;sets;"User;Nasmyth Beacon Light Level";User Set Nasmyth Beacon Light Level;;User Set Nasmyth Beacon Light Level;
Nasmyth Wheel;Set Nasmyth Beacon Light Level;sets;"Nasmyth Wheel;Nasmyth Beacon Light Level";Nasmyth Wheel Set Nasmyth Beacon Light Level;;Nasmyth Wheel Set Nasmyth Beacon Light Level;
User;Stop Telescope Motion;stops;"User;Telescope Motion";User Stop Telescope Motion;Stops;User|Telescope Motion;
User;Start cyclic calibrated corrections;starts;"User;corrections";User Start cyclic calibrated corrections;calibrates;User Start|corrections;
DewPoint Sensor;Set Dew Point Margin;sets;"DewPoint Sensor;Dew Point Margin";DewPoint Sensor Set Dew Point Margin;;DewPoint Sensor Set Dew Point Margin;
TRS;Monitor Cooling Flow;monitors;"TRS;Cooling Flow";TRS Monitor Cooling Flow;Coolings;TRS Monitor|Flow;
Probe;Preset FSS Translation Stage;presets;"Probe;FSS Translation Stage";Probe Preset FSS Translation Stage;;Probe Preset FSS Translation Stage;
User;Display Guide Detector Signals;displays;"User;Guide Detector Signals";User Display Guide Detector Signals;;User Display Guide Detector Signals;
User;Get M2 Tilt Angles;gets;"User;M2 Tilt Angles";User Get M2 Tilt Angles;Gets;User|M2 Tilt Angles;
ASM;Close Enclosure On Bad Meteo Conditions;closes;"ASM;Enclosure On Bad Meteo Conditions";ASM Close Enclosure On Bad Meteo Conditions;;ASM Close Enclosure On Bad Meteo Conditions;
Air Conditioning;Check Status Air Conditioning;checks;"Air Conditioning;Status Air Conditioning";Air Conditioning Check Status Air Conditioning;;Air Conditioning Check Status Air Conditioning;
TRS;Monitor Power Status;monitors;"TRS;Power Status";TRS Monitor Power Status;;TRS Monitor Power Status;
User;Get Guide Star Data;gets;"User;Guide Star Data";User Get Guide Star Data;Gets;User|Guide Star Data;
Nasmyth Wheel;Set Nasmyth Wheel;sets;"Nasmyth Wheel;Nasmyth Wheel";Nasmyth Wheel Set Nasmyth Wheel;;Nasmyth Wheel Set Nasmyth Wheel;
M2 Mirror;Get M2 Center Position;gets;"M2 Mirror;M2 Center Position";M2 Mirror Get M2 Center Position;Gets;M2 Mirror|M2 Center Position;
User;Set Guide Parameters;sets;"User;Guide Parameters";User Set Guide Parameters;;User Set Guide Parameters;
User;Prepare for Delay Constant Alignment;prepares for;"User;Delay Constant Alignment";User Prepare for Delay Constant Alignment;;User Prepare for Delay Constant Alignment;
TRS;Monitor Telescope Temperature;monitors;"TRS;Telescope Temperature";TRS Monitor Telescope Temperature;;TRS Monitor Telescope Temperature;
User;Set Guide Window Size;sets;"User;Guide Window Size";User Set Guide Window Size;;User Set Guide Window Size;
User;Center M10;centers;"User;M10";User Center M10;;User Center M10;
Coude Beam Switching Device;Set Coude Beam Switching Device;sets;"Coude Beam Switching Device;Beam Switching Device";Coude Beam Switching Device Set Coude Beam Switching Device;Switchings|Switchings;Coude Beam|Device Set Coude Beam|Device;
Telescope Temperature Sensors;Monitor Temperature data;monitors;"Telescope Temperature Sensors;Temperature data";Telescope Temperature Sensors Monitor Temperature data;Monitors;Telescope Temperature Sensors|Temperature data;
User;Stop Air Conditioning;stops;"User;Air Conditioning";User Stop Air Conditioning;Stops;User|Air Conditioning;
User;Get M6 Tilt Angles;gets;"User;Tilt Angles";User Get M6 Tilt Angles;Gets;User|M6 Tilt Angles;
User;Start Chopping;starts;"User;Chopping";User Start Chopping;Choppings;User Start;
User;Check Status Enclosure;checks;"User;Status Enclosure";User Check Status Enclosure;Checks;User|Status Enclosure;
FSS STRAP;Optimize Field Stabilisation;optimizes;"FSS STRAP;Field Stabilisation";FSS STRAP Optimize Field Stabilisation;;FSS STRAP Optimize Field Stabilisation;
Azimuth Drive;Calibrate Az axis;calibrates;"Azimuth Drive;axis";Azimuth Drive Calibrate Az axis;Calibrates;Azimuth Drive|Az axis;
DewPoint Sensor;Monitor Environmental data;monitors;"DewPoint Sensor;Environmental data";DewPoint Sensor Monitor Environmental data;;DewPoint Sensor Monitor Environmental data;
Air Conditioning;Monitor Telescope Temperature;monitors;"Air Conditioning;Telescope Temperature";Air Conditioning Monitor Telescope Temperature;;Air Conditioning Monitor Telescope Temperature;
User;Power On FAS;powers on;"User;FAS";User Power On FAS;;User Power On FAS;
FAS TCCD;Calibrate Az axis;calibrates;"FAS TCCD;axis";FAS TCCD Calibrate Az axis;Calibrates;FAS TCCD|Az axis;
M2 Mirror;Get M2 Focus Position;gets;"M2 Mirror;M2 Focus Position";M2 Mirror Get M2 Focus Position;Gets;M2 Mirror|M2 Focus Position;
User;Adjust Pointing Axis Reference Points;adjusts pointing;"User;Axis Reference Points";User Adjust Pointing Axis Reference Points;Adjusts Pointing;User|Axis Reference Points;
User;Set M6 Tilt Angles;sets;"User;M6 Tilt Angles";User Set M6 Tilt Angles;;User Set M6 Tilt Angles;
User;Make Pointing Error Measurement;makes pointing;"User;Error Measurement";User Make Pointing Error Measurement;Makes;User|Pointing Error Measurement;
TRS;Power On/Off M6;powers on;"TRS;M6";TRS Power On/Off M6;;TRS Power On|M6;
Tracking Axis Drive;Preset Telescope;presets;"Tracking Axis Drive;Telescope";Tracking Axis Drive Preset Telescope;Trackings;Axis Drive Preset Telescope;
FSS Field Diaphragm;Set FSS Field Diaphragm;sets;"FSS Field Diaphragm;FSS Field Diaphragm";FSS Field Diaphragm Set FSS Field Diaphragm;Sets;FSS Field Diaphragm|FSS Field Diaphragm;
TRS;Stop Autoguiding;stops;"TRS;Autoguiding";TRS Stop Autoguiding;Stops;TRS|Autoguiding;
User;Probe to Next Guide Star;probes to;"User;Next Guide Star";User Probe to Next Guide Star;;User Probe to Next Guide Star;
FAS TCCD;Power On FAS;powers on;"FAS TCCD;FAS";FAS TCCD Power On FAS;;FAS TCCD Power On FAS;
User;Set M2 Tilt Angles;sets;"User;M2 Tilt Angles";User Set M2 Tilt Angles;;User Set M2 Tilt Angles;
User;Offset Guide Probe on star;off sets;"User;Guide Probe on star";User Offset Guide Probe on star;;User Offset Guide Probe on star;
User;Get M2 Center Position;gets;"User;M2 Center Position";User Get M2 Center Position;Gets;User|M2 Center Position;
M6 Mirror;Center M6;centers;"M6 Mirror;M6";M6 Mirror Center M6;;M6 Mirror Center M6;
User;Cyclic closed loop active optics corrections;;User Cyclic closed loop active optics corrections;User Cyclic closed loop active optics corrections;closes;User Cyclic|loop active optics corrections;
Enclosure;Close Enclosure;closes;"Enclosure;Enclosure";Enclosure Close Enclosure;;Enclosure Close Enclosure;
M10 Mirror;Center M10;centers;"M10 Mirror;M10";M10 Mirror Center M10;;M10 Mirror Center M10;
M6 Mirror;Monitor M6 Status;monitors;"M6 Mirror;M6 Status";M6 Mirror Monitor M6 Status;;M6 Mirror Monitor M6 Status;
Tracking Axis Drive;Preset Telescope to Named Position;presets;"Tracking Axis Drive;Telescope|Named Position";Tracking Axis Drive Preset Telescope to Named Position;Trackings|Nameds;Axis Drive Preset Telescope|Position;
TRS;Monitor M6 Status;monitors;"TRS;M6 Status";TRS Monitor M6 Status;;TRS Monitor M6 Status;
User;Prepare for Pupil Alignment;prepares for;"User;Pupil Alignment";User Prepare for Pupil Alignment;Prepares for;User|Pupil Alignment;
TRS;Monitor Cabinet Cooling;monitors;"TRS;Cabinet Cooling";TRS Monitor Cabinet Cooling;Coolings;TRS Monitor Cabinet;
User;Measure and Install POM;instals;"User;Measure|POM";User Measure and Install POM;Installs;User Measure|POM;
TRS;Get Tracking Remaining Time;gets;"TRS;Tracking|Time";TRS Get Tracking Remaining Time;Remainings;TRS|Tracking|Time;
FSS Filter Wheel;Set FSS Filter Wheel;sets;"FSS Filter Wheel;nan";FSS Filter Wheel Set FSS Filter Wheel;;FSS Filter Wheel Set FSS Filter Wheel;
User;Adjust Coude Focus;adjusts;"User;Focus";User Adjust Coude Focus;;User Adjust Coude Focus;
Altitude Cabinet;Monitor Cabinet Cooling;monitors;"Altitude Cabinet;Cabinet Cooling";Altitude Cabinet Monitor Cabinet Cooling;Coolings;Altitude Cabinet Monitor Cabinet;
User;Combined Offset;combines;"User;Offset";User Combined Offset;;User Combined Offset;
Transporter;Check Status Anchors;checks;"Transporter;Status Anchors";Transporter Check Status Anchors;;Transporter Check Status Anchors;
User;Set M10 Tilt Angles;sets;"User;Tilt Angles";User Set M10 Tilt Angles;;User Set M10 Tilt Angles;
User;Read Telescope Temperature Sensors;reads;"User;Telescope Temperature Sensors";User Read Telescope Temperature Sensors;;User Read Telescope Temperature Sensors;
User;Set M2 Focus Position;sets;"User;M2 Focus Position";User Set M2 Focus Position;;User Set M2 Focus Position;
User;Stop Field Stabilization;stops;"User;Field Stabilization";User Stop Field Stabilization;Stops;User|Field Stabilization;
User;Calibrate Az axis;calibrates;"User;axis";User Calibrate Az axis;Calibrates;User|Az axis;
FSS Filter Wheel;Get FSS Filter Wheel;gets;"FSS Filter Wheel;nan";FSS Filter Wheel Get FSS Filter Wheel;Gets;FSS Filter Wheel|FSS Filter Wheel;
M2 Mirror;Do one M2 position setting;does;"M2 Mirror;M|position setting";M2 Mirror Do one M2 position setting;Dos|sets;M2 Mirror|M2 position;
User;Stop Autoguiding;stops;"User;nan";User Stop Autoguiding;Stops;User|Autoguiding;
Tracking Axis Drive;Stop Telescope Motion;stops;"Tracking Axis Drive;Telescope Motion";Tracking Axis Drive Stop Telescope Motion;Trackings|Stops;Axis Drive|Telescope Motion;
Catalogs;Probe to Next Guide Star;;Catalogs Probe to;Catalogs Probe to Next Guide Star;;Catalogs Probe to Next Guide Star;
User;Stop VLTI Focus Adjustment;stops;"User;VLTI Focus Adjustment";User Stop VLTI Focus Adjustment;Stops;User|VLTI Focus Adjustment;
User;Install POM;instals;"User;nan";User Install POM;;User Install POM;
User;Set Reference Temperature;sets;"User;Reference Temperature";User Set Reference Temperature;;User Set Reference Temperature;
M10 Mirror;Set M10 Tilt Angles;sets;"M10 Mirror;Tilt Angles";M10 Mirror Set M10 Tilt Angles;;M10 Mirror Set M10 Tilt Angles;
User;Modify POM term;modifies;"User;POM term";User Modify POM term;Modifies;User|POM term;
ASM;Monitor Environmental data;monitors;"ASM;Environmental data";ASM Monitor Environmental data;;ASM Monitor Environmental data;
User;Get Enclosure Temperature;gets;"User;Enclosure Temperature";User Get Enclosure Temperature;Gets;User|Enclosure Temperature;
User;Set Tracking Wavelength;sets;"User;Tracking Wavelength";User Set Tracking Wavelength;;User Set Tracking Wavelength;
TRS;Control FS Corrections;;TRS Control FS Corrections;TRS Control FS Corrections;;TRS Control FS Corrections;
TRS;Stop Chopping;stops;"TRS;Chopping";TRS Stop Chopping;Stops Chopping;TRS;
User;Switch On/Off Nasmyth Beacon Light Source;switches on;"User;Beacon Light Source";User Switch On/Off Nasmyth Beacon Light Source;Switches On;User|Nasmyth Beacon Light Source;
TRS;Monitor Environmental data;monitors;"TRS;Environmental data";TRS Monitor Environmental data;Monitors;TRS|Environmental data;
FSS STRAP;Set FSS Filter Wheel;sets;"FSS STRAP;FSS Filter Wheel";FSS STRAP Set FSS Filter Wheel;;FSS STRAP Set FSS Filter Wheel;
Tracking Axis Drive;Offset Alt/Az;off sets;"Tracking Axis Drive;Alt/Az";Tracking Axis Drive Offset Alt/Az;Trackings;Axis Drive Offset Alt|Az;
FSS STRAP;Stop FSS Acquisition;stops;"FSS STRAP;FSS Acquisition";FSS STRAP Stop FSS Acquisition;;FSS STRAP Stop FSS Acquisition;
Nasmyth Beacon Light Sources;Set Nasmyth Beacon Light Level;sets;"Nasmyth Beacon Light Sources;Level";Nasmyth Beacon Light Sources Set Nasmyth Beacon Light Level;Sets;Nasmyth Beacon Light Sources|Nasmyth Beacon Light Level;
User;Set FSS Field Diaphragm;sets;"User;Field Diaphragm";User Set FSS Field Diaphragm;;User Set FSS Field Diaphragm;
User;Preset Telescope to Astronomical Coordinates;presets;"User;Telescope|Astronomical Coordinates";User Preset Telescope to Astronomical Coordinates;;User Preset Telescope to Astronomical Coordinates;
User;Prepare FAS Setup;prepares;"User;FAS Setup";User Prepare FAS Setup;Prepares;User|FAS Setup;
User;Control FS Corrections;controls;"User;FS Corrections";User Control FS Corrections;;User Control FS Corrections;
User;Preset Telescope in Alt/Az Coordinates;presets;"User;Telescope in Alt/Az Coordinates";User Preset Telescope in Alt/Az Coordinates;;User Preset Telescope in Alt|Az Coordinates;
FSS STRAP;Send FSS Setup;sends;"FSS STRAP;FSS Setup";FSS STRAP Send FSS Setup;Sends;FSS STRAP|FSS Setup;
User;Do one calibrated correction;does;"User;correction";User Do one calibrated correction;Dos|calibrates;User|correction;
User;Close Enclosure;closes;"User;Enclosure";User Close Enclosure;;User Close Enclosure;
User;Offset Alt/Az;off sets;"User;Alt/Az";User Offset Alt/Az;;User Offset Alt|Az;
M6 Mirror;Set M6 Tilt Angles;sets;"M6 Mirror;M6 Tilt Angles";M6 Mirror Set M6 Tilt Angles;;M6 Mirror Set M6 Tilt Angles;
User;Check Status Air Conditioning;checks;"User;Status Air Conditioning";User Check Status Air Conditioning;Checks;User|Status Air Conditioning;
FSS STRAP;Start FSS Acquisition;starts;"FSS STRAP;Acquisition";FSS STRAP Start FSS Acquisition;;FSS STRAP Start FSS Acquisition;
M6 Mirror;Monitor Power Status;monitors;"M6 Mirror;Power Status";M6 Mirror Monitor Power Status;;M6 Mirror Monitor Power Status;
Tracking Axis Drive;Preset Telescope in Alt/Az Coordinates;presets;"Tracking Axis Drive;Telescope in Alt/Az Coordinates";Tracking Axis Drive Preset Telescope in Alt/Az Coordinates;Trackings;Axis Drive Preset Telescope in Alt|Az Coordinates;
TRS;Start Autoguiding;starts;"TRS;Autoguiding";TRS Start Autoguiding;Starts;TRS|Autoguiding;
ASM;Periodic Set Reference Temperature;;ASM Periodic Set Reference Temperature;ASM Periodic Set Reference Temperature;;ASM Periodic Set Reference Temperature;
TRS;Start Field Stabilization;starts;"TRS;Field Stabilization";TRS Start Field Stabilization;;TRS Start Field Stabilization;
M10 Mirror;Get M10 Tilt Angles;gets;"M10 Mirror;Angles";M10 Mirror Get M10 Tilt Angles;Gets;M10 Mirror|M10 Tilt Angles;
User;Save Guide Detector Image;saves;"User;Guide Detector Image";User Save Guide Detector Image;;User Save Guide Detector Image;
Air Conditioning;Monitor Temperature data;monitors;"Air Conditioning;Temperature data";Air Conditioning Monitor Temperature data;;Air Conditioning Monitor Temperature data;
User;Set M2 Center Position;sets;"User;M2 Center Position";User Set M2 Center Position;;User Set M2 Center Position;
User;Telescope Offset;;User Telescope Offset;User Telescope Offset;;User Telescope Offset;
FSS STRAP;Calibrate M6 versus Coude Sensors;calibrates;"FSS STRAP;M6|Coude Sensors";FSS STRAP Calibrate M6 versus Coude Sensors;Calibrates;FSS STRAP|M6 versus Coude Sensors;
Hydraulic & Pneumatic Systems;Monitor HPS Status;monitors;"Hydraulic & Pneumatic Systems;HPS Status";Hydraulic & Pneumatic Systems Monitor HPS Status;Monitors;Hydraulic|Pneumatic Systems|HPS Status;
Telescope Temperature Sensors;Read Telescope Temperature Sensors;reads;"Telescope Temperature Sensors;Telescope Temperature Sensors";Telescope Temperature Sensors Read Telescope Temperature Sensors;;Telescope Temperature Sensors Read Telescope Temperature Sensors;
User;Switch On/Off Pupil Beacon Light Source;switches on;"User;Pupil Beacon Light Source";User Switch On/Off Pupil Beacon Light Source;Switches On;User|Pupil Beacon Light Source;
Enclosure;Open Enclosure;opens;"Enclosure;Enclosure";Enclosure Open Enclosure;;Enclosure Open Enclosure;
User;Center Guide Star;centers;"User;Guide Star";User Center Guide Star;;User Center Guide Star;
User;Prepare for Image Alignment;prepares for;"User;Image Alignment";User Prepare for Image Alignment;;User Prepare for Image Alignment;
User;Set Storage Mode for Pointing Measurements;sets;"User;Storage Mode for Pointing Measurements";User Set Storage Mode for Pointing Measurements;Pointings;User Set Storage Mode|Measurements;
User;Configure Chopping;configures;"User;Chopping";User Configure Chopping;Choppings;User Configure;
M2 Beacon;Switch On/Off Pupil Beacon Light Source;switches on;"M2 Beacon;Pupil Beacon Light Source";M2 Beacon Switch On/Off Pupil Beacon Light Source;;M2 Beacon Switch On|Pupil Beacon Light Source;
User;Center Object;centers;"User;Object";User Center Object;;User Center Object;
M1 Temperature;Monitor Temperature data;monitors;"M1 Temperature;Temperature data";M1 Temperature Monitor Temperature data;;M1 Temperature Monitor Temperature data;
Tracking Axis Drive;Make Pointing Error Measurement;makes;"Tracking Axis Drive;Pointing Error Measurement";Tracking Axis Drive Make Pointing Error Measurement;Trackings|Makes;Axis Drive|Pointing Error Measurement;
User;Store POM Measure;stores;"User;POM Measure";User Store POM Measure;;User Store POM Measure;
FAS TCCD;Stop FAS Acquisition;stops;"FAS TCCD;FAS Acquisition";FAS TCCD Stop FAS Acquisition;Stops;FAS TCCD|FAS Acquisition;
User;Get FSS Field Diaphragm;gets;"User;FSS Field Diaphragm";User Get FSS Field Diaphragm;Gets;User|FSS Field Diaphragm;
User;Set Dew Point Margin;sets;"User;Dew Point Margin";User Set Dew Point Margin;;User Set Dew Point Margin;
User;Check Status Anchors;checks;"User;Status Anchors";User Check Status Anchors;;User Check Status Anchors;
Flow Meter;Monitor Cooling Flow;monitors;"Flow Meter;Cooling Flow";Flow Meter Monitor Cooling Flow;Coolings;Flow Meter Monitor|Flow;
User;Center M6;centers;"User;M6";User Center M6;;User Center M6;
User;Optimize Field Stabilisation;optimizes;"User;Field Stabilisation";User Optimize Field Stabilisation;;User Optimize Field Stabilisation;
TRS;Start Chopping;starts;"TRS;Chopping";TRS Start Chopping;Choppings;TRS;
User;Set Nasmyth Wheel;sets;"User;Nasmyth Wheel";User Set Nasmyth Wheel;;User Set Nasmyth Wheel;
Air Conditioning;Stop Air Conditioning;stops;"Air Conditioning;Air Conditioning";Air Conditioning Stop Air Conditioning;Stops;Air Conditioning|Air Conditioning;
User;Start Autoguiding;starts;"User;Autoguiding";User Start Autoguiding;;User Start Autoguiding;
Enclosure Anemometer;Monitor Enclosure Anemometer;monitors;"Enclosure Anemometer;Enclosure Anemometer";Enclosure Anemometer Monitor Enclosure Anemometer;;Enclosure Anemometer Monitor Enclosure Anemometer;
User;Set FAS Integration Time;sets;"User;FAS Integration Time";User Set FAS Integration Time;;User Set FAS Integration Time;
Enclosure;Monitor Temperature data;monitors;"Enclosure;Temperature data";Enclosure Monitor Temperature data;;Enclosure Monitor Temperature data;
User;Make POM;makes;"User;POM";User Make POM;Makes;User|POM;
User;Set Tracking Additional Velocity;sets;"User;Tracking Additional Velocity";User Set Tracking Additional Velocity;Trackings;User Set|Additional Velocity;
User;Set Coude Beam Switching Device;sets;"User;Coude Beam Switching Device";User Set Coude Beam Switching Device;Switchings;User Set Coude Beam|Device;
TRS;Stop Field Stabilization;stops;"TRS;Field Stabilization";TRS Stop Field Stabilization;;TRS Stop Field Stabilization;
User;Start Field Stabilization;starts;"User;Field Stabilization";User Start Field Stabilization;;User Start Field Stabilization;
M2 Mirror;Get M2 Tilt Angles;gets;"M2 Mirror;M2 Tilt Angles";M2 Mirror Get M2 Tilt Angles;Gets;M2 Mirror|M2 Tilt Angles;
User;Get FSS Filter Wheel;gets;"User;FSS Filter Wheel";User Get FSS Filter Wheel;Gets;User|FSS Filter Wheel;
TRS;Monitor Enclosure Anemometer;monitors;"TRS;Enclosure Anemometer";TRS Monitor Enclosure Anemometer;;TRS Monitor Enclosure Anemometer;
FAS TCCD;Start FAS Acquisition;starts;"FAS TCCD;FAS Acquisition";FAS TCCD Start FAS Acquisition;;FAS TCCD Start FAS Acquisition;
Enclosure Anemometer;Monitor Environmental data;monitors;"Enclosure Anemometer;Environmental data";Enclosure Anemometer Monitor Environmental data;;Enclosure Anemometer Monitor Environmental data;
Nasmyth Beacon Light Sources;Switch On Nasmyth Beacon Light Source;switches on;"Nasmyth Beacon Light Sources;Beacon Light Source";Nasmyth Beacon Light Sources Switch On Nasmyth Beacon Light Source;Switches On;Nasmyth Beacon Light Sources|Nasmyth Beacon Light Source;
M2 Mirror;Set M2 Center Position;sets;"M2 Mirror;M2 Center Position";M2 Mirror Set M2 Center Position;;M2 Mirror Set M2 Center Position;
User;Start FAS Acquisition;starts;"User;FAS Acquisition";User Start FAS Acquisition;;User Start FAS Acquisition;
User;Stop Delay Constant Alignment;stops;"User;Delay Constant Alignment";User Stop Delay Constant Alignment;Stops;User|Delay Constant Alignment;
User;Set FSS Filter Wheel;sets;"User;FSS Filter Wheel";User Set FSS Filter Wheel;;User Set FSS Filter Wheel;
User;Stop current action;stops;"User;current action";User Stop current action;Stops;User|current action;
User;Preset Telescope to Catalogue Object;presets;"User;Telescope|Catalogue Object";User Preset Telescope to Catalogue Object;;User Preset Telescope to Catalogue Object;
FSS Field Diaphragm;Get FSS Field Diaphragm;gets;"FSS Field Diaphragm;FSS Field Diaphragm";FSS Field Diaphragm Get FSS Field Diaphragm;Gets;FSS Field Diaphragm|FSS Field Diaphragm;
Support Manager;Review & Escalate;Review;"Support Manager;nan";Support Manager Review & Escalate;Escalates;Support Manager Review;
Employee;Enter Order;Enter;"Employee;Order";Employee Enter Order;;Employee Enter Order;
Clerk;Fill a Post label;Fill;"Clerk;Post label";Clerk Fill a Post label;Fills;Clerk|Post label;
Business participant;Increment Tally;Increment;"Business participant;Tally";Business participant Increment Tally;;Business participant Increment Tally;
Hardware Retailer;Take out extra insurance;Take out;"Hardware Retailer;extra insurance";Hardware Retailer Take out extra insurance;Takes out;Hardware Retailer|extra insurance;
2nd Level Support Agent;Ask developer;Ask;"2nd Level Support Agent;developer";2nd Level Support Agent Ask developer;Asks;2nd Level Support Agent|developer;
Nobel Committee Medicine;Select Final Candidates and Their Works;Select;"Nobel Committee Medicine;Final Candidates|Works";Nobel Committee Medicine Select Final Candidates and Their Works;;Nobel Committee Medicine Select Final Candidates|Works;
Order Process;Approve Order;Approve;"Order Process;Order";Order Process Approve Order;;Order Process Approve Order;
Candidate;Submit Application;Submit;"Candidate;Application";Candidate Submit Application;;Candidate Submit Application;
Travel Agent;Confirm Booking;Confirm;"Travel Agent;Booking";Travel Agent Confirm Booking;;Travel Agent Confirm Booking;
Expert;Assess Candidates Work;Assess;"Expert;Candidates Work";Expert Assess Candidates Work;Works;Expert Assess Candidates;
Business participant;Check availability with supplier;Check;"Business participant;availability with supplier";Business participant Check availability with supplier;Checks;Business participant|availability with supplier;
Online Shop;Check Stock Level;Check;"Online Shop;Stock Level";Online Shop Check Stock Level;;Online Shop Check Stock Level;
Candidate;Interview;Interview;"Candidate;nan";Candidate Interview;;Candidate Interview;
Business participant;Cancel Request;Cancel;"Business participant;Request";Business participant Cancel Request;Cancels;Business participant|Request;
System Communication;Book Order;Book;"System Communication;Order";System Communication Book Order;;System Communication Book Order;
No Magic;Prepare Talk Presentation;Prepare;"No Magic;Talk Presentation";No Magic Prepare Talk Presentation;Prepares;Magic|Talk Presentation;
Seller;Send an offer to the client;Send;"Seller;offer to the client";Seller Send an offer to the client;Sends;Seller|offer to the client;
Pizza Customer;Ask for the pizza;Ask for;"Pizza Customer;pizza";Pizza Customer Ask for the pizza;Asks for;Pizza Customer|pizza;
Car House;Enter User and Dates;Enter;"Car House;User|Dates";Car House Enter User and Dates;;Car House Enter User|Dates;
Logistics Manager;Take out extra insurance;Take out;"Logistics Manager;extra insurance";Logistics Manager Take out extra insurance;Takes out;Logistics Manager|extra insurance;
