Subject;Activity;Verb phrases;Noun phrases;VerbPhrases;NounPhrases;ProperNouns
DewPoint Sensor;Set Dew Point Margin;sets;Dew Point Margin;Sets;Point;
TRS;Monitor Cooling Flow;monitors;Cooling Flow;Monitors;;
Probe;Preset FSS Translation Stage;presets;FSS Translation Stage;;Translation Stage;
User;Display Guide Detector Signals;displays;Guide Detector Signals;;Display Guide;
User;Get M2 Tilt Angles;gets;M2 Tilt Angles;Gets;M 2;
ASM;Close Enclosure On Bad Meteo Conditions;closes;Enclosure On Bad Meteo Conditions;;;
Air Conditioning;Check Status Air Conditioning;checks;Status Air Conditioning;Checks;Status Air;
TRS;Monitor Power Status;monitors;Power Status;Monitors;Power Status;
User;Get Guide Star Data;gets;Guide Star Data;Gets;Guide Star Data;
Nasmyth Wheel;Set Nasmyth Wheel;sets;Nasmyth Wheel;Sets;Wheel;
M2 Mirror;Get M2 Center Position;gets;M2 Center Position;Gets;M 2 Center Position;
User;Set Guide Parameters;sets;Guide Parameters;Sets;Guide;
User;Prepare for Delay Constant Alignment;prepares for;Delay Constant Alignment;;;
TRS;Monitor Telescope Temperature;monitors;Telescope Temperature;;Monitor;
User;Set Guide Window Size;sets;Guide Window Size;Sets;Guide Window Size;
User;Center M10;centers;M10;;Center M 10;
Coude Beam Switching Device;Set Coude Beam Switching Device;sets;Beam Switching Device;Sets;Device;
Telescope Temperature Sensors;Monitor Temperature data;monitors;Temperature data;Monitors;data;
User;Stop Air Conditioning;stops;Air Conditioning;Stops;Air;
User;Get M6 Tilt Angles;gets;Tilt Angles;Gets;M 6;
User;Start Chopping;starts;Chopping;Starts;;
User;Check Status Enclosure;checks;Status Enclosure;Checks;Status;
FSS STRAP;Optimize Field Stabilisation;optimizes;Field Stabilisation;;Field;
Azimuth Drive;Calibrate Az axis;calibrates;axis;;Az;
DewPoint Sensor;Monitor Environmental data;monitors;Environmental data;Monitors;Environmental data;
Air Conditioning;Monitor Telescope Temperature;monitors;Telescope Temperature;;Monitor;
User;Power On FAS;powers on;FAS;;Power;
FAS TCCD;Calibrate Az axis;calibrates;axis;;Az;
M2 Mirror;Get M2 Focus Position;gets;M2 Focus Position;Gets;M 2 Focus Position;
User;Adjust Pointing Axis Reference Points;adjusts pointing;Axis Reference Points;;Reference;
User;Set M6 Tilt Angles;sets;M6 Tilt Angles;Sets;;
User;Make Pointing Error Measurement;makes pointing;Error Measurement;Makes;Error;
TRS;Power On/Off M6;powers on;M6;;Power|M;
Tracking Axis Drive;Preset Telescope;presets;Telescope;;;
FSS Field Diaphragm;Set FSS Field Diaphragm;sets;FSS Field Diaphragm;Sets;Field;
TRS;Stop Autoguiding;stops;Autoguiding;Stops;;
User;Probe to Next Guide Star;probes to;Next Guide Star;;Next Guide Star;
FAS TCCD;Power On FAS;powers on;FAS;;Power;
User;Set M2 Tilt Angles;sets;M2 Tilt Angles;Sets;;
User;Offset Guide Probe on star;off sets;Guide Probe on star;;Guide|star;
User;Get M2 Center Position;gets;M2 Center Position;Gets;M 2 Center Position;
M6 Mirror;Center M6;centers;M6;;Center M 6;
User;Cyclic closed loop active optics corrections;;Cyclic closed loop active optics corrections;closes;loop;
Enclosure;Close Enclosure;closes;Enclosure;;;
M10 Mirror;Center M10;centers;M10;;Center M 10;
M6 Mirror;Monitor M6 Status;monitors;M6 Status;Monitors;M|Status;
Tracking Axis Drive;Preset Telescope to Named Position;presets;Telescope|Named Position;;Position;
TRS;Monitor M6 Status;monitors;M6 Status;Monitors;M|Status;
User;Prepare for Pupil Alignment;prepares for;Pupil Alignment;;;
TRS;Monitor Cabinet Cooling;monitors;Cabinet Cooling;;Monitor Cabinet;
User;Measure and Install POM;instals;Measure|POM;Installs;;
TRS;Get Tracking Remaining Time;gets;Tracking|Time;Gets;Time;
FSS Filter Wheel;Set FSS Filter Wheel;sets;;Sets;Filter Wheel;
User;Adjust Coude Focus;adjusts;Focus;;Focus;
Altitude Cabinet;Monitor Cabinet Cooling;monitors;Cabinet Cooling;;Monitor Cabinet;
User;Combined Offset;combines;Offset;;;
Transporter;Check Status Anchors;checks;Status Anchors;Checks;Status;
User;Set M10 Tilt Angles;sets;Tilt Angles;Sets;M;
User;Read Telescope Temperature Sensors;reads;Telescope Temperature Sensors;Reads;;
User;Set M2 Focus Position;sets;M2 Focus Position;Sets;M|Focus Position;
User;Stop Field Stabilization;stops;Field Stabilization;Stops;Field;
User;Calibrate Az axis;calibrates;axis;;Az;
FSS Filter Wheel;Get FSS Filter Wheel;gets;;Gets;Filter Wheel;
M2 Mirror;Do one M2 position setting;does;M|position setting;Dos;M 2 position setting;
User;Stop Autoguiding;stops;;Stops;;
Tracking Axis Drive;Stop Telescope Motion;stops;Telescope Motion;Stops;Motion;
Catalogs;Probe to Next Guide Star;;Probe to;;Next Guide Star;
User;Stop VLTI Focus Adjustment;stops;VLTI Focus Adjustment;Stops;Focus;
User;Install POM;instals;;Installs;;
User;Set Reference Temperature;sets;Reference Temperature;Sets;Reference;
M10 Mirror;Set M10 Tilt Angles;sets;Tilt Angles;Sets;M;
User;Modify POM term;modifies;POM term;;term;
ASM;Monitor Environmental data;monitors;Environmental data;Monitors;Environmental data;
User;Get Enclosure Temperature;gets;Enclosure Temperature;Gets;;
User;Set Tracking Wavelength;sets;Tracking Wavelength;Sets;;
TRS;Control FS Corrections;;Control FS Corrections;;Control FS;
TRS;Stop Chopping;stops;Chopping;Stops;;
User;Switch On/Off Nasmyth Beacon Light Source;switches on;Beacon Light Source;Switches On;Light Source;
TRS;Monitor Environmental data;monitors;Environmental data;Monitors;Environmental data;
FSS STRAP;Set FSS Filter Wheel;sets;FSS Filter Wheel;Sets;Filter Wheel;
Tracking Axis Drive;Offset Alt/Az;off sets;Alt/Az;;Alt|Az;
FSS STRAP;Stop FSS Acquisition;stops;FSS Acquisition;Stops;;
Nasmyth Beacon Light Sources;Set Nasmyth Beacon Light Level;sets;Level;Sets;Light Level;
User;Set FSS Field Diaphragm;sets;Field Diaphragm;Sets;Field;
User;Preset Telescope to Astronomical Coordinates;presets;Telescope|Astronomical Coordinates;;;
User;Prepare FAS Setup;prepares;FAS Setup;;;
User;Control FS Corrections;controls;FS Corrections;;Control FS;
User;Preset Telescope in Alt/Az Coordinates;presets;Telescope in Alt/Az Coordinates;;Alt|Az;
FSS STRAP;Send FSS Setup;sends;FSS Setup;Sends;;
User;Do one calibrated correction;does;correction;Dos;;
User;Close Enclosure;closes;Enclosure;;;
User;Offset Alt/Az;off sets;Alt/Az;;Alt|Az;
M6 Mirror;Set M6 Tilt Angles;sets;M6 Tilt Angles;Sets;;
User;Check Status Air Conditioning;checks;Status Air Conditioning;Checks;Status Air;
FSS STRAP;Start FSS Acquisition;starts;Acquisition;Starts;;
M6 Mirror;Monitor Power Status;monitors;Power Status;Monitors;Power Status;
Tracking Axis Drive;Preset Telescope in Alt/Az Coordinates;presets;Telescope in Alt/Az Coordinates;;Alt|Az;
TRS;Start Autoguiding;starts;Autoguiding;Starts;;
ASM;Periodic Set Reference Temperature;;Periodic Set Reference Temperature;Sets;Reference;
TRS;Start Field Stabilization;starts;Field Stabilization;Starts;Field;
M10 Mirror;Get M10 Tilt Angles;gets;Angles;Gets;M 10;
User;Save Guide Detector Image;saves;Guide Detector Image;Saves;Guide|Image;
Air Conditioning;Monitor Temperature data;monitors;Temperature data;Monitors;data;
User;Set M2 Center Position;sets;M2 Center Position;Sets;M|Center Position;
User;Telescope Offset;;Telescope Offset;;;
FSS STRAP;Calibrate M6 versus Coude Sensors;calibrates;M6|Coude Sensors;;M;
Hydraulic & Pneumatic Systems;Monitor HPS Status;monitors;HPS Status;Monitors;Status;
Telescope Temperature Sensors;Read Telescope Temperature Sensors;reads;Telescope Temperature Sensors;Reads;;
User;Switch On/Off Pupil Beacon Light Source;switches on;Pupil Beacon Light Source;Switches On;Light Source;
Enclosure;Open Enclosure;opens;Enclosure;;;
User;Center Guide Star;centers;Guide Star;;Center Guide Star;
User;Prepare for Image Alignment;prepares for;Image Alignment;;Image;
User;Set Storage Mode for Pointing Measurements;sets;Storage Mode for Pointing Measurements;Sets;Storage Mode;
User;Configure Chopping;configures;Chopping;;;
M2 Beacon;Switch On/Off Pupil Beacon Light Source;switches on;Pupil Beacon Light Source;Switches On;Light Source;
User;Center Object;centers;Object;;Center Object;
M1 Temperature;Monitor Temperature data;monitors;Temperature data;Monitors;data;
Tracking Axis Drive;Make Pointing Error Measurement;makes;Pointing Error Measurement;Makes;Error;
User;Store POM Measure;stores;POM Measure;;Store;
FAS TCCD;Stop FAS Acquisition;stops;FAS Acquisition;Stops;;
User;Get FSS Field Diaphragm;gets;FSS Field Diaphragm;Gets;Field;
User;Set Dew Point Margin;sets;Dew Point Margin;Sets;Point;
User;Check Status Anchors;checks;Status Anchors;Checks;Status;
Flow Meter;Monitor Cooling Flow;monitors;Cooling Flow;Monitors;;
User;Center M6;centers;M6;;Center M 6;
User;Optimize Field Stabilisation;optimizes;Field Stabilisation;;Field;
TRS;Start Chopping;starts;Chopping;Starts;;
User;Set Nasmyth Wheel;sets;Nasmyth Wheel;Sets;Wheel;
Air Conditioning;Stop Air Conditioning;stops;Air Conditioning;Stops;Air;
User;Start Autoguiding;starts;Autoguiding;Starts;;
Enclosure Anemometer;Monitor Enclosure Anemometer;monitors;Enclosure Anemometer;;Monitor;
User;Set FAS Integration Time;sets;FAS Integration Time;Sets;Integration Time;
Enclosure;Monitor Temperature data;monitors;Temperature data;Monitors;data;
User;Make POM;makes;POM;Makes;;
User;Set Tracking Additional Velocity;sets;Tracking Additional Velocity;Sets;;
User;Set Coude Beam Switching Device;sets;Coude Beam Switching Device;Sets;Device;
TRS;Stop Field Stabilization;stops;Field Stabilization;Stops;Field;
User;Start Field Stabilization;starts;Field Stabilization;Starts;Field;
M2 Mirror;Get M2 Tilt Angles;gets;M2 Tilt Angles;Gets;M 2;
User;Get FSS Filter Wheel;gets;FSS Filter Wheel;Gets;Filter Wheel;
TRS;Monitor Enclosure Anemometer;monitors;Enclosure Anemometer;;Monitor;
FAS TCCD;Start FAS Acquisition;starts;FAS Acquisition;Starts;;
Enclosure Anemometer;Monitor Environmental data;monitors;Environmental data;Monitors;Environmental data;
Nasmyth Beacon Light Sources;Switch On Nasmyth Beacon Light Source;switches on;Beacon Light Source;Switches On;Light Source;
M2 Mirror;Set M2 Center Position;sets;M2 Center Position;Sets;M|Center Position;
User;Start FAS Acquisition;starts;FAS Acquisition;Starts;;
User;Stop Delay Constant Alignment;stops;Delay Constant Alignment;;Stop;
User;Set FSS Filter Wheel;sets;FSS Filter Wheel;Sets;Filter Wheel;
User;Stop current action;stops;current action;Stops;current action;
User;Preset Telescope to Catalogue Object;presets;Telescope|Catalogue Object;;Object;
FSS Field Diaphragm;Get FSS Field Diaphragm;gets;FSS Field Diaphragm;Gets;Field;
Support Manager;Review & Escalate;Review;;;Review;
Employee;Enter Order;Enter;Order;Enters;Order;
Clerk;Fill a Post label;Fill;Post label;Fills;Post label;
Business participant;Increment Tally;Increment;Tally;;;
Hardware Retailer;Take out extra insurance;Take out;extra insurance;Takes out;extra insurance;
2nd Level Support Agent;Ask developer;Ask;developer;Asks;developer;
Nobel Committee Medicine;Select Final Candidates and Their Works;Select;Final Candidates|Works;Selects;;
Order Process;Approve Order;Approve;Order;;Order;
Candidate;Submit Application;Submit;Application;;Application;
Travel Agent;Confirm Booking;Confirm;Booking;;Booking;
Expert;Assess Candidates Work;Assess;Candidates Work;;Work;
Business participant;Check availability with supplier;Check;availability with supplier;Checks;supplier;
Online Shop;Check Stock Level;Check;Stock Level;Checks;Stock Level;
Candidate;Interview;Interview;;;Interview;
Business participant;Cancel Request;Cancel;Request;;Cancel;
System Communication;Book Order;Book;Order;;Book Order;
No Magic;Prepare Talk Presentation;Prepare;Talk Presentation;;Talk;
Seller;Send an offer to the client;Send;offer to the client;Sends;offer to the client;
Pizza Customer;Ask for the pizza;Ask for;pizza;Asks for;pizza;
Car House;Enter User and Dates;Enter;User|Dates;Enters;User;
Logistics Manager;Take out extra insurance;Take out;extra insurance;Takes out;extra insurance;
Sales Department;Prepare special terms;Prepare;special terms;;special terms;
Business participant;E-Mail Vote Deadline Warning;E-mail;Vote Deadline Warning;;;
Seller;Develop proposal;Develop;proposal;Develops;proposal;
Software developer;Provide feedback for 2nd level support;Provide;feedback for 2nd level support;Provides;feedback|level support;
Clerk;Assign carrier;Assign;carrier;;;
Developer;Verify bug;Verify;bug;;bug;
Bank;Assess risk;Assess;risk;;risk;
1st level support;Edit 1st level ticket;Edit;1st level|ticket;;Edit|level ticket;
Travel Agent;Propose Booking Status;Propose;Booking Status;;Booking Status;
Nobel Committee Medicine;Hold Nobel Price Ceremony;Hold;Nobel Price Ceremony;Holds;Nobel Price;
Warehouse;Ship Goods;Ship;Goods;;;
Trouble Ticket System;edit 1st level ticket;Edit;edit 1st level ticket;;edit|level ticket;
Trouble Ticket System;Edit account manager;Edit;Edit account manager;Edits;account manager;
Customer;Confirm Interest;Confirm;Interest;;;
Hardware Retailer;Decide if normal post or special shipment;Decide;normal post|special shipment;;normal post;
No Magic;Publish Seminar Description in Website;Publish;Seminar Description in Website;;Seminar Description in Website;
Vacation Request Approval Process;Mark vacation in Calendar;Mark;vacation in Calendar;Marks;vacation in Calendar;
User;report bug;report;bug;reports;bug;
Customer;Place Order;Place;Order;Places;Order;
Marketing Manager;Publish Seminar Description in Website;Publish;Seminar Description in Website;;Seminar Description in Website;
Customer;Select Travel;Select;Travel;;Select Travel;
Trouble Ticket System;Add to backlog;Add to;backlog;Adds to;;
Administrator;Notify user;Notify;user;;user;
1st level support;Edit account manager;Edit;account manager;Edits;account manager;
Librarian;Register Reservation;Register;Reservation;Registers;;
1st Level Support Agent;Classify ticket;Classify;ticket;;ticket;
Business participant;Send Results Via E-Mail;Send;Results Via E-Mail;Sends;Results;
Business participant;Request Hold;Request;Hold;;Hold;
Technician;Receive Notification;Receive;Notification;;;
Risk Analyst;Assess risks;Assess;risks;;;
Car House;Select Car;Select;Car;Selects;Car;
No Magic;Welcome Participants;Welcome;Participants;Welcomes;;
Seller;Change the terms of the offer;Change;terms of the offer;Changes;terms of the offer;
Business participant;Get Book Status;Get;Book Status;Gets;Book Status;
No Magic;Evaluate Participants Number;Evaluate;Participants Number;;Number;
Manager;Approve Order;Approve;Order;;Order;
Business participant;Reply On Loan ;Reply on;Loan;;Reply On Loan;
Cab Driver;Pickup Customer;Pickup;Customer;;Customer;
Business participant;Send Registered Warning Letter;Send;Registered Warning Letter;Sends;Letter;
Support Department;Work Offline;Work;Offline;Works;;
Organization;Initiate File;Initiate;File;;File;
Nobel Committee Medicine;Select Preliminary Candidates;Select;Preliminary Candidates;Selects;;
Nobel Assembly;Announce Nobel Prize Laureates;Announce;Nobel Prize Laureates;;Nobel;
Pizza Customer;Eat the pizza;Eat;pizza;;pizza;
Firm;Reject Application;Reject;Application;;Application;
Candidate;Review Offer;Review;Offer;;Review Offer;
Trouble Ticket System;Send Mail to Account Manager;Send;Mail to Account Manager;Sends;Mail to Account Manager;
Business participant;Receive Issue List;Receive;Issue List;;Issue List;
Warehouse Worker;Package goods;Package;Goods;;;
Business participant;Process Payment;Process;Payment;;Process;
No Magic;Register Participant;Register;Participant;Registers;;
Hardware Retailer;Request quotes from carriers;Request;quotes from carriers;;;
1st Level Support Agent;Handle 1st level issue;Handle;1st level issue;;level issue;
No Magic;Give talk;Give;talk;Gives;talk;
Online Shop;Suggest Change;Suggest;Change;;Change;
Recruiter;Schedule Interview;Schedule;Interview;Schedules;Interview;
Car House;Show Reservation;Show;Reservation;;Show;
pizza chef;Bake the pizza;Bake;pizza;;pizza;
Administrative Department;Bill;Bill;;;Bill;
Hardware Retailer;Fill a Post label;Fill;Post label;Fills;Post label;
1st level support;Open Ticket;Open;ticket;;Open Ticket;
System Communication;Store in Marketing System Client 100;Store in;Marketing System Client 100;;Store in Marketing System Client 100;
Nobel Committee Medicine;Send Nomination Form;Send;Nomination Form;Sends;Form;
Business participant;Moderate Conference Call Discussion;Moderate;Conference Call Discussion;;Conference Call;
Technician;Work Offline;Work;Offline;Works;;
Hardware Retailer;Add paperwork;Add;paperwork;Adds;;
2nd level support;Edit 2nd level ticket;Edit;Edit 2nd level ticket;;Edit|level ticket;
Marketing Manager;Collect Questionnaries;Collect;Questionnaries;Collects;;
Reader;Return Item;Return;Item;;Return Item;
Trouble Ticket System;Edit 2nd level ticket;Edit;2nd Level Ticket;;Edit|level ticket;
Marketing Manager;Make Internal Seminar Anoucement;Make;Seminar;Makes;Seminar;
Business participant;Register Order in Manufacturing System;Register;Order in Manufacturing System;Registers;Order|System;
Aqua Distilled Water Company;Verify Customer Identity;Verify;Customer Identity;;Customer;
2nd level support;Add to backlog;Add to;backlog;Adds to;;
Seminar Coordinator;Make Internal Seminar Anoucement;Make;Seminar;Makes;Seminar;
Nobel Committee Medicine;Submit Report with Recommendations;Submit;Report with Recommendations;;Report;
Reservation;Submit Car Reservation;Submit;Car Reservation;;Car;
Nobel Committee Medicine;Send list of Selected Preliminary Candidates;Send;list of Preliminary Candidates;Sends;list;
2nd level support;edit 2nd level ticket;edit;2nd level|ticket;;edit|level ticket;
Nominator;Identify Potential Nominee(s);Identify;Potential Nominee;;;
Travel Agent;Get Alternative Time;Get;Alternative Time;Gets;Alternative Time;
Organization;Check Solvency;Check;Solvency;Checks;;
Order Process;Enter Order;Enter;Order;Enters;Order;
Employee;Update Vacation Request;Update;Vacation Request;;Update;
Organization;Bill;Bill;;;Bill;
Trouble Ticket System;Insert issue into product backlog;Insert;issue into product|backlog;;issue into product;
Organization;Book Travel;Book;Travel;;Book Travel;
Candidate;Fill out Employment Froms;Fill out;Employment Froms;Fills out;;
Customer;Request Booking;Request;Booking;;Booking;
Trouble Ticket System;edit 2nd level ticket;edit;Edit 2nd level ticket;;edit|level ticket;
Business participant;Moderate E-mail Discussion;Moderate;E-mail Discussion;;;
Developer;Notify administrator;Notify;administrator;;administrator;
Trouble Ticket System;Send mail to account manager;Send;Mail to Account Manager;Sends;mail to account manager;
Sales Department;Prepare contract;Prepare;contract;;contract;
Seminar Speaker;Give talk;Give;talk;Gives;talk;
Aqua Distilled Water Company;Deliver Water;Deliver;Water;;Water;
Firm;Review Application;Review;Application;;Review Application;
Logistic Department Worker;Deliver Water;Deliver;Water;;Water;
No Magic;Arrange Facilities and Meals;Arrange;Facilities|Meals;;;
Travel Agent;Check Availability;Check;Availability;Checks;;
Business participant;Reduce Number of Voting Members and Recalculate Votes;Reduce;Number of Voting Members|Recalculate Votes;;Number;
Bank;Send quote;Send;quote;Sends;quote;
Administrator;Install new version;Install;new version;Installs;new version;
Clerk;Decide if normal post or special shipment;Decide;normal post|special shipment;;normal post;
Nobel Committee Medicine;Determine Need for Expert Assistance;Determine;Need for Expert Assistance;;Need;
Seller;Consider the proposal;Consider;proposal;Considers;proposal;
No Magic;Send Invitations to Customers;Send;Invitations to Customers;Sends;;
Sales Representative;Suggest Change;Suggest;Change;;Change;
Front Desk;Review & Escalate;Escalate;Review;;Review;
Clerk;Check if extra insurance is necessary;Check;extra insurance;Checks;extra insurance;
System Communication;Store in Statistical System;Store in;Statistical System;;Store|System;
CRM;Get Client Information;Get;Client Information;Gets;Client Information;
Support Department;Receive Notification;Receive;Notification;;;
Vacation Request Approval Process;Approve Vacation Request;Approve;Vacation Request;;;
Marketing Manager;Welcome Participants;Welcome;Participants;Welcomes;;
2nd level support;edit 2nd level ticket;Edit;2nd Level Ticket;;edit|level ticket;
Customer Service Assistant;Forward Order;Forward;Order;;Order;
Sales rep;Calculate terms;Calculate;terms;;terms;
Trouble Ticket System;Open ticket;Open;ticket;;Open ticket;
Business participant;Receive Book Request;Receive;Book Request;;Book;
Support Manager;Receive Notification;Receive;Notification;;;
Nobel Assembly;Discuss Nominators (Meeting 1);Discuss;Nominators|Meeting 1;Discusses;;
No Magic;Prepare Seminar Description;Prepare;Seminar Description;;Seminar Description;
Firm;Prepare Offer;Prepare;Offer;;Offer;
Sales Department;Indicate Price;Indicate;Price;;Price;
Reader;Find Wanted Title;Find Wanted;Title;Finds;Title;
Business participant;Post Results on Web Site;Post;Post Results on Web Site;Posts;Results on Web Site;
Sales manager;Consider the proposal;Consider;proposal;Considers;proposal;
Librarian;Notify First Waiting Reader;Notify;First Waiting Reader;;Reader;
Service Contract Implementation Layer;Store in Marketing System Client 200;Store in;Marketing System Client;;Store in Marketing System Client 200;
Marketing Manager;Arrange Facilities and Meals;Arrange;Facilities|Meals;;;
Recruiter;Prepare Offer;Prepare;Offer;;Offer;
1st level support;Send Mail to Account Manager;Send;Mail to Account Manager;Sends;Mail to Account Manager;
2nd level support;Insert issue into product backlog;Insert;issue into product|backlog;;issue into product;
Vacation Request Approval Process;Book Vacation;Book;Vacation;Books;;
Nobel Committee Medicine;Collect Candidates Work Assessment Reports;Collect;Candidates Work Assessment Reports;Collects;Work Assessment;
Travel Agent;Get Booking Request;Get;Booking Request;Gets;Booking;
Nominator;Send Nominee Completed Form(s);Send;Form;Sends;Form;
Reservation;Get Confirmation;Get;Confirmation;Gets;;
Key account manager;Get problem description;Get;problem description;Gets;problem description;
Business participant;Check Calendar for Conference Call;Check;Calendar for Call;Checks;Calendar for Conference Call;
Sales Department;Send quote;Send;quote;Sends;quote;
Manager;Approve Vacation Request;Approve;Vacation Request;;;
Employee;Mark vacation in Calendar;Mark;vacation in Calendar;Marks;vacation in Calendar;
Trouble Ticket System;Close Ticket;Close;ticket;;Close Ticket;
Technician;Acknowledge;Acknowledge;;;;
Hardware Retailer;Package goods;Package;goods;;;
Sales Department;Initiate File;Initiate;File;;File;
Sales manager;Prepare special terms;Prepare;special terms;;special terms;
Order Process;Book Order;Book;Order;;Book Order;
Pizza Customer;Select a pizza;Select;pizza;Selects;pizza;
Bank;Prepare special terms;Prepare;special terms;;special terms;
Support Department;Update Client on Delay;Update;Client on Delay|Escl;Updates;Client;
Vacation Request Approval Process;Update Vacation Request;Update;Update Vacation Request;;Update;
Sales Department;Calculate terms;Calculate;terms;;terms;
ERP Expert;Resolve Communication Problem and Book Order;Resolve;Communication Problem|Book Order;;Communication Problem|Book Order;
Business participant;Hold Reply;Hold;Reply;Holds;Reply;
Car House;Set Available Cars;Set;Available Cars;Sets;;
2nd Level Support Agent;Document 2nd level result;Document;2nd level result;;Document|level result;
Car House;Get Confirmation;Get;Confirmation;Gets;;
Trouble Ticket System;Open Ticket;Open;ticket;;Open Ticket;
Organization;Indicate Price;Indicate;Price;;Price;
Trouble Ticket System;Insert Issue into Product Backlog;Insert;Issue into Product Backlog;;Issue into Product;
Seminar Coordinator;Open Seminar;Open;Seminar;;Open Seminar;
Business participant;Prepare Invoice;Prepare;Invoice;;;
Service Contract Implementation Layer;Book Order;Book;Order;;Book Order;
Service Contract Implementation Layer;Store in Marketing System Client 100;Store in;Marketing System Client;;Store in Marketing System Client 100;
Technician;Connect Remotely to Client;Connect;Client;Connects;Client;
Reader;Get Item;Get;Item;Gets;Item;
Administrative Department;Check Solvency;Check;Solvency;Checks;;
Seminar Coordinator;Send Invitations to Customers;Send;Invitations to Customers;Sends;;
Support Department;Acknowledge;Acknowledge;;;;
Aqua Distilled Water Company;Forward Order;Forward;Order;;Order;
1st level support;Edit 1st Level Ticket;Edit;1st Level|Ticket;Edits;Level Ticket;
Software developer;Examine problem;Examine;problem;;problem;
Seller;Close an offer;Close;offer;Closes;offer;
Seminar Coordinator;Publish Seminar Description in Website;Publish;Seminar Description in Website;;Seminar Description in Website;
Business participant;Start Investigation;Start;Investigation;Starts;;
Firm;Schedule Interview;Schedule;Interview;Schedules;Interview;
No Magic;Send Reminder to Participants;Send;Reminder to Participants;Sends;;
Seminar Coordinator;Prepare Seminar Description;Prepare;Seminar Description;;Seminar Description;
Key account manager;Send mail to support system;Send;mail to support system;Sends;mail to support system;
Marketing Manager;Prepare Seminar Description;Prepare;Seminar Description;;Seminar Description;
Customer;Send credit request;Send;credit request;Sends;credit request;
Sales rep;Review request;Review;Request;;Review request;
Reader;Make Reservation;Make;Reservation;Makes;;
Nobel Committee Medicine;Write Recommendations Report;Write;Recommendations Report;;Report;
Sales staff;Develop proposal;Develop;proposal;Develops;proposal;
Trouble Ticket System;Edit 2nd level ticket;Edit;2nd Level Ticket;;Edit|level ticket;
2nd Level Support Agent;Handle 2nd level issue;Handle;2nd level issue;;level issue;
No Magic;Make Internal Seminar Anoucement;Make;Seminar;Makes;Seminar;
Business participant;Order from supplier;Order from;supplier;;Order from supplier;
Organization;Check Availability;Check;Availability;Checks;;
Warehouse;Pack Goods;Pack;Goods;Packs;;
1st level support;Close Ticket;Close;Ticket;;Close Ticket;
Business participant;Checkout Book;Checkout;Checkout;Checks out;Book;
Firm;Interview;Interview;;;Interview;
No Magic;Prepare Handouts;Prepare;Handouts;;;
Client;Select Car;Select;Car;Selects;Car;
Hardware Retailer;Check if extra insurance is necessary;Check;extra insurance;Checks;extra insurance;
Bank;Review request;Review;Request;;Review request;
Recruiter;Submit Offer;Submit;Offer;;Offer;
