Subject;Activity;Verb phrases;Noun phrases;ActivityCombined;VerbPhrases;NounPhrases;ProperNouns
ASM;Periodic Set Reference Temperature;;ASM Periodic Set Reference Temperature;ASM Periodic Set Reference Temperature;Sets;ASM;Reference Temperature
TRS;Start Field Stabilization;starts;"TRS;Field Stabilization";TRS Start Field Stabilization;;TRS;Start Field Stabilization
M10 Mirror;Get M10 Tilt Angles;gets;"M10 Mirror;Angles";M10 Mirror Get M10 Tilt Angles;Gets|Tilts;M10|M10|Angles;Mirror
User;Save Guide Detector Image;saves;"User;Guide Detector Image";User Save Guide Detector Image;Saves;User|Image;Guide Detector
Air Conditioning;Monitor Temperature data;monitors;"Air Conditioning;Temperature data";Air Conditioning Monitor Temperature data;;data;Air Conditioning Monitor Temperature
User;Set M2 Center Position;sets;"User;M2 Center Position";User Set M2 Center Position;Sets;User|M2|Position;Center
User;Telescope Offset;;User Telescope Offset;User Telescope Offset;;User;Telescope Offset
FSS STRAP;Calibrate M6 versus Coude Sensors;calibrates;"FSS STRAP;M6|Coude Sensors";FSS STRAP Calibrate M6 versus Coude Sensors;Calibrates;FSS|M6|Sensors;Coude
Hydraulic & Pneumatic Systems;Monitor HPS Status;monitors;"Hydraulic & Pneumatic Systems;HPS Status";Hydraulic & Pneumatic Systems Monitor HPS Status;;;Hydraulic|Pneumatic Systems Monitor HPS Status
Telescope Temperature Sensors;Read Telescope Temperature Sensors;reads;"Telescope Temperature Sensors;Telescope Temperature Sensors";Telescope Temperature Sensors Read Telescope Temperature Sensors;;;Telescope Temperature Sensors Read Telescope Temperature Sensors
User;Switch On/Off Pupil Beacon Light Source;switches on;"User;Pupil Beacon Light Source";User Switch On/Off Pupil Beacon Light Source;Switches;User|On/Off Pupil;Beacon Light Source
Enclosure;Open Enclosure;opens;"Enclosure;Enclosure";Enclosure Open Enclosure;;;Enclosure Open Enclosure
User;Center Guide Star;centers;"User;Guide Star";User Center Guide Star;;User;Center Guide Star
User;Prepare for Image Alignment;prepares for;"User;Image Alignment";User Prepare for Image Alignment;Prepares for;User|Image Alignment;
User;Set Storage Mode for Pointing Measurements;sets;"User;Storage Mode for Pointing Measurements";User Set Storage Mode for Pointing Measurements;Sets;User|Pointing Measurements;Storage Mode
User;Configure Chopping;configures;"User;Chopping";User Configure Chopping;;User;Configure Chopping
M2 Beacon;Switch On/Off Pupil Beacon Light Source;switches on;"M2 Beacon;Pupil Beacon Light Source";M2 Beacon Switch On/Off Pupil Beacon Light Source;Switches;M2|On/Off Pupil;Beacon|Beacon Light Source
User;Center Object;centers;"User;Object";User Center Object;;User;Center Object
M1 Temperature;Monitor Temperature data;monitors;"M1 Temperature;Temperature data";M1 Temperature Monitor Temperature data;;M1|data;Temperature Monitor Temperature
Tracking Axis Drive;Make Pointing Error Measurement;makes;"Tracking Axis Drive;Pointing Error Measurement";Tracking Axis Drive Make Pointing Error Measurement;;Tracking;Axis Drive Make Pointing Error Measurement
User;Store POM Measure;stores;"User;POM Measure";User Store POM Measure;;User Store POM Measure;
FAS TCCD;Stop FAS Acquisition;stops;"FAS TCCD;FAS Acquisition";FAS TCCD Stop FAS Acquisition;Stops;FAS TCCD;FAS Acquisition
User;Get FSS Field Diaphragm;gets;"User;FSS Field Diaphragm";User Get FSS Field Diaphragm;Gets;User;FSS Field Diaphragm
User;Set Dew Point Margin;sets;"User;Dew Point Margin";User Set Dew Point Margin;Sets;User|Dew Point Margin;
User;Check Status Anchors;checks;"User;Status Anchors";User Check Status Anchors;Checks;User;Status Anchors
Flow Meter;Monitor Cooling Flow;monitors;"Flow Meter;Cooling Flow";Flow Meter Monitor Cooling Flow;;Flow|Flow;Meter Monitor Cooling
User;Center M6;centers;"User;M6";User Center M6;;User|M6;Center
User;Optimize Field Stabilisation;optimizes;"User;Field Stabilisation";User Optimize Field Stabilisation;Optimizes;User|Field Stabilisation;
TRS;Start Chopping;starts;"TRS;Chopping";TRS Start Chopping;;TRS;Start Chopping
User;Set Nasmyth Wheel;sets;"User;Nasmyth Wheel";User Set Nasmyth Wheel;Sets;User|Wheel;Nasmyth
Air Conditioning;Stop Air Conditioning;stops;"Air Conditioning;Air Conditioning";Air Conditioning Stop Air Conditioning;;;Air Conditioning Stop Air Conditioning
User;Start Autoguiding;starts;"User;Autoguiding";User Start Autoguiding;;User;Start Autoguiding
Enclosure Anemometer;Monitor Enclosure Anemometer;monitors;"Enclosure Anemometer;Enclosure Anemometer";Enclosure Anemometer Monitor Enclosure Anemometer;;;Enclosure Anemometer Monitor Enclosure Anemometer
User;Set FAS Integration Time;sets;"User;FAS Integration Time";User Set FAS Integration Time;Sets;User|FAS Integration Time;
Enclosure;Monitor Temperature data;monitors;"Enclosure;Temperature data";Enclosure Monitor Temperature data;;data;Enclosure Monitor Temperature
User;Make POM;makes;"User;POM";User Make POM;;User|POM;
User;Set Tracking Additional Velocity;sets;"User;Tracking Additional Velocity";User Set Tracking Additional Velocity;Sets;User|Tracking Additional Velocity;
User;Set Coude Beam Switching Device;sets;"User;Coude Beam Switching Device";User Set Coude Beam Switching Device;Sets;User|Switching Device;Coude Beam
TRS;Stop Field Stabilization;stops;"TRS;Field Stabilization";TRS Stop Field Stabilization;;TRS|Field Stabilization;
User;Start Field Stabilization;starts;"User;Field Stabilization";User Start Field Stabilization;;User;Start Field Stabilization
M2 Mirror;Get M2 Tilt Angles;gets;"M2 Mirror;M2 Tilt Angles";M2 Mirror Get M2 Tilt Angles;Gets|Tilts;M2|M2|Angles;Mirror
User;Get FSS Filter Wheel;gets;"User;FSS Filter Wheel";User Get FSS Filter Wheel;Gets;User|Wheel;FSS Filter
TRS;Monitor Enclosure Anemometer;monitors;"TRS;Enclosure Anemometer";TRS Monitor Enclosure Anemometer;Monitors;TRS;Enclosure Anemometer
FAS TCCD;Start FAS Acquisition;starts;"FAS TCCD;FAS Acquisition";FAS TCCD Start FAS Acquisition;;FAS TCCD;Start FAS Acquisition
Enclosure Anemometer;Monitor Environmental data;monitors;"Enclosure Anemometer;Environmental data";Enclosure Anemometer Monitor Environmental data;;data;Enclosure Anemometer Monitor Environmental
Nasmyth Beacon Light Sources;Switch On Nasmyth Beacon Light Source;switches on;"Nasmyth Beacon Light Sources;Beacon Light Source";Nasmyth Beacon Light Sources Switch On Nasmyth Beacon Light Source;;Sources;Nasmyth Beacon Light|Nasmyth Beacon Light Source
M2 Mirror;Set M2 Center Position;sets;"M2 Mirror;M2 Center Position";M2 Mirror Set M2 Center Position;Sets;M2|M2|Position;Mirror|Center
User;Start FAS Acquisition;starts;"User;FAS Acquisition";User Start FAS Acquisition;;User;Start FAS Acquisition
User;Stop Delay Constant Alignment;stops;"User;Delay Constant Alignment";User Stop Delay Constant Alignment;;User Stop|Constant Alignment;Delay
User;Set FSS Filter Wheel;sets;"User;FSS Filter Wheel";User Set FSS Filter Wheel;Sets;User|FSS|Wheel;Filter
User;Stop current action;stops;"User;current action";User Stop current action;;User Stop current action;
User;Preset Telescope to Catalogue Object;presets;"User;Telescope|Catalogue Object";User Preset Telescope to Catalogue Object;;User;Preset Telescope|Catalogue Object
FSS Field Diaphragm;Get FSS Field Diaphragm;gets;"FSS Field Diaphragm;FSS Field Diaphragm";FSS Field Diaphragm Get FSS Field Diaphragm;Gets;;FSS Field Diaphragm|FSS Field Diaphragm
Support Manager;Review & Escalate;Review;"Support Manager;nan";Support Manager Review & Escalate;;Support Manager;Review|Escalate
Employee;Enter Order;Enter;"Employee;Order";Employee Enter Order;Enters;Order;Employee
Clerk;Fill a Post label;Fill;"Clerk;Post label";Clerk Fill a Post label;Fills;Clerk|Post label;
Business participant;Increment Tally;Increment;"Business participant;Tally";Business participant Increment Tally;;Business participant;Increment Tally
Hardware Retailer;Take out extra insurance;Take out;"Hardware Retailer;extra insurance";Hardware Retailer Take out extra insurance;Takes out;Hardware Retailer|extra insurance;
2nd Level Support Agent;Ask developer;Ask;"2nd Level Support Agent;developer";2nd Level Support Agent Ask developer;;Support|developer;Level|Agent Ask
Nobel Committee Medicine;Select Final Candidates and Their Works;Select;"Nobel Committee Medicine;Final Candidates|Works";Nobel Committee Medicine Select Final Candidates and Their Works;;;Nobel Committee Medicine Select Final Candidates|Works
Order Process;Approve Order;Approve;"Order Process;Order";Order Process Approve Order;Processes;;Order|Approve Order
Candidate;Submit Application;Submit;"Candidate;Application";Candidate Submit Application;Submits;Candidate|Application;
Travel Agent;Confirm Booking;Confirm;"Travel Agent;Booking";Travel Agent Confirm Booking;;Travel;Agent Confirm Booking
Expert;Assess Candidates Work;Assess;"Expert;Candidates Work";Expert Assess Candidates Work;Assesses;Expert|Candidates Work;
Business participant;Check availability with supplier;Check;"Business participant;availability with supplier";Business participant Check availability with supplier;Checks;Business participant|availability with supplier;
Online Shop;Check Stock Level;Check;"Online Shop;Stock Level";Online Shop Check Stock Level;Checks;;Online Shop|Stock Level
Candidate;Interview;Interview;"Candidate;nan";Candidate Interview;;Candidate Interview;
Business participant;Cancel Request;Cancel;"Business participant;Request";Business participant Cancel Request;Cancels;Business participant|Request;
System Communication;Book Order;Book;"System Communication;Order";System Communication Book Order;;;System Communication Book Order
No Magic;Prepare Talk Presentation;Prepare;"No Magic;Talk Presentation";No Magic Prepare Talk Presentation;;Talk Presentation;Magic Prepare
Seller;Send an offer to the client;Send;"Seller;offer to the client";Seller Send an offer to the client;Sends;offer to the client;Seller
Pizza Customer;Ask for the pizza;Ask for;"Pizza Customer;pizza";Pizza Customer Ask for the pizza;;Customer Ask for the pizza;Pizza
Car House;Enter User and Dates;Enter;"Car House;User|Dates";Car House Enter User and Dates;Enters;User;Car House
Logistics Manager;Take out extra insurance;Take out;"Logistics Manager;extra insurance";Logistics Manager Take out extra insurance;Takes out;extra insurance;Logistics Manager
Sales Department;Prepare special terms;Prepare;"Sales Department;special terms";Sales Department Prepare special terms;Prepares;Sales|special terms;Department
