Subject;Activity;VerbPhrases;NounPhrases;ProperNouns
User;Set M2 Center Position;Sets;M2 Center Position;
User;Telescope Offset;;Telescope Offset;
FSS STRAP;Calibrate M6 versus Coude Sensors;Calibrates;M 6 versus Coude Sensors;
Hydraulic & Pneumatic Systems;Monitor HPS Status;Monitors;HPS Status;
Telescope Temperature Sensors;Read Telescope Temperature Sensors;Reads;Telescope Temperature Sensors;
User;Switch On/Off Pupil Beacon Light Source;Switches On;Pupil Beacon Light Source;
Enclosure;Open Enclosure;;Open Enclosure;
User;Center Guide Star;;;Center Guide Star
User;Prepare for Image Alignment;Prepares for;Image Alignment;
User;Set Storage Mode for Pointing Measurements;Sets;Storage Mode for Pointing Measurements;
User;Configure Chopping;Configures;Chopping;
M2 Beacon;Switch On/Off Pupil Beacon Light Source;Switches On;Pupil Beacon Light Source;
User;Center Object;;Object;Center
M1 Temperature;Monitor Temperature data;Monitors;Temperature data;
Tracking Axis Drive;Make Pointing Error Measurement;Makes Pointing;Error Measurement;
User;Store POM Measure;;Store POM Measure;
FAS TCCD;Stop FAS Acquisition;Stops;FAS Acquisition;
User;Get FSS Field Diaphragm;Gets;Field Diaphragm;FSS
User;Set Dew Point Margin;Sets;Dew Point Margin;
User;Check Status Anchors;Checks;Status Anchors;
Flow Meter;Monitor Cooling Flow;Monitors;Cooling Flow;
User;Center M6;;;Center M6
User;Optimize Field Stabilisation;Optimizes;Field Stabilisation;
TRS;Start Chopping;Starts;Chopping;
User;Set Nasmyth Wheel;Sets;;Nasmyth Wheel
Air Conditioning;Stop Air Conditioning;Stops;Air Conditioning;
User;Start Autoguiding;Starts;Autoguiding;
Enclosure Anemometer;Monitor Enclosure Anemometer;Monitors;Enclosure Anemometer;
User;Set FAS Integration Time;Sets;FAS Integration Time;
Enclosure;Monitor Temperature data;Monitors;Temperature data;
User;Make POM;Makes;POM;
User;Set Tracking Additional Velocity;Sets;Tracking Additional Velocity;
User;Set Coude Beam Switching Device;Sets;Beam Switching Device;Coude
TRS;Stop Field Stabilization;Stops;Field Stabilization;
User;Start Field Stabilization;Starts;Field Stabilization;
M2 Mirror;Get M2 Tilt Angles;Gets;M2 Tilt Angles;
User;Get FSS Filter Wheel;Gets;;FSS Filter Wheel
TRS;Monitor Enclosure Anemometer;Monitors;Enclosure Anemometer;
FAS TCCD;Start FAS Acquisition;Starts;Acquisition;FAS
Enclosure Anemometer;Monitor Environmental data;Monitors;Environmental data;
Nasmyth Beacon Light Sources;Switch On Nasmyth Beacon Light Source;Switches On;Source;Nasmyth Beacon Light
M2 Mirror;Set M2 Center Position;Sets;M2 Center Position;
User;Start FAS Acquisition;Starts;Acquisition;FAS
User;Stop Delay Constant Alignment;Stops;Delay Constant Alignment;
User;Set FSS Filter Wheel;Sets;;FSS Filter Wheel
User;Stop current action;Stops;current action;
User;Preset Telescope to Catalogue Object;;Preset Telescope to Catalogue Object;
FSS Field Diaphragm;Get FSS Field Diaphragm;Gets;Field Diaphragm;FSS
Support Manager;Review & Escalate;Escalates;Review;
Employee;Enter Order;Enters;Order;
Clerk;Fill a Post label;Fills;Post label;
Business participant;Increment Tally;;Increment Tally;
Hardware Retailer;Take out extra insurance;Takes out;extra insurance;
2nd Level Support Agent;Ask developer;Asks;developer;
Nobel Committee Medicine;Select Final Candidates and Their Works;Selects;Final Candidates|Works;
Order Process;Approve Order;Approves;Order;
Candidate;Submit Application;Submits;Application;
Travel Agent;Confirm Booking;Confirms;Booking;
Expert;Assess Candidates Work;Assesses;Candidates Work;
Business participant;Check availability with supplier;Checks;availability with supplier;
Online Shop;Check Stock Level;Checks;Stock Level;
Candidate;Interview;;Interview;
Business participant;Cancel Request;Cancels;Request;
System Communication;Book Order;;Book Order;
No Magic;Prepare Talk Presentation;Prepares;Talk Presentation;
Seller;Send an offer to the client;Sends;offer to the client;
Pizza Customer;Ask for the pizza;Asks for;pizza;
Car House;Enter User and Dates;Enters;User|Dates;
Logistics Manager;Take out extra insurance;Takes out;extra insurance;
Sales Department;Prepare special terms;Prepares;special terms;
Business participant;E-Mail Vote Deadline Warning;;E|Mail Vote Deadline Warning;
Seller;Develop proposal;Develops;proposal;
Software developer;Provide feedback for 2nd level support;Provides;feedback for 2nd level support;
Clerk;Assign carrier;Assigns;carrier;
Developer;Verify bug;Verifies;bug;
Bank;Assess risk;Assesses;risk;
1st level support;Edit 1st level ticket;;Edit 1st level ticket;
Travel Agent;Propose Booking Status;Proposes;Booking Status;
Nobel Committee Medicine;Hold Nobel Price Ceremony;Holds;Price Ceremony;Nobel
Warehouse;Ship Goods;;Ship Goods;
Trouble Ticket System;edit 1st level ticket;;edit 1st level ticket;
Trouble Ticket System;Edit account manager;;Edit account manager;
Customer;Confirm Interest;Confirms;Interest;
Hardware Retailer;Decide if normal post or special shipment;Decides;normal post|special shipment;
No Magic;Publish Seminar Description in Website;Publishes;Seminar Description in Website;
Vacation Request Approval Process;Mark vacation in Calendar;;vacation in Calendar;Mark
User;report bug;;report bug;
Customer;Place Order;;Place Order;
Marketing Manager;Publish Seminar Description in Website;Publishes;Seminar Description in Website;
Customer;Select Travel;Selects;;Travel
Trouble Ticket System;Add to backlog;Adds to;backlog;
Administrator;Notify user;Notifies;user;
1st level support;Edit account manager;;Edit account manager;
Librarian;Register Reservation;;Register Reservation;
1st Level Support Agent;Classify ticket;Classifies;ticket;
Business participant;Send Results Via E-Mail;Sends;Results Via E-Mail;
Business participant;Request Hold;;Request Hold;
Technician;Receive Notification;Receives;Notification;
Risk Analyst;Assess risks;Assesses;risks;
Car House;Select Car;Selects;Car;
No Magic;Welcome Participants;;Welcome Participants;
Seller;Change the terms of the offer;Changes;terms of the offer;
Business participant;Get Book Status;Gets;Book Status;
No Magic;Evaluate Participants Number;Evaluates;Participants Number;
Manager;Approve Order;Approves;Order;
Business participant;Reply On Loan ;Replies On;Loan;
Cab Driver;Pickup Customer;;Pickup Customer;
Business participant;Send Registered Warning Letter;Sends Registered;Warning Letter;
Support Department;Work Offline;;Work Offline;
Organization;Initiate File;Initiates;File;
Nobel Committee Medicine;Select Preliminary Candidates;Selects;Preliminary Candidates;
Nobel Assembly;Announce Nobel Prize Laureates;Announces;;Nobel Prize Laureates
Pizza Customer;Eat the pizza;Eats;pizza;
Firm;Reject Application;Rejects;Application;
Candidate;Review Offer;;Review Offer;
Trouble Ticket System;Send Mail to Account Manager;Sends;Mail to Account Manager;
Business participant;Receive Issue List;Receives;Issue List;
Warehouse Worker;Package goods;;Package goods;
Business participant;Process Payment;;Process Payment;
No Magic;Register Participant;;Register Participant;
Hardware Retailer;Request quotes from carriers;;Request quotes from carriers;
1st Level Support Agent;Handle 1st level issue;Handles;1st level issue;
No Magic;Give talk;Gives;talk;
Online Shop;Suggest Change;Suggests;Change;
Recruiter;Schedule Interview;;Schedule Interview;
Car House;Show Reservation;Shows;Reservation;
pizza chef;Bake the pizza;Bakes;pizza;
Administrative Department;Bill;;;Bill
Hardware Retailer;Fill a Post label;Fills;Post label;
1st level support;Open Ticket;;Open Ticket;
System Communication;Store in Marketing System Client 100;;Store in Marketing System Client 100;
Nobel Committee Medicine;Send Nomination Form;Sends;Nomination Form;
Business participant;Moderate Conference Call Discussion;;Moderate Conference Call Discussion;
Technician;Work Offline;;Work Offline;
Hardware Retailer;Add paperwork;Adds;paperwork;
2nd level support;Edit 2nd level ticket;;Edit 2nd level ticket;
Marketing Manager;Collect Questionnaries;Collects;;Questionnaries
Reader;Return Item;;Return Item;
Trouble Ticket System;Edit 2nd level ticket;;Edit 2nd level ticket;
Marketing Manager;Make Internal Seminar Anoucement;Makes;Seminar Anoucement;Internal
Business participant;Register Order in Manufacturing System;;Register Order in Manufacturing System;
Aqua Distilled Water Company;Verify Customer Identity;Verifies;Customer Identity;
2nd level support;Add to backlog;Adds to;backlog;
Seminar Coordinator;Make Internal Seminar Anoucement;Makes;Seminar Anoucement;Internal
Nobel Committee Medicine;Submit Report with Recommendations;Submits;Report with Recommendations;
Reservation;Submit Car Reservation;Submits;Car Reservation;
Nobel Committee Medicine;Send list of Selected Preliminary Candidates;Sends|Selecteds;list|Preliminary Candidates;
2nd level support;edit 2nd level ticket;;edit 2nd level ticket;
Nominator;Identify Potential Nominee(s);Identifies;Potential Nominee;
Travel Agent;Get Alternative Time;Gets;;Alternative Time
Organization;Check Solvency;Checks;Solvency;
Order Process;Enter Order;Enters;Order;
Employee;Update Vacation Request;;Update Vacation Request;
Organization;Bill;;;Bill
Trouble Ticket System;Insert issue into product backlog;;Insert issue into product backlog;
Organization;Book Travel;;;Book Travel
Candidate;Fill out Employment Froms;Fills out;Employment Froms;
Customer;Request Booking;;Request Booking;
Trouble Ticket System;edit 2nd level ticket;;edit 2nd level ticket;
Business participant;Moderate E-mail Discussion;;Moderate E-mail Discussion;
Developer;Notify administrator;Notifies;administrator;
Trouble Ticket System;Send mail to account manager;Sends;mail to account manager;
Sales Department;Prepare contract;Prepares;contract;
Seminar Speaker;Give talk;Gives;talk;
Aqua Distilled Water Company;Deliver Water;Delivers;Water;
Firm;Review Application;;Review Application;
Logistic Department Worker;Deliver Water;Delivers;Water;
No Magic;Arrange Facilities and Meals;Arranges;Facilities|Meals;
Travel Agent;Check Availability;Checks;Availability;
Business participant;Reduce Number of Voting Members and Recalculate Votes;Reduces;Number of Voting Members|Recalculate Votes;
Bank;Send quote;Sends;quote;
Administrator;Install new version;Installs;new version;
Clerk;Decide if normal post or special shipment;Decides;normal post|special shipment;
Nobel Committee Medicine;Determine Need for Expert Assistance;Determines;Need for Expert Assistance;
Seller;Consider the proposal;Considers;proposal;
No Magic;Send Invitations to Customers;Sends;Invitations to Customers;
Sales Representative;Suggest Change;Suggests;Change;
Front Desk;Review & Escalate;Escalates;Review;
Clerk;Check if extra insurance is necessary;Checks;extra insurance;
System Communication;Store in Statistical System;;Store in Statistical System;
CRM;Get Client Information;Gets;Client Information;
Support Department;Receive Notification;Receives;Notification;
Vacation Request Approval Process;Approve Vacation Request;Approves;Vacation Request;
Marketing Manager;Welcome Participants;;Welcome Participants;
2nd level support;edit 2nd level ticket;;edit 2nd level ticket;
Customer Service Assistant;Forward Order;;Forward Order;
Sales rep;Calculate terms;Calculates;terms;
Trouble Ticket System;Open ticket;;Open ticket;
Business participant;Receive Book Request;Receives;Book Request;
Support Manager;Receive Notification;Receives;Notification;
Nobel Assembly;Discuss Nominators (Meeting 1);Discusses;Nominators|Meeting 1;
No Magic;Prepare Seminar Description;Prepares;Seminar Description;
Firm;Prepare Offer;Prepares;Offer;
Sales Department;Indicate Price;Indicates;Price;
Reader;Find Wanted Title;Finds Wanted;Title;
Business participant;Post Results on Web Site;;Post Results on Web Site;
Sales manager;Consider the proposal;Considers;proposal;
Librarian;Notify First Waiting Reader;Notifies;First Waiting Reader;
Service Contract Implementation Layer;Store in Marketing System Client 200;;Store in Marketing System Client 200;
Marketing Manager;Arrange Facilities and Meals;Arranges;Facilities|Meals;
Recruiter;Prepare Offer;Prepares;Offer;
1st level support;Send Mail to Account Manager;Sends;Mail to Account Manager;
2nd level support;Insert issue into product backlog;;Insert issue into product backlog;
Vacation Request Approval Process;Book Vacation;;Book Vacation;
Nobel Committee Medicine;Collect Candidates Work Assessment Reports;Collects;Candidates Work Assessment Reports;
Travel Agent;Get Booking Request;Gets;Booking Request;
Nominator;Send Nominee Completed Form(s);Sends|Completeds;Form;Nominee
Reservation;Get Confirmation;Gets;Confirmation;
Key account manager;Get problem description;Gets;problem description;
Business participant;Check Calendar for Conference Call;Checks;Calendar for Conference Call;
Sales Department;Send quote;Sends;quote;
Manager;Approve Vacation Request;Approves;Vacation Request;
Employee;Mark vacation in Calendar;;vacation in Calendar;Mark
Trouble Ticket System;Close Ticket;;Close Ticket;
Technician;Acknowledge;Acknowledges;;
Hardware Retailer;Package goods;;Package goods;
Sales Department;Initiate File;Initiates;File;
Sales manager;Prepare special terms;Prepares;special terms;
Order Process;Book Order;;Book Order;
Pizza Customer;Select a pizza;Selects;pizza;
Bank;Prepare special terms;Prepares;special terms;
Support Department;Update Client on Delay;;Update Client on Delay;
Vacation Request Approval Process;Update Vacation Request;;Update Vacation Request;
Sales Department;Calculate terms;Calculates;terms;
ERP Expert;Resolve Communication Problem and Book Order;Resolves;Communication Problem|Book Order;
Business participant;Hold Reply;Holds;Reply;
Car House;Set Available Cars;Sets;Available Cars;
2nd Level Support Agent;Document 2nd level result;;Document 2nd level result;
Car House;Get Confirmation;Gets;Confirmation;
Trouble Ticket System;Open Ticket;;Open Ticket;
Organization;Indicate Price;Indicates;Price;
Trouble Ticket System;Insert Issue into Product Backlog;;Insert Issue into Product Backlog;
Seminar Coordinator;Open Seminar;;Open Seminar;
Business participant;Prepare Invoice;Prepares;Invoice;
Service Contract Implementation Layer;Book Order;;Book Order;
Service Contract Implementation Layer;Store in Marketing System Client 100;;Store in Marketing System Client 100;
Technician;Connect Remotely to Client;Connects;Client;
Reader;Get Item;Gets;Item;
Administrative Department;Check Solvency;Checks;Solvency;
Seminar Coordinator;Send Invitations to Customers;Sends;Invitations to Customers;
Support Department;Acknowledge;Acknowledges;;
Aqua Distilled Water Company;Forward Order;;Forward Order;
1st level support;Edit 1st Level Ticket;;Edit 1st Level Ticket;
Software developer;Examine problem;Examines;problem;
Seller;Close an offer;Closes;offer;
Seminar Coordinator;Publish Seminar Description in Website;Publishes;Seminar Description in Website;
Business participant;Start Investigation;;Start Investigation;
Firm;Schedule Interview;;Schedule Interview;
No Magic;Send Reminder to Participants;Sends;Reminder to Participants;
Seminar Coordinator;Prepare Seminar Description;Prepares;Seminar Description;
Key account manager;Send mail to support system;Sends;mail to support system;
Marketing Manager;Prepare Seminar Description;Prepares;Seminar Description;
Customer;Send credit request;Sends;credit request;
Sales rep;Review request;;Review request;
Reader;Make Reservation;Makes;Reservation;
Nobel Committee Medicine;Write Recommendations Report;Writes;Recommendations Report;
Sales staff;Develop proposal;Develops;proposal;
Trouble Ticket System;Edit 2nd level ticket;;Edit 2nd level ticket;
2nd Level Support Agent;Handle 2nd level issue;Handles;2nd level issue;
No Magic;Make Internal Seminar Anoucement;Makes;Seminar Anoucement;Internal
Business participant;Order from supplier;Orders from;supplier;
Organization;Check Availability;Checks;Availability;
Warehouse;Pack Goods;;Pack Goods;
1st level support;Close Ticket;;Close Ticket;
Business participant;Checkout Book;;Checkout Book;
Firm;Interview;;Interview;
No Magic;Prepare Handouts;Prepares;Handouts;
Client;Select Car;Selects;Car;
Hardware Retailer;Check if extra insurance is necessary;Checks;extra insurance;
Bank;Review request;;Review request;
Recruiter;Submit Offer;Submits;Offer;
Marketing Manager;Prepare Handouts;Prepares;Handouts;
1st level support;edit 1st level ticket;;edit 1st level ticket;
Business participant;Prepare Results;Prepares;Results;
Client;Enter User and Dates;Enters;User|Dates;
Sales rep;Prepare contract;Prepares;contract;
Business participant;Update Invoice;;Update Invoice;
Recruiter;Reject Application;Rejects;Application;
Nobel Committee Medicine;Collect Completed Forms;Collects Completed;Forms;
Business participant;Checkout Reply;;Checkout Reply;
1st Level Support Agent;Note 1st level result;;Note 1st level result;
Business participant;Email Voters that have to Change Votes;has|Changes;Email Voters|Votes;
Marketing Manager;Evaluate Participants Number;Evaluates;Participants Number;
Marketing Manager;Send Reminder to Participants;Sends;Reminder to Participants;
Service Contract Implementation Layer;Store in Statistical System;;Store in Statistical System;
Sales staff;Change the terms of the offer;Changes;terms of the offer;
2nd level support;Insert Issue into Product Backlog;;Insert Issue into Product Backlog;
User;Use application;Uses;application;
Support Department;Connect Remotely to Client;Connects;Client;
1st Level Support Agent;Document 1st level result;;Document 1st level result;
Bank;Assess risks;Assesses;risks;
Trouble Ticket System;Edit 1st level ticket;;Edit 1st level ticket;
Seminar Speaker;Prepare Talk Presentation;Prepares;Talk Presentation;
Sales Department;Book Travel;;;Book Travel
1st level support;Close ticket;;Close ticket;
No Magic;Open Seminar;;Open Seminar;
Sales rep;Send quote;Sends;quote;
Business participant;Reduce to Two Solutions;Reduces to;Solutions;
Pizza Customer;Order a pizza;Orders;pizza;
No Magic;Collect Questionnaries;Collects;;Questionnaries
Online Shop;Ship Goods;;Ship Goods;
Customer;Provide Customer Data;Provides;Customer Data;
Bank;Calculate terms;Calculates;terms;
Bank;Prepare contract;Prepares;contract;
No Magic;Close Seminar;;Close Seminar;
Business participant;Re-Announce Vote with Warning to Voting members;;Vote with Warning to Voting members;Re-Announce
Librarian;Put Reservation to the Waiting List;Puts;Reservation to the Waiting List;
Sales Representative;Check Stock Level;Checks;Stock Level;
Recruiter;Collect Feedback;Collects;Feedback;
Joan Doe;Assess risk;Assesses;risk;
Cab Driver;Complete Assignment;;Complete Assignment;
Librarian;Register Loan;;Register Loan;
Customer Service Assistant;Create Customer Account;Creates;Customer Account;
Technician;Update Case Status;;Update Case Status;
Sales Department;Review request;;Review request;
Seller;Fullfil the order;Fullfils;order;
Interviewer;Interview;;Interview;
1st level support;Send mail to account manager;Sends;mail to account manager;
Reservation;Set Available Cars;Sets;Available Cars;
Recruiter;Review Application;;Review Application;
Business participant;Review Issue List;;Review Issue List;
Key account manager;Explain solution;Explains;solution;
Manager;Book Vacation;;Book Vacation;
Service Contract Implementation Layer;Resolve Communication Problem and Book Order;Resolves;Communication Problem|Book Order;
Nobel Assembly;Select Laureates (Meeting 2);Selects;Meeting 2;Laureates
Sales Department;Check Availability;Checks;Availability;
Sales staff;Close an offer;Closes;offer;
Marketing Manager;Send Invitations to Customers;Sends;Invitations to Customers;
System Communication;Store in Marketing System Client 200;;Store in Marketing System Client 200;
Client;Show Reservation;Shows;Reservation;
Firm;Submit Offer;Submits;Offer;
Sales Representative;Request Pack Goods;;Request Pack Goods;
Trouble Ticket System;Close ticket;;Close ticket;
Marketing Manager;Register Participant;;Register Participant;
Aqua Distilled Water Company;Create Customer Account;Creates;Customer Account;
2nd Level Support Agent;Note 2nd level result;;Note 2nd level result;
2nd Level Support Agent;Handle 2nd Level Issue;Handles;2nd Level Issue;
Car House;Get Client Information;Gets;Client Information;
Support Department;Review & Escalate;Escalates;Review;
Support Department;Update Case Status;;Update Case Status;
Firm;Collect Feedback;Collects;Feedback;
Business participant;Receive Vote;Receives;Vote;
delivery boy;Deliver the pizza;Delivers;pizza;
Seminar Coordinator;Close Seminar;;Close Seminar;
Business participant;Send Invoice to Customer;Sends;Invoice to Customer;
Pizza Customer;Pay the pizza;Pays;pizza;
Clerk;Request quotes from carriers;;Request quotes from carriers;
clerk;Calm customer;;Calm customer;
Business participant;Inform Customer about Overdue Payment;Informs;Customer about Overdue Payment;
Online Shop;Request Pack Goods;;Request Pack Goods;
1st level support;Open ticket;;Open ticket;
Developer;Notify user;Notifies;user;
Sales staff;Send an offer to the client;Sends;offer to the client;
Trouble Ticket System;Edit 1st Level Ticket;;Edit 1st Level Ticket;
Sales staff;Fullfil the order;Fullfils;order;
Reader;Use Item;Uses;Item;
Car House;Submit Car Reservation;Submits;Car Reservation;
Expert;Send Candidates Assessment Report;Sends;Candidates Assessment Report;
Customer Service Assistant;Verify Customer Identity;Verifies;Customer Identity;
delivery boy;Receive payment;Receives;payment;
Online Shop;Pack Goods;;Pack Goods;
Business participant;Announce Issues;Announces;Issues;
Support Manager;Update Client on Delay;;Update Client on Delay;
Storyboard;Storyboard (full day);;Storyboard|full day;
