Entry;Entities;EntityType
Logistics Department;Logistics Department;ORGANIZATION
Financial Department;Financial Department;ORGANIZATION
Financial Accounting;;
Service Center;Service Center;ORGANIZATION
Advisery Service;;
Customer Management;;
Warehousing;;
help desk;;
account manager;;
Finance Department;Finance Department;ORGANIZATION
Financing;;
Customer service;;
Customer advisory;;
Sales depatrtment;;
Dispositon;;
bank;;
restaurant;;
Italian Restaurant;Italian Restaurant;ORGANIZATION
Restaurant;;
Manager;;
PayPal Client;PayPal;ORGANIZATION
PayPal System;PayPal System;ORGANIZATION
PayPal User;PayPal;ORGANIZATION
Administration Department;Administration Department;ORGANIZATION
Accounts Receivable;;
Payment Office;Payment Office;ORGANIZATION
Data Entry;;
User;;
The payment office;;
Mail centre;;
Validation office;;
BCC;;
The User;;
BCC Server;BCC Server;ORGANIZATION
Company Server;;
Features of the founded Software;;
Business Location;;
Business Name;;
Choosing Software;;
Legal structure;;
Company legal structure;;
Lease Option;;
Protecting Your Business;;
Setting Up a Bank Account;;
Evaluate loan policies;;
Insurance;;
Business Licence;;
Government Requirement;;
Premises and Lease;;
Legal Requirement;;
Government Requirenment;;
Legal Reuirement;;
Promotion plan;;
Financial Plan;;
Marketing Plan;;
Company;;
Choosing the best business ISP;;
External Expert;;
Referee;;
Managing director;;
Customers;;
Web design team;;
marketing team;;
sales department;;
engineering department;;
storehouse;;
Catering service;;
Credit officer;;
Senior credit officer;;
Select forest plots;;
Employee;;
Supervisors;;
Purchase Department;Purchase Department;ORGANIZATION
Goods Receipt Department;Goods Receipt Department;ORGANIZATION
Accounts payable;;
Tech;;
System;;
Pharmacist;;
Level-1 support staff (5p);;
Level-2 support staff (3p);;
Job Tracking System (JTS);Job Tracking System;ORGANIZATION
Central procurement department;;
Approver;;
Specialist;;
Storage;;
Shop;;
Subject;;
PC-Operator;;
Wellbeing Survey Software;;
Mobile Unit;;
Communication Team;;
Wellbeing WebServer;Wellbeing WebServer;PERSON
Movile Unit;Movile Unit;ORGANIZATION
Order Process;;
Missionary;;
Team Assistant;;
Direction;;
Team Assistant;;
Team Leader;;
Manufacturer;;
QUT Administration;;
QUT Virtual;;
Unit Coordinator;;
Pit;;
employee;;
finance team;;
Wholesaler;;
Distributor;;
Manufacturing Department;Manufacturing Department;ORGANIZATION
Inventory Department;Inventory Department;ORGANIZATION
Procurement Department;Procurement Department;ORGANIZATION
Student Engagement;;
Faculty;;
Facilities Department;Facilities Department;ORGANIZATION
Data Entry Officer;;
Mail centre Staff;;
Master Data Entry Department;;
Validatoin Officer;;
Mail Centre Staff;;
RM;;
Student Engagement Department;;
Student Engagement;;
Student Volunteer;;
Central purchase department;;
Requestor;Requestor;PERSON
Receipt department;;
Pharmacy technicians;;
Sales Assistant;;
Engineering Department;Engineering Department;ORGANIZATION
Loan Agency;Loan Agency;ORGANIZATION
Prefect;;
IRSN Scientific experts;IRSN Scientific;ORGANIZATION
IRSN;;
Firemen;;
Police;;
Meteo France;Meteo France;PERSON
Radiation Survey Network;;
Office of infrastructures;;
Media;;
Hospitals;;
MEMS;;
Radiation survey network;;
Office of infrastructure;;
Representative of the local authority;;
NWU CC CRC;;
NWU CR Business Field;NWU CR Business Field;ORGANIZATION
costume designer;;
costume staff;;
PhD Student;;
PhD Office;PhD Office;ORGANIZATION
Administration office;;
Advisor;;
Phd office;;
Phd student;;
PhD office;;
Departement assistant;;
PhD student;;
Phd Office;Phd Office;ORGANIZATION
PhD Central Office;PhD Central Office;ORGANIZATION
Exam Commission;Exam Commission;ORGANIZATION
Signatory;;
Loan Order Process;;
Booking service;;
Booking Service;;
Insurance Company;Insurance Company;ORGANIZATION
Breakdown service company;;
Clinic;;
Repair shop;;
Registrar;;
Professor;;
Higher management;;
Agent;;
Offerer;;
Real estate agent;;
ABB Turbo System Service station;ABB Turbo System Service;ORGANIZATION
ABB Turbo System Baden Warehouse;ABB Turbo|Baden Warehouse;ORGANIZATION|ORGANIZATION
Repair Department;Repair Department;ORGANIZATION
Our Enterprise;;
AMAG - central spare part warehouse;;
Car manufacturer (VW and Porsche);VW|Porsche;ORGANIZATION|ORGANIZATION
Regional Warehouse;Regional Warehouse;ORGANIZATION
regional warehouse;;
central warehouse;;
Central Warehouse;Central Warehouse;ORGANIZATION
5 Regional Warehouse;5 Regional Warehouse;ORGANIZATION
36 distribution centers;36;CARDINAL
Call center;;
AMAG;AMAG;PERSON
Integrated Carrier;;
Warehouse (Central / Regional);;
Volkswagen / Porsche;Volkswagen / Porsche;ORGANIZATION
Central warehouse;;
sales level;;
Import level;;
Central System;Central System;ORGANIZATION
Service Station;Service Station;ORGANIZATION
AMAG - Central spare part Warehouse;AMAG - Central|Warehouse;ORGANIZATION|ORGANIZATION
Car manufacturer;;
Service stations, dealers and customers;;
Central Warehouse Luzern;Central Warehouse Luzern;ORGANIZATION
IT;;
Logistics, Warehouse near to the customers;Logistics, Warehouse;ORGANIZATION
Logistic, warehouse not near to the customer;;
ABB Turbo Systems Baden (Switzerland);ABB Turbo Systems Baden|Switzerland;ORGANIZATION|LOCATION
Secretariat;;
Robert;Robert;PERSON
Physician;;
Secretary;;
Store Manager;;
Stock Manager;;
Catalogue Browser;;
Shopping Basket / Checkout;;
Amazon Sub Seller;Amazon Sub Seller;ORGANIZATION
Amazon;Amazon;ORGANIZATION
Used Book sellor on Amazon;Amazon;ORGANIZATION
Mail Staff;;
Data Entry Staff;;
Master Data Entry Staff;;
Data Validation Officer;;
Mark;Mark;PERSON
Security Check;;
Boarding Gate;;
CUSTOMER;;
Order Management System;;
CRM;;
Manufacturing;;
Logistics Provider;;
AVERS OEM - Raw Material Supply;;
Regional Headquarters, Singapore;Regional Headquarters|Singapore;ORGANIZATION|LOCATION
Manufacturing Factory, Vietnam;Manufacturing Factory|Vietnam;ORGANIZATION|LOCATION
Regional Electronic Equipment Company;Regional Electronic Equipment Company;ORGANIZATION
Distribution/Logistics Provider 05;;
Regional Type Company;Regional Type Company;ORGANIZATION
Distribution/Logistics Provider 01;;
Air Conditioner Company, Regional;Air Conditioner Company;ORGANIZATION
Distribution/Logistics Provider 02;;
Car Upholstery Company, Regional;Car Upholstery Company;ORGANIZATION
Distribution/Logistics Provider 03;;
Paint Company, Regional;Paint Company;ORGANIZATION
Distribution/Logistics Provider 04;;
EU Headquarters;EU Headquarters;ORGANIZATION
Retail Outlet;Retail Outlet;ORGANIZATION
Auto Inc HQ;Auto Inc HQ;ORGANIZATION
Factory Vietnam;Vietnam;LOCATION
Regional Supplier 1;;
Logistics Provider 2;2;CARDINAL
Regional Supplier 2;;
EU HQ Supplier;EU;ORGANIZATION
Logistics Provider 1;;
Logistics Provider 3;3;CARDINAL
Warehouse 1;;
Warehouse 2;2;CARDINAL
AVERS OEM - Production Control;;
Production Scheduling;;
PVE;;
PBPE;;
Poultry and Eggs sector;;
Government;;
KIP;;
Heffingen;Heffingen;PERSON
Poultry/Egg Sector Company;Poultry/Egg Sector Company;ORGANIZATION
ITBP (Tier 2);ITBP;ORGANIZATION
ITBP (Tier 1);ITBP;ORGANIZATION
Business Controller;;
IT Controller;;
Portfolio Manager;;
Philips IT - PSO (Project Support Office);Philips IT - PSO|Project Support Office;ORGANIZATION|ORGANIZATION
Logistic Provider;;
ERP;;
Logistic provider;;
AVERS OEM;;
bank a;;
bank b;;
Validity check;;
Account Creation;;
Role (Geoff Bourke);Geoff Bourke;PERSON
Asset Manager(s);;
IDM;;
Telstra;Telstra;ORGANIZATION
Risk Manager;;
Telstra Tecnical Team(s);Telstra Tecnical Team;ORGANIZATION
NAB Asset Manager(s);NAB Asset Manager;ORGANIZATION
NSTAF Facilitator;;
Network Capacity Planner;;
Asset Manager;;
Nework Capacity Planner;;
APCD;;
NAB;NAB;ORGANIZATION
IBM;IBM;ORGANIZATION
Telstra Capacity Team;Telstra Capacity Team;ORGANIZATION
EMPLOYEES;;
SUPERVISORS;;
PURCHASE DEPARTMENT;;
ACCOUNTS PAYABLE;;
GOODS RECEIPT;;
Drop off and data entry (technician);;
Drug utilization review (DUR), incurance check, (pharmacist, pharmacy employees);;
Production (certified pharmacy technician);;
Pickup (Technician);;
Helpdesk;;
Sales team;;
Accounts Department;;
DMS Parts Provision Team;;
Credit Check Authority;;
Branch Office;Branch Office;ORGANIZATION
Office branch;;
System support;;
User support;;
Course;;
Clerk;;
Complaint Manager;;
Helpdesk Operator;;
Product owner;;
Scrum master;;
Receiving;;
Chustomer;Chustomer;PERSON
Itunes;;
customer service representative;;
Development Director;;
Research & Development;Research & Development;ORGANIZATION
Quality Assurance;;
Development Team;;
Supply Depot;Supply Depot;ORGANIZATION
Requester;;
Accounts Payable;;
SUPPLIER;;
Cape Town Procurement;Cape Town;LOCATION
Ottawa;Ottawa;LOCATION
Jakarta;Jakarta;LOCATION
Procurement;;
Assembly;;
Sales Process;;
Inventory Receiving Process;;
Misc. Email Folders;;
End of Day Process;;
Kinshasa;Kinshasa;LOCATION
Auckland;Auckland;LOCATION
Purchasing/Shipping;Purchasing/Shipping;ORGANIZATION
Cape Town Accounts Payable;Cape Town Accounts Payable;ORGANIZATION
Sales US;US;LOCATION
Sales EMEA;;
Provisioning;;
Sephora;Sephora;ORGANIZATION
Provisioning Trextel;Trextel;PERSON
DSR;;
Window Migration route;;
Business Units;;
Line of Business Customer ;;
Desktop Development Team;;
IT Testing Team;;
Global Packaging Services;Global Packaging Services;ORGANIZATION
BRD Review Anaylysts;;
Developer;;
Citi Market Place;Citi Market Place;ORGANIZATION
Senior Management;;
TSAM Provisoning;;
Application Portal;;
CATE or Sector Architects;CATE|Sector Architects;ORGANIZATION|ORGANIZATION
CATE Labs Support Team;Labs Support Team;ORGANIZATION
Global Customer Service Center;Global Customer Service Center;ORGANIZATION
Engineer;;
Business;;
System Admin;;
Integration Team;;
Level 1 Support;1;CARDINAL
Level 2 Support;2;CARDINAL
Quality Control;;
Line of Business User, Project Managers;;
Citi Technology Infrastructure (CTI);Citi Technology Infrastructure|CTI;ORGANIZATION|ORGANIZATION
Data center Operation;;
SA / SAN/Frame Support;SA;ORGANIZATION
Mail Room;Mail Room;PERSON
Shareholder Services;Shareholder Services;ORGANIZATION
Background Check Vendor;;
Fund Accounting Team;;
Accounts Receivables;;
The Mail Room;The Mail Room;PERSON
Accounting Department;Accounting Department;ORGANIZATION
Shareholder Services Team;;
Shareholder Services Manager;;
Private Investors;;
Accounting Team;;
Background Vendor;;
Superviser;;
Support;;
Acme Warehouse;Acme Warehouse;ORGANIZATION
Sales & Dist.;Sales & Dist;ORGANIZATION
Sales & Dist;;
Insurance Co.;Insurance Co.;ORGANIZATION
Accounts Payable ;;
Requester ;;
Customer Actions;;
Customer Service Representative Actions;;
Application Manager;;
EERS Feed Provider;;
EERS Integration Team;;
Information Security Administration;Information Security Administration;ORGANIZATION
Point Sec Administrator;;
SA Managers;SA Managers;ORGANIZATION
Market Place;;
Command Center;Command Center;ORGANIZATION
Users/Developers;;
MQSeries Global Enterprise System Group;MQSeries Global Enterprise System Group;ORGANIZATION
Global Business Integration Operational Group;Global Business Integration Operational Group;ORGANIZATION
3rd Party Access Solutions Workgroup (3PASWG);3rd Party Access Solutions Workgroup|3;ORGANIZATION|CARDINAL
Information Security Technology Group (ISTG);Information Security Technology Group|ISTG;ORGANIZATION|ORGANIZATION
Kinsasha: Supplier;Kinsasha: Supplier;ORGANIZATION
Level-01 Support;;
Level-02 Support;;
SME Support;;
Release Management;;
Citi Business User ;Citi Business User;ORGANIZATION
Project Management Team;Project Management;ORGANIZATION
Software Development Team;;
Workflow Engine;;
Call Center Agent;;
ACME Employee;;
Internal Client;;
Desktop Support Team;;
Desktop Support Services;Desktop Support Services;ORGANIZATION
Retailer Order;;
Visa;;
WAREHOUSE;;
REQUESTER;;
ACME Warehouse;;
R&D, KMS Management;KMS Management;ORGANIZATION
KMS Development;KMS;ORGANIZATION
KMS Management;KMS;ORGANIZATION
KMS Development Level 1;KMS|1;ORGANIZATION|CARDINAL
KMS Development Level 2;KMS|2;ORGANIZATION|CARDINAL
KMS MANAGEMENT;;
KMS DEVELOPMENT PROCESS;;
KMS CLIENT;;
Shareholder service Team;;
Background check vendor;;
Fund Accounting;;
Director approval;;
Manager Approver;;
Financial Analyst;;
Citi MarketPlace;Citi MarketPlace;ORGANIZATION
Project Accounting;;
Marketing Team;;
Capacity Steering Committee;Capacity Steering Committee;ORGANIZATION
Project Management;Project Management;ORGANIZATION
Technology Management;;
New Employee;;
Set Up Training;;
Attend Training;;
Set Up Access;;
Warhouse;Warhouse;PERSON
Accounts Pay;;
Warehouse ;;
Supervisor ;;
Project Manager (PM);;
MSSB CM Team;;
CCR Team;;
Customer Request For Computing Capacity;;
Finance Approval / Management Authorization;;
REQUESTER ;;
ACCOUNT PAYABLE;;
ACME SUPPLIER;;
Network Engineering;Network Engineering;ORGANIZATION
CATE Engineer/Sector Architect;;
CATE Labs Administrator;;
External Connectivity Management;External Connectivity Management;ORGANIZATION
Network Security Engineer;;
Information Security Officer;;
Operations & Technology Risk Management;Operations & Technology|Risk Management;ORGANIZATION|ORGANIZATION
Perimeter Security Officer;;
RFC Approvers;;
Development Group;Development Group;ORGANIZATION
Business Relation Group ( BRM);Business Relation Group;ORGANIZATION
App Support Group;App Support Group;ORGANIZATION
Employee Requester;Employee Requester;PERSON
Direct Manager;;
Capacity Request Made;;
Finance & Management Approval;Finance & Management;ORGANIZATION
Pharma Architecture;Pharma Architecture;ORGANIZATION
Application Team;;
Incident Management Team;;
SA and DBA Teams;SA|DBA Teams;ORGANIZATION|ORGANIZATION
AccountsPayable;;
Various Utility Companies;;
Le Pendez Dix;Le Pendez Dix;PERSON
Grenoble;Grenoble;LOCATION
Accounts Payable (Haley);Haley;PERSON
Sales (Nick);Nick;PERSON
Procurement (Jane);Jane;PERSON
Accounts Receivable (Sarah);Sarah;PERSON
INVESTOR;;
MAILROOM;;
ACCTG TEAM;;
BACKGROUND SCREENING;;
Business Architect;;
Technology Architect;;
Enterprise Architecture Council;Enterprise Architecture Council;ORGANIZATION
Application Architect;;
Chief Information security Officer;;
CRS;CRS;ORGANIZATION
director;;
Mortgage application;;
Ticket automat;;
Program director;;
get costumes ready for specific day;;
Online retailer: Fulfill order;;
costum usage;;
ICT Logistics;ICT Logistics;ORGANIZATION
Forwarder;;
Cloud;;
Production Planning;;
OUR COMPANY;;
CENTRAL IT;;
DATA ENTRY;;
PHARMACIST;;
DROP-OFF;;
PICKUP;;
PRODUCTION;;
QUALITY ASSURANCE;;
CVS - DATA ENTRY;;
CVS - CUSTOMER SERVICE;;
CUSTOMER SERVICE;;
site engineer;;
depot clerk;;
works engineer;;
Talent Seek - Recruitment Manager;;
Talent Seek;;
Recruitment Managers;;
Admin and clerical staff;;
Casual Admin Assistant;;
HR Coordinator;;
Check Deadlines;;
Check Information (3a), (4a), (4b);3|4;CARDINAL|CARDINAL
Check Registration (1);1;CARDINAL
Confirm Start of Delivery (4a);4;CARDINAL
New Supplier;;
Cancelation of delivery handling;;
Service;;
Schufa;Schufa;PERSON
Academic senate;;
Candidate;;
University;;
President;;
Inspection crew;;
Maintenance crew;;
Business Process perspectine;;
TS Recruitment Managers;TS Recruitment Managers;ORGANIZATION
Client End Manager;;
Client HR Representive;;
TS HR;;
GovSource;;
Recruitment Panel;;
Candidates;;
TS Recruitment Manager;;
Administration department;;
Mailing department;;
Data Office;Data Office;ORGANIZATION
Master Data Management;;
Recruitment Manager;;
TS HR Coordinator and their teams;TS HR Coordinator;ORGANIZATION
Casual Admin Assisstant;Admin Assisstant;PERSON
Trained specialist;;
Account Provider;;
Bank Customer;Bank Customer;ORGANIZATION
Post Officer;;
Bank Officer;;
Purchase & Manufacturing;Purchase & Manufacturing;ORGANIZATION
Accounting office;;
Italian restaurant;Italian;NORP
Informecial Meeting;;
Drop-off tech;;
Data entry tech;;
Pick-up tech;;
Producer;;
CVS employee;CVS;ORGANIZATION
CVS store;CVS;ORGANIZATION
CVS;CVS;ORGANIZATION
CVS IT system;CVS IT;ORGANIZATION
Transaction;;
ABC Co. RFG Process;ABC Co.;ORGANIZATION
Passenger;;
Virgin Airline Staff;Virgin Airline;ORGANIZATION
Passenger role;;
SmartGate role;;
USER;;
Landlord/ Agent;Landlord/ Agent;ORGANIZATION
Landlord/Agent;Landlord/Agent;ORGANIZATION
Agencies & Landlords;;
Landlord / Agency;Landlord / Agency;ORGANIZATION
Processing Officer;;
Consultant;;
Actuarial Officer;;
Accountant;;
Car Dealer;;
Mechanic;;
Salesman;;
Patient (mother);;
Pharmacy;;
Creator;;
Sales Officer;;
Production Engineer;;
Procurement Officer;;
Admission office;;
Academic recognition agency;;
Level-1 staff;;
Dispatcher;;
Driver;;
Storeman;Storeman;PERSON
Tracking;;
Customer(Newlyweds);;
Guests;;
Wedding Preparing Group;Wedding Preparing Group;ORGANIZATION
Seamless Service Provision (SSP);;
Incoming Mail Centre;Mail Centre;ORGANIZATION
Validation Officer;;
Payment Officer;;
Accounts receivable Department;;
Experienced SSP;SSP;ORGANIZATION
Internal Mail;Internal Mail;ORGANIZATION
Master Data Entry Departement;;
Incoming Mail Employee;;
Internal Mail Employee;;
Master Data Entry Officer;;
Registry Employee;;
Experienced SSP Employee;SSP;ORGANIZATION
Mail Centre employee;Mail Centre;ORGANIZATION
superiisor;;
Logistic Manager;;
Warehouse Worker;;
Person;;
Market analyst;;
Finance department;;
Detective;;
Target audience;Target;ORGANIZATION
PR department;;
Salesperson;Salesperson;PERSON
Risk analysis department;;
Capitol;Capitol;ORGANIZATION
loan agency;;
rating agency;;
Operational Analyst;;
Analyst Supervisor;;
Customer Registration;;
Billing form;;
Designer;;
Customer (business);;
Librarian;;
CO;;
Used Book Buyer;;
sales & distribution;;
Beneficiary;;
Regulatory Department (Clerk);Regulatory Department;ORGANIZATION
Insurance Agent;;
Check In Desk;;
Customer Database;;
Translator;;
Local Demand Management;;
Requirements Manager;;
Requirements Manager Gremium;Gremium;PERSON
Business architect;;
CAB;;
Technical architect;;
Budget- &amp;;
Release Manager;;
Release Gremium;;
Flower Storage;;
IITB student;;
Traveler;;
Interested Parties;;
Extract Photo information;;
Manually Update Photo Information;;
clerk;;
pizza chef;;
delivery boy;;
Buy a car;;
Instructor;;
Researcher;;
teacher;;
Business support;;
Technical support;;
On call and email support;;
Level 1 support staff;1;CARDINAL
Level 2 employee;2;CARDINAL
Business Architectural Team;;
ISB Management;ISB Management;ORGANIZATION
Stakeholders;;
BPMC;;
BPWG;;
EMT;;
Opportunity Initiator;;
Process Owner;;
Business Architecture;;
Business Architecture Team;;
Credit Division;Credit Division;ORGANIZATION
Application processed;;
Application lodgement;;
Application investigation;;
Views of stakeholders;;
Financial;;
Company (HR);;
techGate;;
TechGate;TechGate;PERSON
techgate;;
case-worker legal affairs;;
warehouse worker;;
case-worker organization;;
requester;;
service technician;;
accountant;;
SAP;SAP;ORGANIZATION
Officer;;
Customer on 'Your weight loss partner' website.;;
Restaurant preparing and delivering food.;;
Organization;;
patient activities;;
device;;
Purchasing;;
Mortgage specialist;;
Claim Ajuster;Claim Ajuster;PERSON
Owner;;
Ebay Seller;Ebay Seller;PERSON
Ebay Buyer;Ebay Buyer;PERSON
Board;;
CEO;;
User Account Admin;;
Buyer;;
Shipping Company;Shipping Company;ORGANIZATION
Mail Center Staff L1;;
Admin Officers L2;;
Data Entry Officers L5;;
Agencies & Citizen;;
Service Officer;;
Land Administration Officer;;
Agencies and citizens;;
Stakeholder;;
Minister’s Delegate;;
Government Garzette;Government Garzette;PERSON
Application and Internal System (DCS and ATS);Internal System|DCS|ATS;ORGANIZATION|ORGANIZATION|ORGANIZATION
SAP Management;SAP Management;ORGANIZATION
Validate Officer @ Level 7;7;CARDINAL
Validate Officer;;
Account Receivable Dept. Level 4;4;CARDINAL
Minster's Delegate;Minster;PERSON
Land Administrative Officer;;
Service center officer;;
Agencies and Citizens;;
SAP master entry department;SAP;ORGANIZATION
Admin officer;;
Validating Officer;;
Accounts Receivable Department L4;;
Master data entry department;;
Account Receivable Department Level 4;4;CARDINAL
Mail Center Level 1;1;CARDINAL
Data Entry Office Level 5;5;CARDINAL
Subsidiary;;
Screening staff;;
Technical support staff;;
Vladimir;Vladimir;PERSON
Lauri;Lauri;PERSON
Adoption coordinator & Process analysts;;
Oganisation Managemnt;;
Process participants;;
Production with ERP-System;;
Sales & Distribution with CRM-System;;
Logistics with ERP-System;;
Finance & Accounting with ERP-System;ERP-System;ORGANIZATION
Customer Service Department;Customer Service Department;ORGANIZATION
Grid Operator;;
Change Manager;;
Agency Employee;;
Department Employee;;
Admission Commission;Admission Commission;ORGANIZATION
Uni-Assist;;
Online Registration Pool;;
Studienabteilung (Study Department);Studienabteilung|Study Department;ORGANIZATION|ORGANIZATION
Customer service (TELECO);;
Service management (TELECO);;
Resource provisioning (TELECO);;
Customer service dept.;;
Quality Inspector;;
QA Team Leader;;
QA Engineer;;
Level 1;1;CARDINAL
Level 2;2;CARDINAL
Role A;;
Role C;;
Role B;;
Role E;;
Role D;;
insurance clerk;;
Mr Franks;Franks;PERSON
Review clerk;;
Attacker;;
JodaEngine;JodaEngine;PERSON
ENGINEERING;;
SALES;;
FINANCE;;
hardware Retailer;;
Hardware Retailer;;
Flight Centre;Flight Centre;ORGANIZATION
SSP Receivable Department;SSP|Receivable Department;ORGANIZATION|ORGANIZATION
Board of Drectors;Board of Drectors;ORGANIZATION
Service Desk;;
Incident Closure Responsible;;
Suppliers Manager;;
Technical Staff;;
Administrator;;
Engeneering department;;
Sales ;;
Services;;
Klant;Klant;PERSON
External Company;External Company;ORGANIZATION
Process;;
HR Representative;;
Radiology;;
Blood test department;;
CT Scan Department;CT Scan Department;ORGANIZATION
Recruiting Manager;;
Manager/chairperson;;
SPARQ HR;;
Manager/Chairperson;;
Recruitment manager;;
Co-Workers;;
Phone clerk;;
Home doctor;;
product;;
Personal Service Department;Personal Service Department;ORGANIZATION
Thesis Director;;
Finance Officer;;
Administration Officer;;
EC-Lille;;
boss;;
humain resource;;
Representative;;
Claim adjuster;;
Bill (Owner);Bill;PERSON
Illustration Creation Team;;
Technical Team;;
Admin Officers;;
Cooking Area;;
Packing Area;;
Lecture;;
Real estate;;
ordering;;
purchasing;;
manufacturing;;
Validation Officers;;
Data Entry Officers;;
Master Data Entry;;
Payment Officers;;
Department XYZ;Department XYZ;ORGANIZATION
Process 1;1;CARDINAL
Team work explorer;;
meeting members;;
meeting manager;;
client;;
Seamless Service Provision(SSP);;
internal mail center;;
Validation Ofiicer;;
Staff Member;;
Internal Mail Centre;Internal Mail Centre;ORGANIZATION
MetalWorks;;
Level-1;;
Level-2;;
Job tracking system;;
Store;;
Headquarter;;
Hermes;Hermes;PERSON
Disposition;;
Hub;;
Resourcing;;
R&D;;
Investment Decision-making Commitee;Commitee;ORGANIZATION
Pets@home;Pets@home;PERSON
Topup Method;Topup Method;PERSON
Agency & Citizen;Agency & Citizen;ORGANIZATION
Minister Delegate;;
STUDENT;;
PhD OFFICE;;
ADMINISTRATION;;
Sales Director;;
Sales Executive;;
Automatic procedure;;
company;;
secretary;;
Secratory;;
Administors;;
Students;;
students;;
Doctor school;;
Coordinator;;
advisor;;
PHD OFFICE;;
Not EU;EU;ORGANIZATION
EU;EU;ORGANIZATION
Evaluation commission;;
Member of evaluation commission;;
PROFESSORS;;
