Entry;Entities;EntityType
Manufactoring;;
Logistics Department;Logistics Department;ORGANIZATION
Financial Department;Financial Department;ORGANIZATION
Financial Accounting;;
Service Center;Service Center;ORGANIZATION
Advisery Service;;
Customer Management;;
Warehousing;;
help desk;;
account manager;;
Finance Department;Finance Department;ORGANIZATION
Financing;;
Customer service;;
Customer advisory;;
Sales depatrtment;;
Dispositon;;
bank;;
restaurant;;
Italian Restaurant;Italian;MISC
Restaurant;;
Manager;;
PayPal Client;PayPal Client;ORGANIZATION
PayPal System;PayPal System;ORGANIZATION
PayPal User;PayPal;ORGANIZATION
Administration Department;Administration Department;ORGANIZATION
Accounts Receivable;;
Payment Office;;
Data Entry;;
User;;
The payment office;;
Mail centre;;
Validation office;;
BCC;BCC;ORGANIZATION
The User;;
BCC Server;BCC Server;ORGANIZATION
Company Server;;
Features of the founded Software;Software;ORGANIZATION
Business Location;;
Business Name;Name;MISC
Choosing Software;;
Legal structure;;
Company legal structure;;
Lease Option;;
Protecting Your Business;;
Setting Up a Bank Account;Bank Account;ORGANIZATION
Evaluate loan policies;;
Insurance;;
Business Licence;;
Government Requirement;;
Premises and Lease;;
Legal Requirement;;
Government Requirenment;;
Legal Reuirement;;
Promotion plan;;
Financial Plan;;
Marketing Plan;;
Company;;
Choosing the best business ISP;;
External Expert;;
Referee;;
Managing director;;
Customers;;
Web design team;;
marketing team;;
sales department;;
engineering department;;
storehouse;;
Catering service;;
Credit officer;;
Senior credit officer;;
Select forest plots;;
Employee;;
Supervisors;;
Purchase Department;;
Goods Receipt Department;;
Accounts payable;;
Tech;Tech;ORGANIZATION
System;;
Pharmacist;;
Level-1 support staff (5p);;
Level-2 support staff (3p);;
Job Tracking System (JTS);Job Tracking System;ORGANIZATION
Central procurement department;;
Approver;;
Specialist;;
Storage;;
Shop;;
Subject;;
PC-Operator;;
Wellbeing Survey Software;Wellbeing Survey Software;ORGANIZATION
Mobile Unit;Mobile Unit;ORGANIZATION
Communication Team;Communication Team;ORGANIZATION
Wellbeing WebServer;Wellbeing;ORGANIZATION
Movile Unit;Movile Unit;ORGANIZATION
Order Process;;
Missionary;;
Team Assistant;;
Direction;;
Team Assistant;;
Team Leader;;
Manufacturer;;
QUT Administration;;
QUT Virtual;;
Unit Coordinator;;
Pit;;
employee;;
finance team;;
Wholesaler;;
Distributor;;
Manufacturing Department;;
Inventory Department;;
Procurement Department;Procurement Department;ORGANIZATION
Student Engagement;;
Faculty;;
Facilities Department;;
Data Entry Officer;;
Mail centre Staff;;
Master Data Entry Department;;
Validatoin Officer;;
Mail Centre Staff;Mail Centre Staff;ORGANIZATION
RM;;
Student Engagement Department;Student Engagement Department;ORGANIZATION
Student Engagement;;
Student Volunteer;;
Central purchase department;;
Requestor;;
Receipt department;;
Pharmacy technicians;;
Sales Assistant;;
Engineering Department;;
Loan Agency;;
Prefect;;
IRSN Scientific experts;IRSN Scientific;ORGANIZATION
IRSN;IRSN;ORGANIZATION
Firemen;;
Police;;
Meteo France;Meteo France;ORGANIZATION
Radiation Survey Network;Radiation Survey Network;ORGANIZATION
Office of infrastructures;;
Media;;
Hospitals;;
MEMS;MEMS;ORGANIZATION
Radiation survey network;;
Office of infrastructure;;
Representative of the local authority;;
NWU CC CRC;NWU CC CRC;ORGANIZATION
NWU CR Business Field;NWU CR Business Field;ORGANIZATION
costume designer;;
costume staff;;
PhD Student;;
PhD Office;PhD Office;ORGANIZATION
Administration office;;
Advisor;;
Phd office;;
Phd student;;
PhD office;;
Departement assistant;;
PhD student;;
Phd Office;Phd Office;ORGANIZATION
PhD Central Office;PhD Central Office;ORGANIZATION
Exam Commission;Exam Commission;ORGANIZATION
Signatory;;
Loan Order Process;;
Booking service;;
Booking Service;;
Insurance Company;Insurance Company;ORGANIZATION
Breakdown service company;;
Clinic;;
Repair shop;;
Registrar;;
Professor;;
Higher management;;
Agent;;
Offerer;;
Real estate agent;;
ABB Turbo System Service station;ABB Turbo System Service;ORGANIZATION
ABB Turbo System Baden Warehouse;ABB Turbo System Baden Warehouse;ORGANIZATION
Repair Department;;
Our Enterprise;Our Enterprise;ORGANIZATION
AMAG - central spare part warehouse;AMAG;ORGANIZATION
Car manufacturer (VW and Porsche);(VW|Porsche);ORGANIZATION|ORGANIZATION
Regional Warehouse;Regional Warehouse;ORGANIZATION
regional warehouse;;
central warehouse;;
Central Warehouse;Central Warehouse;ORGANIZATION
5 Regional Warehouse;Regional Warehouse;ORGANIZATION
36 distribution centers;;
Call center;;
AMAG;AMAG;ORGANIZATION
Integrated Carrier;Integrated Carrier;ORGANIZATION
Warehouse (Central / Regional);;
Volkswagen / Porsche;Volkswagen|Porsche;ORGANIZATION|ORGANIZATION
Central warehouse;;
sales level;;
Import level;;
Central System;Central System;ORGANIZATION
Service Station;Service Station;ORGANIZATION
AMAG - Central spare part Warehouse;AMAG;ORGANIZATION
Car manufacturer;;
Service stations, dealers and customers;;
Central Warehouse Luzern;Central Warehouse Luzern;ORGANIZATION
IT;;
Logistics, Warehouse near to the customers;;
Logistic, warehouse not near to the customer;;
ABB Turbo Systems Baden (Switzerland);ABB Turbo Systems Baden (Switzerland);ORGANIZATION
Secretariat;;
Robert;Robert;PERSON
Physician;;
Secretary;;
Store Manager;;
Stock Manager;;
Catalogue Browser;Catalogue Browser;ORGANIZATION
Shopping Basket / Checkout;;
Amazon Sub Seller;Amazon Sub Seller;ORGANIZATION
Amazon;Amazon;ORGANIZATION
Used Book sellor on Amazon;Amazon;LOCATION
Mail Staff;Mail Staff;ORGANIZATION
Data Entry Staff;;
Master Data Entry Staff;;
Data Validation Officer;;
Mark;Mark;PERSON
Security Check;;
Boarding Gate;;
CUSTOMER;;
Order Management System;Order Management System;ORGANIZATION
CRM;CRM;ORGANIZATION
Manufacturing;;
Logistics Provider;Logistics Provider;ORGANIZATION
AVERS OEM - Raw Material Supply;AVERS;ORGANIZATION
Regional Headquarters, Singapore;Singapore;LOCATION
Manufacturing Factory, Vietnam;Vietnam;LOCATION
Regional Electronic Equipment Company;Regional Electronic Equipment Company;ORGANIZATION
Distribution/Logistics Provider 05;Distribution/Logistics Provider;ORGANIZATION
Regional Type Company;Regional Type Company;ORGANIZATION
Distribution/Logistics Provider 01;Distribution/Logistics Provider;ORGANIZATION
Air Conditioner Company, Regional;Air Conditioner Company,;ORGANIZATION
Distribution/Logistics Provider 02;Distribution/Logistics Provider;ORGANIZATION
Car Upholstery Company, Regional;Car Upholstery Company,;ORGANIZATION
Distribution/Logistics Provider 03;Distribution/Logistics Provider;ORGANIZATION
Paint Company, Regional;;
Distribution/Logistics Provider 04;Distribution/Logistics Provider;ORGANIZATION
EU Headquarters;EU;ORGANIZATION
Retail Outlet;;
Auto Inc HQ;Auto Inc;ORGANIZATION
Factory Vietnam;Vietnam;LOCATION
Regional Supplier 1;Regional Supplier;ORGANIZATION
Logistics Provider 2;Logistics Provider;ORGANIZATION
Regional Supplier 2;Regional Supplier;ORGANIZATION
EU HQ Supplier;EU;ORGANIZATION
Logistics Provider 1;Logistics Provider;ORGANIZATION
Logistics Provider 3;Logistics Provider;ORGANIZATION
Warehouse 1;;
Warehouse 2;;
AVERS OEM - Production Control;AVERS;ORGANIZATION
Production Scheduling;;
PVE;;
PBPE;;
Poultry and Eggs sector;;
Government;;
KIP;KIP;ORGANIZATION
Heffingen;Heffingen;PERSON
Poultry/Egg Sector Company;Poultry/Egg Sector Company;ORGANIZATION
ITBP (Tier 2);;
ITBP (Tier 1);;
Business Controller;;
IT Controller;;
Portfolio Manager;;
Philips IT - PSO (Project Support Office);Philips IT;ORGANIZATION
Logistic Provider;Logistic Provider;ORGANIZATION
ERP;ERP;ORGANIZATION
Logistic provider;;
AVERS OEM;AVERS OEM;ORGANIZATION
bank a;;
bank b;;
Validity check;;
Account Creation;;
Role (Geoff Bourke);Role (Geoff Bourke);ORGANIZATION
Asset Manager(s);;
IDM;;
Telstra;Telstra;ORGANIZATION
Risk Manager;;
Telstra Tecnical Team(s);Telstra Tecnical Team(s);ORGANIZATION
NAB Asset Manager(s);NAB Asset Manager(s);ORGANIZATION
NSTAF Facilitator;NSTAF;ORGANIZATION
Network Capacity Planner;Network Capacity Planner;ORGANIZATION
Asset Manager;;
Nework Capacity Planner;Nework Capacity Planner;ORGANIZATION
APCD;APCD;ORGANIZATION
NAB;NAB;ORGANIZATION
IBM;IBM;ORGANIZATION
Telstra Capacity Team;Telstra Capacity Team;ORGANIZATION
EMPLOYEES;;
SUPERVISORS;;
PURCHASE DEPARTMENT;;
ACCOUNTS PAYABLE;;
GOODS RECEIPT;;
Drop off and data entry (technician);;
Drug utilization review (DUR), incurance check, (pharmacist, pharmacy employees);;
Production (certified pharmacy technician);;
Pickup (Technician);;
Helpdesk;Helpdesk;ORGANIZATION
Sales team;;
Accounts Department;;
DMS Parts Provision Team;DMS Parts Provision Team;ORGANIZATION
Credit Check Authority;Credit Check Authority;ORGANIZATION
Branch Office;Branch Office;ORGANIZATION
Office branch;;
System support;;
User support;;
Course;;
Clerk;Clerk;PERSON
Complaint Manager;;
Helpdesk Operator;Helpdesk Operator;ORGANIZATION
Product owner;;
Scrum master;;
Receiving;;
Chustomer;Chustomer;LOCATION
Itunes;Itunes;ORGANIZATION
customer service representative;;
Development Director;;
Research & Development;Research & Development;ORGANIZATION
Quality Assurance;;
Development Team;;
Supply Depot;Supply Depot;ORGANIZATION
Requester;;
Accounts Payable;;
SUPPLIER;;
Cape Town Procurement;Cape Town Procurement;ORGANIZATION
Ottawa;Ottawa;LOCATION
Jakarta;Jakarta;LOCATION
Procurement;;
Assembly;;
Sales Process;;
Inventory Receiving Process;;
Misc. Email Folders;;
End of Day Process;;
Kinshasa;Kinshasa;LOCATION
Auckland;Auckland;ORGANIZATION
Purchasing/Shipping;;
Cape Town Accounts Payable;Cape Town;LOCATION
Sales US;US;LOCATION
Sales EMEA;;
Provisioning;;
Sephora;Sephora;ORGANIZATION
Provisioning Trextel;;
DSR;DSR;ORGANIZATION
Window Migration route;Window Migration;MISC
Business Units;;
Line of Business Customer ;;
Desktop Development Team;Desktop Development Team;ORGANIZATION
IT Testing Team;;
Global Packaging Services;Global Packaging Services;ORGANIZATION
BRD Review Anaylysts;BRD Review;ORGANIZATION
Developer;;
Citi Market Place;Citi Market Place;ORGANIZATION
Senior Management;;
TSAM Provisoning;TSAM Provisoning;ORGANIZATION
Application Portal;;
CATE or Sector Architects;CATE or Sector Architects;ORGANIZATION
CATE Labs Support Team;CATE Labs Support Team;ORGANIZATION
Global Customer Service Center;;
Engineer;;
Business;;
System Admin;;
Integration Team;Integration Team;ORGANIZATION
Level 1 Support;;
Level 2 Support;;
Quality Control;Quality Control;ORGANIZATION
Line of Business User, Project Managers;;
Citi Technology Infrastructure (CTI);Citi Technology Infrastructure (CTI);ORGANIZATION
Data center Operation;;
SA / SAN/Frame Support;SA / SAN/Frame Support;ORGANIZATION
Mail Room;;
Shareholder Services;;
Background Check Vendor;;
Fund Accounting Team;Fund Accounting Team;ORGANIZATION
Accounts Receivables;;
The Mail Room;Mail Room;ORGANIZATION
Accounting Department;Accounting Department;ORGANIZATION
Shareholder Services Team;;
Shareholder Services Manager;;
Private Investors;;
Accounting Team;;
Background Vendor;;
Superviser;;
Support;;
Acme Warehouse;Acme Warehouse;ORGANIZATION
Sales & Dist.;;
Sales & Dist;;
Insurance Co.;Insurance Co.;ORGANIZATION
Accounts Payable ;;
Requester ;;
Customer Actions;;
Customer Service Representative Actions;;
Application Manager;;
EERS Feed Provider;EERS Feed Provider;ORGANIZATION
EERS Integration Team;EERS Integration Team;ORGANIZATION
Information Security Administration;Information Security Administration;ORGANIZATION
Point Sec Administrator;Point Sec;ORGANIZATION
SA Managers;SA Managers;ORGANIZATION
Market Place;;
Command Center;;
Users/Developers;;
MQSeries Global Enterprise System Group;MQSeries Global Enterprise System Group;ORGANIZATION
Global Business Integration Operational Group;Global Business Integration Operational Group;ORGANIZATION
3rd Party Access Solutions Workgroup (3PASWG);3rd Party Access Solutions Workgroup;ORGANIZATION
Information Security Technology Group (ISTG);Information Security Technology Group;ORGANIZATION
Kinsasha: Supplier;Kinsasha: Supplier;ORGANIZATION
Level-01 Support;;
Level-02 Support;;
SME Support;SME Support;ORGANIZATION
Release Management;;
Citi Business User ;Citi Business User;ORGANIZATION
Project Management Team;Project Management Team;ORGANIZATION
Software Development Team;Software Development Team;ORGANIZATION
Workflow Engine;;
Call Center Agent;;
ACME Employee;ACME;ORGANIZATION
Internal Client;;
Desktop Support Team;Desktop Support Team;ORGANIZATION
Desktop Support Services;Desktop Support Services;ORGANIZATION
Retailer Order;;
Visa;;
WAREHOUSE;;
REQUESTER;;
ACME Warehouse;ACME Warehouse;ORGANIZATION
R&D, KMS Management;R&D, KMS Management;ORGANIZATION
KMS Development;KMS Development;ORGANIZATION
KMS Management;KMS Management;ORGANIZATION
KMS Development Level 1;KMS Development Level;ORGANIZATION
KMS Development Level 2;KMS Development Level;ORGANIZATION
KMS MANAGEMENT;KMS;ORGANIZATION
KMS DEVELOPMENT PROCESS;KMS;ORGANIZATION
KMS CLIENT;KMS;ORGANIZATION
Shareholder service Team;;
Background check vendor;;
Fund Accounting;;
Director approval;;
Manager Approver;;
Financial Analyst;;
Citi MarketPlace;Citi MarketPlace;ORGANIZATION
Project Accounting;;
Marketing Team;;
Capacity Steering Committee;Capacity Steering Committee;ORGANIZATION
Project Management;Project Management;ORGANIZATION
Technology Management;Technology Management;ORGANIZATION
New Employee;;
Set Up Training;;
Attend Training;;
Set Up Access;;
Warhouse;;
Accounts Pay;;
Warehouse ;;
Supervisor ;;
Project Manager (PM);;
MSSB CM Team;MSSB CM Team;ORGANIZATION
CCR Team;CCR Team;ORGANIZATION
Customer Request For Computing Capacity;;
Finance Approval / Management Authorization;;
REQUESTER ;;
ACCOUNT PAYABLE;;
ACME SUPPLIER;ACME;ORGANIZATION
Network Engineering;Network Engineering;ORGANIZATION
CATE Engineer/Sector Architect;;
CATE Labs Administrator;CATE Labs;ORGANIZATION
External Connectivity Management;External Connectivity Management;ORGANIZATION
Network Security Engineer;Network Security Engineer;ORGANIZATION
Information Security Officer;;
Operations & Technology Risk Management;Technology Risk Management;ORGANIZATION
Perimeter Security Officer;;
RFC Approvers;RFC Approvers;ORGANIZATION
Development Group;;
Business Relation Group ( BRM);Business Relation Group;ORGANIZATION
App Support Group;App Support Group;ORGANIZATION
Employee Requester;;
Direct Manager;;
Capacity Request Made;;
Finance & Management Approval;Finance & Management Approval;ORGANIZATION
Pharma Architecture;Pharma Architecture;ORGANIZATION
Application Team;;
Incident Management Team;Incident Management Team;ORGANIZATION
SA and DBA Teams;SA|DBA Teams;ORGANIZATION|ORGANIZATION
AccountsPayable;;
Various Utility Companies;Utility Companies;ORGANIZATION
Le Pendez Dix;Le Pendez Dix;ORGANIZATION
Grenoble;Grenoble;ORGANIZATION
Accounts Payable (Haley);;
Sales (Nick);;
Procurement (Jane);;
Accounts Receivable (Sarah);;
INVESTOR;;
MAILROOM;MAILROOM;ORGANIZATION
ACCTG TEAM;ACCTG;ORGANIZATION
BACKGROUND SCREENING;;
Business Architect;;
Technology Architect;;
Enterprise Architecture Council;Enterprise Architecture Council;ORGANIZATION
Application Architect;;
Chief Information security Officer;;
CRS;CRS;ORGANIZATION
director;;
Mortgage application;;
Ticket automat;;
Program director;;
get costumes ready for specific day;;
Online retailer: Fulfill order;;
costum usage;;
ICT Logistics;ICT Logistics;ORGANIZATION
Forwarder;;
Cloud;Cloud;PERSON
Production Planning;;
OUR COMPANY;;
CENTRAL IT;;
DATA ENTRY;;
PHARMACIST;;
DROP-OFF;;
PICKUP;PICKUP;ORGANIZATION
PRODUCTION;;
QUALITY ASSURANCE;;
CVS - DATA ENTRY;CVS;ORGANIZATION
CVS - CUSTOMER SERVICE;CVS;ORGANIZATION
CUSTOMER SERVICE;;
site engineer;;
depot clerk;;
works engineer;;
Talent Seek - Recruitment Manager;;
Talent Seek;;
Recruitment Managers;;
Admin and clerical staff;;
Casual Admin Assistant;;
HR Coordinator;;
Check Deadlines;;
Check Information (3a), (4a), (4b);;
Check Registration (1);;
Confirm Start of Delivery (4a);;
New Supplier;;
Cancelation of delivery handling;;
Service;;
Schufa;Schufa;PERSON
Academic senate;;
Candidate;;
University;;
President;;
Inspection crew;;
Maintenance crew;;
Business Process perspectine;;
TS Recruitment Managers;TS Recruitment Managers;ORGANIZATION
Client End Manager;;
Client HR Representive;;
TS HR;;
GovSource;;
Recruitment Panel;;
Candidates;;
TS Recruitment Manager;TS Recruitment Manager;ORGANIZATION
Administration department;;
Mailing department;;
Data Office;;
Master Data Management;Master Data Management;ORGANIZATION
Recruitment Manager;;
TS HR Coordinator and their teams;;
Casual Admin Assisstant;;
Trained specialist;;
Account Provider;Account Provider;ORGANIZATION
Bank Customer;;
Post Officer;;
Bank Officer;;
Purchase & Manufacturing;;
Accounting office;;
Italian restaurant;Italian;MISC
Informecial Meeting;;
Drop-off tech;;
Data entry tech;;
Pick-up tech;;
Producer;;
CVS employee;CVS;ORGANIZATION
CVS store;CVS;ORGANIZATION
CVS;CVS;ORGANIZATION
CVS IT system;CVS;ORGANIZATION
Transaction;;
ABC Co. RFG Process;ABC Co.;ORGANIZATION
Passenger;;
Virgin Airline Staff;Virgin Airline Staff;ORGANIZATION
Passenger role;;
SmartGate role;SmartGate;ORGANIZATION
USER;;
Landlord/ Agent;Landlord/ Agent;ORGANIZATION
Landlord/Agent;;
Agencies & Landlords;Agencies & Landlords;ORGANIZATION
Landlord / Agency;Landlord / Agency;ORGANIZATION
Processing Officer;;
Consultant;;
Actuarial Officer;;
Accountant;;
Car Dealer;Car Dealer;ORGANIZATION
Mechanic;Mechanic;PERSON
Salesman;;
Patient (mother);;
Pharmacy;;
Creator;;
Sales Officer;;
Production Engineer;;
Procurement Officer;;
Admission office;;
Academic recognition agency;;
Level-1 staff;;
Dispatcher;;
Driver;;
Storeman;;
Tracking;;
Customer(Newlyweds);;
Guests;;
Wedding Preparing Group;;
Seamless Service Provision (SSP);;
Incoming Mail Centre;Mail Centre;ORGANIZATION
Validation Officer;;
Payment Officer;;
Accounts receivable Department;;
Experienced SSP;SSP;ORGANIZATION
Internal Mail;Internal Mail;ORGANIZATION
Master Data Entry Departement;;
Incoming Mail Employee;;
Internal Mail Employee;Internal Mail Employee;ORGANIZATION
Master Data Entry Officer;;
Registry Employee;;
Experienced SSP Employee;SSP;ORGANIZATION
Mail Centre employee;Mail Centre;ORGANIZATION
superiisor;;
Logistic Manager;;
Warehouse Worker;;
Person;;
Market analyst;;
Finance department;;
Detective;;
Target audience;;
PR department;PR department;ORGANIZATION
Salesperson;;
Risk analysis department;;
Capitol;Capitol;ORGANIZATION
loan agency;;
rating agency;;
Operational Analyst;;
Analyst Supervisor;;
Customer Registration;;
Billing form;;
Designer;;
Customer (business);;
Librarian;;
CO;CO;LOCATION
Used Book Buyer;;
sales & distribution;;
Beneficiary;;
Regulatory Department (Clerk);Regulatory Department;ORGANIZATION
Insurance Agent;;
Check In Desk;In Desk;ORGANIZATION
Customer Database;;
Translator;;
Local Demand Management;Local Demand Management;ORGANIZATION
Requirements Manager;;
Requirements Manager Gremium;Gremium;PERSON
Business architect;;
CAB;;
Technical architect;;
Budget- &amp;;
Release Manager;;
Release Gremium;;
Flower Storage;;
IITB student;IITB;ORGANIZATION
Traveler;;
Interested Parties;;
Extract Photo information;;
Manually Update Photo Information;;
clerk;;
pizza chef;;
delivery boy;;
Buy a car;;
Instructor;;
Researcher;;
teacher;;
Business support;;
Technical support;;
On call and email support;;
Level 1 support staff;;
Level 2 employee;;
Business Architectural Team;Business Architectural Team;ORGANIZATION
ISB Management;ISB Management;ORGANIZATION
Stakeholders;;
BPMC;BPMC;ORGANIZATION
BPWG;BPWG;ORGANIZATION
EMT;;
Opportunity Initiator;;
Process Owner;;
Business Architecture;;
Business Architecture Team;Business Architecture Team;ORGANIZATION
Credit Division;;
Application processed;;
Application lodgement;;
Application investigation;;
Views of stakeholders;;
Financial;;
Company (HR);;
techGate;techGate;ORGANIZATION
TechGate;TechGate;ORGANIZATION
techgate;;
case-worker legal affairs;;
warehouse worker;;
case-worker organization;;
requester;;
service technician;;
accountant;;
SAP;SAP;ORGANIZATION
Officer;;
Customer on 'Your weight loss partner' website.;;
Restaurant preparing and delivering food.;;
Organization;;
patient activities;;
device;;
Purchasing;;
Mortgage specialist;;
Claim Ajuster;;
Owner;;
Ebay Seller;Ebay Seller;ORGANIZATION
Ebay Buyer;Ebay;ORGANIZATION
Board;;
CEO;;
User Account Admin;;
Buyer;;
Shipping Company;Shipping Company;ORGANIZATION
Mail Center Staff L1;;
Admin Officers L2;;
Data Entry Officers L5;;
Agencies & Citizen;Agencies & Citizen;ORGANIZATION
Service Officer;;
Land Administration Officer;;
Agencies and citizens;;
Stakeholder;;
Minister’s Delegate;;
Government Garzette;Garzette;PERSON
Application and Internal System (DCS and ATS);Internal System;MISC
SAP Management;SAP Management;ORGANIZATION
Validate Officer @ Level 7;;
Validate Officer;;
Account Receivable Dept. Level 4;;
Minster's Delegate;;
Land Administrative Officer;;
Service center officer;;
Agencies and Citizens;;
SAP master entry department;SAP;ORGANIZATION
Admin officer;;
Validating Officer;;
Accounts Receivable Department L4;;
Master data entry department;;
Account Receivable Department Level 4;;
Mail Center Level 1;;
Data Entry Office Level 5;;
Subsidiary;;
Screening staff;;
Technical support staff;;
Vladimir;Vladimir;PERSON
Lauri;Lauri;PERSON
Adoption coordinator & Process analysts;;
Oganisation Managemnt;;
Process participants;;
Production with ERP-System;;
Sales & Distribution with CRM-System;;
Logistics with ERP-System;;
Finance & Accounting with ERP-System;Finance & Accounting;ORGANIZATION
Customer Service Department;Service Department;ORGANIZATION
Grid Operator;;
Change Manager;;
Agency Employee;;
Department Employee;;
Admission Commission;Commission;ORGANIZATION
Uni-Assist;;
Online Registration Pool;;
Studienabteilung (Study Department);;
Customer service (TELECO);;
Service management (TELECO);;
Resource provisioning (TELECO);;
Customer service dept.;;
Quality Inspector;;
QA Team Leader;QA;ORGANIZATION
QA Engineer;QA Engineer;ORGANIZATION
Level 1;;
Level 2;;
Role A;Role;PERSON
Role C;Role;PERSON
Role B;Role;PERSON
Role E;;
Role D;Role;PERSON
insurance clerk;;
Mr Franks;Franks;PERSON
Review clerk;;
Attacker;;
JodaEngine;;
ENGINEERING;;
SALES;;
FINANCE;;
hardware Retailer;;
Hardware Retailer;;
Flight Centre;Flight Centre;ORGANIZATION
SSP Receivable Department;SSP Receivable Department;ORGANIZATION
Board of Drectors;Board of Drectors;ORGANIZATION
Service Desk;Service Desk;ORGANIZATION
Incident Closure Responsible;;
Suppliers Manager;;
Technical Staff;;
Administrator;;
Engeneering department;;
Sales ;;
Services;;
Klant;Klant;PERSON
External Company;External Company;ORGANIZATION
Process;;
HR Representative;;
Radiology;Radiology;ORGANIZATION
Blood test department;;
CT Scan Department;CT Scan Department;ORGANIZATION
Recruiting Manager;;
Manager/chairperson;;
SPARQ HR;;
Manager/Chairperson;;
Recruitment manager;;
Co-Workers;;
Phone clerk;;
Home doctor;;
product;;
Personal Service Department;Personal Service Department;ORGANIZATION
Thesis Director;;
Finance Officer;;
Administration Officer;;
EC-Lille;;
boss;;
humain resource;;
Representative;;
Claim adjuster;;
