Entry;Entities;EntityType
Sales Manager;;
Customer Service Rep;;
FeelWheel;;
Hotel;;
Costumer Services;Costumer Services;ORGANIZATION
Sales & Logistics;;
Accountig Office;Accountig Office;ORGANIZATION
Manufactoring;;
Logistics Department;Logistics Department;ORGANIZATION
Financial Department;Financial Department;ORGANIZATION
Financial Accounting;;
Service Center;Service Center;ORGANIZATION
Advisery Service;Advisery Service;ORGANIZATION
Customer Management;;
Warehousing;;
help desk;;
account manager;;
Finance Department;Finance Department;ORGANIZATION
Financing;;
Customer service;;
Customer advisory;;
Sales depatrtment;;
Dispositon;;
bank;;
restaurant;;
Italian Restaurant;Italian;MISC
Restaurant;;
Manager;;
PayPal Client;;
PayPal System;PayPal System;ORGANIZATION
PayPal User;;
Administration Department;Administration Department;ORGANIZATION
Accounts Receivable;;
Payment Office;Payment Office;ORGANIZATION
Data Entry;;
User;;
The payment office;;
Mail centre;;
Validation office;;
BCC;BCC;ORGANIZATION
The User;;
BCC Server;BCC Server;ORGANIZATION
Company Server;;
Features of the founded Software;Software;ORGANIZATION
Business Location;;
Business Name;;
Choosing Software;;
Legal structure;;
Company legal structure;;
Lease Option;;
Protecting Your Business;;
Setting Up a Bank Account;;
Evaluate loan policies;;
Insurance;;
Business Licence;;
Government Requirement;;
Premises and Lease;;
Legal Requirement;;
Government Requirenment;;
Legal Reuirement;;
Promotion plan;;
Financial Plan;;
Marketing Plan;;
Company;;
Choosing the best business ISP;ISP;ORGANIZATION
External Expert;;
Referee;;
Managing director;;
Customers;;
Web design team;;
marketing team;;
sales department;;
engineering department;;
storehouse;;
Catering service;;
Credit officer;;
Senior credit officer;;
Select forest plots;;
Employee;;
Supervisors;;
Purchase Department;Purchase Department;ORGANIZATION
Goods Receipt Department;;
Accounts payable;;
Tech;Tech;ORGANIZATION
System;;
Pharmacist;;
Level-1 support staff (5p);;
Level-2 support staff (3p);;
Job Tracking System (JTS);Job Tracking System;ORGANIZATION
Central procurement department;;
Approver;;
Specialist;;
Storage;;
Shop;;
Subject;;
PC-Operator;;
Wellbeing Survey Software;;
Mobile Unit;Mobile Unit;ORGANIZATION
Communication Team;Communication Team;ORGANIZATION
Wellbeing WebServer;;
Movile Unit;Movile Unit;ORGANIZATION
Order Process;;
Missionary;Missionary;MISC
Team Assistant;;
Direction;;
Team Assistant;;
Team Leader;;
Manufacturer;;
QUT Administration;QUT Administration;ORGANIZATION
QUT Virtual;;
Unit Coordinator;;
Pit;;
employee;;
finance team;;
Wholesaler;;
Distributor;;
Manufacturing Department;Manufacturing Department;ORGANIZATION
Inventory Department;Inventory Department;ORGANIZATION
Procurement Department;Procurement Department;ORGANIZATION
Student Engagement;;
Faculty;;
Facilities Department;Facilities Department;ORGANIZATION
Data Entry Officer;;
Mail centre Staff;;
Master Data Entry Department;Master Data Entry Department;ORGANIZATION
Validatoin Officer;;
Mail Centre Staff;Mail Centre Staff;ORGANIZATION
RM;;
Student Engagement Department;Student Engagement Department;ORGANIZATION
Student Engagement;;
Student Volunteer;;
Central purchase department;;
Requestor;;
Receipt department;;
Pharmacy technicians;;
Sales Assistant;;
Engineering Department;Engineering Department;ORGANIZATION
Loan Agency;Loan Agency;ORGANIZATION
Prefect;;
IRSN Scientific experts;IRSN Scientific;ORGANIZATION
IRSN;IRSN;ORGANIZATION
Firemen;;
Police;;
Meteo France;Meteo France;ORGANIZATION
Radiation Survey Network;Radiation Survey Network;ORGANIZATION
Office of infrastructures;Office of infrastructures;ORGANIZATION
Media;;
Hospitals;;
MEMS;MEMS;ORGANIZATION
Radiation survey network;;
Office of infrastructure;Office of infrastructure;ORGANIZATION
Representative of the local authority;;
NWU CC CRC;NWU CC CRC;ORGANIZATION
NWU CR Business Field;NWU CR Business Field;ORGANIZATION
costume designer;;
costume staff;;
PhD Student;PhD Student;ORGANIZATION
PhD Office;PhD Office;ORGANIZATION
Administration office;;
Advisor;;
Phd office;;
Phd student;;
PhD office;PhD;ORGANIZATION
Departement assistant;;
PhD student;PhD;ORGANIZATION
Phd Office;Phd Office;ORGANIZATION
PhD Central Office;PhD Central Office;ORGANIZATION
Exam Commission;Exam Commission;ORGANIZATION
Signatory;;
Loan Order Process;;
Booking service;;
Booking Service;;
Insurance Company;Insurance Company;ORGANIZATION
Breakdown service company;;
Clinic;Clinic;LOCATION
Repair shop;;
Registrar;;
Professor;;
Higher management;;
Agent;;
Offerer;;
Real estate agent;;
ABB Turbo System Service station;ABB Turbo System Service;ORGANIZATION
ABB Turbo System Baden Warehouse;ABB Turbo System Baden Warehouse;ORGANIZATION
Repair Department;Repair Department;ORGANIZATION
Our Enterprise;;
AMAG - central spare part warehouse;AMAG;ORGANIZATION
Car manufacturer (VW and Porsche);VW|Porsche;ORGANIZATION|ORGANIZATION
Regional Warehouse;Regional Warehouse;ORGANIZATION
regional warehouse;;
central warehouse;;
Central Warehouse;Central Warehouse;ORGANIZATION
5 Regional Warehouse;Regional Warehouse;ORGANIZATION
36 distribution centers;;
Call center;;
AMAG;AMAG;ORGANIZATION
Integrated Carrier;Integrated Carrier;ORGANIZATION
Warehouse (Central / Regional);Central / Regional;ORGANIZATION
Volkswagen / Porsche;Volkswagen / Porsche;ORGANIZATION
Central warehouse;;
sales level;;
Import level;;
Central System;Central System;ORGANIZATION
Service Station;Service Station;ORGANIZATION
AMAG - Central spare part Warehouse;AMAG;ORGANIZATION
Car manufacturer;;
Service stations, dealers and customers;;
Central Warehouse Luzern;Central Warehouse Luzern;ORGANIZATION
IT;;
Logistics, Warehouse near to the customers;;
Logistic, warehouse not near to the customer;;
ABB Turbo Systems Baden (Switzerland);ABB Turbo Systems Baden|Switzerland;ORGANIZATION|LOCATION
Secretariat;;
Robert;Robert;PERSON
Physician;;
Secretary;;
Store Manager;;
Stock Manager;;
Catalogue Browser;;
Shopping Basket / Checkout;;
Amazon Sub Seller;Amazon Sub Seller;MISC
Amazon;Amazon;LOCATION
Used Book sellor on Amazon;Amazon;LOCATION
Mail Staff;Mail Staff;ORGANIZATION
Data Entry Staff;;
Master Data Entry Staff;;
Data Validation Officer;;
Mark;Mark;PERSON
Security Check;;
Boarding Gate;Boarding Gate;ORGANIZATION
CUSTOMER;;
Order Management System;Order Management System;ORGANIZATION
CRM;CRM;ORGANIZATION
Manufacturing;;
Logistics Provider;;
AVERS OEM - Raw Material Supply;AVERS OEM;ORGANIZATION
Regional Headquarters, Singapore;Singapore|Regional Headquarters;ORGANIZATION|LOCATION
Manufacturing Factory, Vietnam;Vietnam;LOCATION
Regional Electronic Equipment Company;Regional Electronic Equipment Company;ORGANIZATION
Distribution/Logistics Provider 05;;
Regional Type Company;Type Company;ORGANIZATION
Distribution/Logistics Provider 01;;
Air Conditioner Company, Regional;Regional|Air Conditioner Company;ORGANIZATION|ORGANIZATION
Distribution/Logistics Provider 02;;
Car Upholstery Company, Regional;Car Upholstery Company|Regional;ORGANIZATION|ORGANIZATION
Distribution/Logistics Provider 03;;
Paint Company, Regional;Paint Company|Regional;ORGANIZATION|ORGANIZATION
Distribution/Logistics Provider 04;;
EU Headquarters;EU Headquarters;ORGANIZATION
Retail Outlet;;
Auto Inc HQ;Auto Inc;ORGANIZATION
Factory Vietnam;Vietnam;LOCATION
Regional Supplier 1;Regional Supplier;ORGANIZATION
Logistics Provider 2;Logistics Provider;ORGANIZATION
Regional Supplier 2;Regional Supplier;ORGANIZATION
EU HQ Supplier;EU;ORGANIZATION
Logistics Provider 1;;
Logistics Provider 3;;
Warehouse 1;;
Warehouse 2;;
AVERS OEM - Production Control;AVERS OEM;ORGANIZATION
Production Scheduling;;
PVE;;
PBPE;PBPE;ORGANIZATION
Poultry and Eggs sector;;
Government;;
KIP;;
Heffingen;Heffingen;PERSON
Poultry/Egg Sector Company;Egg Sector Company;ORGANIZATION
ITBP (Tier 2);;
ITBP (Tier 1);;
Business Controller;;
IT Controller;;
Portfolio Manager;;
Philips IT - PSO (Project Support Office);Project Support Office|Philips IT|PSO;ORGANIZATION|ORGANIZATION|ORGANIZATION
Logistic Provider;;
ERP;ERP;ORGANIZATION
Logistic provider;;
AVERS OEM;AVERS OEM;ORGANIZATION
bank a;;
bank b;;
Validity check;;
Account Creation;;
Role (Geoff Bourke);Geoff Bourke;PERSON
Asset Manager(s);Asset Manager(s;ORGANIZATION
IDM;IDM;ORGANIZATION
Telstra;Telstra;ORGANIZATION
Risk Manager;;
Telstra Tecnical Team(s);Telstra Tecnical Team(s;ORGANIZATION
NAB Asset Manager(s);NAB Asset Manager(s;ORGANIZATION
NSTAF Facilitator;NSTAF Facilitator;ORGANIZATION
Network Capacity Planner;;
Asset Manager;;
Nework Capacity Planner;;
APCD;APCD;ORGANIZATION
NAB;NAB;ORGANIZATION
IBM;IBM;ORGANIZATION
Telstra Capacity Team;Telstra Capacity Team;ORGANIZATION
EMPLOYEES;;
SUPERVISORS;SUPERVISORS;ORGANIZATION
PURCHASE DEPARTMENT;PURCHASE DEPARTMENT;ORGANIZATION
ACCOUNTS PAYABLE;;
GOODS RECEIPT;;
Drop off and data entry (technician);;
Drug utilization review (DUR), incurance check, (pharmacist, pharmacy employees);;
Production (certified pharmacy technician);;
Pickup (Technician);;
Helpdesk;Helpdesk;PERSON
Sales team;;
Accounts Department;Accounts Department;ORGANIZATION
DMS Parts Provision Team;;
Credit Check Authority;Credit Check Authority;ORGANIZATION
Branch Office;Branch Office;ORGANIZATION
Office branch;;
System support;;
User support;;
Course;;
Clerk;;
Complaint Manager;;
Helpdesk Operator;Helpdesk Operator;ORGANIZATION
Product owner;;
Scrum master;;
Receiving;;
Chustomer;Chustomer;PERSON
Itunes;;
customer service representative;;
Development Director;;
Research & Development;Research & Development;ORGANIZATION
Quality Assurance;Quality Assurance;ORGANIZATION
Development Team;Development Team;ORGANIZATION
Supply Depot;;
Requester;;
Accounts Payable;;
SUPPLIER;SUPPLIER;ORGANIZATION
Cape Town Procurement;Cape Town Procurement;ORGANIZATION
Ottawa;Ottawa;LOCATION
Jakarta;Jakarta;LOCATION
Procurement;;
Assembly;Assembly;ORGANIZATION
Sales Process;;
Inventory Receiving Process;;
Misc. Email Folders;;
End of Day Process;;
Kinshasa;Kinshasa;LOCATION
Auckland;Auckland;LOCATION
Purchasing/Shipping;;
Cape Town Accounts Payable;Cape Town Accounts;ORGANIZATION
Sales US;US;LOCATION
Sales EMEA;;
Provisioning;;
Sephora;;
Provisioning Trextel;;
DSR;DSR;ORGANIZATION
Window Migration route;Window Migration;MISC
Business Units;;
Line of Business Customer ;;
Desktop Development Team;Desktop Development Team;ORGANIZATION
IT Testing Team;;
Global Packaging Services;Global Packaging Services;ORGANIZATION
BRD Review Anaylysts;BRD Review Anaylysts;ORGANIZATION
Developer;;
Citi Market Place;Citi Market Place;ORGANIZATION
Senior Management;;
TSAM Provisoning;TSAM Provisoning;ORGANIZATION
Application Portal;;
CATE or Sector Architects;;
CATE Labs Support Team;CATE Labs;ORGANIZATION
Global Customer Service Center;Global Customer Service Center;ORGANIZATION
Engineer;;
Business;;
System Admin;;
Integration Team;;
Level 1 Support;;
Level 2 Support;;
Quality Control;Quality Control;ORGANIZATION
Line of Business User, Project Managers;Project Managers;ORGANIZATION
Citi Technology Infrastructure (CTI);Citi Technology Infrastructure|CTI;ORGANIZATION|ORGANIZATION
Data center Operation;;
SA / SAN/Frame Support;SAN|SA;LOCATION|LOCATION
Mail Room;Mail Room;ORGANIZATION
Shareholder Services;Shareholder Services;ORGANIZATION
Background Check Vendor;;
Fund Accounting Team;;
Accounts Receivables;;
The Mail Room;The Mail Room;ORGANIZATION
Accounting Department;Accounting Department;ORGANIZATION
Shareholder Services Team;Shareholder Services Team;ORGANIZATION
Shareholder Services Manager;;
Private Investors;Private Investors;ORGANIZATION
Accounting Team;;
Background Vendor;;
Superviser;;
Support;;
Acme Warehouse;Acme Warehouse;ORGANIZATION
Sales & Dist.;;
Sales & Dist;;
Insurance Co.;Insurance Co.;ORGANIZATION
Accounts Payable ;;
Requester ;;
Customer Actions;;
Customer Service Representative Actions;;
Application Manager;;
EERS Feed Provider;EERS Feed Provider;ORGANIZATION
EERS Integration Team;EERS Integration Team;ORGANIZATION
Information Security Administration;Information Security Administration;ORGANIZATION
Point Sec Administrator;;
SA Managers;SA Managers;ORGANIZATION
Market Place;Market Place;ORGANIZATION
Command Center;Command Center;ORGANIZATION
Users/Developers;;
MQSeries Global Enterprise System Group;MQSeries Global Enterprise System Group;ORGANIZATION
Global Business Integration Operational Group;Global Business Integration Operational Group;ORGANIZATION
3rd Party Access Solutions Workgroup (3PASWG);Party Access Solutions Workgroup;ORGANIZATION
Information Security Technology Group (ISTG);Information Security Technology Group|ISTG;ORGANIZATION|ORGANIZATION
Kinsasha: Supplier;Kinsasha;LOCATION
Level-01 Support;;
Level-02 Support;;
SME Support;SME Support;ORGANIZATION
Release Management;;
Citi Business User ;Citi Business User;ORGANIZATION
Project Management Team;Project Management Team;ORGANIZATION
Software Development Team;;
Workflow Engine;;
Call Center Agent;;
ACME Employee;ACME Employee;ORGANIZATION
Internal Client;;
Desktop Support Team;Desktop Support Team;ORGANIZATION
Desktop Support Services;Desktop Support Services;ORGANIZATION
Retailer Order;;
Visa;;
WAREHOUSE;WAREHOUSE;ORGANIZATION
REQUESTER;;
ACME Warehouse;ACME Warehouse;ORGANIZATION
R&D, KMS Management;R&D|KMS Management;PERSON|ORGANIZATION
KMS Development;KMS Development;ORGANIZATION
KMS Management;KMS Management;ORGANIZATION
KMS Development Level 1;KMS Development Level;ORGANIZATION
KMS Development Level 2;KMS Development Level;ORGANIZATION
KMS MANAGEMENT;KMS MANAGEMENT;ORGANIZATION
KMS DEVELOPMENT PROCESS;;
KMS CLIENT;KMS CLIENT;ORGANIZATION
Shareholder service Team;;
Background check vendor;;
Fund Accounting;;
Director approval;;
Manager Approver;;
Financial Analyst;;
Citi MarketPlace;Citi MarketPlace;ORGANIZATION
Project Accounting;;
Marketing Team;;
Capacity Steering Committee;Steering Committee;ORGANIZATION
Project Management;Project Management;ORGANIZATION
Technology Management;Technology Management;ORGANIZATION
New Employee;New Employee;ORGANIZATION
Set Up Training;;
Attend Training;;
Set Up Access;;
Warhouse;Warhouse;PERSON
Accounts Pay;;
Warehouse ;;
Supervisor ;;
Project Manager (PM);;
MSSB CM Team;MSSB;ORGANIZATION
CCR Team;CCR Team;ORGANIZATION
Customer Request For Computing Capacity;;
Finance Approval / Management Authorization;;
REQUESTER ;;
ACCOUNT PAYABLE;;
ACME SUPPLIER;ACME SUPPLIER;ORGANIZATION
Network Engineering;Network Engineering;ORGANIZATION
CATE Engineer/Sector Architect;;
CATE Labs Administrator;CATE Labs;ORGANIZATION
External Connectivity Management;External Connectivity Management;ORGANIZATION
Network Security Engineer;Network Security Engineer;ORGANIZATION
Information Security Officer;;
Operations & Technology Risk Management;Technology Risk Management;ORGANIZATION
Perimeter Security Officer;;
RFC Approvers;;
Development Group;Development Group;ORGANIZATION
Business Relation Group ( BRM);Business Relation Group|BRM;ORGANIZATION|ORGANIZATION
App Support Group;App Support Group;ORGANIZATION
Employee Requester;;
Direct Manager;;
Capacity Request Made;;
Finance & Management Approval;Finance & Management Approval;ORGANIZATION
Pharma Architecture;Pharma Architecture;ORGANIZATION
Application Team;;
Incident Management Team;;
SA and DBA Teams;DBA Teams|SA;ORGANIZATION|ORGANIZATION
AccountsPayable;;
Various Utility Companies;Utility Companies;ORGANIZATION
Le Pendez Dix;Le Pendez Dix;PERSON
Grenoble;Grenoble;ORGANIZATION
Accounts Payable (Haley);Haley;PERSON
Sales (Nick);Nick;PERSON
Procurement (Jane);Jane;PERSON
Accounts Receivable (Sarah);Sarah;PERSON
INVESTOR;;
MAILROOM;MAILROOM;ORGANIZATION
ACCTG TEAM;ACCTG TEAM;ORGANIZATION
BACKGROUND SCREENING;;
Business Architect;;
Technology Architect;;
Enterprise Architecture Council;Enterprise Architecture Council;ORGANIZATION
Application Architect;;
Chief Information security Officer;;
CRS;CRS;ORGANIZATION
director;;
Mortgage application;;
Ticket automat;;
Program director;;
get costumes ready for specific day;;
Online retailer: Fulfill order;;
costum usage;;
ICT Logistics;ICT Logistics;ORGANIZATION
Forwarder;;
Cloud;;
Production Planning;;
OUR COMPANY;OUR COMPANY;ORGANIZATION
CENTRAL IT;CENTRAL IT;ORGANIZATION
DATA ENTRY;;
PHARMACIST;PHARMACIST;ORGANIZATION
DROP-OFF;;
PICKUP;;
PRODUCTION;;
QUALITY ASSURANCE;;
CVS - DATA ENTRY;CVS;ORGANIZATION
CVS - CUSTOMER SERVICE;CVS|CUSTOMER SERVICE;ORGANIZATION|ORGANIZATION
CUSTOMER SERVICE;CUSTOMER SERVICE;ORGANIZATION
site engineer;;
depot clerk;;
works engineer;;
Talent Seek - Recruitment Manager;;
Talent Seek;;
Recruitment Managers;;
Admin and clerical staff;;
Casual Admin Assistant;;
HR Coordinator;;
Check Deadlines;;
Check Information (3a), (4a), (4b);;
Check Registration (1);;
Confirm Start of Delivery (4a);;
New Supplier;New Supplier;ORGANIZATION
Cancelation of delivery handling;;
Service;;
Schufa;Schufa;PERSON
Academic senate;Academic senate;ORGANIZATION
Candidate;;
University;University;ORGANIZATION
President;;
Inspection crew;;
Maintenance crew;;
Business Process perspectine;;
TS Recruitment Managers;TS Recruitment Managers;ORGANIZATION
Client End Manager;;
Client HR Representive;;
TS HR;;
GovSource;GovSource;ORGANIZATION
Recruitment Panel;;
Candidates;;
TS Recruitment Manager;TS Recruitment;ORGANIZATION
Administration department;Administration department;ORGANIZATION
Mailing department;;
Data Office;Data Office;ORGANIZATION
Master Data Management;Master Data Management;ORGANIZATION
Recruitment Manager;;
TS HR Coordinator and their teams;TS HR Coordinator;ORGANIZATION
Casual Admin Assisstant;;
Trained specialist;;
Account Provider;;
Bank Customer;;
Post Officer;;
Bank Officer;;
Purchase & Manufacturing;Purchase & Manufacturing;ORGANIZATION
Accounting office;;
Italian restaurant;Italian;MISC
Informecial Meeting;;
Drop-off tech;;
Data entry tech;;
Pick-up tech;;
Producer;;
CVS employee;CVS;ORGANIZATION
CVS store;CVS;LOCATION
CVS;CVS;ORGANIZATION
CVS IT system;CVS IT;ORGANIZATION
Transaction;;
ABC Co. RFG Process;ABC Co. RFG Process;ORGANIZATION
Passenger;;
Virgin Airline Staff;Virgin Airline Staff;ORGANIZATION
Passenger role;;
SmartGate role;;
USER;USER;ORGANIZATION
Landlord/ Agent;Landlord/ Agent;ORGANIZATION
Landlord/Agent;;
Agencies & Landlords;Agencies & Landlords;ORGANIZATION
Landlord / Agency;;
Processing Officer;;
Consultant;;
Actuarial Officer;;
Accountant;;
Car Dealer;Car Dealer;ORGANIZATION
Mechanic;;
Salesman;;
Patient (mother);;
Pharmacy;;
Creator;;
Sales Officer;;
Production Engineer;;
Procurement Officer;;
Admission office;;
Academic recognition agency;;
Level-1 staff;;
Dispatcher;;
Driver;;
Storeman;Storeman;PERSON
Tracking;;
Customer(Newlyweds);;
Guests;;
Wedding Preparing Group;Wedding Preparing Group;ORGANIZATION
Seamless Service Provision (SSP);;
Incoming Mail Centre;Incoming Mail Centre;ORGANIZATION
Validation Officer;;
Payment Officer;;
Accounts receivable Department;;
Experienced SSP;;
Internal Mail;Internal Mail;ORGANIZATION
Master Data Entry Departement;;
Incoming Mail Employee;;
Internal Mail Employee;;
Master Data Entry Officer;;
Registry Employee;;
Experienced SSP Employee;;
Mail Centre employee;Mail Centre;ORGANIZATION
superiisor;;
Logistic Manager;;
Warehouse Worker;Warehouse Worker;ORGANIZATION
Person;;
Market analyst;;
Finance department;;
Detective;;
Target audience;;
PR department;;
Salesperson;;
Risk analysis department;;
Capitol;Capitol;LOCATION
loan agency;;
rating agency;;
Operational Analyst;;
Analyst Supervisor;;
Customer Registration;;
Billing form;;
Designer;;
Customer (business);;
Librarian;;
CO;;
Used Book Buyer;;
sales & distribution;;
Beneficiary;;
Regulatory Department (Clerk);Regulatory Department;ORGANIZATION
Insurance Agent;;
Check In Desk;In Desk;ORGANIZATION
Customer Database;;
Translator;;
Local Demand Management;Local Demand Management;ORGANIZATION
Requirements Manager;;
Requirements Manager Gremium;;
Business architect;;
CAB;;
Technical architect;;
Budget- &amp;;
Release Manager;;
Release Gremium;;
Flower Storage;Flower Storage;ORGANIZATION
IITB student;IITB;ORGANIZATION
Traveler;;
Interested Parties;;
Extract Photo information;;
Manually Update Photo Information;;
clerk;;
pizza chef;;
delivery boy;;
Buy a car;;
Instructor;;
Researcher;;
teacher;;
Business support;;
Technical support;;
On call and email support;;
Level 1 support staff;;
Level 2 employee;;
Business Architectural Team;Business Architectural Team;ORGANIZATION
ISB Management;ISB Management;ORGANIZATION
Stakeholders;;
BPMC;BPMC;ORGANIZATION
BPWG;BPWG;ORGANIZATION
EMT;;
Opportunity Initiator;;
Process Owner;;
Business Architecture;;
Business Architecture Team;;
Credit Division;Credit Division;ORGANIZATION
Application processed;;
Application lodgement;;
Application investigation;;
Views of stakeholders;;
Financial;;
Company (HR);;
techGate;;
TechGate;;
techgate;;
case-worker legal affairs;;
warehouse worker;;
case-worker organization;;
requester;;
service technician;;
accountant;;
SAP;SAP;ORGANIZATION
Officer;;
Customer on 'Your weight loss partner' website.;;
Restaurant preparing and delivering food.;;
Organization;;
patient activities;;
device;;
Purchasing;;
Mortgage specialist;;
Claim Ajuster;Ajuster;PERSON
Owner;;
Ebay Seller;;
Ebay Buyer;;
Board;Board;ORGANIZATION
CEO;;
User Account Admin;;
Buyer;;
Shipping Company;Shipping Company;ORGANIZATION
Mail Center Staff L1;;
Admin Officers L2;;
Data Entry Officers L5;;
Agencies & Citizen;Agencies & Citizen;ORGANIZATION
Service Officer;;
Land Administration Officer;Land Administration;ORGANIZATION
Agencies and citizens;;
Stakeholder;;
Minister’s Delegate;;
Government Garzette;Garzette;PERSON
Application and Internal System (DCS and ATS);;
SAP Management;SAP Management;ORGANIZATION
Validate Officer @ Level 7;;
Validate Officer;;
Account Receivable Dept. Level 4;;
Minster's Delegate;;
Land Administrative Officer;Land Administrative Officer;ORGANIZATION
Service center officer;;
Agencies and Citizens;Agencies and Citizens;ORGANIZATION
SAP master entry department;SAP;ORGANIZATION
Admin officer;;
Validating Officer;;
Accounts Receivable Department L4;;
Master data entry department;;
Account Receivable Department Level 4;;
Mail Center Level 1;;
Data Entry Office Level 5;;
Subsidiary;;
Screening staff;;
Technical support staff;;
Vladimir;Vladimir;PERSON
Lauri;Lauri;PERSON
Adoption coordinator & Process analysts;;
Oganisation Managemnt;;
Process participants;;
Production with ERP-System;;
Sales & Distribution with CRM-System;;
Logistics with ERP-System;ERP;ORGANIZATION
Finance & Accounting with ERP-System;Finance & Accounting;ORGANIZATION
Customer Service Department;Customer Service Department;ORGANIZATION
Grid Operator;Grid Operator;ORGANIZATION
Change Manager;;
Agency Employee;Agency Employee;ORGANIZATION
Department Employee;Department Employee;ORGANIZATION
Admission Commission;Admission Commission;ORGANIZATION
Uni-Assist;;
Online Registration Pool;;
Studienabteilung (Study Department);Study Department;ORGANIZATION
Customer service (TELECO);;
Service management (TELECO);TELECO;ORGANIZATION
Resource provisioning (TELECO);;
Customer service dept.;;
Quality Inspector;;
QA Team Leader;;
QA Engineer;QA Engineer;ORGANIZATION
Level 1;;
Level 2;;
Role A;;
Role C;;
Role B;;
Role E;;
Role D;;
insurance clerk;;
