Entry;Entities;EntityType
Logistics Department;Logistics Department;ORGANIZATION
Financial Department;Financial Department;ORGANIZATION
Financial Accounting;;
Service Center;Service Center;ORGANIZATION
Advisery Service;;
Customer Management;;
Warehousing;;
help desk;;
account manager;;
Finance Department;Finance Department;ORGANIZATION
Financing;;
Customer service;;
Customer advisory;;
Sales depatrtment;;
Dispositon;;
bank;;
restaurant;;
Italian Restaurant;Italian;NORP
Restaurant;;
Manager;;
PayPal Client;;
PayPal System;;
PayPal User;;
Administration Department;Administration Department;ORGANIZATION
Accounts Receivable;;
Payment Office;;
Data Entry;;
User;;
The payment office;;
Mail centre;;
Validation office;;
BCC;BCC;ORGANIZATION
The User;;
BCC Server;BCC;ORGANIZATION
Company Server;;
Features of the founded Software;;
Business Location;;
Business Name;;
Choosing Software;;
Legal structure;;
Company legal structure;;
Lease Option;;
Protecting Your Business;;
Setting Up a Bank Account;;
Evaluate loan policies;;
Insurance;;
Business Licence;;
Government Requirement;;
Premises and Lease;;
Legal Requirement;;
Government Requirenment;Requirenment;PERSON
Legal Reuirement;Reuirement;PERSON
Promotion plan;;
Financial Plan;;
Marketing Plan;;
Company;;
Choosing the best business ISP;ISP;ORGANIZATION
External Expert;;
Referee;;
Managing director;;
Customers;;
Web design team;;
marketing team;;
sales department;;
engineering department;;
storehouse;storehouse;ORGANIZATION
Catering service;;
Credit officer;;
Senior credit officer;;
Select forest plots;;
Employee;;
Supervisors;;
Purchase Department;;
Goods Receipt Department;Goods Receipt Department;ORGANIZATION
Accounts payable;;
Tech;;
System;;
Pharmacist;;
Level-1 support staff (5p);5p;CARDINAL
Level-2 support staff (3p);3p;CARDINAL
Job Tracking System (JTS);JTS;ORGANIZATION
Central procurement department;;
Approver;;
Specialist;;
Storage;;
Shop;;
Subject;;
PC-Operator;;
Wellbeing Survey Software;;
Mobile Unit;Mobile Unit;ORGANIZATION
Communication Team;;
Wellbeing WebServer;;
Movile Unit;;
Order Process;;
Missionary;;
Team Assistant;;
Direction;;
Team Assistant;;
Team Leader;;
Manufacturer;;
QUT Administration;QUT Administration;ORGANIZATION
QUT Virtual;QUT Virtual;ORGANIZATION
Unit Coordinator;;
Pit;;
employee;;
finance team;;
Wholesaler;;
Distributor;;
Manufacturing Department;Manufacturing Department;ORGANIZATION
Inventory Department;;
Procurement Department;Procurement Department;ORGANIZATION
Student Engagement;;
Faculty;;
Facilities Department;Facilities Department;ORGANIZATION
Data Entry Officer;;
Mail centre Staff;;
Master Data Entry Department;Data Entry Department;ORGANIZATION
Validatoin Officer;Validatoin;ORGANIZATION
Mail Centre Staff;;
RM;;
Student Engagement Department;Student Engagement Department;ORGANIZATION
Student Engagement;;
Student Volunteer;;
Central purchase department;;
Requestor;;
Receipt department;;
Pharmacy technicians;;
Sales Assistant;;
Engineering Department;Engineering Department;ORGANIZATION
Loan Agency;;
Prefect;;
IRSN Scientific experts;IRSN Scientific;ORGANIZATION
IRSN;IRSN;ORGANIZATION
Firemen;;
Police;;
Meteo France;Meteo France;ORGANIZATION
Radiation Survey Network;;
Office of infrastructures;;
Media;;
Hospitals;;
MEMS;MEMS;ORGANIZATION
Radiation survey network;;
Office of infrastructure;;
Representative of the local authority;;
NWU CC CRC;NWU CC CRC;PRODUCT
NWU CR Business Field;NWU CR Business Field;ORGANIZATION
costume designer;;
costume staff;;
PhD Student;;
PhD Office;PhD Office;ORGANIZATION
Administration office;;
Advisor;;
Phd office;Phd;PERSON
Phd student;;
PhD office;PhD;ORGANIZATION
Departement assistant;Departement;PERSON
PhD student;;
Phd Office;Phd Office;ORGANIZATION
PhD Central Office;PhD Central Office;ORGANIZATION
Exam Commission;;
Signatory;;
Loan Order Process;;
Booking service;;
Booking Service;;
Insurance Company;;
Breakdown service company;;
Clinic;;
Repair shop;;
Registrar;;
Professor;;
Higher management;;
Agent;;
Offerer;;
Real estate agent;;
ABB Turbo System Service station;ABB Turbo System Service;ORGANIZATION
ABB Turbo System Baden Warehouse;ABB Turbo System Baden Warehouse;ORGANIZATION
Repair Department;Repair Department;ORGANIZATION
Our Enterprise;;
AMAG - central spare part warehouse;AMAG;ORGANIZATION
Car manufacturer (VW and Porsche);VW|Porsche;ORGANIZATION|ORGANIZATION
Regional Warehouse;;
regional warehouse;;
central warehouse;;
Central Warehouse;Central Warehouse;ORGANIZATION
5 Regional Warehouse;5;CARDINAL
36 distribution centers;36;CARDINAL
Call center;;
AMAG;AMAG;ORGANIZATION
Integrated Carrier;;
Warehouse (Central / Regional);;
Volkswagen / Porsche;Volkswagen / Porsche;ORGANIZATION
Central warehouse;;
sales level;;
Import level;;
Central System;;
Service Station;;
AMAG - Central spare part Warehouse;AMAG - Central;ORGANIZATION
Car manufacturer;;
Service stations, dealers and customers;;
Central Warehouse Luzern;Central Warehouse;ORGANIZATION
IT;;
Logistics, Warehouse near to the customers;;
Logistic, warehouse not near to the customer;;
ABB Turbo Systems Baden (Switzerland);ABB Turbo Systems|Switzerland;ORGANIZATION|LOCATION
Secretariat;Secretariat;ORGANIZATION
Robert;Robert;PERSON
Physician;;
Secretary;;
Store Manager;;
Stock Manager;;
Catalogue Browser;;
Shopping Basket / Checkout;;
Amazon Sub Seller;Amazon;ORGANIZATION
Amazon;Amazon;ORGANIZATION
Used Book sellor on Amazon;Amazon;ORGANIZATION
Mail Staff;;
Data Entry Staff;Data Entry Staff;ORGANIZATION
Master Data Entry Staff;;
Data Validation Officer;;
Mark;;
Security Check;;
Boarding Gate;;
CUSTOMER;;
Order Management System;;
CRM;;
Manufacturing;;
Logistics Provider;;
AVERS OEM - Raw Material Supply;;
Regional Headquarters, Singapore;Regional Headquarters|Singapore;ORGANIZATION|LOCATION
Manufacturing Factory, Vietnam;Manufacturing Factory|Vietnam;ORGANIZATION|LOCATION
Regional Electronic Equipment Company;Regional Electronic Equipment Company;ORGANIZATION
Distribution/Logistics Provider 05;Distribution/Logistics Provider|05;ORGANIZATION|CARDINAL
Regional Type Company;;
Distribution/Logistics Provider 01;Distribution/Logistics Provider|01;ORGANIZATION|CARDINAL
Air Conditioner Company, Regional;Air Conditioner Company;ORGANIZATION
Distribution/Logistics Provider 02;Distribution/Logistics Provider|02;ORGANIZATION|CARDINAL
Car Upholstery Company, Regional;Car Upholstery Company;ORGANIZATION
Distribution/Logistics Provider 03;Distribution/Logistics Provider|03;ORGANIZATION|CARDINAL
Paint Company, Regional;;
Distribution/Logistics Provider 04;Distribution/Logistics Provider|04;ORGANIZATION|CARDINAL
EU Headquarters;EU;ORGANIZATION
Retail Outlet;;
Auto Inc HQ;Auto Inc HQ;ORGANIZATION
Factory Vietnam;;
Regional Supplier 1;;
Logistics Provider 2;2;CARDINAL
Regional Supplier 2;;
EU HQ Supplier;EU HQ Supplier;ORGANIZATION
Logistics Provider 1;1;CARDINAL
Logistics Provider 3;3;CARDINAL
Warehouse 1;1;CARDINAL
Warehouse 2;;
AVERS OEM - Production Control;;
Production Scheduling;;
PVE;;
PBPE;PBPE;ORGANIZATION
Poultry and Eggs sector;;
Government;;
KIP;KIP;ORGANIZATION
Heffingen;Heffingen;ORGANIZATION
Poultry/Egg Sector Company;Poultry/Egg Sector Company;ORGANIZATION
ITBP (Tier 2);ITBP;ORGANIZATION
ITBP (Tier 1);ITBP;ORGANIZATION
Business Controller;;
IT Controller;;
Portfolio Manager;;
Philips IT - PSO (Project Support Office);Philips IT - PSO (Project Support Office;ORGANIZATION
Logistic Provider;;
ERP;;
Logistic provider;;
AVERS OEM;;
bank a;;
bank b;;
Validity check;;
Account Creation;;
Role (Geoff Bourke);Geoff Bourke;PERSON
Asset Manager(s);;
IDM;;
Telstra;Telstra;ORGANIZATION
Risk Manager;;
Telstra Tecnical Team(s);Telstra Tecnical;ORGANIZATION
NAB Asset Manager(s);;
NSTAF Facilitator;NSTAF;ORGANIZATION
Network Capacity Planner;;
Asset Manager;;
Nework Capacity Planner;;
APCD;APCD;ORGANIZATION
NAB;;
IBM;IBM;ORGANIZATION
Telstra Capacity Team;Telstra Capacity Team;ORGANIZATION
EMPLOYEES;;
SUPERVISORS;;
PURCHASE DEPARTMENT;;
ACCOUNTS PAYABLE;;
GOODS RECEIPT;;
Drop off and data entry (technician);;
Drug utilization review (DUR), incurance check, (pharmacist, pharmacy employees);DUR;ORGANIZATION
Production (certified pharmacy technician);;
Pickup (Technician);;
Helpdesk;;
Sales team;;
Accounts Department;;
DMS Parts Provision Team;DMS Parts Provision Team;ORGANIZATION
Credit Check Authority;Credit Check Authority;ORGANIZATION
Branch Office;Branch Office;ORGANIZATION
Office branch;;
System support;;
User support;;
Course;;
Clerk;;
Complaint Manager;;
Helpdesk Operator;;
Product owner;;
Scrum master;;
Receiving;;
Chustomer;;
Itunes;Itunes;ORGANIZATION
customer service representative;;
Development Director;;
Research & Development;Research & Development;ORGANIZATION
Quality Assurance;;
Development Team;;
Supply Depot;Supply Depot;ORGANIZATION
Requester;;
Accounts Payable;;
SUPPLIER;;
Cape Town Procurement;Cape Town Procurement;ORGANIZATION
Ottawa;Ottawa;LOCATION
Jakarta;Jakarta;LOCATION
Procurement;;
Assembly;;
Sales Process;;
Inventory Receiving Process;;
Misc. Email Folders;;
End of Day Process;;
Kinshasa;Kinshasa;ORGANIZATION
Auckland;Auckland;LOCATION
Purchasing/Shipping;;
Cape Town Accounts Payable;Cape Town Accounts Payable;ORGANIZATION
Sales US;US;LOCATION
Sales EMEA;;
Provisioning;;
Sephora;Sephora;ORGANIZATION
Provisioning Trextel;;
DSR;DSR;ORGANIZATION
Window Migration route;;
Business Units;;
Line of Business Customer ;;
Desktop Development Team;Desktop Development Team;ORGANIZATION
IT Testing Team;;
Global Packaging Services;Global Packaging Services;ORGANIZATION
BRD Review Anaylysts;BRD Review Anaylysts;ORGANIZATION
Developer;;
Citi Market Place;;
Senior Management;;
TSAM Provisoning;TSAM Provisoning;PERSON
Application Portal;Application Portal;ORGANIZATION
CATE or Sector Architects;CATE;ORGANIZATION
CATE Labs Support Team;CATE Labs Support Team;ORGANIZATION
Global Customer Service Center;Global Customer Service Center;ORGANIZATION
Engineer;;
Business;;
System Admin;;
Integration Team;Integration Team;ORGANIZATION
Level 1 Support;;
Level 2 Support;2;CARDINAL
Quality Control;;
Line of Business User, Project Managers;;
Citi Technology Infrastructure (CTI);Citi Technology Infrastructure|CTI;ORGANIZATION|ORGANIZATION
Data center Operation;;
SA / SAN/Frame Support;SA / SAN/Frame Support;ORGANIZATION
Mail Room;;
Shareholder Services;;
Background Check Vendor;;
Fund Accounting Team;Fund Accounting Team;ORGANIZATION
Accounts Receivables;;
The Mail Room;;
Accounting Department;Accounting Department;ORGANIZATION
Shareholder Services Team;;
Shareholder Services Manager;;
Private Investors;;
Accounting Team;;
Background Vendor;;
Superviser;;
Support;;
Acme Warehouse;Acme Warehouse;ORGANIZATION
Sales & Dist.;Sales & Dist;ORGANIZATION
Sales & Dist;Sales & Dist;ORGANIZATION
Insurance Co.;Insurance Co.;ORGANIZATION
Accounts Payable ;;
Requester ;;
Customer Actions;;
Customer Service Representative Actions;;
Application Manager;;
EERS Feed Provider;EERS;ORGANIZATION
EERS Integration Team;EERS Integration Team;ORGANIZATION
Information Security Administration;Information Security Administration;ORGANIZATION
Point Sec Administrator;Sec;ORGANIZATION
SA Managers;;
Market Place;;
Command Center;Command Center;ORGANIZATION
Users/Developers;;
MQSeries Global Enterprise System Group;MQSeries Global Enterprise System Group;ORGANIZATION
Global Business Integration Operational Group;Global Business Integration Operational Group;ORGANIZATION
3rd Party Access Solutions Workgroup (3PASWG);3rd Party Access Solutions Workgroup;ORGANIZATION
Information Security Technology Group (ISTG);Information Security Technology Group;ORGANIZATION
Kinsasha: Supplier;Kinsasha;PERSON
Level-01 Support;;
Level-02 Support;;
SME Support;;
Release Management;;
Citi Business User ;;
Project Management Team;Project Management Team;ORGANIZATION
Software Development Team;Software Development Team;ORGANIZATION
Workflow Engine;;
Call Center Agent;Call Center Agent;ORGANIZATION
ACME Employee;;
Internal Client;;
Desktop Support Team;;
Desktop Support Services;Desktop Support Services;ORGANIZATION
Retailer Order;;
Visa;;
WAREHOUSE;;
REQUESTER;REQUESTER;ORGANIZATION
ACME Warehouse;ACME Warehouse;ORGANIZATION
R&D, KMS Management;;
KMS Development;;
KMS Management;;
KMS Development Level 1;1;CARDINAL
KMS Development Level 2;2;CARDINAL
KMS MANAGEMENT;;
KMS DEVELOPMENT PROCESS;;
KMS CLIENT;;
Shareholder service Team;;
Background check vendor;;
Fund Accounting;;
Director approval;;
Manager Approver;;
Financial Analyst;;
Citi MarketPlace;;
Project Accounting;;
Marketing Team;;
Capacity Steering Committee;Capacity Steering Committee;ORGANIZATION
Project Management;;
Technology Management;;
New Employee;;
Set Up Training;;
Attend Training;;
Set Up Access;;
Warhouse;Warhouse;ORGANIZATION
Accounts Pay;;
Warehouse ;;
Supervisor ;;
Project Manager (PM);;
MSSB CM Team;MSSB CM Team;ORGANIZATION
CCR Team;CCR Team;ORGANIZATION
Customer Request For Computing Capacity;;
Finance Approval / Management Authorization;;
REQUESTER ;REQUESTER;ORGANIZATION
ACCOUNT PAYABLE;;
ACME SUPPLIER;ACME SUPPLIER;ORGANIZATION
Network Engineering;;
CATE Engineer/Sector Architect;CATE Engineer/Sector;ORGANIZATION
CATE Labs Administrator;CATE Labs;ORGANIZATION
External Connectivity Management;External Connectivity Management;ORGANIZATION
Network Security Engineer;;
Information Security Officer;;
Operations & Technology Risk Management;Operations & Technology Risk Management;ORGANIZATION
Perimeter Security Officer;Perimeter Security;ORGANIZATION
RFC Approvers;;
Development Group;Development Group;ORGANIZATION
Business Relation Group ( BRM);Business Relation Group|BRM;ORGANIZATION|ORGANIZATION
App Support Group;;
Employee Requester;;
Direct Manager;;
Capacity Request Made;;
Finance & Management Approval;Finance & Management;ORGANIZATION
Pharma Architecture;Pharma Architecture;ORGANIZATION
Application Team;Application Team;ORGANIZATION
Incident Management Team;;
SA and DBA Teams;SA|DBA;ORGANIZATION|ORGANIZATION
AccountsPayable;AccountsPayable;ORGANIZATION
Various Utility Companies;;
Le Pendez Dix;Le Pendez Dix;PERSON
Grenoble;Grenoble;LOCATION
Accounts Payable (Haley);Haley;PERSON
Sales (Nick);Nick;PERSON
Procurement (Jane);Jane;PERSON
Accounts Receivable (Sarah);Sarah;PERSON
INVESTOR;;
MAILROOM;;
ACCTG TEAM;ACCTG;ORGANIZATION
BACKGROUND SCREENING;;
Business Architect;;
Technology Architect;;
Enterprise Architecture Council;Enterprise Architecture Council;ORGANIZATION
Application Architect;;
Chief Information security Officer;;
CRS;CRS;ORGANIZATION
director;;
Mortgage application;;
Ticket automat;;
Program director;;
get costumes ready for specific day;specific day;DATE
Online retailer: Fulfill order;;
costum usage;costum;ORGANIZATION
ICT Logistics;ICT Logistics;ORGANIZATION
Forwarder;;
Cloud;;
Production Planning;;
OUR COMPANY;;
CENTRAL IT;;
DATA ENTRY;;
PHARMACIST;;
DROP-OFF;;
PICKUP;;
PRODUCTION;;
QUALITY ASSURANCE;;
CVS - DATA ENTRY;;
CVS - CUSTOMER SERVICE;;
CUSTOMER SERVICE;;
site engineer;;
depot clerk;;
works engineer;;
Talent Seek - Recruitment Manager;;
Talent Seek;;
Recruitment Managers;;
Admin and clerical staff;;
Casual Admin Assistant;;
HR Coordinator;;
Check Deadlines;;
Check Information (3a), (4a), (4b);3a|4a|4b;CARDINAL|CARDINAL|CARDINAL
Check Registration (1);1;CARDINAL
Confirm Start of Delivery (4a);4a;CARDINAL
New Supplier;;
Cancelation of delivery handling;;
Service;;
Schufa;;
Academic senate;;
Candidate;;
University;;
President;;
Inspection crew;;
Maintenance crew;;
Business Process perspectine;;
TS Recruitment Managers;TS Recruitment Managers;ORGANIZATION
Client End Manager;;
Client HR Representive;;
TS HR;;
GovSource;;
Recruitment Panel;;
Candidates;;
TS Recruitment Manager;;
Administration department;;
Mailing department;;
Data Office;Data Office;ORGANIZATION
Master Data Management;Master Data Management;ORGANIZATION
Recruitment Manager;;
TS HR Coordinator and their teams;TS HR Coordinator;ORGANIZATION
Casual Admin Assisstant;;
Trained specialist;;
Account Provider;;
Bank Customer;;
Post Officer;;
Bank Officer;;
Purchase & Manufacturing;;
Accounting office;;
Italian restaurant;Italian;NORP
Informecial Meeting;Informecial Meeting;ORGANIZATION
Drop-off tech;;
Data entry tech;;
Pick-up tech;;
Producer;;
CVS employee;;
CVS store;;
CVS;;
CVS IT system;;
Transaction;;
ABC Co. RFG Process;ABC Co.;ORGANIZATION
Passenger;;
Virgin Airline Staff;Virgin Airline Staff;ORGANIZATION
Passenger role;;
SmartGate role;SmartGate;ORGANIZATION
USER;;
Landlord/ Agent;;
Landlord/Agent;;
Agencies & Landlords;;
Landlord / Agency;Landlord / Agency;ORGANIZATION
Processing Officer;;
Consultant;;
Actuarial Officer;;
Accountant;;
Car Dealer;;
Mechanic;;
Salesman;;
Patient (mother);;
Pharmacy;;
Creator;;
Sales Officer;;
Production Engineer;;
Procurement Officer;;
Admission office;;
Academic recognition agency;;
Level-1 staff;;
Dispatcher;;
Driver;;
Storeman;;
Tracking;;
Customer(Newlyweds);Customer(Newlyweds;CARDINAL
Guests;;
Wedding Preparing Group;Wedding Preparing Group;ORGANIZATION
Seamless Service Provision (SSP);Seamless Service Provision;ORGANIZATION
Incoming Mail Centre;;
Validation Officer;;
Payment Officer;;
Accounts receivable Department;;
Experienced SSP;;
Internal Mail;;
Master Data Entry Departement;;
Incoming Mail Employee;;
Internal Mail Employee;Internal Mail Employee;ORGANIZATION
Master Data Entry Officer;;
Registry Employee;;
Experienced SSP Employee;;
Mail Centre employee;;
superiisor;;
Logistic Manager;;
Warehouse Worker;;
Person;;
Market analyst;;
Finance department;;
Detective;;
Target audience;;
PR department;;
Salesperson;;
Risk analysis department;;
Capitol;Capitol;ORGANIZATION
loan agency;;
rating agency;;
Operational Analyst;;
Analyst Supervisor;;
Customer Registration;;
Billing form;;
Designer;;
Customer (business);;
Librarian;;
CO;;
Used Book Buyer;;
sales & distribution;;
Beneficiary;;
Regulatory Department (Clerk);Regulatory Department;ORGANIZATION
Insurance Agent;;
Check In Desk;;
Customer Database;;
Translator;;
Local Demand Management;;
Requirements Manager;;
Requirements Manager Gremium;;
Business architect;;
CAB;;
Technical architect;;
Budget- &amp;Budget- &amp;ORGANIZATION
Release Manager;;
Release Gremium;;
Flower Storage;;
IITB student;;
Traveler;;
Interested Parties;;
Extract Photo information;;
Manually Update Photo Information;;
clerk;;
pizza chef;;
delivery boy;;
Buy a car;;
Instructor;;
Researcher;;
teacher;;
Business support;;
Technical support;;
On call and email support;;
Level 1 support staff;1;CARDINAL
Level 2 employee;2;CARDINAL
Business Architectural Team;Business Architectural Team;ORGANIZATION
ISB Management;;
Stakeholders;;
BPMC;BPMC;ORGANIZATION
BPWG;BPWG;ORGANIZATION
EMT;;
Opportunity Initiator;;
Process Owner;;
Business Architecture;;
Business Architecture Team;Business Architecture Team;ORGANIZATION
Credit Division;Credit Division;ORGANIZATION
Application processed;;
Application lodgement;;
Application investigation;;
Views of stakeholders;;
Financial;;
Company (HR);;
techGate;;
TechGate;;
techgate;;
case-worker legal affairs;;
warehouse worker;;
case-worker organization;;
requester;;
service technician;;
accountant;;
SAP;;
Officer;;
Customer on 'Your weight loss partner' website.;;
Restaurant preparing and delivering food.;;
Organization;;
patient activities;;
device;;
Purchasing;;
Mortgage specialist;;
Claim Ajuster;;
Owner;;
Ebay Seller;Ebay;ORGANIZATION
Ebay Buyer;Ebay;ORGANIZATION
Board;;
CEO;;
User Account Admin;;
Buyer;;
Shipping Company;;
Mail Center Staff L1;Mail Center Staff L1;ORGANIZATION
Admin Officers L2;;
Data Entry Officers L5;;
Agencies & Citizen;;
Service Officer;;
Land Administration Officer;Land Administration;ORGANIZATION
Agencies and citizens;;
Stakeholder;;
Minister’s Delegate;;
Government Garzette;Garzette;PERSON
Application and Internal System (DCS and ATS);Application and Internal System|DCS|ATS;ORGANIZATION|ORGANIZATION|ORGANIZATION
SAP Management;;
Validate Officer @ Level 7;;
Validate Officer;;
Account Receivable Dept. Level 4;Account Receivable Dept|4;ORGANIZATION|CARDINAL
Minster's Delegate;Minster;ORGANIZATION
Land Administrative Officer;;
Service center officer;;
Agencies and Citizens;;
SAP master entry department;SAP;ORGANIZATION
Admin officer;;
Validating Officer;;
Accounts Receivable Department L4;;
Master data entry department;;
Account Receivable Department Level 4;4;CARDINAL
Mail Center Level 1;;
Data Entry Office Level 5;Data Entry Office|5;ORGANIZATION|CARDINAL
Subsidiary;;
Screening staff;;
Technical support staff;;
Vladimir;Vladimir;PERSON
Lauri;Lauri;ORGANIZATION
Adoption coordinator & Process analysts;;
Oganisation Managemnt;Oganisation Managemnt;PERSON
Process participants;;
Production with ERP-System;;
Sales & Distribution with CRM-System;Sales & Distribution|CRM-System;ORGANIZATION|PRODUCT
Logistics with ERP-System;;
Finance & Accounting with ERP-System;Finance & Accounting;ORGANIZATION
Customer Service Department;Customer Service Department;ORGANIZATION
Grid Operator;;
Change Manager;;
Agency Employee;;
Department Employee;;
Admission Commission;;
Uni-Assist;;
Online Registration Pool;;
Studienabteilung (Study Department);Studienabteilung (Study Department;ORGANIZATION
Customer service (TELECO);;
Service management (TELECO);;
Resource provisioning (TELECO);;
Customer service dept.;;
Quality Inspector;;
QA Team Leader;QA Team;ORGANIZATION
QA Engineer;QA;ORGANIZATION
Level 1;1;CARDINAL
Level 2;2;CARDINAL
Role A;;
Role C;;
Role B;;
Role E;;
Role D;;
insurance clerk;;
Mr Franks;Franks;PERSON
Review clerk;;
Attacker;;
JodaEngine;JodaEngine;ORGANIZATION
ENGINEERING;;
SALES;;
FINANCE;;
hardware Retailer;;
Hardware Retailer;;
Flight Centre;;
SSP Receivable Department;SSP Receivable Department;ORGANIZATION
Board of Drectors;Board of Drectors;ORGANIZATION
Service Desk;;
Incident Closure Responsible;;
Suppliers Manager;;
Technical Staff;;
Administrator;;
Engeneering department;;
Sales ;;
Services;;
Klant;;
External Company;;
Process;;
HR Representative;;
Radiology;;
Blood test department;;
CT Scan Department;CT Scan Department;ORGANIZATION
Recruiting Manager;;
Manager/chairperson;;
SPARQ HR;SPARQ;ORGANIZATION
Manager/Chairperson;;
Recruitment manager;;
Co-Workers;Co-Workers;ORGANIZATION
Phone clerk;;
Home doctor;;
product;;
Personal Service Department;Personal Service Department;ORGANIZATION
Thesis Director;;
Finance Officer;;
Administration Officer;;
EC-Lille;EC;ORGANIZATION
boss;;
humain resource;humain resource;ORGANIZATION
Representative;;
Claim adjuster;;
Bill (Owner);Bill;PERSON
Illustration Creation Team;;
Technical Team;;
Admin Officers;;
Cooking Area;;
Packing Area;;
Lecture;;
Real estate;;
ordering;;
purchasing;;
manufacturing;;
Validation Officers;;
Data Entry Officers;;
Master Data Entry;;
Payment Officers;;
Department XYZ;;
Process 1;1;CARDINAL
Team work explorer;;
meeting members;;
meeting manager;;
client;;
Seamless Service Provision(SSP);Seamless Service;ORGANIZATION
internal mail center;;
Validation Ofiicer;Ofiicer;PERSON
Staff Member;;
Internal Mail Centre;Internal Mail Centre;ORGANIZATION
MetalWorks;MetalWorks;ORGANIZATION
Level-1;;
Level-2;;
Job tracking system;;
Store;;
Headquarter;;
Hermes;;
Disposition;;
Hub;;
Resourcing;;
R&D;;
