Entry;Entities;EntityType
Bank Package Processing;Bank Pack|Processing;ORGANIZATION|I-org
Engineers;Engineers;ORGANIZATION
Lawyer;Law;PERSON
Plaintiff;;
Defendant;;
Law Firm;Law Fi;B-misc
Patient;;
Doctor;;
Nurse;Nurse;B-misc
Event Administrator;;
Business Development Manager;Business Development Manager;B-misc
Brian's Team;Team|Brian;B-misc|I-org
Project Manager;Project Manager;B-misc
Department;Department;ORGANIZATION
Department head;Department;B-misc
ACME Inc.;Inc|ACM;ORGANIZATION|I-org
Umoja Change Management;Change Management|Um;B-misc|I-misc
Umoja Workstream Member;Works|Member|Um;B-misc|I-misc|I-misc
2nd level issue;;
1st level issue;;
Key Account Manager;Key Account Manager;B-misc
1st Level support agent;1st Level;B-misc
2nd level support agent;;
Software Developer;Software Dev;ORGANIZATION
Trouble Tracking System;Trouble Track|System;B-misc|I-misc
DMS;DM;PERSON
Employer;;
Finance/Accounting;Account;B-misc
Sales Department;Sales Department;ORGANIZATION
Logistic department;;
ABC Bank;ABC Bank;ORGANIZATION
Storehouse;;
Sales dep.;Sales;ORGANIZATION
Catering;;
Order;;
Delivery;;
Travel agency;;
Agency;Agency;ORGANIZATION
Bank A;Bank A;ORGANIZATION
Bank B;Bank B;ORGANIZATION
External credit rating company;;
Traveller;;
Distribution;;
Tour Company;Tour Company;ORGANIZATION
design and implement a webpage;;
Applicant;;
Costumer Service Representative;Service Representative|Cost;B-misc|I-misc
Administration;Administration;ORGANIZATION
Support Officer;Officer;I-org
Coordination Unit;Co|Unit;ORGANIZATION|I-org
Committee Members;Members;I-org
Order Management;Order Management;B-misc
Stock;Stock;ORGANIZATION
Logistic;Lo;PERSON
Controlling;;
Dunning Process;Process|Dunn;B-misc|I-misc
SWIM User;SW|User;B-misc|I-misc
PEP;PE;ORGANIZATION
Security Services;Security Services;B-misc
Sales Manager;Manager|Sales;B-misc|I-org
Customer Service Rep;Service Rep|Custom;B-misc|I-misc
FeelWheel;Feel;B-misc
Hotel;Hotel;LOCATION
Costumer Services;Services|Cost;ORGANIZATION|I-org
Sales & Logistics;Sales & Lo;ORGANIZATION
Accountig Office;Office|Account;ORGANIZATION|I-misc
Manufactoring;;
Logistics Department;Department|Lo;ORGANIZATION|I-org
Financial Department;Financial Department;ORGANIZATION
Financial Accounting;Financial Account;B-misc
Service Center;Service Center;B-misc
Advisery Service;Service|Ad;B-misc|I-misc
Customer Management;Management|Custom;B-misc|I-misc
Warehousing;Ware;LOCATION
help desk;;
account manager;;
Finance Department;Finance Department;ORGANIZATION
Financing;;
Customer service;;
Customer advisory;;
Sales depatrtment;Sales;ORGANIZATION
Dispositon;;
bank;;
restaurant;;
Italian Restaurant;Italian Restaurant;LOCATION
Restaurant;Restaurant;B-misc
Manager;;
PayPal Client;Cl|Pay;B-misc|I-misc
PayPal System;Pay|System;B-misc|I-misc
PayPal User;User|Pay;B-misc|I-misc
Administration Department;Administration Department;ORGANIZATION
Accounts Receivable;;
Payment Office;Office|Pay;B-misc|I-misc
Data Entry;Data Entry;B-misc
User;;
The payment office;;
Mail centre;Mail centre;B-misc
Validation office;;
BCC;BC;ORGANIZATION
The User;The User;B-misc
BCC Server;BC|Server;ORGANIZATION|I-org
Company Server;Company Server;ORGANIZATION
Features of the founded Software;Software;ORGANIZATION
Business Location;Business Lo;B-misc
Business Name;Business Name;B-misc
Choosing Software;Software|Cho;B-misc|I-misc
Legal structure;;
Company legal structure;;
Lease Option;Lea|Op;B-misc|I-misc
Protecting Your Business;Pro|Your Business;B-misc|B-misc
Setting Up a Bank Account;Up a Bank Account|Set;B-misc|I-misc
Evaluate loan policies;;
Insurance;Insurance;ORGANIZATION
Business Licence;Business Li;B-misc
Government Requirement;Government Re;B-misc
Premises and Lease;and Lea|Premi;B-misc|I-misc
Legal Requirement;;
Government Requirenment;Government Re;B-misc
Legal Reuirement;Re|Legal;B-misc|I-org
Promotion plan;;
Financial Plan;Financial Plan;B-misc
Marketing Plan;Marketing Plan;B-misc
Company;Company;ORGANIZATION
Choosing the best business ISP;IS;ORGANIZATION
External Expert;Ex;B-misc|I-misc
Referee;;
Managing director;;
Customers;;
Web design team;;
marketing team;;
sales department;;
engineering department;;
storehouse;;
Catering service;;
Credit officer;;
Senior credit officer;;
Select forest plots;;
Employee;;
Supervisors;;
Purchase Department;Department|P;ORGANIZATION|I-org
Goods Receipt Department;Department|Good|Rec;ORGANIZATION|I-org|I-org
Accounts payable;;
Tech;Tech;ORGANIZATION
System;System;B-misc
Pharmacist;;
Level-1 support staff (5p);;
Level-2 support staff (3p);;
Job Tracking System (JTS);Job Track|System|J;B-misc|I-misc|PERSON
Central procurement department;;
Approver;;
Specialist;;
Storage;;
Shop;;
Subject;;
PC-Operator;PC;B-misc
Wellbeing Survey Software;Survey Software;ORGANIZATION
Mobile Unit;Mobile Unit;ORGANIZATION
Communication Team;Communication Team;ORGANIZATION
Wellbeing WebServer;Web;B-misc
Movile Unit;Unit|Mo;B-misc|I-misc
Order Process;Order Process;B-misc
Missionary;Mission;B-misc
Team Assistant;Team Assistant;ORGANIZATION
Direction;;
Team Assistant;Team Assistant;ORGANIZATION
Team Leader;Leader;I-org
Manufacturer;;
QUT Administration;Administration|Q;ORGANIZATION|I-org
QUT Virtual;Virtual|Q;B-misc|I-misc
Unit Coordinator;Unit|Co;B-misc|I-per
Pit;Pit;B-misc
employee;;
finance team;;
Wholesaler;;
Distributor;;
Manufacturing Department;Manufacturing Department;ORGANIZATION
Inventory Department;Inventory Department;ORGANIZATION
Procurement Department;Department;I-org
Student Engagement;;
Faculty;Faculty;ORGANIZATION
Facilities Department;Department|Fa;ORGANIZATION|I-org
Data Entry Officer;Data Entry Officer;B-misc
Mail centre Staff;Staff|Mail centre;B-misc|PERSON
Master Data Entry Department;Master Data Entry Department;ORGANIZATION
Validatoin Officer;Officer;ORGANIZATION
Mail Centre Staff;Mail Centre Staff;ORGANIZATION
RM;RM;PERSON
Student Engagement Department;Student Engagement Department;ORGANIZATION
Student Engagement;;
Student Volunteer;Student Volunteer;ORGANIZATION
Central purchase department;;
Requestor;;
Receipt department;;
Pharmacy technicians;;
Sales Assistant;Sales Assistant;B-misc
Engineering Department;Engineering Department;ORGANIZATION
Loan Agency;Loan Agency;ORGANIZATION
Prefect;;
IRSN Scientific experts;IR;B-misc
IRSN;IR;PERSON
Firemen;Fire;LOCATION
Police;Police;ORGANIZATION
Meteo France;Met|France;ORGANIZATION|I-org
Radiation Survey Network;Survey Network|Rad;B-misc|I-misc
Office of infrastructures;;
Media;Media;ORGANIZATION
Hospitals;Hospital;B-misc
MEMS;ME;PERSON
Radiation survey network;;
Office of infrastructure;;
Representative of the local authority;;
NWU CC CRC;CC CRC|N;B-misc|I-misc
NWU CR Business Field;CR Business Field|N;B-misc|I-misc
costume designer;;
costume staff;;
PhD Student;PhD Student;B-misc
PhD Office;PhD Office;ORGANIZATION
Administration office;;
Advisor;;
Phd office;;
Phd student;;
PhD office;;
Departement assistant;;
PhD student;PhD;B-misc
Phd Office;Office|Ph;ORGANIZATION|I-org
PhD Central Office;PhD Central Office;ORGANIZATION
Exam Commission;Commission|Ex;ORGANIZATION|I-org
Signatory;;
Loan Order Process;Loan Order Process;B-misc
Booking service;;
Booking Service;Service|Book;B-misc|I-misc
Insurance Company;Insurance Company;ORGANIZATION
Breakdown service company;;
Clinic;Clin;ORGANIZATION
Repair shop;;
Registrar;;
Professor;;
Higher management;;
Agent;;
Offerer;;
Real estate agent;;
ABB Turbo System Service station;AB|Turbo System Service;B-misc|I-misc
ABB Turbo System Baden Warehouse;Turbo System Baden Ware|AB;B-misc|I-misc
Repair Department;Department|Rep;ORGANIZATION|I-org
Our Enterprise;Our Enterprise;B-misc
AMAG - central spare part warehouse;AM;B-misc
Car manufacturer (VW and Porsche);Porsche|VW;ORGANIZATION|ORGANIZATION
Regional Warehouse;Regional Ware;ORGANIZATION
regional warehouse;;
central warehouse;;
Central Warehouse;Central Ware;LOCATION
5 Regional Warehouse;Regional Ware;LOCATION
36 distribution centers;;
Call center;;
AMAG;AM;PERSON
Integrated Carrier;Integrated Carrier;B-misc
Warehouse (Central / Regional);Ware|Central;PERSON|LOCATION
Volkswagen / Porsche;Volkswagen|Porsche;ORGANIZATION|ORGANIZATION
Central warehouse;Central ware;LOCATION
sales level;;
Import level;;
Central System;Central System;B-misc
Service Station;Service Station;B-misc
AMAG - Central spare part Warehouse;Ware|AM;ORGANIZATION|LOCATION
Car manufacturer;;
Service stations, dealers and customers;;
Central Warehouse Luzern;Luzern|Central Ware;LOCATION|LOCATION
IT;IT;ORGANIZATION
Logistics, Warehouse near to the customers;Ware;LOCATION
Logistic, warehouse not near to the customer;;
ABB Turbo Systems Baden (Switzerland);AB|Switzerland|Turbo Systems Baden;ORGANIZATION|I-org|LOCATION
Secretariat;;
Robert;Robert;PERSON
Physician;;
Secretary;;
Store Manager;Store Manager;B-misc
Stock Manager;Manager;I-org
Catalogue Browser;Catalogue;B-misc
Shopping Basket / Checkout;Shopping Basket|Check;B-misc|LOCATION
Amazon Sub Seller;Amazon Sub Selle;ORGANIZATION
Amazon;Amazon;LOCATION
Used Book sellor on Amazon;Amazon|Book;B-misc|ORGANIZATION
Mail Staff;Mail Staff;ORGANIZATION
Data Entry Staff;Staff|Data Entry;B-misc|I-org
Master Data Entry Staff;Master Data Entry Staff;B-misc
Data Validation Officer;Officer|Data Val;ORGANIZATION|I-org
Mark;Mark;PERSON
Security Check;Security Check;B-misc
Boarding Gate;Board|Gate;LOCATION|I-loc
CUSTOMER;C;B-misc
Order Management System;Order Management System;B-misc
CRM;CR;ORGANIZATION
Manufacturing;Manufacturing;ORGANIZATION
Logistics Provider;Pro;I-org
AVERS OEM - Raw Material Supply;Material Supply|O;B-misc|I-misc
Regional Headquarters, Singapore;Singapore|Headquarters;I-loc|LOCATION
Manufacturing Factory, Vietnam;Vietnam|Manufacturing Factory;ORGANIZATION|LOCATION
Regional Electronic Equipment Company;Regional Electronic E|Company;ORGANIZATION|I-org
Distribution/Logistics Provider 05;Lo|Pro|05;ORGANIZATION|I-org|I-org
Regional Type Company;Regional Type Company;ORGANIZATION
Distribution/Logistics Provider 01;Lo|Pro|01;ORGANIZATION|I-org|I-org
Air Conditioner Company, Regional;Company|Air Con;ORGANIZATION|I-org
Distribution/Logistics Provider 02;Lo|Pro;ORGANIZATION|I-org
Car Upholstery Company, Regional;Car Up|Company;ORGANIZATION|I-org
Distribution/Logistics Provider 03;Lo|Pro|03;ORGANIZATION|I-org|I-org
Paint Company, Regional;Company|Pain;ORGANIZATION|I-org
Distribution/Logistics Provider 04;Lo|Pro|04;ORGANIZATION|I-org|I-org
EU Headquarters;EU Headquarters;LOCATION
Retail Outlet;Out|Re;B-misc|I-misc
Auto Inc HQ;Auto Inc HQ;ORGANIZATION
Factory Vietnam;Factory Vietnam;ORGANIZATION
Regional Supplier 1;1|Regional Suppl;B-misc|I-misc
Logistics Provider 2;Lo|Pro|2;ORGANIZATION|I-org|I-org
Regional Supplier 2;2|Regional Suppl;B-misc|I-misc
EU HQ Supplier;EU HQ Suppl;ORGANIZATION
Logistics Provider 1;Pro|1;I-org|I-org
Logistics Provider 3;Lo|Pro|3;ORGANIZATION|I-org|I-org
Warehouse 1;Ware|1;ORGANIZATION|I-org
Warehouse 2;Ware|2;ORGANIZATION|I-org
AVERS OEM - Production Control;Control|O;B-misc|I-misc
Production Scheduling;Production Sc;ORGANIZATION
PVE;PV;ORGANIZATION
PBPE;PB;ORGANIZATION
Poultry and Eggs sector;Poul|and Egg;B-misc|I-misc
Government;Government;B-misc
KIP;K;PERSON
Heffingen;;
Poultry/Egg Sector Company;Poul|Egg Sector Company;ORGANIZATION|ORGANIZATION
ITBP (Tier 2);IT|Tier 2;ORGANIZATION|PERSON
ITBP (Tier 1);IT|Tier 1;ORGANIZATION|PERSON
Business Controller;Business Control;B-misc
IT Controller;IT Control;B-misc
Portfolio Manager;;
Philips IT - PSO (Project Support Office);Philips IT|Project Support Office;ORGANIZATION|B-misc
Logistic Provider;Lo|Pro;ORGANIZATION|I-org
ERP;ER;PERSON
Logistic provider;;
AVERS OEM;;
bank a;;
bank b;;
Validity check;;
Account Creation;Account Creation;B-misc
Role (Geoff Bourke);Geoff Bou;PERSON
Asset Manager(s);Manager;I-org
IDM;ID;ORGANIZATION
Telstra;Tel;ORGANIZATION
Risk Manager;Risk Manager;B-misc
Telstra Tecnical Team(s);Team|Te|Tel;ORGANIZATION|I-org|I-org
NAB Asset Manager(s);Ass|Manager|NA;PERSON|I-per|I-per
NSTAF Facilitator;NS|Fa;ORGANIZATION|I-org
Network Capacity Planner;Plan|Network Cap;B-misc|I-misc
Asset Manager;Manager;I-org
Nework Capacity Planner;Cap|Plan|New;PERSON|I-per|I-per
APCD;AP;ORGANIZATION
NAB;NA;PERSON
IBM;IBM;ORGANIZATION
Telstra Capacity Team;Cap|Team|Tel;ORGANIZATION|I-org|I-org
EMPLOYEES;EM;B-misc
SUPERVISORS;SU;B-misc
PURCHASE DEPARTMENT;P|DE;PERSON|I-per
ACCOUNTS PAYABLE;ACC;B-misc
GOODS RECEIPT;;
Drop off and data entry (technician);;
Drug utilization review (DUR), incurance check, (pharmacist, pharmacy employees);D;B-misc
Production (certified pharmacy technician);;
Pickup (Technician);Tech|Pick;PERSON|LOCATION
Helpdesk;;
Sales team;;
Accounts Department;Department|Account;ORGANIZATION|I-org
DMS Parts Provision Team;Team|DM|Parts Pro;ORGANIZATION|I-org|I-org
Credit Check Authority;Credit Check Authority;B-misc
Branch Office;Branch Office;ORGANIZATION
Office branch;;
System support;;
User support;;
Course;Course;B-misc
Clerk;Clerk;PERSON
Complaint Manager;Manager|Com;B-misc|I-misc
Helpdesk Operator;Help|Operator;B-misc|I-misc
Product owner;;
Scrum master;;
Receiving;;
Chustomer;Chu;PERSON
Itunes;It;ORGANIZATION
customer service representative;;
Development Director;Director;I-org
Research & Development;Research & Development;B-misc
Quality Assurance;Quality Ass;B-misc
Development Team;Development Team;ORGANIZATION
Supply Depot;Supply Depot;ORGANIZATION
Requester;;
Accounts Payable;Pay|Account;B-misc|I-misc
SUPPLIER;;
Cape Town Procurement;Cape Town;LOCATION
Ottawa;Ottawa;LOCATION
Jakarta;Jakarta;LOCATION
Procurement;;
Assembly;Assembly;B-misc
Sales Process;Sales Process;B-misc
Inventory Receiving Process;Inventory Rec|Process;B-misc|I-misc
Misc. Email Folders;Em|F;PERSON|I-per
End of Day Process;End of Day Process;B-misc
Kinshasa;Kinshasa;LOCATION
Auckland;Auckland;LOCATION
Purchasing/Shipping;Ship;LOCATION
Cape Town Accounts Payable;Cape Town|Pay|Account;LOCATION|B-misc|I-misc
Sales US;Sales US;ORGANIZATION
Sales EMEA;Sales EM;B-misc
Provisioning;;
Sephora;Sep;PERSON
Provisioning Trextel;Tre;PERSON
DSR;DS;PERSON
Window Migration route;Window Migration route;B-misc
Business Units;Business Units;B-misc
Line of Business Customer ;Line of Business Custom;B-misc
Desktop Development Team;Des|Development Team;ORGANIZATION|I-org
IT Testing Team;IT Test|Team;ORGANIZATION|I-org
Global Packaging Services;Services|Global Pack;B-misc|I-misc
BRD Review Anaylysts;Review|Ana|BR;ORGANIZATION|I-org|B-misc
Developer;;
Citi Market Place;Market Place|Ci;ORGANIZATION|I-org
Senior Management;Senior Management;B-misc
TSAM Provisoning;TS;B-misc
Application Portal;Application Portal;ORGANIZATION
CATE or Sector Architects;or Sector Architects|CA;B-misc|I-misc
CATE Labs Support Team;Labs Support Team|CA;ORGANIZATION|I-org
Global Customer Service Center;Service Center|Global Custom;B-misc|I-misc
Engineer;;
Business;Business;B-misc
System Admin;System Ad;B-misc
Integration Team;Integration Team;ORGANIZATION
Level 1 Support;Level 1 Support;B-misc
Level 2 Support;Level 2 Support;B-misc
Quality Control;Quality Control;B-misc
Line of Business User, Project Managers;Line of Business User|Project Manager;B-misc|ORGANIZATION
Citi Technology Infrastructure (CTI);CT|Ci|Technology Inf;ORGANIZATION|I-org|ORGANIZATION
Data center Operation;Operation;ORGANIZATION
SA / SAN/Frame Support;Support|SA|Fram;ORGANIZATION|B-misc|I-misc
Mail Room;Mail Room;LOCATION
Shareholder Services;Services|Sha;ORGANIZATION|I-org
Background Check Vendor;Background Check Ve;B-misc
Fund Accounting Team;Fund Account|Team;ORGANIZATION|I-org
Accounts Receivables;;
The Mail Room;The Mail Room;LOCATION
Accounting Department;Department|Account;ORGANIZATION|I-org
Shareholder Services Team;Sha|Services Team;ORGANIZATION|I-org
Shareholder Services Manager;Services Manager;B-misc
Private Investors;Private In;ORGANIZATION
Accounting Team;Team|Account;ORGANIZATION|I-org
Background Vendor;Ve;PERSON
Superviser;;
Support;;
Acme Warehouse;A|Ware;ORGANIZATION|I-org
Sales & Dist.;Sales & Dis;B-misc
Sales & Dist;Sales & Dis;B-misc
Insurance Co.;Insurance Co;ORGANIZATION
Accounts Payable ;Pay|Account;B-misc|I-misc
Requester ;;
Customer Actions;Action|Custom;B-misc|I-misc
Customer Service Representative Actions;Service Representative Action|Custom;B-misc|I-misc
Application Manager;Application Manager;B-misc
EERS Feed Provider;Pro|EE|Fe;B-misc|I-misc|I-misc
EERS Integration Team;EE|Integration Team;B-misc|I-org
Information Security Administration;Information Security Administration;ORGANIZATION
Point Sec Administrator;Point Sec;ORGANIZATION
SA Managers;SA Manager;B-misc
Market Place;Market Place;LOCATION
Command Center;Command Center;LOCATION
Users/Developers;;
MQSeries Global Enterprise System Group;Global Enterprise System Group|M;ORGANIZATION|I-org
Global Business Integration Operational Group;Group|Global Business Integration Operation;ORGANIZATION|I-org
3rd Party Access Solutions Workgroup (3PASWG);3rd Party Access Solutions Work|3;B-misc|B-misc
Information Security Technology Group (ISTG);IS|Information Security Technology Group;ORGANIZATION|ORGANIZATION
Kinsasha: Supplier;Suppl;PERSON
Level-01 Support;Support;B-misc
Level-02 Support;Support;B-misc
SME Support;SM|Support;B-misc|I-misc
Release Management;Release Management;B-misc
Citi Business User ;Ci|Business User;ORGANIZATION|I-org
Project Management Team;Project Management Team;ORGANIZATION
Software Development Team;Software Development Team;ORGANIZATION
Workflow Engine;Engine|Work;ORGANIZATION|I-org
Call Center Agent;Call Center Agent;B-misc
ACME Employee;Em|ACM;ORGANIZATION|I-org
Internal Client;Internal Cl;B-misc
Desktop Support Team;Des|Support Team;B-misc|I-misc
Desktop Support Services;Support Services|Des;B-misc|I-misc
Retailer Order;Re|Order;B-misc|I-misc
Visa;Visa;ORGANIZATION
WAREHOUSE;W;B-misc
REQUESTER;;
ACME Warehouse;Ware|ACM;ORGANIZATION|I-org
R&D, KMS Management;R|Management|D|KM|&;PERSON|I-misc|I-per|ORGANIZATION|I-org
KMS Development;Development|KM;ORGANIZATION|I-org
KMS Management;KM|Management;ORGANIZATION|I-org
KMS Development Level 1;KM|Development Level 1;ORGANIZATION|I-org
KMS Development Level 2;Development Level 2|KM;ORGANIZATION|I-org
KMS MANAGEMENT;KM;PERSON
KMS DEVELOPMENT PROCESS;KM;B-misc
KMS CLIENT;KM|CL;PERSON|I-per
Shareholder service Team;Team;ORGANIZATION
Background check vendor;;
Fund Accounting;Fund Account;B-misc
Director approval;;
Manager Approver;Manager App;PERSON
Financial Analyst;Financial Ana;ORGANIZATION
Citi MarketPlace;Market|Ci;ORGANIZATION|I-org
Project Accounting;Project Account;B-misc
Marketing Team;Marketing Team;ORGANIZATION
Capacity Steering Committee;Cap|Committee|St;ORGANIZATION|I-org|I-org
Project Management;Project|Management;B-misc|I-org
Technology Management;Technology Management;ORGANIZATION
New Employee;New Em;B-misc
Set Up Training;Set Up Training;B-misc
Attend Training;Training|At;B-misc|I-misc
Set Up Access;Set Up Access;B-misc
Warhouse;War;LOCATION
Accounts Pay;Pay|Account;B-misc|I-misc
Warehouse ;Ware;LOCATION
Supervisor ;;
Project Manager (PM);Project Manager|PM;B-misc|PERSON
MSSB CM Team;CM Team|MS;ORGANIZATION|I-org
CCR Team;CC|Team;ORGANIZATION|I-org
Customer Request For Computing Capacity;For Computing Cap|Re|Custom;B-misc|I-misc|I-misc
Finance Approval / Management Authorization;Finance App|Management Author;ORGANIZATION|B-misc
REQUESTER ;;
ACCOUNT PAYABLE;;
ACME SUPPLIER;ACM;PERSON
Network Engineering;Network Engineering;ORGANIZATION
CATE Engineer/Sector Architect;Sector Arch|CA|Engineer;B-misc|I-misc|ORGANIZATION
CATE Labs Administrator;CA|Labs;ORGANIZATION|I-org
External Connectivity Management;Con|Management|Ex;B-misc|I-misc|I-misc
Network Security Engineer;Network Security Engineer;B-misc
Information Security Officer;Information Security Officer;ORGANIZATION
Operations & Technology Risk Management;Operations & Technology Risk Management;B-misc
Perimeter Security Officer;Security Officer;I-org
RFC Approvers;RFC App;ORGANIZATION
Development Group;Development Group;ORGANIZATION
Business Relation Group ( BRM);Business Re|Group|BR;ORGANIZATION|I-org|ORGANIZATION
App Support Group;App Support Group;ORGANIZATION
Employee Requester;Re;ORGANIZATION
Direct Manager;Direct Manager;B-misc
Capacity Request Made;Re|Made;B-misc|I-misc
Finance & Management Approval;Finance & Management App;B-misc
Pharma Architecture;Architecture|Ph;B-misc|I-misc
Application Team;Application Team;ORGANIZATION
Incident Management Team;Inc|Management Team;ORGANIZATION|I-org
SA and DBA Teams;Teams|DB|SA;ORGANIZATION|ORGANIZATION|I-org
AccountsPayable;;
Various Utility Companies;Companies|Various Ut;ORGANIZATION|I-org
Le Pendez Dix;Le Pen|Dix;B-misc|I-misc
Grenoble;Grenoble;LOCATION
Accounts Payable (Haley);Haley|Pay|Account;B-misc|I-misc|PERSON
Sales (Nick);Nick|Sales;PERSON|PERSON
Procurement (Jane);Jane;PERSON
Accounts Receivable (Sarah);Sarah|Rec|Account;B-misc|I-misc|PERSON
INVESTOR;IN;B-misc
MAILROOM;MA;B-misc
ACCTG TEAM;ACC;B-misc
BACKGROUND SCREENING;SC|BA;B-misc|I-misc
Business Architect;Business Arch;B-misc
Technology Architect;Technology Arch;ORGANIZATION
Enterprise Architecture Council;Enterprise Architecture Council;ORGANIZATION
Application Architect;;
Chief Information security Officer;Information security Officer;I-org
CRS;CR;PERSON
director;;
Mortgage application;;
Ticket automat;;
Program director;;
get costumes ready for specific day;;
Online retailer: Fulfill order;order|Fu;ORGANIZATION|I-org
costum usage;;
ICT Logistics;Lo|IC;ORGANIZATION|I-org
Forwarder;;
Cloud;Cloud;B-misc
Production Planning;Production Planning;B-misc
OUR COMPANY;COM|O;B-misc|I-misc
CENTRAL IT;IT|CE;B-misc|I-misc
DATA ENTRY;EN|DA;B-misc|I-misc
PHARMACIST;P;B-misc
DROP-OFF;DR;B-misc
PICKUP;;
PRODUCTION;;
QUALITY ASSURANCE;AS|Q;PERSON|I-per
CVS - DATA ENTRY;CV|EN;B-misc|I-misc
CVS - CUSTOMER SERVICE;CV|SE;B-misc|I-misc
CUSTOMER SERVICE;C|SE;PERSON|I-per
site engineer;;
depot clerk;;
works engineer;;
Talent Seek - Recruitment Manager;Manager|Talent See;B-misc|I-misc
Talent Seek;See|Talent;B-misc|I-org
Recruitment Managers;;
Admin and clerical staff;;
Casual Admin Assistant;Ca|Assistant|Ad;B-misc|I-misc|I-misc
HR Coordinator;HR Co;ORGANIZATION
Check Deadlines;Check Deadline;B-misc
