Entry;Entities;EntityType
Sales Manager;Sales Manager;TITLE
Customer Service Rep;Customer Service Rep;ORGANIZATION
FeelWheel;;
Hotel;;
Costumer Services;Costumer;TITLE
Sales & Logistics;;
Accountig Office;;
Manufactoring;;
Logistics Department;;
Financial Department;;
Financial Accounting;;
Service Center;;
Advisery Service;;
Customer Management;;
Warehousing;;
help desk;;
account manager;manager;TITLE
Finance Department;Finance Department;ORGANIZATION
Financing;;
Customer service;;
Customer advisory;;
Sales depatrtment;;
Dispositon;Dispositon;PERSON
bank;;
restaurant;;
Italian Restaurant;Italian;NATIONALITY
Restaurant;;
Manager;Manager;TITLE
PayPal Client;PayPal;ORGANIZATION
PayPal System;;
PayPal User;;
Administration Department;;
Accounts Receivable;;
Payment Office;;
Data Entry;;
User;;
The payment office;;
Mail centre;;
Validation office;;
BCC;;
The User;;
BCC Server;;
Company Server;;
Features of the founded Software;;
Business Location;;
Business Name;;
Choosing Software;;
Legal structure;;
Company legal structure;;
Lease Option;;
Protecting Your Business;;
Setting Up a Bank Account;;
Evaluate loan policies;;
Insurance;;
Business Licence;;
Government Requirement;;
Premises and Lease;;
Legal Requirement;;
Government Requirenment;;
Legal Reuirement;;
Promotion plan;;
Financial Plan;;
Marketing Plan;;
Company;;
Choosing the best business ISP;;
External Expert;;
Referee;Referee;TITLE
Managing director;Managing director;TITLE
Customers;;
Web design team;;
marketing team;;
sales department;;
engineering department;;
storehouse;;
Catering service;;
Credit officer;;
Senior credit officer;;
Select forest plots;;
Employee;;
Supervisors;;
Purchase Department;;
Goods Receipt Department;;
Accounts payable;;
Tech;;
System;;
Pharmacist;Pharmacist;TITLE
Level-1 support staff (5p);;
Level-2 support staff (3p);;
Job Tracking System (JTS);;
Central procurement department;;
Approver;Approver;PERSON
Specialist;Specialist;TITLE
Storage;;
Shop;;
Subject;;
PC-Operator;;
Wellbeing Survey Software;;
Mobile Unit;Mobile;TITLE
Communication Team;;
Wellbeing WebServer;;
Movile Unit;Movile Unit;ORGANIZATION
Order Process;;
Missionary;Missionary;TITLE
Team Assistant;Assistant;TITLE
Direction;;
Team Assistant;Assistant;TITLE
Team Leader;Leader;TITLE
Manufacturer;Manufacturer;TITLE
QUT Administration;;
QUT Virtual;;
Unit Coordinator;;
Pit;;
employee;;
finance team;;
Wholesaler;;
Distributor;;
Manufacturing Department;;
Inventory Department;;
Procurement Department;;
Student Engagement;Student;TITLE
Faculty;;
Facilities Department;;
Data Entry Officer;;
Mail centre Staff;;
Master Data Entry Department;;
Validatoin Officer;;
Mail Centre Staff;;
RM;;
Student Engagement Department;Student;TITLE
Student Engagement;Student;TITLE
Student Volunteer;Student;TITLE
Central purchase department;;
Requestor;Requestor;
Receipt department;;
Pharmacy technicians;;
Sales Assistant;Assistant;TITLE
Engineering Department;;
Loan Agency;;
Prefect;;
IRSN Scientific experts;;
IRSN;IRSN;PERSON
Firemen;;
Police;;
Meteo France;France|Meteo;LOCATION|COUNTRY
Radiation Survey Network;;
Office of infrastructures;;
Media;;
Hospitals;;
MEMS;;
Radiation survey network;;
Office of infrastructure;;
Representative of the local authority;Representative;TITLE
NWU CC CRC;NWU;ORGANIZATION
NWU CR Business Field;;
costume designer;costume designer;TITLE
costume staff;;
PhD Student;Student;TITLE
PhD Office;;
Administration office;;
Advisor;;
Phd office;;
Phd student;student;TITLE
PhD office;;
Departement assistant;assistant;TITLE
PhD student;student;TITLE
Phd Office;;
PhD Central Office;;
Exam Commission;;
Signatory;;
Loan Order Process;;
Booking service;;
Booking Service;;
Insurance Company;;
Breakdown service company;;
Clinic;;
Repair shop;;
Registrar;Registrar;TITLE
Professor;Professor;TITLE
Higher management;;
Agent;;
Offerer;;
Real estate agent;estate agent;TITLE
ABB Turbo System Service station;ABB Turbo System Service;ORGANIZATION
ABB Turbo System Baden Warehouse;ABB;ORGANIZATION
Repair Department;;
Our Enterprise;;
AMAG - central spare part warehouse;AMAG;ORGANIZATION
Car manufacturer (VW and Porsche);manufacturer|VW;TITLE|ORGANIZATION
Regional Warehouse;;
regional warehouse;;
central warehouse;;
Central Warehouse;Central Warehouse;ORGANIZATION
5 Regional Warehouse;5;NUMBER
36 distribution centers;36;NUMBER
Call center;;
AMAG;AMAG;ORGANIZATION
Integrated Carrier;;
Warehouse (Central / Regional);;
Volkswagen / Porsche;Volkswagen|Porsche;ORGANIZATION|ORGANIZATION
Central warehouse;;
sales level;;
Import level;;
Central System;;
Service Station;;
AMAG - Central spare part Warehouse;AMAG;ORGANIZATION
Car manufacturer;manufacturer;TITLE
Service stations, dealers and customers;;
Central Warehouse Luzern;Central Warehouse Luzern;ORGANIZATION
IT;;
Logistics, Warehouse near to the customers;;
Logistic, warehouse not near to the customer;Logistic;
ABB Turbo Systems Baden (Switzerland);Baden|Switzerland|ABB;ORGANIZATION|PERSON|COUNTRY
Secretariat;;
Robert;Robert;PERSON
Physician;Physician;TITLE
Secretary;Secretary;TITLE
Store Manager;Manager;TITLE
Stock Manager;Manager;TITLE
Catalogue Browser;;
Shopping Basket / Checkout;;
Amazon Sub Seller;Amazon Sub;ORGANIZATION
Amazon;Amazon;
Used Book sellor on Amazon;Amazon;ORGANIZATION
Mail Staff;;
Data Entry Staff;;
Master Data Entry Staff;;
Data Validation Officer;;
Mark;Mark;PERSON
Security Check;;
Boarding Gate;;
CUSTOMER;;
Order Management System;;
CRM;;
Manufacturing;;
Logistics Provider;;
AVERS OEM - Raw Material Supply;;
Regional Headquarters, Singapore;Singapore;COUNTRY
Manufacturing Factory, Vietnam;Vietnam|Manufacturing Factory;ORGANIZATION|COUNTRY
Regional Electronic Equipment Company;Regional Electronic Equipment Company;ORGANIZATION
Distribution/Logistics Provider 05;05;NUMBER
Regional Type Company;;
Distribution/Logistics Provider 01;01;NUMBER
Air Conditioner Company, Regional;Air Conditioner Company;ORGANIZATION
Distribution/Logistics Provider 02;02;NUMBER
Car Upholstery Company, Regional;;
Distribution/Logistics Provider 03;03;NUMBER
Paint Company, Regional;Paint Company;ORGANIZATION
Distribution/Logistics Provider 04;04;NUMBER
EU Headquarters;EU;ORGANIZATION
Retail Outlet;;
Auto Inc HQ;Auto Inc;ORGANIZATION
Factory Vietnam;Vietnam;COUNTRY
Regional Supplier 1;1;NUMBER
Logistics Provider 2;2;NUMBER
Regional Supplier 2;2;NUMBER
EU HQ Supplier;EU;ORGANIZATION
Logistics Provider 1;1;NUMBER
Logistics Provider 3;3;NUMBER
Warehouse 1;1;NUMBER
Warehouse 2;2;NUMBER
AVERS OEM - Production Control;;
Production Scheduling;;
PVE;;
PBPE;PBPE;PERSON
Poultry and Eggs sector;;
Government;;
KIP;;
Heffingen;Heffingen;PERSON
Poultry/Egg Sector Company;;
ITBP (Tier 2);Tier|2|ITBP;ORGANIZATION|TITLE|NUMBER
ITBP (Tier 1);Tier|1|ITBP;ORGANIZATION|TITLE|NUMBER
Business Controller;Controller;TITLE
IT Controller;Controller;TITLE
Portfolio Manager;Manager;TITLE
Philips IT - PSO (Project Support Office);Philips IT - PSO;ORGANIZATION
Logistic Provider;;
ERP;;
Logistic provider;;
AVERS OEM;;
bank a;;
bank b;;
Validity check;;
Account Creation;;
Role (Geoff Bourke);Geoff Bourke;PERSON
Asset Manager(s);Manager;TITLE
IDM;;
Telstra;Telstra;ORGANIZATION
Risk Manager;Manager;TITLE
Telstra Tecnical Team(s);Telstra Tecnical Team;ORGANIZATION
NAB Asset Manager(s);Manager;TITLE
NSTAF Facilitator;NSTAF Facilitator;PERSON
Network Capacity Planner;;
Asset Manager;Manager;TITLE
Nework Capacity Planner;;
APCD;APCD;PERSON
NAB;;
IBM;IBM;ORGANIZATION
Telstra Capacity Team;Telstra Capacity Team;ORGANIZATION
EMPLOYEES;;
SUPERVISORS;;
PURCHASE DEPARTMENT;;
ACCOUNTS PAYABLE;;
GOODS RECEIPT;;
Drop off and data entry (technician);technician;TITLE
Drug utilization review (DUR), incurance check, (pharmacist, pharmacy employees);pharmacist;TITLE
Production (certified pharmacy technician);pharmacy technician;TITLE
Pickup (Technician);Technician;TITLE
Helpdesk;;
Sales team;;
Accounts Department;;
DMS Parts Provision Team;;
Credit Check Authority;Credit Check Authority;ORGANIZATION
Branch Office;;
Office branch;;
System support;;
User support;;
Course;;
Clerk;Clerk;TITLE
Complaint Manager;Manager;TITLE
Helpdesk Operator;Operator;TITLE
Product owner;owner;TITLE
Scrum master;;
Receiving;;
Chustomer;Chustomer;PERSON
Itunes;;
customer service representative;customer service representative;TITLE
Development Director;Director;TITLE
Research & Development;;
Quality Assurance;;
Development Team;Development Team;PERSON
Supply Depot;;
Requester;;
Accounts Payable;;
SUPPLIER;;
Cape Town Procurement;Cape Town;CITY
Ottawa;Ottawa;CITY
Jakarta;Jakarta;CITY
Procurement;;
Assembly;;
Sales Process;;
Inventory Receiving Process;;
Misc. Email Folders;Misc;LOCATION
End of Day Process;End of Day;DURATION
Kinshasa;Kinshasa;PERSON
Auckland;Auckland;CITY
Purchasing/Shipping;;
Cape Town Accounts Payable;Cape Town;CITY
Sales US;US;COUNTRY
Sales EMEA;;
Provisioning;;
Sephora;;
Provisioning Trextel;;
DSR;;
Window Migration route;;
Business Units;;
Line of Business Customer ;;
Desktop Development Team;Desktop Development Team;ORGANIZATION
IT Testing Team;;
Global Packaging Services;;
BRD Review Anaylysts;BRD;COUNTRY
Developer;Developer;TITLE
Citi Market Place;Citi Market Place;ORGANIZATION
Senior Management;;
TSAM Provisoning;;
Application Portal;;
CATE or Sector Architects;;
CATE Labs Support Team;CATE Labs Support Team;PERSON
Global Customer Service Center;Global Customer Service;ORGANIZATION
Engineer;Engineer;TITLE
Business;;
System Admin;;
Integration Team;;
Level 1 Support;1;NUMBER
Level 2 Support;2;NUMBER
Quality Control;;
Line of Business User, Project Managers;;
Citi Technology Infrastructure (CTI);Citi Technology Infrastructure|CTI;ORGANIZATION|ORGANIZATION
Data center Operation;;
SA / SAN/Frame Support;;
Mail Room;;
Shareholder Services;;
Background Check Vendor;Vendor;TITLE
Fund Accounting Team;;
Accounts Receivables;;
The Mail Room;;
Accounting Department;;
Shareholder Services Team;Shareholder Services Team;PERSON
Shareholder Services Manager;Manager;TITLE
Private Investors;Private;TITLE
Accounting Team;;
Background Vendor;Vendor;TITLE
Superviser;;
Support;;
Acme Warehouse;;
Sales & Dist.;;
Sales & Dist;;
Insurance Co.;Insurance Co.;ORGANIZATION
Accounts Payable ;;
Requester ;;
Customer Actions;;
Customer Service Representative Actions;Customer Service Representative;TITLE
Application Manager;Manager;TITLE
EERS Feed Provider;;
EERS Integration Team;EERS Integration Team;ORGANIZATION
Information Security Administration;Information Security Administration;ORGANIZATION
Point Sec Administrator;Administrator|Sec;DURATION|TITLE
SA Managers;;
Market Place;;
Command Center;;
Users/Developers;;
MQSeries Global Enterprise System Group;;
Global Business Integration Operational Group;Global Business Integration Operational Group;ORGANIZATION
3rd Party Access Solutions Workgroup (3PASWG);3rd Party Access Solutions Workgroup;ORGANIZATION
Information Security Technology Group (ISTG);Information Security Technology Group;ORGANIZATION
Kinsasha: Supplier;Kinsasha;LOCATION
Level-01 Support;;
Level-02 Support;;
SME Support;;
Release Management;;
Citi Business User ;Citi Business User;ORGANIZATION
Project Management Team;;
Software Development Team;;
Workflow Engine;;
Call Center Agent;;
ACME Employee;ACME;ORGANIZATION
Internal Client;;
Desktop Support Team;;
Desktop Support Services;;
Retailer Order;Retailer;TITLE
Visa;;
WAREHOUSE;;
REQUESTER;;
ACME Warehouse;ACME Warehouse;ORGANIZATION
R&D, KMS Management;;
KMS Development;;
KMS Management;;
KMS Development Level 1;1;NUMBER
KMS Development Level 2;2;NUMBER
KMS MANAGEMENT;;
KMS DEVELOPMENT PROCESS;;
KMS CLIENT;;
Shareholder service Team;;
Background check vendor;vendor;TITLE
Fund Accounting;;
Director approval;Director;TITLE
Manager Approver;Manager|Approver;TITLE|PERSON
Financial Analyst;Analyst;TITLE
Citi MarketPlace;;
Project Accounting;;
Marketing Team;Marketing Team;PERSON
Capacity Steering Committee;;
Project Management;;
Technology Management;;
New Employee;;
Set Up Training;;
Attend Training;;
Set Up Access;;
Warhouse;;
Accounts Pay;;
Warehouse ;;
Supervisor ;Supervisor;TITLE
Project Manager (PM);Project Manager;TITLE
MSSB CM Team;;
CCR Team;CCR Team;PERSON
Customer Request For Computing Capacity;;
Finance Approval / Management Authorization;;
REQUESTER ;;
ACCOUNT PAYABLE;;
ACME SUPPLIER;ACME;ORGANIZATION
Network Engineering;;
CATE Engineer/Sector Architect;Architect;TITLE
CATE Labs Administrator;Administrator;TITLE
External Connectivity Management;;
Network Security Engineer;Engineer;TITLE
Information Security Officer;;
Operations & Technology Risk Management;;
Perimeter Security Officer;;
RFC Approvers;;
Development Group;;
Business Relation Group ( BRM);Business Relation Group|BRM;ORGANIZATION|ORGANIZATION
App Support Group;App Support Group;MISC
Employee Requester;;
Direct Manager;Manager;TITLE
Capacity Request Made;;
Finance & Management Approval;;
Pharma Architecture;;
Application Team;;
Incident Management Team;;
SA and DBA Teams;;
AccountsPayable;;
Various Utility Companies;;
Le Pendez Dix;Le Pendez Dix;PERSON
Grenoble;Grenoble;CITY
Accounts Payable (Haley);Haley;PERSON
Sales (Nick);Nick;PERSON
Procurement (Jane);Jane;PERSON
Accounts Receivable (Sarah);Sarah;PERSON
INVESTOR;;
MAILROOM;;
ACCTG TEAM;;
BACKGROUND SCREENING;;
Business Architect;Architect;TITLE
Technology Architect;Architect;TITLE
Enterprise Architecture Council;;
Application Architect;Architect;TITLE
Chief Information security Officer;;
CRS;;
director;director;TITLE
Mortgage application;;
Ticket automat;;
Program director;director;TITLE
get costumes ready for specific day;day;DURATION
Online retailer: Fulfill order;retailer;TITLE
costum usage;;
ICT Logistics;ICT Logistics;ORGANIZATION
Forwarder;Forwarder;TITLE
Cloud;;
Production Planning;;
OUR COMPANY;;
CENTRAL IT;;
DATA ENTRY;;
PHARMACIST;PHARMACIST;TITLE
DROP-OFF;;
PICKUP;;
PRODUCTION;;
QUALITY ASSURANCE;;
CVS - DATA ENTRY;CVS;ORGANIZATION
CVS - CUSTOMER SERVICE;CVS;ORGANIZATION
CUSTOMER SERVICE;;
site engineer;engineer;TITLE
depot clerk;clerk;TITLE
works engineer;engineer;TITLE
Talent Seek - Recruitment Manager;Manager;TITLE
Talent Seek;;
Recruitment Managers;;
Admin and clerical staff;;
Casual Admin Assistant;Assistant;TITLE
HR Coordinator;HR;DURATION
Check Deadlines;;
Check Information (3a), (4a), (4b);;
Check Registration (1);1;NUMBER
Confirm Start of Delivery (4a);;
New Supplier;;
Cancelation of delivery handling;;
Service;;
Schufa;Schufa;PERSON
Academic senate;;
Candidate;Candidate;TITLE
University;;
President;President;TITLE
Inspection crew;;
Maintenance crew;;
Business Process perspectine;;
TS Recruitment Managers;;
Client End Manager;Manager;TITLE
Client HR Representive;HR;DURATION
TS HR;HR;DURATION
GovSource;;
Recruitment Panel;;
Candidates;;
TS Recruitment Manager;Manager;TITLE
Administration department;;
Mailing department;;
Data Office;;
Master Data Management;;
Recruitment Manager;Manager;TITLE
TS HR Coordinator and their teams;HR;DURATION
Casual Admin Assisstant;;
Trained specialist;specialist;TITLE
Account Provider;;
Bank Customer;Bank Customer;ORGANIZATION
Post Officer;;
Bank Officer;;
Purchase & Manufacturing;;
Accounting office;;
Italian restaurant;Italian;NATIONALITY
Informecial Meeting;;
Drop-off tech;;
Data entry tech;;
Pick-up tech;;
Producer;Producer;TITLE
CVS employee;CVS;ORGANIZATION
CVS store;CVS;ORGANIZATION
CVS;;
CVS IT system;CVS;ORGANIZATION
Transaction;;
ABC Co. RFG Process;ABC Co.;ORGANIZATION
Passenger;;
Virgin Airline Staff;;
Passenger role;;
SmartGate role;;
USER;USER;
Landlord/ Agent;Landlord;TITLE
Landlord/Agent;;
Agencies & Landlords;;
Landlord / Agency;Landlord;TITLE
Processing Officer;;
Consultant;Consultant;TITLE
Actuarial Officer;;
Accountant;Accountant;TITLE
Car Dealer;Dealer;TITLE
Mechanic;Mechanic;TITLE
Salesman;Salesman;PERSON
Patient (mother);;
Pharmacy;;
Creator;Creator;TITLE
Sales Officer;;
Production Engineer;Production Engineer;TITLE
Procurement Officer;;
Admission office;;
Academic recognition agency;;
Level-1 staff;;
Dispatcher;Dispatcher;TITLE
Driver;Driver;TITLE
Storeman;Storeman;PERSON
Tracking;;
Customer(Newlyweds);;
Guests;;
Wedding Preparing Group;;
Seamless Service Provision (SSP);;
Incoming Mail Centre;Incoming;MISC
Validation Officer;;
Payment Officer;;
Accounts receivable Department;;
Experienced SSP;;
Internal Mail;;
Master Data Entry Departement;;
Incoming Mail Employee;;
Internal Mail Employee;;
Master Data Entry Officer;;
Registry Employee;;
Experienced SSP Employee;;
Mail Centre employee;;
superiisor;;
Logistic Manager;Manager;TITLE
Warehouse Worker;;
Person;;
Market analyst;analyst;TITLE
Finance department;;
Detective;Detective;TITLE
Target audience;;
PR department;PR;STATE_OR_PROVINCE
Salesperson;;
Risk analysis department;;
Capitol;;
loan agency;;
rating agency;;
Operational Analyst;Analyst;TITLE
Analyst Supervisor;Analyst Supervisor;TITLE
Customer Registration;;
Billing form;;
Designer;Designer;TITLE
Customer (business);;
Librarian;Librarian;TITLE
CO;CO;STATE_OR_PROVINCE
Used Book Buyer;Buyer|Used Book;MISC|TITLE
sales & distribution;;
Beneficiary;;
Regulatory Department (Clerk);Clerk|Regulatory Department;ORGANIZATION|TITLE
Insurance Agent;;
Check In Desk;;
Customer Database;;
Translator;Translator;TITLE
Local Demand Management;;
Requirements Manager;Manager;TITLE
Requirements Manager Gremium;Manager|Gremium;TITLE|PERSON
Business architect;architect;TITLE
CAB;;
Technical architect;architect;TITLE
Budget- &amp;;
Release Manager;Manager;TITLE
Release Gremium;;
Flower Storage;Flower Storage;ORGANIZATION
IITB student;student|IITB;ORGANIZATION|TITLE
Traveler;;
Interested Parties;;
Extract Photo information;;
Manually Update Photo Information;;
clerk;clerk;TITLE
pizza chef;chef;TITLE
delivery boy;;
Buy a car;;
Instructor;Instructor;TITLE
Researcher;Researcher;TITLE
teacher;teacher;TITLE
Business support;;
Technical support;;
On call and email support;;
Level 1 support staff;1;NUMBER
Level 2 employee;2;NUMBER
Business Architectural Team;;
ISB Management;ISB;ORGANIZATION
Stakeholders;;
BPMC;BPMC;PERSON
BPWG;BPWG;PERSON
EMT;;
Opportunity Initiator;;
Process Owner;Owner;TITLE
Business Architecture;;
Business Architecture Team;;
Credit Division;;
Application processed;;
Application lodgement;;
Application investigation;;
Views of stakeholders;;
Financial;;
Company (HR);HR;DURATION
techGate;;
TechGate;;
techgate;;
case-worker legal affairs;;
warehouse worker;;
case-worker organization;;
requester;;
service technician;technician;TITLE
accountant;accountant;TITLE
SAP;;
Officer;;
Customer on 'Your weight loss partner' website.;;
Restaurant preparing and delivering food.;;
Organization;;
patient activities;;
device;;
Purchasing;;
Mortgage specialist;specialist;TITLE
Claim Ajuster;Ajuster;PERSON
Owner;Owner;TITLE
Ebay Seller;Ebay Seller;PERSON
Ebay Buyer;Ebay Buyer;PERSON
Board;;
CEO;CEO;TITLE
User Account Admin;;
Buyer;Buyer;TITLE
Shipping Company;;
Mail Center Staff L1;;
Admin Officers L2;;
Data Entry Officers L5;;
Agencies & Citizen;;
Service Officer;;
Land Administration Officer;;
Agencies and citizens;;
Stakeholder;;
Minister’s Delegate;Minister;TITLE
Government Garzette;Garzette;PERSON
Application and Internal System (DCS and ATS);;
SAP Management;SAP;ORGANIZATION
Validate Officer @ Level 7;7;NUMBER
Validate Officer;;
Account Receivable Dept. Level 4;4;NUMBER
Minster's Delegate;;
Land Administrative Officer;;
Service center officer;;
Agencies and Citizens;;
SAP master entry department;SAP;ORGANIZATION
Admin officer;;
Validating Officer;;
Accounts Receivable Department L4;;
Master data entry department;;
Account Receivable Department Level 4;4;NUMBER
Mail Center Level 1;1;NUMBER
Data Entry Office Level 5;5|Data Entry Office Level;ORGANIZATION|NUMBER
Subsidiary;;
Screening staff;;
Technical support staff;;
Vladimir;Vladimir;PERSON
Lauri;Lauri;PERSON
Adoption coordinator & Process analysts;;
Oganisation Managemnt;;
Process participants;;
Production with ERP-System;;
Sales & Distribution with CRM-System;;
Logistics with ERP-System;;
Finance & Accounting with ERP-System;;
Customer Service Department;Customer Service Department;ORGANIZATION
Grid Operator;Grid Operator;TITLE
Change Manager;Manager;TITLE
Agency Employee;;
Department Employee;;
Admission Commission;;
Uni-Assist;;
Online Registration Pool;;
Studienabteilung (Study Department);;
Customer service (TELECO);TELECO;ORGANIZATION
Service management (TELECO);TELECO;ORGANIZATION
Resource provisioning (TELECO);TELECO;ORGANIZATION
Customer service dept.;;
Quality Inspector;Inspector;TITLE
QA Team Leader;Leader;TITLE
QA Engineer;Engineer;TITLE
Level 1;1;NUMBER
Level 2;2;NUMBER
Role A;;
Role C;;
Role B;;
Role E;;
Role D;;
insurance clerk;insurance clerk;TITLE
Mr Franks;Franks;PERSON
Review clerk;clerk;TITLE
Attacker;;
JodaEngine;;
ENGINEERING;;
SALES;;
FINANCE;;
hardware Retailer;Retailer;TITLE
Hardware Retailer;Retailer;TITLE
Flight Centre;;
SSP Receivable Department;;
Board of Drectors;;
Service Desk;;
Incident Closure Responsible;;
Suppliers Manager;Manager;TITLE
Technical Staff;;
Administrator;Administrator;TITLE
Engeneering department;;
Sales ;;
Services;;
Klant;Klant;PERSON
External Company;;
Process;;
HR Representative;HR|Representative;DURATION|TITLE
Radiology;;
Blood test department;;
CT Scan Department;CT;STATE_OR_PROVINCE
Recruiting Manager;Manager;TITLE
Manager/chairperson;;
SPARQ HR;HR;DURATION
Manager/Chairperson;;
Recruitment manager;manager;TITLE
Co-Workers;;
Phone clerk;clerk;TITLE
Home doctor;doctor;TITLE
product;;
Personal Service Department;;
Thesis Director;Director;TITLE
Finance Officer;;
Administration Officer;;
EC-Lille;;
boss;boss;TITLE
humain resource;;
Representative;Representative;TITLE
Claim adjuster;Claim adjuster;TITLE
Bill (Owner);Bill|Owner;PERSON|TITLE
Illustration Creation Team;;
Technical Team;Technical Team;PERSON
Admin Officers;;
Cooking Area;;
Packing Area;;
Lecture;;
Real estate;;
ordering;;
purchasing;;
manufacturing;;
Validation Officers;;
Data Entry Officers;;
Master Data Entry;;
Payment Officers;;
Department XYZ;;
Process 1;1;NUMBER
Team work explorer;explorer;TITLE
meeting members;;
meeting manager;manager;TITLE
client;;
Seamless Service Provision(SSP);;
internal mail center;;
Validation Ofiicer;;
Staff Member;;
Internal Mail Centre;;
MetalWorks;;
Level-1;;
Level-2;;
Job tracking system;;
Store;;
Headquarter;;
Hermes;Hermes;ORGANIZATION
Disposition;;
Hub;;
Resourcing;;
R&D;;
Investment Decision-making Commitee;;
Pets@home;Pets@home;URL
Topup Method;;
Agency & Citizen;;
Minister Delegate;Minister;TITLE
STUDENT;STUDENT;TITLE
PhD OFFICE;;
ADMINISTRATION;;
Sales Director;Director;TITLE
Sales Executive;Executive;TITLE
Automatic procedure;;
company;;
secretary;secretary;TITLE
Secratory;Secratory;PERSON
Administors;;
Students;;
students;;
Doctor school;Doctor;TITLE
Coordinator;;
advisor;;
PHD OFFICE;;
Not EU;;
EU;EU;ORGANIZATION
Evaluation commission;;
Member of evaluation commission;;
PROFESSORS;;
