Subject;Activity;VerbPhrases;NounPhrases;ProperNouns
User;Install POM;Installs;POM;
User;Set Reference Temperature;;Reference Temperature;Set
M10 Mirror;Set M10 Tilt Angles;;Angles;Set M10 Tilt
User;Modify POM term;Modifies;POM term;
ASM;Monitor Environmental data;Monitors;Environmental data;
User;Get Enclosure Temperature;;Enclosure Temperature;
User;Set Tracking Wavelength;;Set Tracking Wavelength;
TRS;Control FS Corrections;;Control FS Corrections;
TRS;Stop Chopping;Stops Chopping;;
User;Switch On/Off Nasmyth Beacon Light Source;Switches On;Light Source;Off Nasmyth Beacon
TRS;Monitor Environmental data;Monitors;Environmental data;
FSS STRAP;Set FSS Filter Wheel;;Set FSS Filter Wheel;
Tracking Axis Drive;Offset Alt/Az;;;Offset Alt|Az
FSS STRAP;Stop FSS Acquisition;Stops;Acquisition;FSS
Nasmyth Beacon Light Sources;Set Nasmyth Beacon Light Level;;Light Level;Set Nasmyth Beacon
User;Set FSS Field Diaphragm;;;Set FSS Field Diaphragm
User;Preset Telescope to Astronomical Coordinates;;Astronomical Coordinates;Preset Telescope
User;Prepare FAS Setup;Prepares;Setup;FAS
User;Control FS Corrections;;Control FS Corrections;
User;Preset Telescope in Alt/Az Coordinates;;Coordinates;Preset Telescope|Alt|Az
FSS STRAP;Send FSS Setup;Sends;Setup;FSS
User;Do one calibrated correction;calibrates;correction;
User;Close Enclosure;;Close Enclosure;
User;Offset Alt/Az;;;Offset Alt|Az
M6 Mirror;Set M6 Tilt Angles;Sets;Tilt Angles;M6
User;Check Status Air Conditioning;Checks;Air Conditioning;Status
FSS STRAP;Start FSS Acquisition;Starts;Acquisition;FSS
M6 Mirror;Monitor Power Status;Monitors;;Power Status
Tracking Axis Drive;Preset Telescope in Alt/Az Coordinates;;Coordinates;Preset Telescope|Alt|Az
TRS;Start Autoguiding;Starts Autoguiding;;
ASM;Periodic Set Reference Temperature;;;Set Reference Temperature
TRS;Start Field Stabilization;Starts;Field Stabilization;
M10 Mirror;Get M10 Tilt Angles;;Angles;M10 Tilt
User;Save Guide Detector Image;Saves;Detector Image;Guide
Air Conditioning;Monitor Temperature data;Monitors;data;Temperature
User;Set M2 Center Position;;;Set M2 Center Position
User;Telescope Offset;;;Telescope Offset
FSS STRAP;Calibrate M6 versus Coude Sensors;Calibrates;M6 versus Coude Sensors;
Hydraulic & Pneumatic Systems;Monitor HPS Status;;Monitor HPS Status;
Telescope Temperature Sensors;Read Telescope Temperature Sensors;;Temperature Sensors;Read Telescope
User;Switch On/Off Pupil Beacon Light Source;Switches On;Light Source;Off Pupil Beacon
Enclosure;Open Enclosure;;Open Enclosure;
User;Center Guide Star;;;Center Guide Star
User;Prepare for Image Alignment;Prepares for;Image Alignment;
User;Set Storage Mode for Pointing Measurements;Pointings;Measurements;Set Storage Mode
User;Configure Chopping;;Configure Chopping;
M2 Beacon;Switch On/Off Pupil Beacon Light Source;Switches On;Light Source;Off Pupil Beacon
User;Center Object;;;Center Object
M1 Temperature;Monitor Temperature data;Monitors;data;Temperature
Tracking Axis Drive;Make Pointing Error Measurement;Makes;Error Measurement;Pointing
User;Store POM Measure;;Store POM Measure;
FAS TCCD;Stop FAS Acquisition;Stops;Acquisition;FAS
User;Get FSS Field Diaphragm;;Field Diaphragm;FSS
User;Set Dew Point Margin;;;Set Dew Point Margin
User;Check Status Anchors;Checks;Anchors;Status
Flow Meter;Monitor Cooling Flow;Monitors Cooling;Flow;
User;Center M6;;M6;Center
User;Optimize Field Stabilisation;;Field Stabilisation;Optimize
TRS;Start Chopping;Starts Chopping;;
User;Set Nasmyth Wheel;Sets;;Nasmyth Wheel
Air Conditioning;Stop Air Conditioning;Stops;Air Conditioning;
User;Start Autoguiding;Starts Autoguiding;;
Enclosure Anemometer;Monitor Enclosure Anemometer;Monitors;;Enclosure Anemometer
User;Set FAS Integration Time;;Integration Time;Set FAS
Enclosure;Monitor Temperature data;Monitors;data;Temperature
User;Make POM;Makes;POM;
User;Set Tracking Additional Velocity;Trackings;Set|Additional Velocity;
User;Set Coude Beam Switching Device;Switchings;Device;Set Coude Beam
TRS;Stop Field Stabilization;Stops;Field Stabilization;
User;Start Field Stabilization;Starts;Field Stabilization;
M2 Mirror;Get M2 Tilt Angles;;Angles;M2 Tilt
User;Get FSS Filter Wheel;;Filter Wheel;FSS
TRS;Monitor Enclosure Anemometer;Monitors;;Enclosure Anemometer
FAS TCCD;Start FAS Acquisition;Starts;Acquisition;FAS
Enclosure Anemometer;Monitor Environmental data;Monitors;Environmental data;
Nasmyth Beacon Light Sources;Switch On Nasmyth Beacon Light Source;Switches On;Beacon Light Source;Nasmyth
M2 Mirror;Set M2 Center Position;;;Set M2 Center Position
User;Start FAS Acquisition;Starts;Acquisition;FAS
User;Stop Delay Constant Alignment;Stops;;Delay Constant Alignment
User;Set FSS Filter Wheel;;Set FSS Filter Wheel;
User;Stop current action;Stops;current action;
User;Preset Telescope to Catalogue Object;;;Preset Telescope|Catalogue Object
FSS Field Diaphragm;Get FSS Field Diaphragm;;Field Diaphragm;FSS
Support Manager;Review & Escalate;;;Review|Escalate
Employee;Enter Order;Enters;Order;
Clerk;Fill a Post label;Fills;Post label;
Business participant;Increment Tally;;Increment Tally;
Hardware Retailer;Take out extra insurance;Takes out;extra insurance;
2nd Level Support Agent;Ask developer;Asks;developer;
Nobel Committee Medicine;Select Final Candidates and Their Works;;Works;Select|Candidates
Order Process;Approve Order;Approves;Order;
Candidate;Submit Application;Submits;Application;
Travel Agent;Confirm Booking;;;Confirm Booking
Expert;Assess Candidates Work;Works;;Assess Candidates
Business participant;Check availability with supplier;Checks;availability with supplier;
Online Shop;Check Stock Level;Checks;;Stock Level
Candidate;Interview;;;Interview
Business participant;Cancel Request;Cancels;Request;
System Communication;Book Order;;Book Order;
No Magic;Prepare Talk Presentation;Prepares;Talk Presentation;
Seller;Send an offer to the client;Sends;offer to the client;
Pizza Customer;Ask for the pizza;Asks for;pizza;
Car House;Enter User and Dates;Enters;;User|Dates
Logistics Manager;Take out extra insurance;Takes out;extra insurance;
Sales Department;Prepare special terms;Prepares;special terms;
Business participant;E-Mail Vote Deadline Warning;;Vote Deadline Warning;- Mail
Seller;Develop proposal;Develops;proposal;
Software developer;Provide feedback for 2nd level support;Provides;feedback for 2nd level support;
Clerk;Assign carrier;;carrier;Assign
Developer;Verify bug;;bug;Verify
Bank;Assess risk;;Assess risk;
1st level support;Edit 1st level ticket;Edits;1st level ticket;
Travel Agent;Propose Booking Status;Proposes Booking;;Status
Nobel Committee Medicine;Hold Nobel Price Ceremony;Holds;;Nobel Price Ceremony
Warehouse;Ship Goods;;Ship Goods;
Trouble Ticket System;edit 1st level ticket;edits;1st level ticket;
Trouble Ticket System;Edit account manager;;Edit account manager;
Customer;Confirm Interest;Confirms;Interest;
Hardware Retailer;Decide if normal post or special shipment;Decides;normal post|special shipment;
No Magic;Publish Seminar Description in Website;;;Publish Seminar Description|Website
Vacation Request Approval Process;Mark vacation in Calendar;;vacation in Calendar;Mark
User;report bug;;bug;report
Customer;Place Order;;Place Order;
Marketing Manager;Publish Seminar Description in Website;;;Publish Seminar Description|Website
Customer;Select Travel;;Select Travel;
Trouble Ticket System;Add to backlog;Adds|backlogs;;
Administrator;Notify user;Notifies;user;
1st level support;Edit account manager;;Edit account manager;
Librarian;Register Reservation;;;Register Reservation
1st Level Support Agent;Classify ticket;Classifies;ticket;
Business participant;Send Results Via E-Mail;Sends;Results Via E - Mail;
Business participant;Request Hold;Requests;;Hold
Technician;Receive Notification;Receives;Notification;
Risk Analyst;Assess risks;;Assess risks;
Car House;Select Car;;Select Car;
No Magic;Welcome Participants;;;Participants
Seller;Change the terms of the offer;Changes;terms of the offer;
Business participant;Get Book Status;;;Book Status
No Magic;Evaluate Participants Number;Evaluates;Participants Number;
Manager;Approve Order;Approves;Order;
Business participant;Reply On Loan ;Replies On;Loan;
Cab Driver;Pickup Customer;;;Pickup Customer
Business participant;Send Registered Warning Letter;Sends Registered;;Warning Letter
Support Department;Work Offline;Works;;Offline
Organization;Initiate File;;File;Initiate
Nobel Committee Medicine;Select Preliminary Candidates;Selects;Preliminary Candidates;
Nobel Assembly;Announce Nobel Prize Laureates;;;Announce Nobel Prize Laureates
Pizza Customer;Eat the pizza;Eats;pizza;
Firm;Reject Application;Rejects;Application;
Candidate;Review Offer;;;Review Offer
Trouble Ticket System;Send Mail to Account Manager;Sends|Accounts;;Mail|Manager
Business participant;Receive Issue List;Receives;Issue List;
Warehouse Worker;Package goods;;Package goods;
Business participant;Process Payment;;Process Payment;
No Magic;Register Participant;;;Register Participant
Hardware Retailer;Request quotes from carriers;;Request quotes from carriers;
1st Level Support Agent;Handle 1st level issue;Handles;1st level issue;
No Magic;Give talk;Gives;talk;
Online Shop;Suggest Change;Suggests;Change;
Recruiter;Schedule Interview;;Schedule Interview;
Car House;Show Reservation;Shows;;Reservation
pizza chef;Bake the pizza;Bakes;pizza;
Administrative Department;Bill;;;Bill
Hardware Retailer;Fill a Post label;Fills;Post label;
1st level support;Open Ticket;Opens;Ticket;
System Communication;Store in Marketing System Client 100;;Store in Marketing System Client 100;
Nobel Committee Medicine;Send Nomination Form;Sends;Nomination Form;
Business participant;Moderate Conference Call Discussion;;Call Discussion;Moderate Conference
Technician;Work Offline;Works;;Offline
Hardware Retailer;Add paperwork;Adds;paperwork;
2nd level support;Edit 2nd level ticket;Edits;2nd level ticket;
Marketing Manager;Collect Questionnaries;;;Collect Questionnaries
Reader;Return Item;;Return Item;
Trouble Ticket System;Edit 2nd level ticket;Edits;2nd level ticket;
Marketing Manager;Make Internal Seminar Anoucement;Makes;;Internal Seminar Anoucement
Business participant;Register Order in Manufacturing System;Registers;Order in Manufacturing System;
Aqua Distilled Water Company;Verify Customer Identity;;Customer Identity;Verify
2nd level support;Add to backlog;Adds|backlogs;;
Seminar Coordinator;Make Internal Seminar Anoucement;Makes;;Internal Seminar Anoucement
Nobel Committee Medicine;Submit Report with Recommendations;Submits;Recommendations;Report
Reservation;Submit Car Reservation;Submits;Car Reservation;
Nobel Committee Medicine;Send list of Selected Preliminary Candidates;Sends;list of Selected Preliminary Candidates;
2nd level support;edit 2nd level ticket;edits;2nd level ticket;
Nominator;Identify Potential Nominee(s);Identifies;;Potential Nominee(s
Travel Agent;Get Alternative Time;;Alternative Time;
Organization;Check Solvency;Checks;Solvency;
Order Process;Enter Order;Enters;Order;
Employee;Update Vacation Request;;Vacation Request;Update
Organization;Bill;;;Bill
Trouble Ticket System;Insert issue into product backlog;;Insert issue into product backlog;
Organization;Book Travel;;;Book Travel
Candidate;Fill out Employment Froms;Fills out;Employment Froms;
Customer;Request Booking;;;Request Booking
Trouble Ticket System;edit 2nd level ticket;edits;2nd level ticket;
Business participant;Moderate E-mail Discussion;;Moderate E - mail Discussion;
Developer;Notify administrator;Notifies;administrator;
Trouble Ticket System;Send mail to account manager;Sends|accounts;mail to|manager;
Sales Department;Prepare contract;Prepares;contract;
Seminar Speaker;Give talk;Gives;talk;
Aqua Distilled Water Company;Deliver Water;Delivers;Water;
Firm;Review Application;;;Review Application
Logistic Department Worker;Deliver Water;Delivers;Water;
No Magic;Arrange Facilities and Meals;;;Arrange Facilities|Meals
Travel Agent;Check Availability;Checks;Availability;
Business participant;Reduce Number of Voting Members and Recalculate Votes;Reduces|Votings|Recalculates;Number|Votes;Members
Bank;Send quote;Sends;;
Administrator;Install new version;Installs;new version;
Clerk;Decide if normal post or special shipment;Decides;normal post|special shipment;
Nobel Committee Medicine;Determine Need for Expert Assistance;;Expert Assistance;Determine Need
Seller;Consider the proposal;Considers;proposal;
No Magic;Send Invitations to Customers;Sends;Invitations to Customers;
Sales Representative;Suggest Change;Suggests;Change;
Front Desk;Review & Escalate;;;Review|Escalate
Clerk;Check if extra insurance is necessary;Checks;extra insurance;
System Communication;Store in Statistical System;;Store in Statistical System;
CRM;Get Client Information;;;Client Information
Support Department;Receive Notification;Receives;Notification;
Vacation Request Approval Process;Approve Vacation Request;Approves;Vacation Request;
Marketing Manager;Welcome Participants;;;Participants
2nd level support;edit 2nd level ticket;edits;2nd level ticket;
Customer Service Assistant;Forward Order;;Forward Order;
Sales rep;Calculate terms;;Calculate terms;
Trouble Ticket System;Open ticket;Opens;ticket;
Business participant;Receive Book Request;;;Receive Book Request
Support Manager;Receive Notification;Receives;Notification;
Nobel Assembly;Discuss Nominators (Meeting 1);;Meeting 1;Discuss Nominators
No Magic;Prepare Seminar Description;;;Prepare Seminar Description
Firm;Prepare Offer;Prepares;Offer;
Sales Department;Indicate Price;Indicates;;Price
Reader;Find Wanted Title;;Wanted Title;Find
Business participant;Post Results on Web Site;;Results on Web Site;Post
Sales manager;Consider the proposal;Considers;proposal;
Librarian;Notify First Waiting Reader;Notifies;Reader;Waiting
Service Contract Implementation Layer;Store in Marketing System Client 200;;Store in Marketing System Client 200;
Marketing Manager;Arrange Facilities and Meals;;;Arrange Facilities|Meals
Recruiter;Prepare Offer;Prepares;Offer;
1st level support;Send Mail to Account Manager;Sends|Accounts;;Mail|Manager
2nd level support;Insert issue into product backlog;;Insert issue into product backlog;
Vacation Request Approval Process;Book Vacation;;;Book Vacation
Nobel Committee Medicine;Collect Candidates Work Assessment Reports;Reportses;;Collect Candidates Work Assessment
Travel Agent;Get Booking Request;Bookings;Request;
Nominator;Send Nominee Completed Form(s);Sends|Completeds;;Nominee
Reservation;Get Confirmation;;Confirmation;
Key account manager;Get problem description;;problem description;
Business participant;Check Calendar for Conference Call;Checks;Conference Call;Calendar
Sales Department;Send quote;Sends;;
Manager;Approve Vacation Request;Approves;Vacation Request;
Employee;Mark vacation in Calendar;;vacation in Calendar;Mark
Trouble Ticket System;Close Ticket;Closes;Ticket;
Technician;Acknowledge;;;Acknowledge
Hardware Retailer;Package goods;;Package goods;
Sales Department;Initiate File;;File;Initiate
Sales manager;Prepare special terms;Prepares;special terms;
Order Process;Book Order;;Book Order;
Pizza Customer;Select a pizza;Selects;pizza;
Bank;Prepare special terms;Prepares;special terms;
Support Department;Update Client on Delay;;;Update Client|Delay
Vacation Request Approval Process;Update Vacation Request;;Vacation Request;Update
Sales Department;Calculate terms;;Calculate terms;
ERP Expert;Resolve Communication Problem and Book Order;;Order;Resolve Communication Problem|Book
Business participant;Hold Reply;Holds;;Reply
Car House;Set Available Cars;;Available Cars;Set
2nd Level Support Agent;Document 2nd level result;;Document 2nd level result;
Car House;Get Confirmation;;Confirmation;
Trouble Ticket System;Open Ticket;Opens;Ticket;
Organization;Indicate Price;Indicates;;Price
Trouble Ticket System;Insert Issue into Product Backlog;;Insert Issue into Product Backlog;
Seminar Coordinator;Open Seminar;;Open Seminar;
Business participant;Prepare Invoice;Prepares;;Invoice
Service Contract Implementation Layer;Book Order;;Book Order;
Service Contract Implementation Layer;Store in Marketing System Client 100;;Store in Marketing System Client 100;
Technician;Connect Remotely to Client;Connects;Client;
Reader;Get Item;;Item;
Administrative Department;Check Solvency;Checks;Solvency;
Seminar Coordinator;Send Invitations to Customers;Sends;Invitations to Customers;
Support Department;Acknowledge;;;Acknowledge
Aqua Distilled Water Company;Forward Order;;Forward Order;
1st level support;Edit 1st Level Ticket;;1st Level Ticket;Edit
Software developer;Examine problem;Examines;problem;
Seller;Close an offer;Closes;offer;
Seminar Coordinator;Publish Seminar Description in Website;;;Publish Seminar Description|Website
Business participant;Start Investigation;Starts;Investigation;
Firm;Schedule Interview;;Schedule Interview;
No Magic;Send Reminder to Participants;Sends;Participants;Reminder
Seminar Coordinator;Prepare Seminar Description;;;Prepare Seminar Description
Key account manager;Send mail to support system;Sends|supports;mail to|system;
Marketing Manager;Prepare Seminar Description;;;Prepare Seminar Description
Customer;Send credit request;Sends;credit request;
Sales rep;Review request;;request;Review
Reader;Make Reservation;Makes;Reservation;
Nobel Committee Medicine;Write Recommendations Report;;;Write Recommendations Report
Sales staff;Develop proposal;Develops;proposal;
Trouble Ticket System;Edit 2nd level ticket;Edits;2nd level ticket;
2nd Level Support Agent;Handle 2nd level issue;Handles;2nd level issue;
No Magic;Make Internal Seminar Anoucement;Makes;;Internal Seminar Anoucement
Business participant;Order from supplier;;Order from supplier;
Organization;Check Availability;Checks;Availability;
Warehouse;Pack Goods;;Goods;Pack
1st level support;Close Ticket;Closes;Ticket;
Business participant;Checkout Book;;;Checkout Book
Firm;Interview;;;Interview
No Magic;Prepare Handouts;Prepares;;Handouts
Client;Select Car;;Select Car;
Hardware Retailer;Check if extra insurance is necessary;Checks;extra insurance;
Bank;Review request;;request;Review
Recruiter;Submit Offer;Submits;Offer;
Marketing Manager;Prepare Handouts;Prepares;;Handouts
1st level support;edit 1st level ticket;edits;1st level ticket;
Business participant;Prepare Results;Prepares;Results;
Client;Enter User and Dates;Enters;;User|Dates
Sales rep;Prepare contract;Prepares;contract;
Business participant;Update Invoice;;Update Invoice;
Recruiter;Reject Application;Rejects;Application;
Nobel Committee Medicine;Collect Completed Forms;Completeds;Forms;Collect
Business participant;Checkout Reply;;;Checkout Reply
1st Level Support Agent;Note 1st level result;Notes;1st level result;
Business participant;Email Voters that have to Change Votes;Changes;Voters|Votes;Email
Marketing Manager;Evaluate Participants Number;Evaluates;Participants Number;
Marketing Manager;Send Reminder to Participants;Sends;Participants;Reminder
Service Contract Implementation Layer;Store in Statistical System;;Store in Statistical System;
Sales staff;Change the terms of the offer;Changes;terms of the offer;
2nd level support;Insert Issue into Product Backlog;;Insert Issue into Product Backlog;
User;Use application;Uses;application;
Support Department;Connect Remotely to Client;Connects;Client;
1st Level Support Agent;Document 1st level result;;Document 1st level result;
Bank;Assess risks;;Assess risks;
Trouble Ticket System;Edit 1st level ticket;Edits;1st level ticket;
Seminar Speaker;Prepare Talk Presentation;Prepares;Talk Presentation;
Sales Department;Book Travel;;;Book Travel
1st level support;Close ticket;Closes;ticket;
No Magic;Open Seminar;;Open Seminar;
Sales rep;Send quote;Sends;;
Business participant;Reduce to Two Solutions;Reduces to;Solutions;
Pizza Customer;Order a pizza;Orders;pizza;
No Magic;Collect Questionnaries;;;Collect Questionnaries
Online Shop;Ship Goods;;Ship Goods;
Customer;Provide Customer Data;Provides;Customer Data;
Bank;Calculate terms;;Calculate terms;
Bank;Prepare contract;Prepares;contract;
No Magic;Close Seminar;;;Close Seminar
Business participant;Re-Announce Vote with Warning to Voting members;Votings;Re - Announce Vote with Warning|members;
Librarian;Put Reservation to the Waiting List;Puts;List;Reservation|Waiting
Sales Representative;Check Stock Level;Checks;;Stock Level
Recruiter;Collect Feedback;;Feedback;Collect
Joan Doe;Assess risk;;Assess risk;
Cab Driver;Complete Assignment;;;Complete Assignment
Librarian;Register Loan;Registers;;Loan
Customer Service Assistant;Create Customer Account;Creates;Customer Account;
Technician;Update Case Status;;Update Case Status;
Sales Department;Review request;;request;Review
Seller;Fullfil the order;Fullfils;order;
Interviewer;Interview;;;Interview
1st level support;Send mail to account manager;Sends|accounts;mail to|manager;
Reservation;Set Available Cars;;Available Cars;Set
Recruiter;Review Application;;;Review Application
Business participant;Review Issue List;Reviews;Issue List;
Key account manager;Explain solution;Explains;solution;
Manager;Book Vacation;;;Book Vacation
Service Contract Implementation Layer;Resolve Communication Problem and Book Order;;Order;Resolve Communication Problem|Book
Nobel Assembly;Select Laureates (Meeting 2);;Meeting 2;Select Laureates
Sales Department;Check Availability;Checks;Availability;
Sales staff;Close an offer;Closes;offer;
Marketing Manager;Send Invitations to Customers;Sends;Invitations to Customers;
System Communication;Store in Marketing System Client 200;;Store in Marketing System Client 200;
Client;Show Reservation;Shows;;Reservation
Firm;Submit Offer;Submits;Offer;
Sales Representative;Request Pack Goods;Requests;Pack Goods;
Trouble Ticket System;Close ticket;Closes;ticket;
Marketing Manager;Register Participant;;;Register Participant
Aqua Distilled Water Company;Create Customer Account;Creates;Customer Account;
2nd Level Support Agent;Note 2nd level result;Notes;2nd level result;
2nd Level Support Agent;Handle 2nd Level Issue;Handles;2nd Level Issue;
Car House;Get Client Information;;;Client Information
Support Department;Review & Escalate;;;Review|Escalate
Support Department;Update Case Status;;Update Case Status;
Firm;Collect Feedback;;Feedback;Collect
Business participant;Receive Vote;Receives;Vote;
delivery boy;Deliver the pizza;Delivers;pizza;
Seminar Coordinator;Close Seminar;;;Close Seminar
Business participant;Send Invoice to Customer;Sends;Customer;Invoice
Pizza Customer;Pay the pizza;Pays;pizza;
Clerk;Request quotes from carriers;;Request quotes from carriers;
clerk;Calm customer;;Calm customer;
Business participant;Inform Customer about Overdue Payment;Informs;Customer about Overdue Payment;
Online Shop;Request Pack Goods;Requests;Pack Goods;
1st level support;Open ticket;Opens;ticket;
Developer;Notify user;Notifies;user;
Sales staff;Send an offer to the client;Sends;offer to the client;
Trouble Ticket System;Edit 1st Level Ticket;;1st Level Ticket;Edit
Sales staff;Fullfil the order;Fullfils;order;
Reader;Use Item;Uses;Item;
Car House;Submit Car Reservation;Submits;Car Reservation;
Expert;Send Candidates Assessment Report;Sends;;Candidates Assessment Report
Customer Service Assistant;Verify Customer Identity;;Customer Identity;Verify
delivery boy;Receive payment;Receives;payment;
Online Shop;Pack Goods;;Goods;Pack
Business participant;Announce Issues;;;Announce Issues
Support Manager;Update Client on Delay;;;Update Client|Delay
Storyboard;Storyboard (full day);;full day;Storyboard
Building;Site is developed (2 days);develops;Site|days;
Building;Site design (10 days);;Site design|days;
Building;Building (3 days);;Building|days;
review;review activity (1 day);;review activity|day;
end;approval of the site (half a day);;approval of the site|day;
Charles (admi);adds incoming mail date, records letter, archives it;adds|archives;incoming mail date|records letter;
Charles (admi);tel call to sender to complete;calls|senders|completes;;tel
