"Model";"Lane";"Task";"Verb Phrases";"Noun Phrases"
"636307243_rev5.json";"Customer Service Representative";"update case details";"update";"case details"
"636307243_rev5.json";"Customer Service Representative";"archive";;"archive"
"636307243_rev5.json";"Customer Service Representative";"cancellation";;"cancellation"
"636307243_rev5.json";"Customer Service Representative";"generate message for outstanding documents";"generate";"message for outstanding documents"
"1133061948_rev10.json";"Risk Assessor";"Assess loan risk";"Assess";"loan risk"
"1133061948_rev10.json";"Loan Officer";"Return application back to applicant";"Return";"application|applicant"
"1133061948_rev10.json";"Loan Officer";"Check application form completeness";"Check";"application form completeness"
"1133061948_rev10.json";"Loan Officer";"Assess eligibility";"Assess";"eligibility"
"1133061948_rev10.json";"Loan Officer";"Reject application";"Reject";"application"
"1133061948_rev10.json";"Loan Officer";"Send acceptance pack";"Send";"acceptance pack"
"1133061948_rev10.json";"Loan Officer";"Verify repayment agreement";"Verify";"repayment agreement"
"1133061948_rev10.json";"Loan Officer";"Prepare acceptance pack";"Prepare";"acceptance pack"
"1133061948_rev10.json";"Loan Officer";"Check if home insurance quote is requested";"Check";"home insurance quote"
"1133061948_rev10.json";"Loan Officer";"Cancel application";"Cancel";"application"
"1133061948_rev10.json";"Loan Officer";"Notify cancelation";"Notify";"cancelation"
"1133061948_rev10.json";"Loan Officer";"Approve application";"Approve";"application"
"1133061948_rev10.json";"Loan Officer";"Notify approval";"Notify";"approval"
"1133061948_rev10.json";"Loan Officer";"Receive updated application";"Receive";"updated application"
"1133061948_rev10.json";"Financial Officer";"Check credit history";"Check";"credit history"
"1133061948_rev10.json";"Insurance Sales Rep.";"Send home insurance quote";"Send";"home insurance quote"
"1120589054_rev4.json";"Order to Cash";"Processing customer demand";"Process";"customer demand"
"1120589054_rev4.json";"Make to Inventory";"Determine demanded components according to planning";"Determine demanded";"demanded components according to planning"
"1120589054_rev4.json";"Make to Inventory";"Purchase missing parts and put on stock";"Purchase;put on";"missing parts;stock"
"1120589054_rev4.json";"Production";"Perform production";"Perform";"production"
"1120589054_rev4.json";"Production";"Perform quality checks";"Perform";"quality checks"
"1120589054_rev4.json";"Production";"Fill product into a packaging";"Fill";"product into a packaging"
"1120589054_rev4.json";"Production";"Pack and label product";"Pack|label";"product"
"1120589054_rev4.json";"Production";"Transport product to the warehouse";"Transport";"product to the warehouse"
"1120589054_rev4.json";"Production";"Perform follow-up production";"Perform";"follow-up production"
"1081511532_rev3.json";"Marketing";"Analyze market";"Analyze";"market"
"1081511532_rev3.json";"Marketing";"Send offer to potential client";"Send";"offer to potential client"
"1081511532_rev3.json";"Marketing";"Prepare portfolio presentation";"Prepare";"portfolio presentation"
"1081511532_rev3.json";"Marketing";"Inform management about potential client's responses";"Inform";"management about potential client's responses"
"1081511532_rev3.json";"Management";"New client needed";"needed";"New client"
"1081511532_rev3.json";"Management";"Analyze responses and start negotiation";"Analyze;start";"responses;negotiation"
"1081511532_rev3.json";"Management";"Prepare contract for sign";"Prepare";"contract for sign"
"1081511532_rev3.json";"Management";"Analyze reasons and learn a lesson";"Analyze;learn";"reasons;lesson"
"1081511532_rev3.json";"Management";"Sign contract";"Sign";"contract"
"355048423_rev19.json";"Technician";"travel by car";"travel by";"car"
"355048423_rev19.json";"Technician";"analyze problem";"analyze";"problem"
"355048423_rev19.json";"Technician";"fix problem";"fix";"problem"
"355048423_rev19.json";"Technician";"call operator";"call";"operator"
"355048423_rev19.json";"Technician";"give customer invoice";"give";"customer invoice"
"355048423_rev19.json";"Technician";"accept assignment";"accept";"assignment"
"355048423_rev19.json";"Technician";"select car";"select";"car"
"355048423_rev19.json";"Technician";"travel by bus";"travel by";"bus"
"355048423_rev19.json";"Operator";"understand customers problem";"understand";"customers problem"
"355048423_rev19.json";"Operator";"select appropriate technician";"select";"appropriate technician"
"355048423_rev19.json";"Operator";"check technicians report";"check";"technicians report"
"355048423_rev19.json";"Operator";"close problem";"close";"problem"
"1488760422_rev3.json";"Admin Office";"Receive the invoice";"Receive";"invoice"
"1488760422_rev3.json";"Admin Office";"Sort the invoice per client";"Sort";"invoice per client"
"1488760422_rev3.json";"Admin Office";"Sort the invoice per vendor";"Sort";"invoice per vendor"
"1488760422_rev3.json";"Admin Office";"Check the completeness of the invoice";"Check";"completeness of the invoice"
"1488760422_rev3.json";"Admin Office";"Enter the info for the SLA";"Enter";"info for the SLA"
"1488760422_rev3.json";"Admin Office";"Check the priority";"Check";"priority"
"1488760422_rev3.json";"Admin Office";"Apply the red stamp on entry invoice";"Apply";"red stamp on entry invoice"
"1488760422_rev3.json";"Admin Office";"Check invoice compliance";"Check";"invoice compliance"
"1488760422_rev3.json";"Admin Office";"Process the Non-compliance invoice";;"Process the Non-compliance invoice"
"1488760422_rev3.json";"Admin Office";"Call the client";"Call";"client"
"1488760422_rev3.json";"Admin Office";"Request for information";;"Request for information"
"1488760422_rev3.json";"Admin Office";"Send a postal mail requesting the information complete";"Send";"postal mail|information"
"1488760422_rev3.json";"Admin Office";"Send reminder";"Send";"reminder"
"1574290879_rev1.json";"The User";"Load New Announcement";;"Load New Announcement"
"1574290879_rev1.json";"The User";"Check announcement";"Check";"announcement"
"1574290879_rev1.json";"The User";"Check for app update";"Check for";"app update"
"1574290879_rev1.json";"The User";"check for road instruction";"check for";"road instruction"
"1574290879_rev1.json";"The User";"Send a note to BCC";"Send";"note to BCC"
"1574290879_rev1.json";"The User";"Send Information to BCC";"Send";"Information to BCC"
"1574290879_rev1.json";"The User";"Check App tutorials";"Check";"App tutorials"
"1574290879_rev1.json";"The User";"Select an option from the BCC app";"Select";"option from the BCC app"
"1574290879_rev1.json";"BCC";"Check user details";"Check";"user details"
"1574290879_rev1.json";"BCC";"Check information type";"Check";"information type"
"1574290879_rev1.json";"BCC";"Road issues information";;"Road issues information"
"1574290879_rev1.json";"BCC";"Notes to BCC";"Notes to";"BCC"
"1574290879_rev1.json";"BCC";"Send new announcement to users";"Send";"new announcement to users"
"46334524_rev4.json";"Choosing Software";"Conduct the search";"Conduct";"search"
"46334524_rev4.json";"Choosing Software";"Narrow Down the Search";"Narrow Down";"Search"
"46334524_rev4.json";"Choosing Software";"Evaluate the Business Needs";"Evaluate";"Business Needs"
"46334524_rev4.json";"Choosing Software";"Determine Business Budget";"Determine";"Business Budget"
"46334524_rev4.json";"Choosing Software";"Evaluate Software if Suit Business Need";"Evaluate";"Software|Suit Business Need"
"46334524_rev4.json";"Choosing Software";"Select your Software";"Select";"Software"
"46334524_rev4.json";"Choosing Software";"Establish installation timeline";"Establish";"installation timeline"
"1481254907_rev1.json";"Setting Up a Bank Account";"Identify your Business";"Identify";"Business"
"1481254907_rev1.json";"Setting Up a Bank Account";"Evaluate the Business Needs";"Evaluate";"Business Needs"
"1481254907_rev1.json";"Setting Up a Bank Account";"Evaluate the financial plane";"Evaluate";"financial plane"
"1481254907_rev1.json";"Setting Up a Bank Account";"Evaluate the marketing plane";"Evaluate";"marketing plane"
"1481254907_rev1.json";"Setting Up a Bank Account";"Determine Business Budget";"Determine";"Business Budget"
"1481254907_rev1.json";"Setting Up a Bank Account";"Start searching";"Start";"searching"
"1481254907_rev1.json";"Setting Up a Bank Account";"make list of banks";"make";"list of banks"
"1481254907_rev1.json";"Setting Up a Bank Account";"Evaluate the stability of banks financial institution";"Evaluate";"stability of banks|financial institution"
"1481254907_rev1.json";"Setting Up a Bank Account";"Evaluate your personal and management relationship with the bank";"Evaluate";"management relationship with the bank"
"1481254907_rev1.json";"Setting Up a Bank Account";"Evaluate what kinds of accounts available";"Evaluate";"kinds of accounts"
"1481254907_rev1.json";"Setting Up a Bank Account";"Evaluate interest rate paid on accounts";"Evaluate";"interest rate|accounts"
"1481254907_rev1.json";"Setting Up a Bank Account";"Evaluate offer for the business account";"Evaluate";"offer for the business account"
"1481254907_rev1.json";"Setting Up a Bank Account";"Evaluate the funds policies";"Evaluate";"funds policies"
"1481254907_rev1.json";"Setting Up a Bank Account";"Evaluate bank Features *";"Evaluate";"bank Features"
"1481254907_rev1.json";"Setting Up a Bank Account";"Check bank suitability";"Check";"bank suitability"
"1481254907_rev1.json";"Setting Up a Bank Account";"Open bank account";"Open";"bank account"
"1481254907_rev1.json";"Setting Up a Bank Account";"Provide the ACN";"Provide";"ACN"
"1481254907_rev1.json";"Setting Up a Bank Account";"Provide the ABN";"Provide";"ABN"
"1481254907_rev1.json";"Setting Up a Bank Account";"Get a business account";"Get";"business account"
"1707816506_rev1.json";"Business Licence";"Finish the earlier requirements";"Finish";"earlier requirements"
"1707816506_rev1.json";"Business Licence";"Business location";;"Business location"
"1707816506_rev1.json";"Business Licence";"Business legal structure";;"Business legal structure"
"1707816506_rev1.json";"Business Licence";"Setting up back account";"Setting up";"back account"
"1707816506_rev1.json";"Business Licence";"Business name";;"Business name"
"1707816506_rev1.json";"Business Licence";"Insurance";;"Insurance"
"1707816506_rev1.json";"Business Licence";"Get information";"Get";"information"
"1707816506_rev1.json";"Business Licence";"Answer a series of simple questions";"Answer";"series of simple questions"
"1707816506_rev1.json";"Business Licence";"Find out the licences that you need";"Find out";"licences"
"1707816506_rev1.json";"Business Licence";"Select licence";"Select";"licence"
"1707816506_rev1.json";"Business Licence";"Fill out the application";"Fill out";"application"
"1707816506_rev1.json";"Business Licence";"Apply to the city council";"Apply to";"city council"
"1707816506_rev1.json";"Business Licence";"Get the Business licence";"Get";"Business licence"
"1713170165_rev5.json";"Government Requirement";"Prepare Requirement";"Prepare";"Requirement"
"1713170165_rev5.json";"Government Requirement";"Choose Government Requirenment Pursuer";"Choose";"Government Requirenment Pursuer"
"1713170165_rev5.json";"Government Requirement";"Choose Trading Name";"Choose";"Trading Name"
"1713170165_rev5.json";"Government Requirement";"New Trading Name";;"New Trading Name"
"1713170165_rev5.json";"Government Requirement";"Existing Trading Name";"Existing";"Trading Name"
"1713170165_rev5.json";"Government Requirement";"Apply in Australian Business Number";"Apply in";"Australian Business Number"
"1713170165_rev5.json";"Government Requirement";"Register Trading Name";;"Register Trading Name"
"1713170165_rev5.json";"Government Requirement";"Registering in QLD office of Fair trading";"Registering in";"QLD office of Fair trading"
"1713170165_rev5.json";"Government Requirement";"Registering in Australian Taxation Office";"Registering in";"Australian Taxation Office"
"1713170165_rev5.json";"Government Requirement";"Choose Business Structure";"Choose";"Business Structure"
"1713170165_rev5.json";"Government Requirement";"Partnership";;"Partnership"
"1713170165_rev5.json";"Government Requirement";"Company";;"Company"
"1713170165_rev5.json";"Premises and Lease";"Location and Availability";;"Location|Availability"
"1713170165_rev5.json";"Premises and Lease";"Choose Premises Payment Option";"Choose";"Premises Payment Option"
"1713170165_rev5.json";"Premises and Lease";"Rent Lease";"Rent";"Lease"
"1713170165_rev5.json";"Premises and Lease";"Find Retail Solicitor";"Find";"Retail Solicitor"
"1713170165_rev5.json";"Premises and Lease";"Negotiate Lease";"Negotiate";"Lease"
"1713170165_rev5.json";"Premises and Lease";"Rental Amount";;"Rental Amount"
"1713170165_rev5.json";"Premises and Lease";"Term and Conditions";;"Term|Conditions"
"1713170165_rev5.json";"Premises and Lease";"Pay Deposit";"Pay";"Deposit"
"1713170165_rev5.json";"Premises and Lease";"Generate Lease";"Generate";"Lease"
"1713170165_rev5.json";"Premises and Lease";"Start Looking for Premises";"Start Looking for";"Premises"
"1713170165_rev5.json";"Premises and Lease";"Check Premises";"Check";"Premises"
"1713170165_rev5.json";"Premises and Lease";"Check Surrounding Business Environment";"Check Surrounding";"Business Environment"
"1713170165_rev5.json";"Premises and Lease";"Buy";"Buy";
"1713170165_rev5.json";"Legal Requirement";"Check Brisbane City Council (BCC) Decoration Guideline";"Check";"Brisbane City Council|BCC|Decoration Guideline"
"1713170165_rev5.json";"Legal Requirement";"Start Shop Decoration";"Start";"Shop Decoration"
"1713170165_rev5.json";"Legal Requirement";"Complete Shop Decoration";"Complete";"Shop Decoration"
"1713170165_rev5.json";"Legal Requirement";"Select Insurance";"Select";"Insurance"
"1713170165_rev5.json";"Legal Requirement";"Liability and Work cover Insurance";;"Liability|Work cover Insurance"
"1713170165_rev5.json";"Legal Requirement";"Get Licence";"Get";"Licence"
"1713170165_rev5.json";"Legal Requirement";"Start Operating the Business";"Start Operating";"Business"
"1971656748_rev5.json";"Government Requirenment";"Prepare Requirement";"Prepare";"Requirement"
"1971656748_rev5.json";"Government Requirenment";"Choose Government Requirenment Pursuer";"Choose";"Government Requirenment Pursuer"
"1971656748_rev5.json";"Government Requirenment";"Choose Trading Name";"Choose";"Trading Name"
"1971656748_rev5.json";"Government Requirenment";"New Trading Name";;"New Trading Name"
"1971656748_rev5.json";"Government Requirenment";"Existing Trading Name";"Existing";"Trading Name"
"1971656748_rev5.json";"Government Requirenment";"Apply in Australian Business Number";"Apply in";"Australian Business Number"
"1971656748_rev5.json";"Government Requirenment";"Register Trading Name";"Register";"Trading Name"
"1971656748_rev5.json";"Government Requirenment";"Registering in QLD office of Fair trading";"Registering in";"QLD office of Fair trading"
"1971656748_rev5.json";"Government Requirenment";"Registering in Australian Taxation Office";"Registering in";"Australian Taxation Office"
"1971656748_rev5.json";"Government Requirenment";"Choose Business Structure";"Choose";"Business Structure"
"1971656748_rev5.json";"Government Requirenment";"Partnership";;"Partnership"
"1971656748_rev5.json";"Government Requirenment";"Company";;"Company"
