Subject;Activity;Verb phrases;Noun phrases
User;Power On FAS;powers on;FAS
FAS TCCD;Calibrate Az axis;calibrates;axis
M2 Mirror;Get M2 Focus Position;gets;M2 Focus Position
User;Adjust Pointing Axis Reference Points;adjusts pointing;Axis Reference Points
User;Set M6 Tilt Angles;sets;M6 Tilt Angles
User;Make Pointing Error Measurement;makes pointing;Error Measurement
TRS;Power On/Off M6;powers on;M6
Tracking Axis Drive;Preset Telescope;presets;Telescope
FSS Field Diaphragm;Set FSS Field Diaphragm;sets;FSS Field Diaphragm
TRS;Stop Autoguiding;stops;Autoguiding
User;Probe to Next Guide Star;probes to;Next Guide Star
FAS TCCD;Power On FAS;powers on;FAS
User;Set M2 Tilt Angles;sets;M2 Tilt Angles
User;Offset Guide Probe on star;off sets;Guide Probe on star
User;Get M2 Center Position;gets;M2 Center Position
M6 Mirror;Center M6;centers;M6
User;Cyclic closed loop active optics corrections;;Cyclic closed loop active optics corrections
Enclosure;Close Enclosure;closes;Enclosure
M10 Mirror;Center M10;centers;M10
M6 Mirror;Monitor M6 Status;monitors;M6 Status
Tracking Axis Drive;Preset Telescope to Named Position;presets;Telescope|Named Position
TRS;Monitor M6 Status;monitors;M6 Status
User;Prepare for Pupil Alignment;prepares for;Pupil Alignment
TRS;Monitor Cabinet Cooling;monitors;Cabinet Cooling
User;Measure and Install POM;instals;Measure|POM
TRS;Get Tracking Remaining Time;gets;Tracking|Time
FSS Filter Wheel;Set FSS Filter Wheel;sets;
User;Adjust Coude Focus;adjusts;Focus
Altitude Cabinet;Monitor Cabinet Cooling;monitors;Cabinet Cooling
User;Combined Offset;combines;Offset
Transporter;Check Status Anchors;checks;Status Anchors
User;Set M10 Tilt Angles;sets;Tilt Angles
User;Read Telescope Temperature Sensors;reads;Telescope Temperature Sensors
User;Set M2 Focus Position;sets;M2 Focus Position
User;Stop Field Stabilization;stops;Field Stabilization
User;Calibrate Az axis;calibrates;axis
FSS Filter Wheel;Get FSS Filter Wheel;gets;
M2 Mirror;Do one M2 position setting;does;M|position setting
User;Stop Autoguiding;stops;
Tracking Axis Drive;Stop Telescope Motion;stops;Telescope Motion
Catalogs;Probe to Next Guide Star;;Probe to
User;Stop VLTI Focus Adjustment;stops;VLTI Focus Adjustment
User;Install POM;instals;
User;Set Reference Temperature;sets;Reference Temperature
M10 Mirror;Set M10 Tilt Angles;sets;Tilt Angles
User;Modify POM term;modifies;POM term
ASM;Monitor Environmental data;monitors;Environmental data
User;Get Enclosure Temperature;gets;Enclosure Temperature
User;Set Tracking Wavelength;sets;Tracking Wavelength
TRS;Control FS Corrections;;Control FS Corrections
TRS;Stop Chopping;stops;Chopping
User;Switch On/Off Nasmyth Beacon Light Source;switches on;Beacon Light Source
TRS;Monitor Environmental data;monitors;Environmental data
FSS STRAP;Set FSS Filter Wheel;sets;FSS Filter Wheel
Tracking Axis Drive;Offset Alt/Az;off sets;Alt/Az
FSS STRAP;Stop FSS Acquisition;stops;FSS Acquisition
Nasmyth Beacon Light Sources;Set Nasmyth Beacon Light Level;sets;Level
User;Set FSS Field Diaphragm;sets;Field Diaphragm
User;Preset Telescope to Astronomical Coordinates;presets;Telescope|Astronomical Coordinates
User;Prepare FAS Setup;prepares;FAS Setup
User;Control FS Corrections;controls;FS Corrections
User;Preset Telescope in Alt/Az Coordinates;presets;Telescope in Alt/Az Coordinates
FSS STRAP;Send FSS Setup;sends;FSS Setup
User;Do one calibrated correction;does;correction
User;Close Enclosure;closes;Enclosure
User;Offset Alt/Az;off sets;Alt/Az
M6 Mirror;Set M6 Tilt Angles;sets;M6 Tilt Angles
User;Check Status Air Conditioning;checks;Status Air Conditioning
FSS STRAP;Start FSS Acquisition;starts;Acquisition
M6 Mirror;Monitor Power Status;monitors;Power Status
Tracking Axis Drive;Preset Telescope in Alt/Az Coordinates;presets;Telescope in Alt/Az Coordinates
TRS;Start Autoguiding;starts;Autoguiding
ASM;Periodic Set Reference Temperature;;Periodic Set Reference Temperature
TRS;Start Field Stabilization;starts;Field Stabilization
M10 Mirror;Get M10 Tilt Angles;gets;Angles
User;Save Guide Detector Image;saves;Guide Detector Image
Air Conditioning;Monitor Temperature data;monitors;Temperature data
User;Set M2 Center Position;sets;M2 Center Position
User;Telescope Offset;;Telescope Offset
FSS STRAP;Calibrate M6 versus Coude Sensors;calibrates;M6|Coude Sensors
Hydraulic & Pneumatic Systems;Monitor HPS Status;monitors;HPS Status
Telescope Temperature Sensors;Read Telescope Temperature Sensors;reads;Telescope Temperature Sensors
User;Switch On/Off Pupil Beacon Light Source;switches on;Pupil Beacon Light Source
Enclosure;Open Enclosure;opens;Enclosure
User;Center Guide Star;centers;Guide Star
User;Prepare for Image Alignment;prepares for;Image Alignment
User;Set Storage Mode for Pointing Measurements;sets;Storage Mode for Pointing Measurements
User;Configure Chopping;configures;Chopping
M2 Beacon;Switch On/Off Pupil Beacon Light Source;switches on;Pupil Beacon Light Source
User;Center Object;centers;Object
M1 Temperature;Monitor Temperature data;monitors;Temperature data
Tracking Axis Drive;Make Pointing Error Measurement;makes;Pointing Error Measurement
User;Store POM Measure;stores;POM Measure
FAS TCCD;Stop FAS Acquisition;stops;FAS Acquisition
User;Get FSS Field Diaphragm;gets;FSS Field Diaphragm
User;Set Dew Point Margin;sets;Dew Point Margin
User;Check Status Anchors;checks;Status Anchors
Flow Meter;Monitor Cooling Flow;monitors;Cooling Flow
User;Center M6;centers;M6
User;Optimize Field Stabilisation;optimizes;Field Stabilisation
TRS;Start Chopping;starts;Chopping
User;Set Nasmyth Wheel;sets;Nasmyth Wheel
Air Conditioning;Stop Air Conditioning;stops;Air Conditioning
User;Start Autoguiding;starts;Autoguiding
Enclosure Anemometer;Monitor Enclosure Anemometer;monitors;Enclosure Anemometer
User;Set FAS Integration Time;sets;FAS Integration Time
Enclosure;Monitor Temperature data;monitors;Temperature data
User;Make POM;makes;POM
User;Set Tracking Additional Velocity;sets;Tracking Additional Velocity
User;Set Coude Beam Switching Device;sets;Coude Beam Switching Device
TRS;Stop Field Stabilization;stops;Field Stabilization
User;Start Field Stabilization;starts;Field Stabilization
M2 Mirror;Get M2 Tilt Angles;gets;M2 Tilt Angles
User;Get FSS Filter Wheel;gets;FSS Filter Wheel
TRS;Monitor Enclosure Anemometer;monitors;Enclosure Anemometer
FAS TCCD;Start FAS Acquisition;starts;FAS Acquisition
Enclosure Anemometer;Monitor Environmental data;monitors;Environmental data
Nasmyth Beacon Light Sources;Switch On Nasmyth Beacon Light Source;switches on;Beacon Light Source
M2 Mirror;Set M2 Center Position;sets;M2 Center Position
User;Start FAS Acquisition;starts;FAS Acquisition
User;Stop Delay Constant Alignment;stops;Delay Constant Alignment
User;Set FSS Filter Wheel;sets;FSS Filter Wheel
User;Stop current action;stops;current action
User;Preset Telescope to Catalogue Object;presets;Telescope|Catalogue Object
FSS Field Diaphragm;Get FSS Field Diaphragm;gets;FSS Field Diaphragm
Support Manager;Review & Escalate;Review;
Employee;Enter Order;Enter;Order
Clerk;Fill a Post label;Fill;Post label
Business participant;Increment Tally;Increment;Tally
Hardware Retailer;Take out extra insurance;Take out;extra insurance
2nd Level Support Agent;Ask developer;Ask;developer
Nobel Committee Medicine;Select Final Candidates and Their Works;Select;Final Candidates|Works
Order Process;Approve Order;Approve;Order
Candidate;Submit Application;Submit;Application
Travel Agent;Confirm Booking;Confirm;Booking
Expert;Assess Candidates Work;Assess;Candidates Work
Business participant;Check availability with supplier;Check;availability with supplier
Online Shop;Check Stock Level;Check;Stock Level
Candidate;Interview;Interview;
Business participant;Cancel Request;Cancel;Request
System Communication;Book Order;Book;Order
No Magic;Prepare Talk Presentation;Prepare;Talk Presentation
Seller;Send an offer to the client;Send;offer to the client
Pizza Customer;Ask for the pizza;Ask for;pizza
Car House;Enter User and Dates;Enter;User|Dates
Logistics Manager;Take out extra insurance;Take out;extra insurance
Sales Department;Prepare special terms;Prepare;special terms
Business participant;E-Mail Vote Deadline Warning;E-mail;Vote Deadline Warning
Seller;Develop proposal;Develop;proposal
Software developer;Provide feedback for 2nd level support;Provide;feedback for 2nd level support
Clerk;Assign carrier;Assign;carrier
Developer;Verify bug;Verify;bug
Bank;Assess risk;Assess;risk
1st level support;Edit 1st level ticket;Edit;1st level|ticket
Travel Agent;Propose Booking Status;Propose;Booking Status
Nobel Committee Medicine;Hold Nobel Price Ceremony;Hold;Nobel Price Ceremony
Warehouse;Ship Goods;Ship;Goods
Trouble Ticket System;edit 1st level ticket;Edit;edit 1st level ticket
Trouble Ticket System;Edit account manager;Edit;Edit account manager
Customer;Confirm Interest;Confirm;Interest
Hardware Retailer;Decide if normal post or special shipment;Decide;normal post|special shipment
No Magic;Publish Seminar Description in Website;Publish;Seminar Description in Website
Vacation Request Approval Process;Mark vacation in Calendar;Mark;vacation in Calendar
User;report bug;report;bug
Customer;Place Order;Place;Order
Marketing Manager;Publish Seminar Description in Website;Publish;Seminar Description in Website
Customer;Select Travel;Select;Travel
Trouble Ticket System;Add to backlog;Add to;backlog
Administrator;Notify user;Notify;user
1st level support;Edit account manager;Edit;account manager
Librarian;Register Reservation;Register;Reservation
1st Level Support Agent;Classify ticket;Classify;ticket
Business participant;Send Results Via E-Mail;Send;Results Via E-Mail
Business participant;Request Hold;Request;Hold
Technician;Receive Notification;Receive;Notification
Risk Analyst;Assess risks;Assess;risks
Car House;Select Car;Select;Car
No Magic;Welcome Participants;Welcome;Participants
Seller;Change the terms of the offer;Change;terms of the offer
Business participant;Get Book Status;Get;Book Status
No Magic;Evaluate Participants Number;Evaluate;Participants Number
Manager;Approve Order;Approve;Order
Business participant;Reply On Loan ;Reply on;Loan
Cab Driver;Pickup Customer;Pickup;Customer
Business participant;Send Registered Warning Letter;Send;Registered Warning Letter
Support Department;Work Offline;Work;Offline
Organization;Initiate File;Initiate;File
Nobel Committee Medicine;Select Preliminary Candidates;Select;Preliminary Candidates
Nobel Assembly;Announce Nobel Prize Laureates;Announce;Nobel Prize Laureates
Pizza Customer;Eat the pizza;Eat;pizza
Firm;Reject Application;Reject;Application
Candidate;Review Offer;Review;Offer
Trouble Ticket System;Send Mail to Account Manager;Send;Mail to Account Manager
Business participant;Receive Issue List;Receive;Issue List
Warehouse Worker;Package goods;Package;Goods
Business participant;Process Payment;Process;Payment
No Magic;Register Participant;Register;Participant
Hardware Retailer;Request quotes from carriers;Request;quotes from carriers
1st Level Support Agent;Handle 1st level issue;Handle;1st level issue
No Magic;Give talk;Give;talk
Online Shop;Suggest Change;Suggest;Change
Recruiter;Schedule Interview;Schedule;Interview
Car House;Show Reservation;Show;Reservation
pizza chef;Bake the pizza;Bake;pizza
Administrative Department;Bill;Bill;
Hardware Retailer;Fill a Post label;Fill;Post label
1st level support;Open Ticket;Open;ticket
System Communication;Store in Marketing System Client 100;Store in;Marketing System Client 100
Nobel Committee Medicine;Send Nomination Form;Send;Nomination Form
Business participant;Moderate Conference Call Discussion;Moderate;Conference Call Discussion
Technician;Work Offline;Work;Offline
Hardware Retailer;Add paperwork;Add;paperwork
2nd level support;Edit 2nd level ticket;Edit;Edit 2nd level ticket
Marketing Manager;Collect Questionnaries;Collect;Questionnaries
Reader;Return Item;Return;Item
Trouble Ticket System;Edit 2nd level ticket;Edit;2nd Level Ticket
Marketing Manager;Make Internal Seminar Anoucement;Make;Seminar
Business participant;Register Order in Manufacturing System;Register;Order in Manufacturing System
Aqua Distilled Water Company;Verify Customer Identity;Verify;Customer Identity
2nd level support;Add to backlog;Add to;backlog
Seminar Coordinator;Make Internal Seminar Anoucement;Make;Seminar
Nobel Committee Medicine;Submit Report with Recommendations;Submit;Report with Recommendations
Reservation;Submit Car Reservation;Submit;Car Reservation
Nobel Committee Medicine;Send list of Selected Preliminary Candidates;Send;list of Preliminary Candidates
2nd level support;edit 2nd level ticket;edit;2nd level|ticket
Nominator;Identify Potential Nominee(s);Identify;Potential Nominee
Travel Agent;Get Alternative Time;Get;Alternative Time
Organization;Check Solvency;Check;Solvency
Order Process;Enter Order;Enter;Order
Employee;Update Vacation Request;Update;Vacation Request
Organization;Bill;Bill;
Trouble Ticket System;Insert issue into product backlog;Insert;issue into product|backlog
Organization;Book Travel;Book;Travel
Candidate;Fill out Employment Froms;Fill out;Employment Froms
Customer;Request Booking;Request;Booking
Trouble Ticket System;edit 2nd level ticket;edit;Edit 2nd level ticket
Business participant;Moderate E-mail Discussion;Moderate;E-mail Discussion
Developer;Notify administrator;Notify;administrator
Trouble Ticket System;Send mail to account manager;Send;Mail to Account Manager
Sales Department;Prepare contract;Prepare;contract
Seminar Speaker;Give talk;Give;talk
Aqua Distilled Water Company;Deliver Water;Deliver;Water
Firm;Review Application;Review;Application
Logistic Department Worker;Deliver Water;Deliver;Water
No Magic;Arrange Facilities and Meals;Arrange;Facilities|Meals
Travel Agent;Check Availability;Check;Availability
Business participant;Reduce Number of Voting Members and Recalculate Votes;Reduce;Number of Voting Members|Recalculate Votes
Bank;Send quote;Send;quote
Administrator;Install new version;Install;new version
Clerk;Decide if normal post or special shipment;Decide;normal post|special shipment
Nobel Committee Medicine;Determine Need for Expert Assistance;Determine;Need for Expert Assistance
Seller;Consider the proposal;Consider;proposal
No Magic;Send Invitations to Customers;Send;Invitations to Customers
Sales Representative;Suggest Change;Suggest;Change
Front Desk;Review & Escalate;Escalate;Review
Clerk;Check if extra insurance is necessary;Check;extra insurance
System Communication;Store in Statistical System;Store in;Statistical System
CRM;Get Client Information;Get;Client Information
Support Department;Receive Notification;Receive;Notification
Vacation Request Approval Process;Approve Vacation Request;Approve;Vacation Request
Marketing Manager;Welcome Participants;Welcome;Participants
2nd level support;edit 2nd level ticket;Edit;2nd Level Ticket
Customer Service Assistant;Forward Order;Forward;Order
Sales rep;Calculate terms;Calculate;terms
Trouble Ticket System;Open ticket;Open;ticket
Business participant;Receive Book Request;Receive;Book Request
Support Manager;Receive Notification;Receive;Notification
Nobel Assembly;Discuss Nominators (Meeting 1);Discuss;Nominators|Meeting 1
No Magic;Prepare Seminar Description;Prepare;Seminar Description
Firm;Prepare Offer;Prepare;Offer
Sales Department;Indicate Price;Indicate;Price
Reader;Find Wanted Title;Find Wanted;Title
Business participant;Post Results on Web Site;Post;Post Results on Web Site
Sales manager;Consider the proposal;Consider;proposal
Librarian;Notify First Waiting Reader;Notify;First Waiting Reader
Service Contract Implementation Layer;Store in Marketing System Client 200;Store in;Marketing System Client
Marketing Manager;Arrange Facilities and Meals;Arrange;Facilities|Meals
Recruiter;Prepare Offer;Prepare;Offer
1st level support;Send Mail to Account Manager;Send;Mail to Account Manager
2nd level support;Insert issue into product backlog;Insert;issue into product|backlog
Vacation Request Approval Process;Book Vacation;Book;Vacation
Nobel Committee Medicine;Collect Candidates Work Assessment Reports;Collect;Candidates Work Assessment Reports
Travel Agent;Get Booking Request;Get;Booking Request
Nominator;Send Nominee Completed Form(s);Send;Form
Reservation;Get Confirmation;Get;Confirmation
Key account manager;Get problem description;Get;problem description
Business participant;Check Calendar for Conference Call;Check;Calendar for Call
Sales Department;Send quote;Send;quote
Manager;Approve Vacation Request;Approve;Vacation Request
Employee;Mark vacation in Calendar;Mark;vacation in Calendar
Trouble Ticket System;Close Ticket;Close;ticket
Technician;Acknowledge;Acknowledge;
Hardware Retailer;Package goods;Package;goods
Sales Department;Initiate File;Initiate;File
Sales manager;Prepare special terms;Prepare;special terms
Order Process;Book Order;Book;Order
Pizza Customer;Select a pizza;Select;pizza
Bank;Prepare special terms;Prepare;special terms
Support Department;Update Client on Delay;Update;Client on Delay|Escl
Vacation Request Approval Process;Update Vacation Request;Update;Update Vacation Request
Sales Department;Calculate terms;Calculate;terms
ERP Expert;Resolve Communication Problem and Book Order;Resolve;Communication Problem|Book Order
Business participant;Hold Reply;Hold;Reply
Car House;Set Available Cars;Set;Available Cars
2nd Level Support Agent;Document 2nd level result;Document;2nd level result
Car House;Get Confirmation;Get;Confirmation
Trouble Ticket System;Open Ticket;Open;ticket
Organization;Indicate Price;Indicate;Price
Trouble Ticket System;Insert Issue into Product Backlog;Insert;Issue into Product Backlog
Seminar Coordinator;Open Seminar;Open;Seminar
Business participant;Prepare Invoice;Prepare;Invoice
Service Contract Implementation Layer;Book Order;Book;Order
Service Contract Implementation Layer;Store in Marketing System Client 100;Store in;Marketing System Client
Technician;Connect Remotely to Client;Connect;Client
Reader;Get Item;Get;Item
Administrative Department;Check Solvency;Check;Solvency
Seminar Coordinator;Send Invitations to Customers;Send;Invitations to Customers
Support Department;Acknowledge;Acknowledge;
Aqua Distilled Water Company;Forward Order;Forward;Order
1st level support;Edit 1st Level Ticket;Edit;1st Level|Ticket
Software developer;Examine problem;Examine;problem
Seller;Close an offer;Close;offer
Seminar Coordinator;Publish Seminar Description in Website;Publish;Seminar Description in Website
Business participant;Start Investigation;Start;Investigation
Firm;Schedule Interview;Schedule;Interview
No Magic;Send Reminder to Participants;Send;Reminder to Participants
Seminar Coordinator;Prepare Seminar Description;Prepare;Seminar Description
Key account manager;Send mail to support system;Send;mail to support system
Marketing Manager;Prepare Seminar Description;Prepare;Seminar Description
Customer;Send credit request;Send;credit request
Sales rep;Review request;Review;Request
Reader;Make Reservation;Make;Reservation
Nobel Committee Medicine;Write Recommendations Report;Write;Recommendations Report
Sales staff;Develop proposal;Develop;proposal
Trouble Ticket System;Edit 2nd level ticket;Edit;2nd Level Ticket
2nd Level Support Agent;Handle 2nd level issue;Handle;2nd level issue
No Magic;Make Internal Seminar Anoucement;Make;Seminar
Business participant;Order from supplier;Order from;supplier
Organization;Check Availability;Check;Availability
Warehouse;Pack Goods;Pack;Goods
1st level support;Close Ticket;Close;Ticket
Business participant;Checkout Book;Checkout;Checkout
Firm;Interview;Interview;
No Magic;Prepare Handouts;Prepare;Handouts
Client;Select Car;Select;Car
Hardware Retailer;Check if extra insurance is necessary;Check;extra insurance
Bank;Review request;Review;Request
Recruiter;Submit Offer;Submit;Offer
Marketing Manager;Prepare Handouts;Prepare;Handouts
1st level support;edit 1st level ticket;edit;1st level ticket
Business participant;Prepare Results;Prepare;Results
Client;Enter User and Dates;Enter;User|Dates
Sales rep;Prepare contract;Prepare;contract
Business participant;Update Invoice;Update;Invoice
Recruiter;Reject Application;Reject;Application
Nobel Committee Medicine;Collect Completed Forms;Collect;Completed Forms
Business participant;Checkout Reply;Checkout;Reply
1st Level Support Agent;Note 1st level result;Note;1st level result
Business participant;Email Voters that have to Change Votes;Email;Voters that have to Change Votes
Marketing Manager;Evaluate Participants Number;Evaluate;Participants Number
Marketing Manager;Send Reminder to Participants;Send;Reminder to Participants
Service Contract Implementation Layer;Store in Statistical System;Store in;Statistical System
Sales staff;Change the terms of the offer;Change;terms of the offer
2nd level support;Insert Issue into Product Backlog;Insert;Issue into Product Backlog
User;Use application;Use;application
Support Department;Connect Remotely to Client;Connect;Client
1st Level Support Agent;Document 1st level result;Document;1st level result
Bank;Assess risks;Assess;risks
Trouble Ticket System;Edit 1st level ticket;Edit;1st level ticket
Seminar Speaker;Prepare Talk Presentation;Prepare;Talk Presentation
Sales Department;Book Travel;Book;Travel
1st level support;Close ticket;Close;Ticket
No Magic;Open Seminar;Open;Seminar
Sales rep;Send quote;Send;quote
Business participant;Reduce to Two Solutions;Reduce to;Solutions
Pizza Customer;Order a pizza;Order;pizza
No Magic;Collect Questionnaries;Collect;Questionnaries
Online Shop;Ship Goods;Ship;Goods
Customer;Provide Customer Data;Provide;Customer Data
Bank;Calculate terms;Calculate;terms
Bank;Prepare contract;Prepare;contract
No Magic;Close Seminar;Close;Close Seminar
Business participant;Re-Announce Vote with Warning to Voting members;Re-Announce;Vote with Warning to Voting members
Librarian;Put Reservation to the Waiting List;Put;Reservation to the Waiting List
Sales Representative;Check Stock Level;Check;Stock Level
Recruiter;Collect Feedback;Collect;Feedback
Joan Doe;Assess risk;Assess;risk
Cab Driver;Complete Assignment;Complete;Assignment
Librarian;Register Loan;Register;Loan
Customer Service Assistant;Create Customer Account;Create;Customer Account
Technician;Update Case Status;Update;Case Status
Sales Department;Review request;Review;Request
Seller;Fullfil the order;Fullfil;order
Interviewer;Interview;Interview;
1st level support;Send mail to account manager;Send;Mail to Account Manager
Reservation;Set Available Cars;Set;Available Cars
Recruiter;Review Application;Review;application
Business participant;Review Issue List;Review;Issue List
Key account manager;Explain solution;Explain;solution
Manager;Book Vacation;Book;Vacation
Service Contract Implementation Layer;Resolve Communication Problem and Book Order;Resolve;Communication Problem|Book Order
Nobel Assembly;Select Laureates (Meeting 2);Select;Laureates|Meeting 2
Sales Department;Check Availability;Check;Availability
Sales staff;Close an offer;Close;offer
Marketing Manager;Send Invitations to Customers;Send;Invitations to Customers
System Communication;Store in Marketing System Client 200;Store in;Marketing System Client 200
Client;Show Reservation;Show;Reservation
Firm;Submit Offer;Submit;Offer
Sales Representative;Request Pack Goods;Request;Pack Goods
Trouble Ticket System;Close ticket;Close;Ticket
Marketing Manager;Register Participant;Register;Participant
Aqua Distilled Water Company;Create Customer Account;Create;Customer Account
2nd Level Support Agent;Note 2nd level result;Note;2nd level result
2nd Level Support Agent;Handle 2nd Level Issue;Handle;2nd Level Issue
Car House;Get Client Information;Get;Client Information
Support Department;Review & Escalate;Escalate;Review
Support Department;Update Case Status;Update;Case Status
Firm;Collect Feedback;Collect;Feedback
Business participant;Receive Vote;Receive;Vote
delivery boy;Deliver the pizza;Deliver;pizza
Seminar Coordinator;Close Seminar;Close;Seminar
Business participant;Send Invoice to Customer;Send;Invoice to Customer
Pizza Customer;Pay the pizza;Pay;pizza
Clerk;Request quotes from carriers;Request;quotes from carriers
clerk;Calm customer;Calm;Customer
Business participant;Inform Customer about Overdue Payment;Inform;Customer about Overdue Payment
Online Shop;Request Pack Goods;Request;Pack Goods
1st level support;Open ticket;Open;Ticket
Developer;Notify user;Notify;user
Sales staff;Send an offer to the client;Send;offer to the client
Trouble Ticket System;Edit 1st Level Ticket;Edit;1st level ticket
Sales staff;Fullfil the order;Fullfil;order
Reader;Use Item;Use;Item
Car House;Submit Car Reservation;Submit;Car Reservation
Expert;Send Candidates Assessment Report;Send;Candidates Assessment Report
Customer Service Assistant;Verify Customer Identity;Verify;Customer Identity
delivery boy;Receive payment;Receive;payment
Online Shop;Pack Goods;Pack;Goods
Business participant;Announce Issues;Announce;Issues
Support Manager;Update Client on Delay;Update;Client on Delay
Storyboard;Storyboard (full day);;Storyboard|full day
Building;Site is developed (2 days);is developed;Site|2 days
Building;Site design (10 days);;Site design|10 days
Building;Building (3 days);;Building|3 days
review;review activity (1 day);;review activity|1 day
end;approval of the site (half a day);;approval of the site|day
Charles (admi);adds incoming mail date, records letter, archives it;adds;incoming mail date|records letter|archives
Charles (admi);tel call to sender to complete;;tel call|sender
Charles (admi);empties & checks the mails in the mailbox;empties|checks;mails in the mailbox
Charles (admi);adds new member to the member register;adds;new member to the member register
Charles (admi);sends a letter to person and explaines why not;sends;Charles|letter to person
Charles (admi);adds in the member register;adds in;member register
Charles (admi);prepare invoices&send a letter to customer;"prepares;sends";"Invoices;a letter to customer"
Charles (admi);prints a membership card&send to new customer;"prints;sends to";"membership card;new customer"
Miranda;will decide if member or not;decides;member
Miranda;stamps 'new member'&writes the date;"stamps;writes";"new member;date"
Miranda;calculates fees for the new members;calculates;fees for the new members
customer;payments will transfer;wills transfer;payments
customer;Receive membership card;receives;membership card
Customer;Inquire about availability of products;inquires about;availability of products
Customer;Submit purchase order;submits;purchase order
Customer;Send payment;sends;payment
Accounting;Prepare invoice;prepares;invoice
Accounting;Process payment;processes;payment
Accounting;Send reminder to customer;sends;reminder to customer
Sales;Create and submit the quotation;creates|submits;quotation
Sales;Create sales order;creates;sales order
Warehouse;Backorder missing items;backorders;missing items
Warehouse;Update sales order;updates;sales order
Supplier;Assemble shipment and packing list;assembles;shipment|packing list
Accounting;Enter PO Information;enters;PO Information
Accounting;Enter goods receipt information;enters;goods receipt information
Accounting;Verify invoice accuracy;verifies;invoice accuracy
Purchasing;Select a suitable vendor and send purchase order;selects;suitable vendor|purchase order
Warehouse;Request for more stock;requests for;more stock
Customer;Send inquiry;sends;inquiry
Customer;Fill out application form;fills out;application form
Customer;Process documents;processes;documents
Supervisor;Expedite the assessment process;expedites;assessment process
