;Lane;Task;Verb;NounPhrases;Label;
48;Supervisor;Decide to accept or reject claim;Decide;claim;Disjunctive clause;
49;Claim Adjuster;Review the claim;Review;claim;;
50;Claim Adjuster;Decide to accept or reject claim;Decide;claim;Disjunctive clause;
51;Claim Adjuster;Send to supervisor for review;Send to;supervisor for review;;
52;Claim Adjuster;Inform customer of rejection reasons;Inform;customer of rejection reasons;;
53;Claim Adjuster;Send claim payment to customer;Send;claim payment to customer;;
54;Customer Service;Review the claim;Review;claim;;
55;Customer Service;Contact customer for details;Contact;customer for details;;
56;Customer Service;Forward claim to claim adjuster;Forward;Claim to claim adjuster;;
57;Customer;Bring computer to ACM and describe problem;"Bring;describe";"computer to ACM;problem";Conjunctive clause;
58;Customer;Authorize the repair;Authorize;repair;;
59;Customer;Take computer back;Take;computer;;
60;Technician;Diagnose the problem;Diagnose;problem;;
61;Technician;Ask Store Owner to complete the repair;Ask;Store Owner;;
62;Technician;Complete the repair and test computer;"Complete;test";"Repair;computer";Conjunctive clause;
63;Technician;File a report about the repair;File;report about the repair;;
64;Store Owner;Create estimate of repair time and cost;Create;estimate of repair time|cost;Conjunctive clause;
65;Store Owner;Assign a technician to repair the problem;Assign;technician|problem;;
66;Store Owner;Complete repair and test computer;"Complete;test";"Repair;computer";Conjunctive clause;
67;Store Owner;File a report about the repair;File;report about the repair;;
68;Store Owner;Inform customer of repair completion;Inform;customer of repair completion;;
69;Store Owner;Inform customer of inability to fix;Inform;customer of inability;;
70;lecturer;check process model;check;process model;;
71;lecturer;assign negative points;assign;negative points;;
72;lecturer;check the process and assign points;"check;assign";"Process;points";Conjunctive clause;
73;lecturer;check the progress and consult problems;"check;consult";"Progress;problems";Conjunctive clause;
74;team;agree on team domain;agree on;team domain;;
75;team;analyse the field of study;analyse;field of study;;
76;team;assign roles in the tem;assign;roles in the tem;;
77;team;present the project;present;project;;
78;student;join team;join;team;;
79;student;create one process model;create;process model;;
80;student;fix the problem at the next seasion;fix;problem at the next seasion;;
81;student;extend the process to L2,3;extend;process to L2;Conjunctive clause;
82;student;perform work according to role;perform;work|role;;
83;Checked department;hand in details of their work;hand in;details|work;;
84;Auditor;Look for essential problems within company;Look for;essential problems within company;;
85;Auditor;look fo preciese information;look fo;preciese information;;
86;Auditor;statement of employees' work;;statement of employees work;;
87;Auditor;consult with employes;consult with;employes;;
88;Auditor;general statement;;general statement;;
89;Auditor;deeper look into a company;;deeper look into a company;;
90;examiner;get to know the case;get to know;case;;
91;examiner;first evaluation;;first evaluation;;
92;examiner;contact insurer and consult the case;"contact;consult";"Insurer;case";Conjunctive clause;
93;examiner;final evaluation;;final evaluation;;
94;Insurance company;a shady incident;;shady incident;;
95;Insurance company;analyse details of the case;analyse;details of the case;;
96;Insurance company;report for insurer;;report for insurer;;
97;insurer;hand in details of an accident;;hand in details of an accident;;
98;insurer;enter a protest;enter;protest;;
99;Customer;Review the Venders;Review;Venders;;
100;Customer;Send the RFQ;Send;RFQ;;
101;Customer;Review The Sales Quote;Review;Sales Quote;;
102;Sales;Communicate with the Customer;Communicate with;Customer;;
103;Sales;Review Pricing Options and Generate Sales Quote;"Review;Generate";"Pricing Options;Sales Quote";Conjunctive clause;
104;Emgineering;Produce L&M Cost Estimates Laser tested;Produce;L&M Cost Estimates Laser;;
105;Finance;Adding The Overhead Cost;Adding;Overhead Cost;;
106;Finance;Generate Pricing Options;Generate;Pricing Options;;
107;Customer;Create RFQ;Create;RFQ;;
108;Customer;Review Sales Quote;Review;Sales Quote;;
109;Customer;Review the Vendors;Review;Vendors;;
110;Customer;Review the Sales Quote;Review;Sales Quote;;
111;Sales;Verify the RFQ;Verify;RFQ;;
112;Engineering;Produce L&M Cost;Produce;M Cost;Conjunctive clause;
113;Finance;Adding the Overhead Cost;Adding;Overhead Cost;;
114;Reporter;Write Incident Report;write;Incident Report;;
115;Analyst;Comment arrangements;comment;arrangements;;
116;reporter;report incident;report;incident;;
117;reporter;note incident number and -code;note;Incident number|code;Conjunctive clause;
118;reporter;answer request;answer;request;;
119;agent;answer request provision;answer;request provision;;
120;activiti process engine;report incident;report;incident;;
121;activiti process engine;deidentify incident step 1;deidentify;deidentify incident step 1;;
122;activiti process engine;deidentifiy incident step 2;deidentify;deidentifiy incident step 2;Starts with subject;
123;activiti process engine;analyze incident;analyze;incident;;
124;activiti process engine;answer request by reporter;answer;request by reporter;;
125;activiti process engine;answered request by reporter (list);answered;request by reporter|list;;
126;activiti process engine;answer request by agent;answer;request by agent;;
127;activiti process engine;answered request by agent (list);answered;request by agent|list;;
128;analyst;analyze incident;analyze;incident;;
129;Customer;Review the sales quote;Review;sales quote;;
130;Sales;Review pricing options and generate sales quote;generate;Review pricing options|sales quote;Conjunctive clause;
131;Engineering;Produce L&M Cost Estimates;Produce;L|M Cost Estimates;Conjunctive clause;
132;Finance;Adding the Overhead cost;Adding;Overhead cost;;
133;Finance;Generate pricing options;Generate;pricing options;;
134;Customer;Submit the Insurance Claim;Submit;Insurance Claim;;
135;CSR;Review the claim;Review;claim;;
136;CSR;communicate with the customer;communicate with;customer;;
137;Claim Adjuster;Evaluate the claim;Evaluate;claim;;
138;Claim Adjuster;send payment;send;payment;;
139;Claim Adjuster;send rejection letter with explanation;send;rejection letter with explanation;;
140;Supervisor;evaluate the claim;evaluate;claim;;
141;PURCHASING AGENT;Create Purchase order  2x;Create;Purchase order 2 x;;
142;FINANCE DEPARTMENT;Create Billing Document;Create;Billing Document;;
143;FINANCE DEPARTMENT;Post Incoming Payment;Post;Incoming Payment;;
144;WAREHOUSE TEAM;Display stock/ Requirements list;Display;stock|Requirements list;;
145;WAREHOUSE TEAM;Create Transfer order for Delivery note;Create;Transfer order for Delivery note;;
146;WAREHOUSE TEAM;Create Purchase requisition;Create;Purchase requisition;;
147;WAREHOUSE TEAM;Goods Receipt for Purchase order;;Goods Receipt for Purchase order;;
148;PRODUCTION PLANNER;MRP Run;;MRP Run;Bad prefix;
149;PRODUCTION PLANNER;Create Production order 2x;Create;Production order 2 x;;
150;PRODUCTION PLANNER;Production Order confirmation & Production of motorcycle 2x;;Production Order confirmation|Production of motorcycle 2|x;Conjunctive clause;
151;SALES & DISTRIBUTION DEPARTMENT;Create sales order;Create;sales order;;
152;SALES & DISTRIBUTION DEPARTMENT;Outbound Delivery with order reference;;Outbound Delivery with order reference;;
153;SALES & DISTRIBUTION DEPARTMENT;Check inventory for finished goods;Check;inventory for|goods;;
154;sales;verify RFQ;verify;RFQ;;
155;sales;Send to Customer;Send to;Customer;;
156;sales;Generate sales Quotes;Generate;sales Quotes;;
157;Finance;Produced labor and materal costs;Produced;labor|materal costs;Conjunctive clause;
158;Engineering;Add overhead cost;Add;overhead cost;;
159;Customer;Generate RFQ;Generate;RFQ;;
160;Customer;Analyze Sales Quote;Analyze;Sales Quote;;
161;Volley Club;emptying the mailbox;emptying;mailbox;;
162;Volley Club;Phonecall to complete data;;Phonecall to complete data;;
163;Volley Club;Recording an archieving;Recording;archieving;;
164;Volley Club;add to the register;add to;register;;
165;Volley Club;write down member fee into register;write down;member fee into register;;
166;Volley Club;letter with explanation of rejecting;;letter with explanation of rejecting;;
167;Volley Club;print membership cards;print;membership cards;;
168;Volley Club;send membership cards;send;membership cards;;
169;Miranda;new member for the club?;;new member for the club;;
170;Miranda;stamp the letter;stamp;letter;;
171;Miranda;calculkate member fee;;calculkate member fee;;
172;candidate;sending letter;sending;letter;;
173;candidate;Phonecall with Charles;;Phonecall with Charles;;
174;candidate;get rejected;get rejected;;;
175;candidate;is a new member of the club;is;new member of the club;;
176;candidate;has to pay membership;has to pay;membership;;
177;candidate;pays the fee;pays;fee;;
178;candidate;does not pay the fee;pay;fee;Starts with subject;
179;Web Designer;First informational meeting;;First informational meeting;;
180;Web Designer;Design site;Design;site;;
181;Web Designer;Develop site;Develop;site;;
182;Web Designer;Prepare content;Prepare;content;;
183;Web Designer;Marketing review;;Marketing review;;
184;Web Designer;Final version of content;;Final version of content;;
185;Web Designer;Building the site;Building;site;;
186;Web Designer;Review activity;Review;activity;;
187;Web Designer;Approval of the site;;Approval of the site;;
188;Web Designer;Storyboard;;Storyboard;;
189;Miranda;emptying the letterbook;emptying;letterbook;;
190;Miranda;rejecting the candidate;rejecting;candidate;;
191;Miranda;accepting the candidate and sending the letter to Charles;"accepting;sending";"candidate;letter to Charles";Conjunctive clause;
192;Miranda;calculating the member fee for every person;calculating;member fee for every person;;
193;Miranda;giving the fee data to Charles;giving;fee data to Charles;;
194;Charles;Empties Mailbox and check for missing information;"Empty;check";"mailbox;missing information";Conjunctive clause;
195;Charles;Phonecall to complete data;;Phonecall to complete data;;
196;Charles;recording and archiving;;recording|archiving;Conjunctive clause;
197;Charles;sending of rejection letter;sending of;rejection letter;;
198;Charles;add member to register;add;member to register;;
199;Charles;sending the data to Miranda;sending;data to Miranda;;
200;Charles;writing the fees into the register;writing;fees into the register;;
201;Charles;preparing invoice for new candidates;preparing;invoice for new candidates;;
202;Charles;waiting for payment of the fees;waiting for;payment of the fees;;
203;Charles;prints the membership card;prints;membership card;;
204;Charles;send the membership cards to the new members;send;membership cards to the new members;;
205;Backup;Backup of Database;;Backup of Database;;
206;Backup;Check the CRM for new registers;Check;CRM for new registers;;
207;Backup;write the registers into the existing table;write;registers into the|table;;
208;Backup;alert the supervisor;alert;supervisor;;
209;Backup;Produce a new table;Produce;new table;;
210;Backup;send it to the account manager;send;account manager;;
211;Backup;check CRM whether new returns are filled;check;CRM whether new returns are filled;;
212;Backup;reconcile with the existing;reconcile with;existing;;
213;Backup;message to the supervisor;message to;supervisor;;
214;Backup;register;register;;;
215;Customer Service Representative;update case details;update;case details;;
216;Customer Service Representative;archive;;archive;;
217;Customer Service Representative;cancellation;;cancellation;;
218;Customer Service Representative;moved to administration for completion;moved to;administration for completion;;
219;Customer Service Representative;generate message for outstanding documents;generate;message for outstanding documents;;
220;commitee members;check diaries and for conflicts;check;diaries|conflicts;Conjunctive clause;
221;support officer;check dates and suggest modifications;"check;suggest";"dates;modifications";Conjunctive clause;
222;support officer;update group calendar;update;group calendar;;
223;support officer;create meeting folders;create;meeting folders;;
224;support officer;ensure that all documents are uploaded;ensure;documents;;
225;coordination unit;schedule meetings;schedule;meetings;;
226;coordination unit;add draft dates;add;draft dates;;
227;coordination unit;recheck all dates - potential conflicts?;recheck;dates|potential conflicts;Comment;
228;coordination unit;create final schedule;create;final schedule;;
229;coordination unit;finalize schedule;finalize;schedule;;
230;Sales and Marketing;Check customer;Check;customer;;
231;Sales and Marketing;Place order in ERP system;place;order in ERP system;;
232;Sales and Marketing;Check product availability;Check;product availability;;
233;Sales and Marketing;Reject the order;Reject;order;;
234;Sales and Marketing;Invoice the customer;Invoice;customer;;
235;Sales and Marketing;Send Christmas card every year;Send;Christmas card every year;;
236;Production;Start production;Start;production;;
237;Logistics and Distribution;Take product from the warehouse;Take;product from the warehouse;;
238;Logistics and Distribution;Prepare product for shipment;Prepare;product for shipment;;
239;Logistics and Distribution;Deliver the product;Deliver;product;;
240;Accounting;Check reminder >3;Check;reminder;Invalid text;
241;Accounting;Check bank account;Check;bank account;;
242;Accounting;Send reminder;Send;reminder;;
243;Legal department;Take legal actions;Take;legal actions;;
244;Validation Department;Forward Validated Invoices to the Registry;Forward;Validated Invoices to the Registry;;
245;Validation Department;Update Status to Validated;Update;Status to Validated;;
246;The Registry;Receiving Validated Invoices;Receiving;Validated Invoices;;
247;The Registry;Sorting by vendors;Sorting by;vendors;;
248;The Registry;Sorting by Payment Date;Sorting by;Payment Date;;
249;The Registry;Archiving Invoices;Archiving;Invoices;;
250;The Registry;Relocating an Archived Invoice;Relocating;Invoice;;
251;Payment Department;Process Weekly Payment;Process;Weekly Payment;;
252;Payment Department;Generate Payment Report;Generate;Payment Report;;
253;Payment Department;Send report to Client;Send;report to Client;;
254;Payment Department;Send Report to the Registry;Send;Report to the Registry;;
255;Payment Department;Send Report to Accounts Receivable Department;Send;Report to Accounts Receivable Department;;
256;Account Receivable Department;Generate Monthly Invoices;Generate;Monthly Invoices;;
257;Account Receivable Department;Send Invoice to Client;Send;Invoice to Client;;
258;Account Receivable Department;Receive Payment from Client;Receive;Payment from Client;;
259;SSP Clients;Client sends invoice to SSP;sends;Client|invoice to SSP;Starts with subject;
260;Admin Department;Sort invoice by client;sort;invoice by client;;
261;Admin Department;Sub-Sort invoices by vendor;sub-sort;invoices by vendor;;
262;Admin Department;Attach Invoice Entry Form;Attach;Invoice Entry Form;;
263;Admin Department;Fill out Invoice Entry Form;Fill out;Invoice Entry Form;;
264;Admin Department;Check invoice for completeness;Check;invoice for completeness;;
265;Admin Department;Allocate to Data Entry personel;Allocate to;Data Entry personel;;
266;Mail Centre;Categorise Mail;Categorise;Mail;;
267;Mail Centre;Return invoice to client to complete;Return;invoice to client;;
268;Mail Centre;Return non-complaint invoice to client;Return;non-complaint invoice to client;;
269;Validation Department;Sort invoices by client;Sort;invoices by client;;
270;Validation Department;Print invoice validation report sorted by client;Print;invoice validation report|client;;
271;Validation Department;Validate data entry for invoice;Validate;data entry for invoice;;
272;Validation Department;Update invoice batch to validated;validated;Update invoice batch to;Starts with subject;
273;The Registry;Pay Invoice;Pay;Invoice;;
274;The Registry;Leave Invoice unpaid until next pay run;Leave;Invoice unpaid until next pay run;;
275;Payment Department;Generate monthly invoice report for Client;Generate;monthly invoice report for Client;;
276;Account Receivable Department;Sort by Vendor;Sort by;Vendor;;
277;Account Receivable Department;Archive Invoice;Archive;Invoice;;
278;Vendor Master Record Data Entry Department;Create Vendor Master Record;Create;Vendor Master Record;;
279;Admin Department;Recall Client's SLA;Recall;Client|SLA;;
280;Admin Department;Search Excel spreadsheet for SLA;Search;Excel spreadsheet for SLA;;
281;Admin Department;Write SLA on Invoice Entry form;Write;SLA on Invoice Entry form;;
282;SSP Clients;Forward Invoice;Forward;Invoice;;
283;SSP Clients;Complete Invoice;Complete;Invoice;;
284;SSP Clients;Determine correct compliance information;Determine;correct compliance information;;
285;SSP Clients;Notify Vendor of Invoice Payment;Notify;Vendor of Invoice Payment;;
286;SSP Clients;Pay Monthly Invoice;Pay;Monthly Invoice;;
287;SSP Clients;Modify information for compliance;Modify;information for compliance;;
288;Admin Department;Check if invoice is compliant with the SLA;Check;invoice|SLA;Condition;
289;Admin Department;Return Invoice to Client;Return;Invoice to Client;;
290;Admin Department;Send Reminder Letter;Send;Reminder Letter;;
291;Admin Department;Phone client to request required information;"Phone;request";"client;required information";Starts with subject;
292;Admin Department;Complete invoice entry form with compliance information;Complete;invoice entry form with compliance information;;
293;Data Entry Department;Enter Master Record Request Form;Enter;Master Record Request Form;;
294;Data Entry Department;Enter Vendor code on Invoice Entry form;Enter;Vendor code on Invoice Entry form;;
295;Data Entry Department;Sort Invoices by Vendor;Sort;Invoices by Vendor;;
296;Data Entry Department;Take Invoice batch to Outbox;Take;Invoice batch to Outbox;;
297;Data Entry Department;Look up Vendor in SAP system;Look up;Vendor in SAP system;;
298;Data Entry Department;Sort Invoices by Amount;Sort;Invoices by Amount;;
299;Validation Department;Send Validated Invoices to the Registry;Send;Validated Invoices to the Registry;;
300;The Registry;Sort by Vendor;Sort by;Vendor;;
301;The Registry;Sort by Payment Date;Sort by;Payment Date;;
302;The Registry;Archive Invoices;Archive;Invoices;;
303;The Registry;File invoice payment report;File;invoice payment report;;
304;Payment Department;Pay Vendor;Pay;Vendor;;
305;Payment Department;Leave Invoice unpaid until next pay run;Leave;Invoice unpaid until next pay run;;
306;Payment Department;Generate invoice payment report per client;Generate;invoice payment report per client;;
307;Payment Department;Send invoice report to client;Send;invoice report to client;;
308;Account Receivable Department;Generate monthly invoice for client;Generate;monthly invoice for client;;
309;Account Receivable Department;Monthly invoice marked as paid;;Monthly invoice marked as paid;;
310;Vendor;Issue Invoice;Issue;Invoice;;
311;Vendor;Mark invoice as paid;Mark;Mark invoice as paid;;
312;Sales;Check Customer;Check;Customer;;
313;Sales;Check Solvency;Check;Solvency;;
314;Sales;Check Intercooperability;Check;Intercooperability;;
315;Sales;Apply to data base;Apply to;data base;;
316;Sales;Offer Prepayment;Offer;Prepayment;;
317;Sales;create offer for customer;create;offer for customer;;
318;Sales;Recreate/negotioate offer;Recreate;negotioate offer;;
319;Sales;Send invoice;Send;invoice;;
320;Sales;Send letter of refusal;Send;letter of refusal;;
321;Sales;Check payment;Check;payment;;
322;Sales;Send reminder;Send;reminder;;
323;Sales;Close order;Close;order;;
324;Sales;Check number of reminders;Check;number of reminders;;
325;Sales;Contact a lawyer;Contact;lawyer;;
326;Logistics;Check capacity;Check;capacity;;
327;Logistics;Send inquiry for goods to supplier;Send;inquiry for goods to supplier;;
328;Logistics;Receive suppliers offer;Receive;suppliers;;
329;Logistics;preparing the order;preparing;order;;
330;Logistics;Send goods;Send;goods;;
331;Logistics;start production;start;production;;
332;Italian Restaurant;ask for menu;ask for;menu;;
333;Italian Restaurant;check available dishes;check;available dishes;;
334;Italian Restaurant;order tiramisu;order;tiramisu;;
335;Italian Restaurant;order a glass of red wine;order;glass of red wine;;
336;Italian Restaurant;consume your dishes;consume;dishes;;
337;Italian Restaurant;ask for check;ask for;check;;
338;Italian Restaurant;waiter was nice;;waiter was nice;Condition;
339;Italian Restaurant;waiter was not nice;;waiter was not nice;Condition;
340;Italian Restaurant;pay bill and tip;pay;bill|tip;Conjunctive clause;
341;Italian Restaurant;pay the bill;pay;bill;;
342;Italian Restaurant;skip dessert;skip;dessert;;
343;Italian Restaurant;order salad;order;salad;;
344;Italian Restaurant;ask for tiramisu;ask for;tiramisu;;
345;Part Provision Team;Identify parts;Identify;parts;;
346;Part Provision Team;Elicit information from customer;Elicit;information from customer;;
347;Part Provision Team;Check availability;Check;availability;;
348;Part Provision Team;supplied to customer;supplied to;customer;;
349;Part Provision Team;Record customer detail;Record;customer detail;;
350;Part Provision Team;Contract customer;Contract;customer;;
351;Part Provision Team;Parts Collected;;Parts Collected;Condition;
352;Part Provision Team;Payment;;Payment;;
353;Army;Hold physical exam;Hold;physical exam;;
354;Army;Shortlist application;Shortlist;application;;
355;Army;Hold mental exam;Hold;mental exam;;
356;Army;Hold interview;Hold;interview;;
357;Army;Recruit applicant;Recruit;applicant;;
358;Army;Notify failure;Notify;failure;;
359;Army;Schedule exams and interview;Schedule;exams|interview;Conjunctive clause;
360;Sales & Distribution;Check stock availability;Check;stock availability;;
361;Sales & Distribution;Confirm order;Confirm;order;;
362;Sales & Distribution;Archive order;Archive;order;;
363;Sales & Distribution;Send invoice;Send;invoice;;
364;Warehouse;Send product;Send;product;;
365;Warehouse;Manufacture product;Manufacture;product;;
366;Warehouse;Purchase raw materials from Supplier 1;Purchase;raw materials from Supplier 1;;
367;Warehouse;Purchase raw materials from Supplier 2;Purchase;raw materials from Supplier 2;;
368;Warehouse;Check raw materials availability;Check;raw materials availability;;
369;Sales;Confirm order;Confirm;order;;
370;Sales;Emit invoice;Emit;invoice;;
371;Sales;Archive order;Archive;order;;
372;Cashier;Capture party details;Capture;party details;;
373;Cashier;Print file server;Print;file server;;
374;Cashier;Receive payment;Receive;payment;;
375;Small claims tribunal;Retrieve claim file;Retrieve;claim file;;
376;Small claims tribunal;Distribute warrant possession;Distribute;warrant possession;;
377;Small claims tribunal;Store claim file;Store;claim file;;
378;Small claims tribunal;Attach claim report;Attach;claim report;;
379;Small claims tribunal;Store expanded file;Store;expanded file;;
380;Small claims tribunal;Notify party;Notify;party;;
381;Party;Archive claim;Archive;claim;;
382;Small claims tribunal;Distribute warrant possession coversheet;Distribute;warrant possession coversheet;;
383;Small claims tribunal;Store expanded claim file;Store;expanded claim file;;
384;Sales;Receive payment;Receive;payment;;
385;Assessment Manager;Store application;Store;application;;
386;Assessment Manager;Get initial validation;Get;initial validation;;
387;Assessment Manager;Check validation result;Check;validation result;;
388;Assessment Manager;Check modifications to natural environment;Check;modifications to natural environment;;
389;Assessment Manager;Apply additional fees;Apply;additional fees;;
390;Assessment Manager;Check environment protection laws;Check;environment protection laws;;
391;Assessment Manager;Prepare final approval;Prepare;final approval;;
392;Cadastre;Retrieve geographical infromation;Retrieve;geographical infromation;;
393;DMR;Check for road conflicts;Check for;road conflicts;;
394;Seller;Prepare registration information;Prepare;registration information;;
395;Seller;Request auction creation;Request;auction creation;;
396;Auctioning Service;Check registration status;Check;registration status;;
397;Auctioning Service;Request account creation;Request;account creation;;
398;Auctioning Service;Confirm auction creation;Confirm;auction creation;;
399;Customer;Pay travel;Pay;travel;;
400;Customer;Check travel offer;Check;travel offer;;
401;Customer;Reject offer;Reject;offer;;
402;Customer;Book travel;Book;travel;;
403;Travel Agency;Make travel offer;Make;travel offer;;
404;Travel Agency;Order ticket;Order;ticket;;
405;Travel Agency;Confirm booking;Confirm;booking;;
406;Airline;Handle payment;Handle;payment;;
407;Airline;Confirm payment;Confirm;payment;;
408;Airline;Refuse payment;Refuse;payment;;
409;Client;Submit request for quote;Submit;request for quote;;
410;Client;Check quote;Check;quote;;
411;Client;Send order;Send;order;;
412;Client;Send notification;Send;notification;;
413;Seller;Prepare quote;Prepare;quote;;
414;Seller;Send quote;Send;quote;;
415;Seller;Handle order;Handle;order;;
416;Seller;Organize shipment;Organize;shipment;;
417;Seller;Assess request for merchandise return;Assess;request for merchandise return;;
418;Seller;Send rejection;Send;rejection;;
419;Seller;Send acceptance;Send;acceptance;;
420;Seller;Invoice customer;Invoice;customer;;
421;Seller;Receive merchandise;Receive;merchandise;;
422;Seller;Approve loss claim;Approve;loss claim;;
423;Customer;Sign delivery notice;Sign;delivery notice;;
424;Customer;Assess merchandise;Assess;merchandise;;
425;Customer;Lodge damage claim report;Lodge;damage claim report;;
426;Customer;Lodge request for merchandise return;Lodge;request for merchandise return;;
427;Customer;Lodge loss claim report;Lodge;loss claim report;;
428;Customer;Attempt suicide;Attempt;suicide;;
429;Customer;Return merchandise;Return;merchandise;;
430;Customer;Pay;Pay;;;
431;Risk Assessor;Assess loan risk;Assess;loan risk;;
432;Loan Officer;Return application back to applicant;Return;application|applicant;;
433;Loan Officer;Check application form completeness;Check;application form completeness;;
434;Loan Officer;Assess eligibility;Assess;eligibility;;
435;Loan Officer;Reject application;Reject;application;;
436;Loan Officer;Send acceptance pack;Send;acceptance pack;;
437;Loan Officer;Verify repayment agreement;Verify;repayment agreement;;
438;Loan Officer;Prepare acceptance pack;Prepare;acceptance pack;;
439;Loan Officer;Check if home insurance quote is requested;Check;home insurance quote;Condition;
440;Loan Officer;Cancel application;Cancel;application;;
441;Loan Officer;Notify cancelation;Notify;cancelation;;
442;Loan Officer;Approve application;Approve;application;;
443;Loan Officer;Notify approval;Notify;approval;;
444;Loan Officer;Receive updated application;Receive;updated application;;
445;Financial Officer;Check credit history;Check;credit history;;
446;Insurance Sales Rep.;Send home insurance quote;Send;home insurance quote;;
447;Listings;Change schedule;Change;schedule;;
448;Judicary;Resolve judge availability;Resolve;judge availability;;
449;Loan Provider;Return application back to applicant;Return;application|applicant;;
450;Loan Provider;Check application form completeness;Check;application form completeness;;
451;Loan Provider;Receive updated application;Receive;updated application;;
452;Sales;Receive Payment;Receive;Payment;;
453;Customer;Provide shipping address;Receive;shipping address;Starts with subject;
454;Customer;Place purchase order;Place;purchase order;;
455;Customer;Make payment;Make;payment;;
456;Seller;Confirm order;Confirm;order;;
457;Seller;Manufacture product;Manufacture;product;;
458;Seller;Check stock availability;Check;stock availability;;
459;Seller;Retrieve product from warehouse;Retrieve;product from warehouse;;
460;Seller;Archive order;Archive;order;;
461;Insurance client;Lodge insurance claim;Lodge;insurance claim;;
462;Insurance client;Check witnesses;Check;witnesses;;
463;Client;Prepare loan application;Prepare;loan application;;
464;Client;Check approval letter;Check;approval letter;;
465;Client;Reject offer;Reject;offer;;
466;Client;Accept offer;Accept;offer;;
467;Mortgage department;Submit disbursement request;Submit;disbursement request;;
468;Mortgage department;Apply interest rate reduction;Apply;interest rate reduction;;
469;Mortgage department;Reject application;Reject;application;;
470;Mortgage department;Approve application;Approve;application;;
471;Mortgage department;Check loan amount;Check;loan amount;;
472;Mortgage department;Assess application;Assess;application;;
473;Insurance department;Prepare insurance offer;Prepare;insurance offer;;
474;Insurance department;Draw insurance contract;Draw;insurance contract;;
475;Financial department;Handle disbursement request;Handle;disbursement request;;
476;Broker;Forward application to BestLoans;Forward;application to BestLoans;;
477;Broker;Examine application;Examine;application;;
478;Broker;Assess application;Assess;application;;
479;Broker;Reject application;Reject;application;;
480;Broker;Approve application;Approve;application;;
481;Mortgage department;Register loan application;Register;loan application;;
482;Office;Notify employee;Notify;employee;;
483;Office;Check expense report;Check;expense report;;
484;Office;Create account;Create;account;;
485;Office;Register amount rectification;Register;amount rectification;;
486;Mortgage department;Annul deed;Annul;deed;;
487;Insurance department;Annul insurance contract;Annul;insurance contract;;
488;Financial department;Recall loan;Recall;loan;;
489;Customer;Pay merchandise;Pay;merchandise;;
490;Carrier;Notify delivery;Notify;delivery;;
491;Carrier;Transport freight;Transport;freight;;
492;Customer;Receive product;Receive;product;;
493;SSP (Mail Center);Contact client;Contact;client;;
494;SSP (Mail Center);Confirm payment of invoice;Confirm;payment of invoice;;
