token,has.vowels,length,has.special,just.letters,all.upper,roman,english.word,long.char.seq,starts.with.two,pos,prev.pos,prev.pos2,next.pos,next.pos2,prev.dep,prev.dep2,next.dep,next.dep2,label
About,True,5,False,True,False,False,True,False,False,ADP,VERB,,DET,NOUN,root,,det,obl,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,PRON,ADJ,NOUN,obj,nmod:poss,amod,obl,0
about,True,5,False,True,False,False,True,False,False,ADP,VERB,,DET,VERB,root,,det,amod,0
about,True,5,False,True,False,False,True,False,False,ADP,VERB,,DET,NOUN,root,,det,compound,0
about,True,5,False,True,False,False,True,False,False,ADP,PROPN,VERB,NOUN,,obj,root,nmod,,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,PROPN,NOUN,NOUN,root,compound,compound,nmod,0
about,True,5,False,True,False,False,True,False,False,SCONJ,NOUN,VERB,AUX,VERB,obj,root,aux:pass,advcl,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,NOUN,NOUN,,obj,compound,nmod,,0
about,True,5,False,True,False,False,True,False,False,SCONJ,NOUN,ADP,VERB,CCONJ,obl,case,advcl,cc,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,VERB,NOUN,NOUN,obj,root,compound,nmod,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,NOUN,NOUN,,root,compound,nmod,,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,DET,NOUN,NOUN,obj,det,compound,nmod,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,VERB,NOUN,NOUN,obj,root,compound,obl,0
about,True,5,False,True,False,False,True,False,False,ADP,VERB,,VERB,NOUN,root,,amod,obl,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,ADJ,VERB,NOUN,root,amod,amod,nmod,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,ADJ,PRON,CCONJ,obj,amod,nmod,cc,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,,NOUN,NOUN,root,,compound,nmod,0
about,True,5,False,True,False,False,True,False,False,ADP,PROPN,,NOUN,,root,,nmod,,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,DET,NOUN,PUNCT,obj,det,nmod:poss,punct,0
about,True,5,False,True,False,False,True,False,False,ADP,VERB,,DET,NOUN,root,,det,obl,0
about,True,5,False,True,False,False,True,False,False,ADP,AUX,NOUN,NOUN,NOUN,cop,nsubj,root,flat,0
about,True,5,False,True,False,False,True,False,False,ADP,AUX,NOUN,NOUN,PROPN,cop,nsubj,root,flat,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,NOUN,ADJ,NOUN,conj,compound,amod,obl,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,VERB,NOUN,ADP,obj,root,obl,case,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,VERB,PRON,NOUN,obj,root,nmod:poss,obl,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,ADJ,NOUN,PUNCT,conj,amod,nmod:poss,punct,0
about,True,5,False,True,False,False,True,False,False,ADP,PROPN,ADP,NOUN,NOUN,nmod,case,compound,nmod,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,PROPN,DET,ADJ,obl,compound,det,amod,0
About,True,5,False,True,False,False,True,False,False,ADP,NOUN,VERB,NOUN,,obj,root,nmod,,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,ADP,ADJ,NOUN,obl,case,amod,obl,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,NOUN,ADJ,NOUN,root,compound,amod,nmod,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,ADP,NOUN,CCONJ,nmod,case,nmod,cc,0
about,True,5,False,True,False,False,True,False,False,ADP,AUX,CCONJ,NOUN,,cop,cc,conj,,0
about,True,5,False,True,False,False,True,False,False,ADP,AUX,NOUN,ADJ,NOUN,cop,nsubj,amod,root,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,ADP,ADJ,NOUN,obl,case,amod,compound,0
about,True,5,False,True,False,False,True,False,False,SCONJ,NOUN,ADP,VERB,NOUN,obl,case,acl,obj,0
about,True,5,False,True,False,False,True,False,False,SCONJ,NOUN,DET,DET,NOUN,obj,det,det,nsubj:pass,0
about,True,5,False,True,False,False,True,False,False,ADP,VERB,,PROPN,NOUN,root,,compound,compound,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,VERB,NOUN,PART,obj,root,nmod:poss,case,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,,NOUN,,root,,nmod,,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,ADP,DET,NOUN,obl,case,det,nmod,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,VERB,DET,NOUN,obj,conj,det,compound,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,,ADJ,NOUN,root,,amod,nmod,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,DET,PRON,,obj,det,nmod,,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,VERB,PROPN,NOUN,obj,root,obl,flat,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,NOUN,PROPN,,obj,compound,nmod,,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,ADJ,PROPN,,obj,amod,nmod,,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,VERB,DET,VERB,obj,root,det,amod,0
about,True,5,False,True,False,False,True,False,False,ADP,VERB,,ADJ,PROPN,root,,amod,obl,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,ADJ,DET,NOUN,obj,amod,det,nmod,0
about,True,5,False,True,False,False,True,False,False,SCONJ,NOUN,VERB,VERB,NOUN,obj,root,advcl,obj,0
Above,True,5,False,True,False,False,True,False,False,ADP,,,ADJ,NOUN,,,amod,root,0
Above,True,5,False,True,False,False,True,False,False,ADP,VERB,,ADJ,NOUN,root,,amod,obl,0
AC,True,2,False,True,True,False,True,False,False,NOUN,NOUN,,NOUN,ADP,compound,,root,case,1
AC,True,2,False,True,True,False,True,False,False,NOUN,NOUN,,NOUN,,compound,,root,,1
AC,True,2,False,True,True,False,True,False,False,NOUN,VERB,,NOUN,,root,,obj,,1
AC,True,2,False,True,True,False,True,False,False,NOUN,NOUN,,NOUN,NOUN,compound,,compound,root,1
ac,True,2,False,True,False,False,True,False,False,NOUN,PUNCT,X,PUNCT,ADP,punct,appos,punct,discourse,0
acc,True,3,False,True,False,False,False,False,False,NOUN,ADP,VERB,PUNCT,ADJ,case,root,punct,amod,0
Acc,True,3,False,True,False,False,False,False,False,PROPN,,,PUNCT,ADJ,,,punct,parataxis,0
acc,True,3,False,True,False,False,False,False,False,NOUN,NOUN,VERB,ADP,DET,compound,root,case,det,0
ACC,True,3,False,True,True,False,False,False,False,NOUN,PUNCT,NOUN,PUNCT,,punct,root,punct,,1
acc,True,3,False,True,False,False,False,False,False,NOUN,PUNCT,NOUN,PUNCT,NOUN,punct,obj,punct,obj,0
Acc,True,3,False,True,False,False,False,False,False,PROPN,,,NOUN,,,,root,,0
ACCTG,True,5,False,True,True,False,False,False,False,NOUN,,,NOUN,,,,root,,1
Accts,True,5,False,True,False,False,False,False,False,NOUN,ADP,VERB,,,case,acl,,,0
Accts,True,5,False,True,False,False,False,False,False,NOUN,,,NOUN,PUNCT,,,root,punct,0
Achat,True,5,False,True,False,False,False,False,False,PROPN,,,,,,,,,0
ACM,True,3,False,True,True,False,False,False,False,PROPN,ADP,PROPN,,,case,obj,,,1
ACM,True,3,False,True,True,False,False,False,False,PROPN,ADP,NOUN,NOUN,,case,obj,obl,,1
ACM,True,3,False,True,True,False,False,False,False,PROPN,VERB,,VERB,DET,root,,xcomp,det,1
ACM,True,3,False,True,True,False,False,False,False,PROPN,,,VERB,NOUN,,,root,obj,1
ACM,True,3,False,True,True,False,False,False,False,PROPN,ADP,ADV,PROPN,,case,advmod,obl,,1
acm,True,3,False,True,False,False,False,False,False,PROPN,ADP,NOUN,,,case,obj,,,0
ACM,True,3,False,True,True,False,False,False,False,PROPN,ADP,NOUN,,,case,obj,,,1
ACM,True,3,False,True,True,False,False,False,False,PROPN,ADP,VERB,,,case,root,,,1
ACM,True,3,False,True,True,False,False,False,False,PROPN,ADP,NOUN,CCONJ,VERB,case,obj,cc,conj,1
ACME,True,4,False,True,True,False,True,False,False,PROPN,ADP,NOUN,,,case,obj,,,1
Acme,True,4,False,True,False,False,True,False,False,PROPN,VERB,,ADP,NOUN,root,,case,obl,0
ACME,True,4,False,True,True,False,True,False,False,PROPN,,,PROPN,,,,root,,1
ACME,True,4,False,True,True,False,True,False,False,PROPN,ADP,VERB,,,case,acl,,,1
ACME,True,4,False,True,True,False,True,False,False,PROPN,,,NOUN,,,,root,,1
Acme,True,4,False,True,False,False,True,False,False,PROPN,ADP,NOUN,,,case,obj,,,0
Acme,True,4,False,True,False,False,True,False,False,PROPN,,,PROPN,,,,root,,0
ACME,True,4,False,True,True,False,True,False,False,PROPN,,,PROPN,PUNCT,,,root,punct,1
ACN,True,3,False,True,True,False,False,False,False,PROPN,PUNCT,NOUN,PUNCT,,punct,root,punct,,1
ACN,True,3,False,True,True,False,False,False,False,NOUN,DET,VERB,,,det,root,,,1
ACN,True,3,False,True,True,False,False,False,False,PROPN,DET,VERB,,,det,root,,,1
Actor,True,5,False,True,False,False,True,False,False,NOUN,,,VERB,ADP,,,root,case,0
Actor,True,5,False,True,False,False,True,False,False,NOUN,,,AUX,AUX,,,aux,aux:pass,0
actor,True,5,False,True,False,False,True,False,False,NOUN,SCONJ,VERB,AUX,ADJ,mark,root,cop,advcl,0
actor,True,5,False,True,False,False,True,False,False,NOUN,NOUN,,,,compound,,,,0
actor,True,5,False,True,False,False,True,False,False,NOUN,VERB,,ADP,NOUN,root,,case,compound,0
actor,True,5,False,True,False,False,True,False,False,NOUN,VERB,,,,root,,,,0
actor,True,5,False,True,False,False,True,False,False,NOUN,VERB,,VERB,,root,,xcomp,,0
actor,True,5,False,True,False,False,True,False,False,NOUN,ADP,NOUN,,,case,obj,,,0
acute,True,5,False,True,False,False,True,False,False,ADJ,CCONJ,NOUN,NOUN,NOUN,cc,conj,compound,conj,0
Ad,True,2,False,True,False,False,True,False,False,PROPN,NOUN,VERB,,,obj,root,,,0
ad,True,2,False,True,False,False,True,False,False,NOUN,VERB,,,,root,,,,0
AD,True,2,False,True,True,False,True,False,False,PROPN,ADJ,VERB,PUNCT,PART,amod,root,punct,case,1
AD,True,2,False,True,True,False,True,False,False,PROPN,VERB,,PUNCT,PART,root,,punct,case,1
AD,True,2,False,True,True,False,True,False,False,PROPN,ADJ,ADP,,,amod,case,,,1
AD,True,2,False,True,True,False,True,False,False,PROPN,ADP,VERB,PART,PART,case,root,case,case,1
AD,True,2,False,True,True,False,True,False,False,PROPN,VERB,,PART,PART,root,,case,case,1
AD,True,2,False,True,True,False,True,False,False,PROPN,VERB,,,,root,,,,1
Adapt,True,5,False,True,False,False,True,False,False,VERB,,,NOUN,,,,obj,,0
add,True,3,False,True,False,False,True,False,False,VERB,CCONJ,NOUN,DET,NOUN,cc,obj,det,obj,0
add,True,3,False,True,False,False,True,False,False,VERB,,,ADJ,NOUN,,,amod,compound,0
add,True,3,False,True,False,False,True,False,False,VERB,,,DET,ADJ,,,det,amod,0
Add,True,3,False,True,False,False,True,False,False,VERB,,,ADJ,NOUN,,,amod,obj,0
Add,True,3,False,True,False,False,True,False,False,VERB,,,NOUN,NOUN,,,compound,obj,0
Add,True,3,False,True,False,False,True,False,False,VERB,,,ADJ,NOUN,,,amod,compound,0
Add,True,3,False,True,False,False,True,False,False,VERB,,,PROPN,PROPN,,,compound,obj,0
add,True,3,False,True,False,False,True,False,False,VERB,,,ADP,NOUN,,,case,obl,0
add,True,3,False,True,False,False,True,False,False,VERB,,,NOUN,PART,,,obj,mark,0
Add,True,3,False,True,False,False,True,False,False,VERB,CCONJ,NOUN,PART,NOUN,cc,obj,case,obl,0
add,True,3,False,True,False,False,True,False,False,NOUN,VERB,,PUNCT,NOUN,root,,punct,compound,0
Add,True,3,False,True,False,False,True,False,False,NOUN,NOUN,ADP,PUNCT,NOUN,compound,case,cc,compound,0
add,True,3,False,True,False,False,True,False,False,NOUN,ADP,NOUN,PUNCT,NOUN,case,obj,cc,conj,0
Add,True,3,False,True,False,False,True,False,False,NOUN,ADP,NOUN,PUNCT,NOUN,case,root,cc,compound,0
Add,True,3,False,True,False,False,True,False,False,VERB,,,NOUN,ADP,,,obj,case,0
add,True,3,False,True,False,False,True,False,False,VERB,PART,NOUN,DET,ADJ,mark,obj,det,amod,0
Add,True,3,False,True,False,False,True,False,False,VERB,,,NOUN,,,,obj,,0
add,True,3,False,True,False,False,True,False,False,VERB,,,NOUN,,,,obj,,0
Add,True,3,False,True,False,False,True,False,False,VERB,,,ADP,NOUN,,,case,compound,0
add,True,3,False,True,False,False,True,False,False,VERB,CCONJ,NOUN,NOUN,SYM,cc,compound,conj,punct,0
add,True,3,False,True,False,False,True,False,False,VERB,,,NOUN,ADP,,,obj,case,0
Add,True,3,False,True,False,False,True,False,False,VERB,,,NOUN,PART,,,obj,mark,0
add,True,3,False,True,False,False,True,False,False,VERB,,,ADJ,ADJ,,,amod,amod,0
Add,True,3,False,True,False,False,True,False,False,VERB,,,NOUN,NOUN,,,compound,compound,0
Add,True,3,False,True,False,False,True,False,False,VERB,,,ADP,NOUN,,,case,obl,0
Add,True,3,False,True,False,False,True,False,False,VERB,,,NOUN,PUNCT,,,obj,punct,0
add,True,3,False,True,False,False,True,False,False,VERB,,,ADJ,NOUN,,,amod,obj,0
Add,True,3,False,True,False,False,True,False,False,VERB,,,NOUN,CCONJ,,,obj,cc,0
add,True,3,False,True,False,False,True,False,False,VERB,CCONJ,NOUN,NOUN,NOUN,cc,root,compound,compound,0
Add,True,3,False,True,False,False,True,False,False,VERB,,,PART,NOUN,,,case,obl,0
add,True,3,False,True,False,False,True,False,False,VERB,PART,NOUN,PROPN,PROPN,mark,obj,compound,obj,0
add,True,3,False,True,False,False,True,False,False,VERB,PART,VERB,CCONJ,VERB,mark,root,cc,conj,0
add,True,3,False,True,False,False,True,False,False,VERB,,,NOUN,CCONJ,,,obj,cc,0
Add,True,3,False,True,False,False,True,False,False,VERB,,,DET,ADJ,,,det,amod,0
Add,True,3,False,True,False,False,True,False,False,VERB,,,ADJ,ADJ,,,amod,amod,0
add,True,3,False,True,False,False,True,False,False,VERB,,,NOUN,NOUN,,,compound,obj,0
add,True,3,False,True,False,False,True,False,False,VERB,PART,NOUN,ADJ,NOUN,mark,obj,amod,compound,0
add,True,3,False,True,False,False,True,False,False,VERB,PART,NOUN,PUNCT,NOUN,mark,root,cc,compound,0
Add,True,3,False,True,False,False,True,False,False,VERB,,,DET,VERB,,,det,amod,0
Add,True,3,False,True,False,False,True,False,False,VERB,,,ADP,NOUN,,,compound:prt,compound,0
Add,True,3,False,True,False,False,True,False,False,VERB,,,NOUN,SYM,,,compound,compound,0
Add,True,3,False,True,False,False,True,False,False,VERB,,,PUNCT,NOUN,,,cc,conj,0
add,True,3,False,True,False,False,True,False,False,VERB,,,ADP,DET,,,case,det,0
add,True,3,False,True,False,False,True,False,False,VERB,CCONJ,NOUN,ADP,NOUN,cc,root,case,obl,0
add,True,3,False,True,False,False,True,False,False,VERB,PART,NOUN,NOUN,,mark,obj,obj,,0
add,True,3,False,True,False,False,True,False,False,VERB,,,VERB,NOUN,,,amod,obj,0
Add,True,3,False,True,False,False,True,False,False,VERB,,,VERB,PUNCT,,,xcomp,punct,0
Add,True,3,False,True,False,False,True,False,False,VERB,,,VERB,NOUN,,,amod,obj,0
add,True,3,False,True,False,False,True,False,False,VERB,,,DET,NOUN,,,det,compound,0
add,True,3,False,True,False,False,True,False,False,VERB,,,NOUN,NOUN,,,compound,compound,0
add,True,3,False,True,False,False,True,False,False,VERB,,,,,,,,,0
add,True,3,False,True,False,False,True,False,False,VERB,PROPN,,ADJ,NOUN,nsubj,,amod,obj,0
add,True,3,False,True,False,False,True,False,False,VERB,,,NOUN,INTJ,,,obj,discourse,0
Add,True,3,False,True,False,False,True,False,False,VERB,PUNCT,VERB,NOUN,NUM,punct,advcl,obj,nummod,0
add,True,3,False,True,False,False,True,False,False,VERB,PUNCT,NOUN,NOUN,PUNCT,punct,nmod,obj,punct,0
add,True,3,False,True,False,False,True,False,False,VERB,PUNCT,NOUN,NOUN,PART,punct,obl,nmod:poss,case,0
add,True,3,False,True,False,False,True,False,False,VERB,PART,VERB,NOUN,,mark,root,obj,,0
add,True,3,False,True,False,False,True,False,False,VERB,CCONJ,NOUN,DET,NOUN,cc,obl,det,obj,0
Add,True,3,False,True,False,False,True,False,False,VERB,VERB,,PART,VERB,root,,mark,xcomp,0
added,True,5,False,True,False,False,True,False,False,VERB,AUX,NOUN,ADJ,ADP,aux:pass,nsubj:pass,xcomp,case,0
Added,True,5,False,True,False,False,True,False,False,VERB,NOUN,NOUN,ADP,NOUN,root,compound,case,obl,0
Added,True,5,False,True,False,False,True,False,False,VERB,,,ADJ,NOUN,,,amod,root,0
added,True,5,False,True,False,False,True,False,False,VERB,AUX,,ADP,DET,aux:pass,,case,det,0
added,True,5,False,True,False,False,True,False,False,VERB,NOUN,NOUN,,,obl,conj,,,0
added,True,5,False,True,False,False,True,False,False,VERB,AUX,PART,ADP,NOUN,aux:pass,mark,case,compound,0
added,True,5,False,True,False,False,True,False,False,VERB,NOUN,NOUN,ADP,NOUN,root,compound,case,compound,0
Added,True,5,False,True,False,False,True,False,False,VERB,NOUN,,,,compound,,,,0
added,True,5,False,True,False,False,True,False,False,VERB,CCONJ,VERB,ADP,NOUN,cc,acl,case,obl,0
added,True,5,False,True,False,False,True,False,False,VERB,AUX,PART,,,aux:pass,mark,,,0
Addr,True,4,False,True,False,False,False,False,False,NOUN,NOUN,NOUN,PUNCT,,compound,compound,punct,,0
adds,True,4,False,True,False,False,True,False,False,VERB,,,ADP,DET,,,case,det,0
adds,True,4,False,True,False,False,True,False,False,VERB,,,ADJ,NOUN,,,amod,obj,0
adds,True,4,False,True,False,False,True,False,False,VERB,,,ADJ,NOUN,,,amod,compound,0
Adds,True,4,False,True,False,False,True,False,False,VERB,,,NOUN,PUNCT,,,obj,punct,0
Adds,True,4,False,True,False,False,True,False,False,VERB,,,NOUN,NOUN,,,compound,obj,0
Adhoc,True,5,False,True,False,False,False,False,False,NOUN,,,NOUN,CCONJ,,,root,cc,0
Adhoc,True,5,False,True,False,False,False,False,False,PROPN,ADP,VERB,NOUN,,case,acl,obl,,0
Adhoc,True,5,False,True,False,False,False,False,False,PROPN,VERB,,PROPN,NOUN,root,,compound,obj,0
admi,True,4,False,True,False,False,False,False,False,PROPN,PUNCT,PROPN,PUNCT,,punct,root,punct,,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,NOUN,NOUN,,,compound,compound,,,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,,,NOUN,,,,root,,0
Admin,True,5,False,True,False,False,True,False,False,PROPN,,,PROPN,,,,root,,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,PUNCT,ADJ,NOUN,,cc,amod,root,,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,,,NOUN,AUX,,,nsubj,aux,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,,,NOUN,VERB,,,nsubj,root,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,ADP,NOUN,NOUN,,case,root,nmod,,0
admin,True,5,False,True,False,False,True,False,False,NOUN,ADP,NOUN,NOUN,,case,obj,obl,,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,ADJ,NOUN,NOUN,,amod,compound,root,,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,,,CCONJ,ADJ,,,cc,conj,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,,,NOUN,NOUN,,,compound,root,0
Admin,True,5,False,True,False,False,True,False,False,PROPN,ADP,ADV,PROPN,,case,root,obl,,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,ADJ,,NOUN,,amod,,root,,0
admin,True,5,False,True,False,False,True,False,False,NOUN,ADP,VERB,NOUN,NOUN,case,root,compound,obl,0
Admin,True,5,False,True,False,False,True,False,False,PROPN,PROPN,,NOUN,,compound,,root,,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,NOUN,,,,compound,,,,0
Admin,True,5,False,True,False,False,True,False,False,PROPN,ADP,NOUN,NOUN,,case,root,nmod,,0
Admin,True,5,False,True,False,False,True,False,False,PROPN,,,NOUN,,,,root,,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,NOUN,,NOUN,NOUN,compound,,compound,root,0
Admin,True,5,False,True,False,False,True,False,False,PROPN,ADP,NOUN,NOUN,,case,obl,obl,,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,ADP,VERB,NOUN,,case,root,obl,,0
admin,True,5,False,True,False,False,True,False,False,NOUN,ADP,NOUN,NOUN,NOUN,case,root,compound,nmod,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,ADP,ADV,NOUN,,case,root,obl,,0
Admin,True,5,False,True,False,False,True,False,False,PROPN,,,,,,,,,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,ADP,ADV,NOUN,PUNCT,case,root,obl,punct,0
admin,True,5,False,True,False,False,True,False,False,NOUN,ADP,NOUN,PUNCT,NOUN,case,obj,punct,obl,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,ADP,NOUN,NOUN,,case,nmod,nmod,,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,NOUN,,PUNCT,,compound,,punct,,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,ADP,NOUN,NOUN,,case,obj,nmod,,0
Admin,True,5,False,True,False,False,True,False,False,PROPN,ADP,NOUN,PROPN,,case,obj,obl,,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,PUNCT,NUM,NOUN,,punct,dep,appos,,0
Admin,True,5,False,True,False,False,True,False,False,PROPN,,,NOUN,VERB,,,nsubj,root,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,ADP,NOUN,NOUN,PUNCT,case,root,nmod,punct,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,,,NOUN,PUNCT,,,root,punct,0
Admin,True,5,False,True,False,False,True,False,False,PROPN,ADJ,,PROPN,,amod,,flat,,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,ADP,NOUN,NOUN,,case,obj,obl,,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,PROPN,NOUN,,,compound,compound,,,0
admin,True,5,False,True,False,False,True,False,False,NOUN,ADP,NOUN,NOUN,,case,root,nmod,,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,NOUN,,NOUN,,compound,,root,,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,ADP,NOUN,NOUN,ADP,case,root,nmod,case,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,PUNCT,ADJ,NOUN,,punct,amod,root,,0
Admin,True,5,False,True,False,False,True,False,False,PROPN,ADP,NOUN,NOUN,,case,obj,obl,,0
Admin,True,5,False,True,False,False,True,False,False,PROPN,ADP,NOUN,PROPN,,case,obl,obl,,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,ADP,PUNCT,NOUN,PUNCT,case,punct,obl,punct,0
admin,True,5,False,True,False,False,True,False,False,PROPN,ADP,VERB,NOUN,,case,root,obl,,0
Admin,True,5,False,True,False,False,True,False,False,NOUN,VERB,CCONJ,NOUN,,conj,cc,obj,,0
admit,True,5,False,True,False,False,True,False,False,ADJ,AUX,PART,ADP,DET,cop,mark,case,det,0
Admit,True,5,False,True,False,False,True,False,False,VERB,,,,,,,,,0
Admit,True,5,False,True,False,False,True,False,False,VERB,,,NOUN,,,,obj,,0
admit,True,5,False,True,False,False,True,False,False,VERB,,,NOUN,,,,obj,,0
ads,True,3,False,True,False,False,True,False,False,NOUN,NOUN,,,,compound,,,,0
ads,True,3,False,True,False,False,True,False,False,NOUN,NOUN,NOUN,,,compound,compound,,,0
ads,True,3,False,True,False,False,True,False,False,NOUN,NOUN,,PUNCT,NOUN,compound,,punct,compound,0
