Subject;Activity;Verb phrases;Noun phrases;Activity Combined;VerbPhrases;NounPhrases;ProperNouns
Air Conditioning;Get Enclosure Temperature;gets;"Air Conditioning;Enclosure Temperature";Air Conditioning Get Enclosure Temperature;gets;air conditioning|enclosure temperature;
User;Get Tracking Remaining Time;gets;"User;Tracking Remaining Time";User Get Tracking Remaining Time;gets|remains;user|tracking|time;
User;Stop Chopping;stops;"User;Chopping";User Stop Chopping;stops chopping;user;
Power Module;Monitor Power Status;monitors;"Power Module;Power Status";Power Module Monitor Power Status;monitors;power module|power status;
User;Stop Image Alignment;stops;"User;Image Alignment";User Stop Image Alignment;;user stop image alignment;
User;Do one star analysis;does;"User;star analysis";User Do one star analysis;does;user|star analysis;
User;Stop FAS Acquisition;stops;"User;FAS Acquisition";User Stop FAS Acquisition;;user stop fas acquisition;
User;Check STRAP Pupil Alignment;checks;"User;STRAP Pupil Alignment";User Check STRAP Pupil Alignment;checks;user|strap pupil alignment;
User;Set M2 Pupil Beacon Light Level;sets;"User;M2 Pupil Beacon Light Level";User Set M2 Pupil Beacon Light Level;sets;user|pupil beacon light level;
Air Conditioning;Set Reference Temperature;sets;"Air Conditioning;Reference Temperature";Air Conditioning Set Reference Temperature;sets;air conditioning|reference temperature;
User;Calibrate M6 versus Coude Sensors;calibrates;"User;M6|Coude Sensors";User Calibrate M6 versus Coude Sensors;;user calibrate m6 versus coude sensors;
TRS;Monitor HPS Status;monitors;"TRS;HPS Status";TRS Monitor HPS Status;monitors;trs|hps status;
User;Get M2 Focus Position;gets;"User;M2 Focus Position";User Get M2 Focus Position;gets;user|m2 focus position;
User;Set Nasmyth Beacon Light Level;sets;"User;Nasmyth Beacon Light Level";User Set Nasmyth Beacon Light Level;sets;user|nasmyth beacon light level;
Nasmyth Wheel;Set Nasmyth Beacon Light Level;sets;"Nasmyth Wheel;Nasmyth Beacon Light Level";Nasmyth Wheel Set Nasmyth Beacon Light Level;sets;nasmyth wheel|nasmyth beacon light level;
User;Stop Telescope Motion;stops;"User;Telescope Motion";User Stop Telescope Motion;stops;user|telescope motion;
User;Start cyclic calibrated corrections;starts;"User;corrections";User Start cyclic calibrated corrections;calibrates;user start cyclic|corrections;
DewPoint Sensor;Set Dew Point Margin;sets;"DewPoint Sensor;Dew Point Margin";DewPoint Sensor Set Dew Point Margin;sets;dewpoint sensor|dew point margin;
TRS;Monitor Cooling Flow;monitors;"TRS;Cooling Flow";TRS Monitor Cooling Flow;monitors;trs|cooling flow;
Probe;Preset FSS Translation Stage;presets;"Probe;FSS Translation Stage";Probe Preset FSS Translation Stage;##sets;probe pre|fss translation stage;
User;Display Guide Detector Signals;displays;"User;Guide Detector Signals";User Display Guide Detector Signals;;user display guide detector signals;
User;Get M2 Tilt Angles;gets;"User;M2 Tilt Angles";User Get M2 Tilt Angles;gets;user|tilt angles;
ASM;Close Enclosure On Bad Meteo Conditions;closes;"ASM;Enclosure On Bad Meteo Conditions";ASM Close Enclosure On Bad Meteo Conditions;closes;asm|enclosure on bad meteo conditions;
Air Conditioning;Check Status Air Conditioning;checks;"Air Conditioning;Status Air Conditioning";Air Conditioning Check Status Air Conditioning;;air conditioning check status air conditioning;
TRS;Monitor Power Status;monitors;"TRS;Power Status";TRS Monitor Power Status;monitors;trs|power status;
User;Get Guide Star Data;gets;"User;Guide Star Data";User Get Guide Star Data;gets;user|guide star data;
Nasmyth Wheel;Set Nasmyth Wheel;sets;"Nasmyth Wheel;Nasmyth Wheel";Nasmyth Wheel Set Nasmyth Wheel;sets;nasmyth wheel|nasmyth wheel;
M2 Mirror;Get M2 Center Position;gets;"M2 Mirror;M2 Center Position";M2 Mirror Get M2 Center Position;gets;m2 mirror|m2 center position;
User;Set Guide Parameters;sets;"User;Guide Parameters";User Set Guide Parameters;sets;user|guide parameters;
User;Prepare for Delay Constant Alignment;prepares for;"User;Delay Constant Alignment";User Prepare for Delay Constant Alignment;prepares for;user|delay constant alignment;
TRS;Monitor Telescope Temperature;monitors;"TRS;Telescope Temperature";TRS Monitor Telescope Temperature;monitors;trs|telescope temperature;
User;Set Guide Window Size;sets;"User;Guide Window Size";User Set Guide Window Size;;user set guide window size;
User;Center M10;centers;"User;M10";User Center M10;;user center m10;
Coude Beam Switching Device;Set Coude Beam Switching Device;sets;"Coude Beam Switching Device;Beam Switching Device";Coude Beam Switching Device Set Coude Beam Switching Device;;coude beam switching device set coude beam switching device;
Telescope Temperature Sensors;Monitor Temperature data;monitors;"Telescope Temperature Sensors;Temperature data";Telescope Temperature Sensors Monitor Temperature data;monitors;telescope temperature sensors|temperature data;
User;Stop Air Conditioning;stops;"User;Air Conditioning";User Stop Air Conditioning;;user stop air conditioning;
User;Get M6 Tilt Angles;gets;"User;Tilt Angles";User Get M6 Tilt Angles;gets;user|m6 tilt angles;
User;Start Chopping;starts;"User;Chopping";User Start Chopping;starts chopping;user;
User;Check Status Enclosure;checks;"User;Status Enclosure";User Check Status Enclosure;;user check status enclosure;
FSS STRAP;Optimize Field Stabilisation;optimizes;"FSS STRAP;Field Stabilisation";FSS STRAP Optimize Field Stabilisation;optimizes;fss strap|field stabilisation;
Azimuth Drive;Calibrate Az axis;calibrates;"Azimuth Drive;axis";Azimuth Drive Calibrate Az axis;;azimuth drive calibrate|axis;
DewPoint Sensor;Monitor Environmental data;monitors;"DewPoint Sensor;Environmental data";DewPoint Sensor Monitor Environmental data;monitors;dewpoint sensor|environmental data;
Air Conditioning;Monitor Telescope Temperature;monitors;"Air Conditioning;Telescope Temperature";Air Conditioning Monitor Telescope Temperature;;air conditioning monitor telescope temperature;
User;Power On FAS;powers on;"User;FAS";User Power On FAS;;user power on fas;
FAS TCCD;Calibrate Az axis;calibrates;"FAS TCCD;axis";FAS TCCD Calibrate Az axis;;fas tccd calibrate az axis;
M2 Mirror;Get M2 Focus Position;gets;"M2 Mirror;M2 Focus Position";M2 Mirror Get M2 Focus Position;gets;m2 mirror|m2 focus position;
User;Adjust Pointing Axis Reference Points;adjusts pointing;"User;Axis Reference Points";User Adjust Pointing Axis Reference Points;adjusts;user|pointing axis reference points;
User;Set M6 Tilt Angles;sets;"User;M6 Tilt Angles";User Set M6 Tilt Angles;sets;user|m6 tilt angles;
User;Make Pointing Error Measurement;makes pointing;"User;Error Measurement";User Make Pointing Error Measurement;makes pointing;user|error measurement;
TRS;Power On/Off M6;powers on;"TRS;M6";TRS Power On/Off M6;;trs power|m6;
Tracking Axis Drive;Preset Telescope;presets;"Tracking Axis Drive;Telescope";Tracking Axis Drive Preset Telescope;;tracking axis drive preset telescope;
FSS Field Diaphragm;Set FSS Field Diaphragm;sets;"FSS Field Diaphragm;FSS Field Diaphragm";FSS Field Diaphragm Set FSS Field Diaphragm;sets;fss field diaphragm|fss field diaphragm;
TRS;Stop Autoguiding;stops;"TRS;Autoguiding";TRS Stop Autoguiding;stops autoguiding;trs;
User;Probe to Next Guide Star;probes to;"User;Next Guide Star";User Probe to Next Guide Star;;user probe to next guide star;
FAS TCCD;Power On FAS;powers on;"FAS TCCD;FAS";FAS TCCD Power On FAS;;fas tccd power on fas;
User;Set M2 Tilt Angles;sets;"User;M2 Tilt Angles";User Set M2 Tilt Angles;sets;user|tilt angles;
User;Offset Guide Probe on star;off sets;"User;Guide Probe on star";User Offset Guide Probe on star;;user offset guide probe on star;
User;Get M2 Center Position;gets;"User;M2 Center Position";User Get M2 Center Position;gets;user|m2 center position;
M6 Mirror;Center M6;centers;"M6 Mirror;M6";M6 Mirror Center M6;;m6 mirror center m6;
User;Cyclic closed loop active optics corrections;;User Cyclic closed loop active optics corrections;User Cyclic closed loop active optics corrections;;user cyclic closed loop active optics corrections;
Enclosure;Close Enclosure;closes;"Enclosure;Enclosure";Enclosure Close Enclosure;;enclosure close enclosure;
M10 Mirror;Center M10;centers;"M10 Mirror;M10";M10 Mirror Center M10;;m10 mirror center m10;
M6 Mirror;Monitor M6 Status;monitors;"M6 Mirror;M6 Status";M6 Mirror Monitor M6 Status;monitors;m6 mirror|m6 status;
Tracking Axis Drive;Preset Telescope to Named Position;presets;"Tracking Axis Drive;Telescope|Named Position";Tracking Axis Drive Preset Telescope to Named Position;drives|names;tracking axis|preset telescope|position;
TRS;Monitor M6 Status;monitors;"TRS;M6 Status";TRS Monitor M6 Status;monitors;trs|m6 status;
User;Prepare for Pupil Alignment;prepares for;"User;Pupil Alignment";User Prepare for Pupil Alignment;prepares for;user|pupil alignment;
TRS;Monitor Cabinet Cooling;monitors;"TRS;Cabinet Cooling";TRS Monitor Cabinet Cooling;;trs monitor cabinet cooling;
User;Measure and Install POM;instals;"User;Measure|POM";User Measure and Install POM;;user measure|install pom;
TRS;Get Tracking Remaining Time;gets;"TRS;Tracking|Time";TRS Get Tracking Remaining Time;gets|remains;trs|tracking|time;
FSS Filter Wheel;Set FSS Filter Wheel;sets;"FSS Filter Wheel;nan";FSS Filter Wheel Set FSS Filter Wheel;sets;fss filter wheel|fss filter wheel;
User;Adjust Coude Focus;adjusts;"User;Focus";User Adjust Coude Focus;adjusts;user|coude focus;
Altitude Cabinet;Monitor Cabinet Cooling;monitors;"Altitude Cabinet;Cabinet Cooling";Altitude Cabinet Monitor Cabinet Cooling;;altitude cabinet monitor cabinet cooling;
User;Combined Offset;combines;"User;Offset";User Combined Offset;combines;user|offset;
Transporter;Check Status Anchors;checks;"Transporter;Status Anchors";Transporter Check Status Anchors;;transporter check status anchors;
User;Set M10 Tilt Angles;sets;"User;Tilt Angles";User Set M10 Tilt Angles;sets;user|tilt angles;
User;Read Telescope Temperature Sensors;reads;"User;Telescope Temperature Sensors";User Read Telescope Temperature Sensors;reads;user|telescope temperature sensors;
User;Set M2 Focus Position;sets;"User;M2 Focus Position";User Set M2 Focus Position;sets;user|m2 focus position;
User;Stop Field Stabilization;stops;"User;Field Stabilization";User Stop Field Stabilization;;user stop field stabilization;
User;Calibrate Az axis;calibrates;"User;axis";User Calibrate Az axis;;user calibrate az axis;
FSS Filter Wheel;Get FSS Filter Wheel;gets;"FSS Filter Wheel;nan";FSS Filter Wheel Get FSS Filter Wheel;gets;fss filter wheel|fss filter wheel;
M2 Mirror;Do one M2 position setting;does;"M2 Mirror;M|position setting";M2 Mirror Do one M2 position setting;does;mirror|position setting;
User;Stop Autoguiding;stops;"User;nan";User Stop Autoguiding;stops|##dings;user|autogui;
Tracking Axis Drive;Stop Telescope Motion;stops;"Tracking Axis Drive;Telescope Motion";Tracking Axis Drive Stop Telescope Motion;;tracking axis drive stop telescope motion;
Catalogs;Probe to Next Guide Star;;Catalogs Probe to;Catalogs Probe to Next Guide Star;probes to;catalogs|next guide star;
User;Stop VLTI Focus Adjustment;stops;"User;VLTI Focus Adjustment";User Stop VLTI Focus Adjustment;;user stop vlti focus adjustment;
User;Install POM;instals;"User;nan";User Install POM;;user install pom;
User;Set Reference Temperature;sets;"User;Reference Temperature";User Set Reference Temperature;sets;user|reference temperature;
M10 Mirror;Set M10 Tilt Angles;sets;"M10 Mirror;Tilt Angles";M10 Mirror Set M10 Tilt Angles;;mirror set m1|tilt angles;
User;Modify POM term;modifies;"User;POM term";User Modify POM term;modifies;user|pom term;
ASM;Monitor Environmental data;monitors;"ASM;Environmental data";ASM Monitor Environmental data;monitors;asm|environmental data;
User;Get Enclosure Temperature;gets;"User;Enclosure Temperature";User Get Enclosure Temperature;gets;user|enclosure temperature;
User;Set Tracking Wavelength;sets;"User;Tracking Wavelength";User Set Tracking Wavelength;sets;user|tracking wavelength;
TRS;Control FS Corrections;;TRS Control FS Corrections;TRS Control FS Corrections;controls;trs|fs corrections;
TRS;Stop Chopping;stops;"TRS;Chopping";TRS Stop Chopping;stops chopping;trs;
User;Switch On/Off Nasmyth Beacon Light Source;switches on;"User;Beacon Light Source";User Switch On/Off Nasmyth Beacon Light Source;switches on;user|nasmyth beacon light source;
TRS;Monitor Environmental data;monitors;"TRS;Environmental data";TRS Monitor Environmental data;monitors;trs|environmental data;
FSS STRAP;Set FSS Filter Wheel;sets;"FSS STRAP;FSS Filter Wheel";FSS STRAP Set FSS Filter Wheel;;fss strap set fss filter wheel;
Tracking Axis Drive;Offset Alt/Az;off sets;"Tracking Axis Drive;Alt/Az";Tracking Axis Drive Offset Alt/Az;;tracking axis drive offset alt|az;
FSS STRAP;Stop FSS Acquisition;stops;"FSS STRAP;FSS Acquisition";FSS STRAP Stop FSS Acquisition;;fss strap stop fss acquisition;
Nasmyth Beacon Light Sources;Set Nasmyth Beacon Light Level;sets;"Nasmyth Beacon Light Sources;Level";Nasmyth Beacon Light Sources Set Nasmyth Beacon Light Level;sets;nasmyth beacon light sources|nasmyth beacon light level;
User;Set FSS Field Diaphragm;sets;"User;Field Diaphragm";User Set FSS Field Diaphragm;sets;user|fss field diaphragm;
User;Preset Telescope to Astronomical Coordinates;presets;"User;Telescope|Astronomical Coordinates";User Preset Telescope to Astronomical Coordinates;presets;user|telescope to astronomical coordinates;
User;Prepare FAS Setup;prepares;"User;FAS Setup";User Prepare FAS Setup;prepares;user|fas setup;
User;Control FS Corrections;controls;"User;FS Corrections";User Control FS Corrections;;user control fs corrections;
User;Preset Telescope in Alt/Az Coordinates;presets;"User;Telescope in Alt/Az Coordinates";User Preset Telescope in Alt/Az Coordinates;presets;user|telescope in alt|az coordinates;
FSS STRAP;Send FSS Setup;sends;"FSS STRAP;FSS Setup";FSS STRAP Send FSS Setup;sends;fss strap|fss setup;
User;Do one calibrated correction;does;"User;correction";User Do one calibrated correction;does|calibrates;user|correction;
User;Close Enclosure;closes;"User;Enclosure";User Close Enclosure;;user close enclosure;
User;Offset Alt/Az;off sets;"User;Alt/Az";User Offset Alt/Az;;user offset alt|az;
M6 Mirror;Set M6 Tilt Angles;sets;"M6 Mirror;M6 Tilt Angles";M6 Mirror Set M6 Tilt Angles;;m6 mirror set m6 tilt angles;
User;Check Status Air Conditioning;checks;"User;Status Air Conditioning";User Check Status Air Conditioning;;user check status air conditioning;
FSS STRAP;Start FSS Acquisition;starts;"FSS STRAP;Acquisition";FSS STRAP Start FSS Acquisition;;fss strap start fss acquisition;
M6 Mirror;Monitor Power Status;monitors;"M6 Mirror;Power Status";M6 Mirror Monitor Power Status;;m6 mirror monitor power status;
Tracking Axis Drive;Preset Telescope in Alt/Az Coordinates;presets;"Tracking Axis Drive;Telescope in Alt/Az Coordinates";Tracking Axis Drive Preset Telescope in Alt/Az Coordinates;drives;tracking axis|preset telescope in alt|az coordinates;
TRS;Start Autoguiding;starts;"TRS;Autoguiding";TRS Start Autoguiding;starts auto|##dings;trs|##gui;
ASM;Periodic Set Reference Temperature;;ASM Periodic Set Reference Temperature;ASM Periodic Set Reference Temperature;;asm periodic set reference temperature;
TRS;Start Field Stabilization;starts;"TRS;Field Stabilization";TRS Start Field Stabilization;;trs start field stabilization;
M10 Mirror;Get M10 Tilt Angles;gets;"M10 Mirror;Angles";M10 Mirror Get M10 Tilt Angles;gets;mirror|tilt angles;
User;Save Guide Detector Image;saves;"User;Guide Detector Image";User Save Guide Detector Image;;user save guide detector image;
Air Conditioning;Monitor Temperature data;monitors;"Air Conditioning;Temperature data";Air Conditioning Monitor Temperature data;;air conditioning monitor temperature data;
User;Set M2 Center Position;sets;"User;M2 Center Position";User Set M2 Center Position;sets;user|m2 center position;
User;Telescope Offset;;User Telescope Offset;User Telescope Offset;;user telescope offset;
FSS STRAP;Calibrate M6 versus Coude Sensors;calibrates;"FSS STRAP;M6|Coude Sensors";FSS STRAP Calibrate M6 versus Coude Sensors;;fss strap calibrate m6 versus coude sensors;
Hydraulic & Pneumatic Systems;Monitor HPS Status;monitors;"Hydraulic & Pneumatic Systems;HPS Status";Hydraulic & Pneumatic Systems Monitor HPS Status;monitors;pneumatic systems|hps status;
Telescope Temperature Sensors;Read Telescope Temperature Sensors;reads;"Telescope Temperature Sensors;Telescope Temperature Sensors";Telescope Temperature Sensors Read Telescope Temperature Sensors;reads;telescope temperature sensors|telescope temperature sensors;
User;Switch On/Off Pupil Beacon Light Source;switches on;"User;Pupil Beacon Light Source";User Switch On/Off Pupil Beacon Light Source;switches on;user|pupil beacon light source;
Enclosure;Open Enclosure;opens;"Enclosure;Enclosure";Enclosure Open Enclosure;;enclosure open enclosure;
User;Center Guide Star;centers;"User;Guide Star";User Center Guide Star;;user center guide star;
User;Prepare for Image Alignment;prepares for;"User;Image Alignment";User Prepare for Image Alignment;prepares for;user|image alignment;
User;Set Storage Mode for Pointing Measurements;sets;"User;Storage Mode for Pointing Measurements";User Set Storage Mode for Pointing Measurements;sets|points;user|storage mode|measurements;
User;Configure Chopping;configures;"User;Chopping";User Configure Chopping;##gures;user confi|chopping;
M2 Beacon;Switch On/Off Pupil Beacon Light Source;switches on;"M2 Beacon;Pupil Beacon Light Source";M2 Beacon Switch On/Off Pupil Beacon Light Source;switches on;m2 beacon|pupil beacon light source;
User;Center Object;centers;"User;Object";User Center Object;;user center object;
M1 Temperature;Monitor Temperature data;monitors;"M1 Temperature;Temperature data";M1 Temperature Monitor Temperature data;;m1 temperature monitor temperature data;
Tracking Axis Drive;Make Pointing Error Measurement;makes;"Tracking Axis Drive;Pointing Error Measurement";Tracking Axis Drive Make Pointing Error Measurement;makes pointing;tracking axis drive|error measurement;
User;Store POM Measure;stores;"User;POM Measure";User Store POM Measure;;user store pom measure;
FAS TCCD;Stop FAS Acquisition;stops;"FAS TCCD;FAS Acquisition";FAS TCCD Stop FAS Acquisition;stops;fas tccd|fas acquisition;
User;Get FSS Field Diaphragm;gets;"User;FSS Field Diaphragm";User Get FSS Field Diaphragm;gets;user|fss field diaphragm;
User;Set Dew Point Margin;sets;"User;Dew Point Margin";User Set Dew Point Margin;sets;user|dew point margin;
User;Check Status Anchors;checks;"User;Status Anchors";User Check Status Anchors;checks;user|status anchors;
Flow Meter;Monitor Cooling Flow;monitors;"Flow Meter;Cooling Flow";Flow Meter Monitor Cooling Flow;monitors;flow meter|cooling flow;
User;Center M6;centers;"User;M6";User Center M6;;user center m6;
User;Optimize Field Stabilisation;optimizes;"User;Field Stabilisation";User Optimize Field Stabilisation;optimizes;user|field stabilisation;
TRS;Start Chopping;starts;"TRS;Chopping";TRS Start Chopping;starts chopping;trs;
User;Set Nasmyth Wheel;sets;"User;Nasmyth Wheel";User Set Nasmyth Wheel;sets;user|nasmyth wheel;
Air Conditioning;Stop Air Conditioning;stops;"Air Conditioning;Air Conditioning";Air Conditioning Stop Air Conditioning;stops;air conditioning|air conditioning;
User;Start Autoguiding;starts;"User;Autoguiding";User Start Autoguiding;;user start autoguiding;
Enclosure Anemometer;Monitor Enclosure Anemometer;monitors;"Enclosure Anemometer;Enclosure Anemometer";Enclosure Anemometer Monitor Enclosure Anemometer;;enclosure anemometer monitor enclosure anemometer;
User;Set FAS Integration Time;sets;"User;FAS Integration Time";User Set FAS Integration Time;sets;user|fas integration time;
Enclosure;Monitor Temperature data;monitors;"Enclosure;Temperature data";Enclosure Monitor Temperature data;monitors;enclosure|temperature data;
User;Make POM;makes;"User;POM";User Make POM;makes;user|pom;
User;Set Tracking Additional Velocity;sets;"User;Tracking Additional Velocity";User Set Tracking Additional Velocity;;user set tracking additional velocity;
User;Set Coude Beam Switching Device;sets;"User;Coude Beam Switching Device";User Set Coude Beam Switching Device;sets;user|coude beam switching device;
TRS;Stop Field Stabilization;stops;"TRS;Field Stabilization";TRS Stop Field Stabilization;;trs stop field stabilization;
User;Start Field Stabilization;starts;"User;Field Stabilization";User Start Field Stabilization;;user start field stabilization;
M2 Mirror;Get M2 Tilt Angles;gets;"M2 Mirror;M2 Tilt Angles";M2 Mirror Get M2 Tilt Angles;gets;mirror|tilt angles;
User;Get FSS Filter Wheel;gets;"User;FSS Filter Wheel";User Get FSS Filter Wheel;gets;user|fss filter wheel;
TRS;Monitor Enclosure Anemometer;monitors;"TRS;Enclosure Anemometer";TRS Monitor Enclosure Anemometer;;trs monitor enclosure anemometer;
FAS TCCD;Start FAS Acquisition;starts;"FAS TCCD;FAS Acquisition";FAS TCCD Start FAS Acquisition;;fas tccd start fas acquisition;
Enclosure Anemometer;Monitor Environmental data;monitors;"Enclosure Anemometer;Environmental data";Enclosure Anemometer Monitor Environmental data;monitors;enclosure anemometer|environmental data;
Nasmyth Beacon Light Sources;Switch On Nasmyth Beacon Light Source;switches on;"Nasmyth Beacon Light Sources;Beacon Light Source";Nasmyth Beacon Light Sources Switch On Nasmyth Beacon Light Source;switches on;nasmyth beacon light sources|nasmyth beacon light source;
M2 Mirror;Set M2 Center Position;sets;"M2 Mirror;M2 Center Position";M2 Mirror Set M2 Center Position;;mirror set m2 center position;
User;Start FAS Acquisition;starts;"User;FAS Acquisition";User Start FAS Acquisition;;user start fas acquisition;
User;Stop Delay Constant Alignment;stops;"User;Delay Constant Alignment";User Stop Delay Constant Alignment;;user stop delay constant alignment;
User;Set FSS Filter Wheel;sets;"User;FSS Filter Wheel";User Set FSS Filter Wheel;sets;user|fss filter wheel;
User;Stop current action;stops;"User;current action";User Stop current action;stops;user|current action;
User;Preset Telescope to Catalogue Object;presets;"User;Telescope|Catalogue Object";User Preset Telescope to Catalogue Object;presets|catalogues;user|telescope to|object;
FSS Field Diaphragm;Get FSS Field Diaphragm;gets;"FSS Field Diaphragm;FSS Field Diaphragm";FSS Field Diaphragm Get FSS Field Diaphragm;gets;fss field diaphragm|fss field diaphragm;
Support Manager;Review & Escalate;Review;"Support Manager;nan";Support Manager Review & Escalate;reviews|escalates;support manager;
Employee;Enter Order;Enter;"Employee;Order";Employee Enter Order;enters;employee|order;
Clerk;Fill a Post label;Fill;"Clerk;Post label";Clerk Fill a Post label;fills;clerk|post label;
Business participant;Increment Tally;Increment;"Business participant;Tally";Business participant Increment Tally;;business participant increment tally;
Hardware Retailer;Take out extra insurance;Take out;"Hardware Retailer;extra insurance";Hardware Retailer Take out extra insurance;takes out;hardware retailer|extra insurance;
2nd Level Support Agent;Ask developer;Ask;"2nd Level Support Agent;developer";2nd Level Support Agent Ask developer;;2nd level support agent ask developer;
Nobel Committee Medicine;Select Final Candidates and Their Works;Select;"Nobel Committee Medicine;Final Candidates|Works";Nobel Committee Medicine Select Final Candidates and Their Works;selects;nobel committee medicine|final candidates|works;
Order Process;Approve Order;Approve;"Order Process;Order";Order Process Approve Order;approves;order process|order;
Candidate;Submit Application;Submit;"Candidate;Application";Candidate Submit Application;submits;candidate|application;
Travel Agent;Confirm Booking;Confirm;"Travel Agent;Booking";Travel Agent Confirm Booking;confirms;travel agent|booking;
Expert;Assess Candidates Work;Assess;"Expert;Candidates Work";Expert Assess Candidates Work;works;expert assess candidates;
Business participant;Check availability with supplier;Check;"Business participant;availability with supplier";Business participant Check availability with supplier;;business participant check availability with supplier;
Online Shop;Check Stock Level;Check;"Online Shop;Stock Level";Online Shop Check Stock Level;;online shop check stock level;
Candidate;Interview;Interview;"Candidate;nan";Candidate Interview;;candidate interview;
Business participant;Cancel Request;Cancel;"Business participant;Request";Business participant Cancel Request;cancels;business participant|request;
System Communication;Book Order;Book;"System Communication;Order";System Communication Book Order;;system communication book order;
No Magic;Prepare Talk Presentation;Prepare;"No Magic;Talk Presentation";No Magic Prepare Talk Presentation;prepares;magic|talk presentation;
Seller;Send an offer to the client;Send;"Seller;offer to the client";Seller Send an offer to the client;sends;seller|offer to the client;
Pizza Customer;Ask for the pizza;Ask for;"Pizza Customer;pizza";Pizza Customer Ask for the pizza;asks for;pizza customer|pizza;
Car House;Enter User and Dates;Enter;"Car House;User|Dates";Car House Enter User and Dates;enters;car house|user|dates;
Logistics Manager;Take out extra insurance;Take out;"Logistics Manager;extra insurance";Logistics Manager Take out extra insurance;takes out;logistics manager|extra insurance;
Sales Department;Prepare special terms;Prepare;"Sales Department;special terms";Sales Department Prepare special terms;prepares;sales department|special terms;
Business participant;E-Mail Vote Deadline Warning;E-mail;"Business participant;Vote Deadline Warning";Business participant E-Mail Vote Deadline Warning;;business participant e|mail vote deadline warning;
Seller;Develop proposal;Develop;"Seller;proposal";Seller Develop proposal;develops;seller|proposal;
Software developer;Provide feedback for 2nd level support;Provide;"Software developer;feedback for 2nd level support";Software developer Provide feedback for 2nd level support;provides;software developer|feedback for 2nd level support;
Clerk;Assign carrier;Assign;"Clerk;carrier";Clerk Assign carrier;assigns;clerk|carrier;
Developer;Verify bug;Verify;"Developer;bug";Developer Verify bug;;developer verify bug;
Bank;Assess risk;Assess;"Bank;risk";Bank Assess risk;assesses;bank|risk;
1st level support;Edit 1st level ticket;Edit;"1st level support;1st level|ticket";1st level support Edit 1st level ticket;;1st level support edit 1st level ticket;
Travel Agent;Propose Booking Status;Propose;"Travel Agent;Booking Status";Travel Agent Propose Booking Status;proposes;travel agent|booking status;
Nobel Committee Medicine;Hold Nobel Price Ceremony;Hold;"Nobel Committee Medicine;Nobel Price Ceremony";Nobel Committee Medicine Hold Nobel Price Ceremony;holds;nobel committee medicine|nobel price ceremony;
Warehouse;Ship Goods;Ship;"Warehouse;Goods";Warehouse Ship Goods;;warehouse ship goods;
Trouble Ticket System;edit 1st level ticket;Edit;"Trouble Ticket System;edit 1st level ticket";Trouble Ticket System edit 1st level ticket;;trouble ticket system edit 1st level ticket;
