Subject;Activity;Verb phrases;Noun phrases;VerbPhrases;NounPhrases;ProperNouns
Coude Beam Switching Device;Set Coude Beam Switching Device;sets;Beam Switching Device;;Set Coude Beam Switching Device;
Telescope Temperature Sensors;Monitor Temperature data;monitors;Temperature data;;Monitor Temperature data;
User;Stop Air Conditioning;stops;Air Conditioning;Stops;Air Conditioning;
User;Get M6 Tilt Angles;gets;Tilt Angles;Gets;M6 Tilt Angles;
User;Start Chopping;starts;Chopping;Starts;Chopping;
User;Check Status Enclosure;checks;Status Enclosure;Checks;Status Enclosure;
FSS STRAP;Optimize Field Stabilisation;optimizes;Field Stabilisation;Optimizes;Field Stabilisation;
Azimuth Drive;Calibrate Az axis;calibrates;axis;Calibrates;Az axis;
DewPoint Sensor;Monitor Environmental data;monitors;Environmental data;;Monitor Environmental data;
Air Conditioning;Monitor Telescope Temperature;monitors;Telescope Temperature;;Monitor Telescope Temperature;
User;Power On FAS;powers on;FAS;;Power On FAS;
FAS TCCD;Calibrate Az axis;calibrates;axis;Calibrates;Az axis;
M2 Mirror;Get M2 Focus Position;gets;M2 Focus Position;Gets;M2 Focus Position;
User;Adjust Pointing Axis Reference Points;adjusts pointing;Axis Reference Points;Adjusts Pointing;Axis Reference Points;
User;Set M6 Tilt Angles;sets;M6 Tilt Angles;Sets;M6 Tilt Angles;
User;Make Pointing Error Measurement;makes pointing;Error Measurement;Makes;Pointing Error Measurement;
TRS;Power On/Off M6;powers on;M6;;Power|M6;
Tracking Axis Drive;Preset Telescope;presets;Telescope;;Preset Telescope;
FSS Field Diaphragm;Set FSS Field Diaphragm;sets;FSS Field Diaphragm;Sets;FSS Field Diaphragm;
TRS;Stop Autoguiding;stops;Autoguiding;Stops Autoguiding;;
User;Probe to Next Guide Star;probes to;Next Guide Star;;Probe to Next Guide Star;
FAS TCCD;Power On FAS;powers on;FAS;;Power On FAS;
User;Set M2 Tilt Angles;sets;M2 Tilt Angles;Sets;M2 Tilt Angles;
User;Offset Guide Probe on star;off sets;Guide Probe on star;Offsets;Guide Probe on star;
User;Get M2 Center Position;gets;M2 Center Position;Gets;M2 Center Position;
M6 Mirror;Center M6;centers;M6;;Center M6;
User;Cyclic closed loop active optics corrections;;Cyclic closed loop active optics corrections;;Cyclic closed loop active optics corrections;
Enclosure;Close Enclosure;closes;Enclosure;;Close Enclosure;
M10 Mirror;Center M10;centers;M10;;Center M10;
M6 Mirror;Monitor M6 Status;monitors;M6 Status;;Monitor M6 Status;
Tracking Axis Drive;Preset Telescope to Named Position;presets;Telescope|Named Position;Nameds;Preset Telescope|Position;
TRS;Monitor M6 Status;monitors;M6 Status;;Monitor M6 Status;
User;Prepare for Pupil Alignment;prepares for;Pupil Alignment;Prepares for;Pupil Alignment;
TRS;Monitor Cabinet Cooling;monitors;Cabinet Cooling;;Monitor Cabinet Cooling;
User;Measure and Install POM;instals;Measure|POM;Measures|Installs;POM;
TRS;Get Tracking Remaining Time;gets;Tracking|Time;Gets|Remainings;Tracking|Time;
FSS Filter Wheel;Set FSS Filter Wheel;sets;;;Set FSS Filter Wheel;
User;Adjust Coude Focus;adjusts;Focus;Adjusts;Coude Focus;
Altitude Cabinet;Monitor Cabinet Cooling;monitors;Cabinet Cooling;;Monitor Cabinet Cooling;
User;Combined Offset;combines;Offset;Combineds;Offset;
Transporter;Check Status Anchors;checks;Status Anchors;Checks;Status Anchors;
User;Set M10 Tilt Angles;sets;Tilt Angles;Sets;M10 Tilt Angles;
User;Read Telescope Temperature Sensors;reads;Telescope Temperature Sensors;Reads;Telescope Temperature Sensors;
User;Set M2 Focus Position;sets;M2 Focus Position;Sets;M2 Focus Position;
User;Stop Field Stabilization;stops;Field Stabilization;Stops;Field Stabilization;
User;Calibrate Az axis;calibrates;axis;Calibrates;Az axis;
FSS Filter Wheel;Get FSS Filter Wheel;gets;;Gets;FSS Filter Wheel;
M2 Mirror;Do one M2 position setting;does;M|position setting;Dos|sets;M2 position;
User;Stop Autoguiding;stops;;Stops Autoguiding;;
Tracking Axis Drive;Stop Telescope Motion;stops;Telescope Motion;Stops;Telescope Motion;
Catalogs;Probe to Next Guide Star;;Probe to;;Probe to Next Guide Star;
User;Stop VLTI Focus Adjustment;stops;VLTI Focus Adjustment;Stops;VLTI Focus Adjustment;
User;Install POM;instals;;Installs;POM;
User;Set Reference Temperature;sets;Reference Temperature;Sets;Reference Temperature;
M10 Mirror;Set M10 Tilt Angles;sets;Tilt Angles;Sets;M10 Tilt Angles;
User;Modify POM term;modifies;POM term;Modifies;POM term;
ASM;Monitor Environmental data;monitors;Environmental data;;Monitor Environmental data;
User;Get Enclosure Temperature;gets;Enclosure Temperature;Gets;Enclosure Temperature;
User;Set Tracking Wavelength;sets;Tracking Wavelength;Sets;Tracking Wavelength;
TRS;Control FS Corrections;;Control FS Corrections;;Control FS Corrections;
TRS;Stop Chopping;stops;Chopping;Stops;Chopping;
User;Switch On/Off Nasmyth Beacon Light Source;switches on;Beacon Light Source;Switches On;Nasmyth Beacon Light Source;
TRS;Monitor Environmental data;monitors;Environmental data;;Monitor Environmental data;
FSS STRAP;Set FSS Filter Wheel;sets;FSS Filter Wheel;;Set FSS Filter Wheel;
Tracking Axis Drive;Offset Alt/Az;off sets;Alt/Az;Offsets;Az;
FSS STRAP;Stop FSS Acquisition;stops;FSS Acquisition;Stops;FSS Acquisition;
Nasmyth Beacon Light Sources;Set Nasmyth Beacon Light Level;sets;Level;Sets;Nasmyth Beacon Light Level;
User;Set FSS Field Diaphragm;sets;Field Diaphragm;Sets;FSS Field Diaphragm;
User;Preset Telescope to Astronomical Coordinates;presets;Telescope|Astronomical Coordinates;;Preset Telescope to Astronomical Coordinates;
User;Prepare FAS Setup;prepares;FAS Setup;Prepares;FAS Setup;
User;Control FS Corrections;controls;FS Corrections;;Control FS Corrections;
User;Preset Telescope in Alt/Az Coordinates;presets;Telescope in Alt/Az Coordinates;;Preset Telescope in Alt|Az Coordinates;
FSS STRAP;Send FSS Setup;sends;FSS Setup;Sends;FSS Setup;
User;Do one calibrated correction;does;correction;Dos|calibrates;correction;
User;Close Enclosure;closes;Enclosure;;Close Enclosure;
User;Offset Alt/Az;off sets;Alt/Az;Offsets;Az;
M6 Mirror;Set M6 Tilt Angles;sets;M6 Tilt Angles;Sets;M6 Tilt Angles;
User;Check Status Air Conditioning;checks;Status Air Conditioning;Checks;Status Air Conditioning;
FSS STRAP;Start FSS Acquisition;starts;Acquisition;Starts;FSS Acquisition;
M6 Mirror;Monitor Power Status;monitors;Power Status;;Monitor Power Status;
Tracking Axis Drive;Preset Telescope in Alt/Az Coordinates;presets;Telescope in Alt/Az Coordinates;;Preset Telescope in Alt|Az Coordinates;
TRS;Start Autoguiding;starts;Autoguiding;Starts Autoguiding;;
ASM;Periodic Set Reference Temperature;;Periodic Set Reference Temperature;;Periodic Set Reference Temperature;
TRS;Start Field Stabilization;starts;Field Stabilization;Starts;Field Stabilization;
M10 Mirror;Get M10 Tilt Angles;gets;Angles;Gets;M10 Tilt Angles;
User;Save Guide Detector Image;saves;Guide Detector Image;Saves;Guide Detector Image;
Air Conditioning;Monitor Temperature data;monitors;Temperature data;;Monitor Temperature data;
User;Set M2 Center Position;sets;M2 Center Position;Sets;M2 Center Position;
User;Telescope Offset;;Telescope Offset;;Telescope Offset;
FSS STRAP;Calibrate M6 versus Coude Sensors;calibrates;M6|Coude Sensors;Calibrates;M6 versus Coude Sensors;
Hydraulic & Pneumatic Systems;Monitor HPS Status;monitors;HPS Status;;Monitor HPS Status;
Telescope Temperature Sensors;Read Telescope Temperature Sensors;reads;Telescope Temperature Sensors;Reads;Telescope Temperature Sensors;
User;Switch On/Off Pupil Beacon Light Source;switches on;Pupil Beacon Light Source;Switches On;Pupil Beacon Light Source;
Enclosure;Open Enclosure;opens;Enclosure;;Open Enclosure;
User;Center Guide Star;centers;Guide Star;;Center Guide Star;
User;Prepare for Image Alignment;prepares for;Image Alignment;Prepares for;Image Alignment;
User;Set Storage Mode for Pointing Measurements;sets;Storage Mode for Pointing Measurements;;Set Storage Mode for Pointing Measurements;
User;Configure Chopping;configures;Chopping;;Configure Chopping;
M2 Beacon;Switch On/Off Pupil Beacon Light Source;switches on;Pupil Beacon Light Source;Switches On;Pupil Beacon Light Source;
User;Center Object;centers;Object;;Center Object;
M1 Temperature;Monitor Temperature data;monitors;Temperature data;;Monitor Temperature data;
Tracking Axis Drive;Make Pointing Error Measurement;makes;Pointing Error Measurement;Makes;Pointing Error Measurement;
User;Store POM Measure;stores;POM Measure;;Store POM Measure;
FAS TCCD;Stop FAS Acquisition;stops;FAS Acquisition;Stops;FAS Acquisition;
User;Get FSS Field Diaphragm;gets;FSS Field Diaphragm;Gets;FSS Field Diaphragm;
User;Set Dew Point Margin;sets;Dew Point Margin;Sets;Dew Point Margin;
User;Check Status Anchors;checks;Status Anchors;Checks;Status Anchors;
Flow Meter;Monitor Cooling Flow;monitors;Cooling Flow;Coolings;Monitor|Flow;
User;Center M6;centers;M6;;Center M6;
User;Optimize Field Stabilisation;optimizes;Field Stabilisation;Optimizes;Field Stabilisation;
TRS;Start Chopping;starts;Chopping;Starts;Chopping;
User;Set Nasmyth Wheel;sets;Nasmyth Wheel;Sets;Nasmyth Wheel;
Air Conditioning;Stop Air Conditioning;stops;Air Conditioning;Stops;Air Conditioning;
User;Start Autoguiding;starts;Autoguiding;Starts Autoguiding;;
Enclosure Anemometer;Monitor Enclosure Anemometer;monitors;Enclosure Anemometer;;Monitor Enclosure Anemometer;
User;Set FAS Integration Time;sets;FAS Integration Time;Sets;FAS Integration Time;
Enclosure;Monitor Temperature data;monitors;Temperature data;;Monitor Temperature data;
User;Make POM;makes;POM;Makes;POM;
User;Set Tracking Additional Velocity;sets;Tracking Additional Velocity;Sets;Tracking Additional Velocity;
User;Set Coude Beam Switching Device;sets;Coude Beam Switching Device;;Set Coude Beam Switching Device;
TRS;Stop Field Stabilization;stops;Field Stabilization;Stops;Field Stabilization;
User;Start Field Stabilization;starts;Field Stabilization;Starts;Field Stabilization;
M2 Mirror;Get M2 Tilt Angles;gets;M2 Tilt Angles;Gets;M2 Tilt Angles;
User;Get FSS Filter Wheel;gets;FSS Filter Wheel;Gets;FSS Filter Wheel;
TRS;Monitor Enclosure Anemometer;monitors;Enclosure Anemometer;;Monitor Enclosure Anemometer;
FAS TCCD;Start FAS Acquisition;starts;FAS Acquisition;Starts;FAS Acquisition;
Enclosure Anemometer;Monitor Environmental data;monitors;Environmental data;;Monitor Environmental data;
Nasmyth Beacon Light Sources;Switch On Nasmyth Beacon Light Source;switches on;Beacon Light Source;Switches On;Nasmyth Beacon Light Source;
M2 Mirror;Set M2 Center Position;sets;M2 Center Position;Sets;M2 Center Position;
User;Start FAS Acquisition;starts;FAS Acquisition;Starts;FAS Acquisition;
User;Stop Delay Constant Alignment;stops;Delay Constant Alignment;Stops;Delay Constant Alignment;
User;Set FSS Filter Wheel;sets;FSS Filter Wheel;;Set FSS Filter Wheel;
User;Stop current action;stops;current action;Stops;current action;
User;Preset Telescope to Catalogue Object;presets;Telescope|Catalogue Object;;Preset Telescope to Catalogue Object;
FSS Field Diaphragm;Get FSS Field Diaphragm;gets;FSS Field Diaphragm;Gets;FSS Field Diaphragm;
Support Manager;Review & Escalate;Review;;Escalates;Review;
Employee;Enter Order;Enter;Order;Enters;Order;
Clerk;Fill a Post label;Fill;Post label;Fills;Post label;
Business participant;Increment Tally;Increment;Tally;;Increment Tally;
Hardware Retailer;Take out extra insurance;Take out;extra insurance;Takes out;extra insurance;
2nd Level Support Agent;Ask developer;Ask;developer;Asks;developer;
Nobel Committee Medicine;Select Final Candidates and Their Works;Select;Final Candidates|Works;Selects;Final Candidates|Works;
Order Process;Approve Order;Approve;Order;Approves;Order;
Candidate;Submit Application;Submit;Application;Submits;Application;
Travel Agent;Confirm Booking;Confirm;Booking;Confirms;Booking;
Expert;Assess Candidates Work;Assess;Candidates Work;Assesses;Candidates Work;
Business participant;Check availability with supplier;Check;availability with supplier;Checks;availability with supplier;
Online Shop;Check Stock Level;Check;Stock Level;Checks;Stock Level;
Candidate;Interview;Interview;;;Interview;
Business participant;Cancel Request;Cancel;Request;Cancels;Request;
System Communication;Book Order;Book;Order;;Book Order;
No Magic;Prepare Talk Presentation;Prepare;Talk Presentation;Prepares;Talk Presentation;
Seller;Send an offer to the client;Send;offer to the client;Sends;offer to the client;
Pizza Customer;Ask for the pizza;Ask for;pizza;Asks for;pizza;
Car House;Enter User and Dates;Enter;User|Dates;Enters;User|Dates;
Logistics Manager;Take out extra insurance;Take out;extra insurance;Takes out;extra insurance;
Sales Department;Prepare special terms;Prepare;special terms;Prepares;special terms;
Business participant;E-Mail Vote Deadline Warning;E-mail;Vote Deadline Warning;;E-Mail Vote Deadline Warning;
Seller;Develop proposal;Develop;proposal;Develops;proposal;
Software developer;Provide feedback for 2nd level support;Provide;feedback for 2nd level support;Provides;feedback for 2nd level support;
Clerk;Assign carrier;Assign;carrier;Assigns;carrier;
Developer;Verify bug;Verify;bug;Verifies;bug;
Bank;Assess risk;Assess;risk;Assesses;risk;
1st level support;Edit 1st level ticket;Edit;1st level|ticket;;Edit 1st level ticket;
Travel Agent;Propose Booking Status;Propose;Booking Status;Proposes;Booking Status;
Nobel Committee Medicine;Hold Nobel Price Ceremony;Hold;Nobel Price Ceremony;Holds;Nobel Price Ceremony;
Warehouse;Ship Goods;Ship;Goods;;Ship Goods;
Trouble Ticket System;edit 1st level ticket;Edit;edit 1st level ticket;edits;1st level ticket;
Trouble Ticket System;Edit account manager;Edit;Edit account manager;;Edit account manager;
Customer;Confirm Interest;Confirm;Interest;Confirms;Interest;
Hardware Retailer;Decide if normal post or special shipment;Decide;normal post|special shipment;Decides if;normal post|special shipment;
No Magic;Publish Seminar Description in Website;Publish;Seminar Description in Website;Publishes;Seminar Description in Website;
Vacation Request Approval Process;Mark vacation in Calendar;Mark;vacation in Calendar;;Mark vacation in Calendar;
User;report bug;report;bug;;report bug;
Customer;Place Order;Place;Order;;Place Order;
Marketing Manager;Publish Seminar Description in Website;Publish;Seminar Description in Website;Publishes;Seminar Description in Website;
Customer;Select Travel;Select;Travel;Selects;Travel;
Trouble Ticket System;Add to backlog;Add to;backlog;Adds to;backlog;
Administrator;Notify user;Notify;user;Notifies;user;
1st level support;Edit account manager;Edit;account manager;;Edit account manager;
Librarian;Register Reservation;Register;Reservation;;Register Reservation;
1st Level Support Agent;Classify ticket;Classify;ticket;Classifies;ticket;
Business participant;Send Results Via E-Mail;Send;Results Via E-Mail;Sends;Results Via E-Mail;
Business participant;Request Hold;Request;Hold;Holds;Request;
Technician;Receive Notification;Receive;Notification;Receives;Notification;
Risk Analyst;Assess risks;Assess;risks;Assesses;risks;
Car House;Select Car;Select;Car;Selects;Car;
No Magic;Welcome Participants;Welcome;Participants;Welcomes;Participants;
Seller;Change the terms of the offer;Change;terms of the offer;Changes;terms of the offer;
Business participant;Get Book Status;Get;Book Status;Gets;Book Status;
No Magic;Evaluate Participants Number;Evaluate;Participants Number;Evaluates;Participants Number;
Manager;Approve Order;Approve;Order;Approves;Order;
Business participant;Reply On Loan;Reply on;Loan;;Reply On Loan;
Cab Driver;Pickup Customer;Pickup;Customer;;Pickup Customer;
Business participant;Send Registered Warning Letter;Send;Registered Warning Letter;Sends Registered;Warning Letter;
Support Department;Work Offline;Work;Offline;;Work;
Organization;Initiate File;Initiate;File;Initiates;File;
Nobel Committee Medicine;Select Preliminary Candidates;Select;Preliminary Candidates;Selects;Preliminary Candidates;
Nobel Assembly;Announce Nobel Prize Laureates;Announce;Nobel Prize Laureates;Announces;Nobel Prize Laureates;
Pizza Customer;Eat the pizza;Eat;pizza;Eats;pizza;
Firm;Reject Application;Reject;Application;Rejects;Application;
Candidate;Review Offer;Review;Offer;;Review Offer;
Trouble Ticket System;Send Mail to Account Manager;Send;Mail to Account Manager;Sends;Mail to Account Manager;
Business participant;Receive Issue List;Receive;Issue List;Receives;Issue List;
Warehouse Worker;Package goods;Package;Goods;;Package goods;
Business participant;Process Payment;Process;Payment;;Process Payment;
No Magic;Register Participant;Register;Participant;;Register Participant;
Hardware Retailer;Request quotes from carriers;Request;quotes from carriers;Requests;quotes from carriers;
1st Level Support Agent;Handle 1st level issue;Handle;1st level issue;Handles;1st level issue;
No Magic;Give talk;Give;talk;Gives;talk;
Online Shop;Suggest Change;Suggest;Change;Suggests;Change;
Recruiter;Schedule Interview;Schedule;Interview;;Schedule Interview;
Car House;Show Reservation;Show;Reservation;Shows;Reservation;
pizza chef;Bake the pizza;Bake;pizza;Bakes;pizza;
Administrative Department;Bill;Bill;;;Bill;
Hardware Retailer;Fill a Post label;Fill;Post label;Fills;Post label;
1st level support;Open Ticket;Open;ticket;;Open Ticket;
System Communication;Store in Marketing System Client 100;Store in;Marketing System Client 100;;Store in Marketing System Client 100;
Nobel Committee Medicine;Send Nomination Form;Send;Nomination Form;Sends;Nomination Form;
Business participant;Moderate Conference Call Discussion;Moderate;Conference Call Discussion;;Moderate Conference Call Discussion;
Technician;Work Offline;Work;Offline;;Work;
Hardware Retailer;Add paperwork;Add;paperwork;Adds;paperwork;
2nd level support;Edit 2nd level ticket;Edit;Edit 2nd level ticket;;Edit 2nd level ticket;
Marketing Manager;Collect Questionnaries;Collect;Questionnaries;Collects;Questionnaries;
Reader;Return Item;Return;Item;Returns;Item;
Trouble Ticket System;Edit 2nd level ticket;Edit;2nd Level Ticket;;Edit 2nd level ticket;
Marketing Manager;Make Internal Seminar Anoucement;Make;Seminar;Makes;Internal Seminar Anoucement;
Business participant;Register Order in Manufacturing System;Register;Order in Manufacturing System;;Register Order in Manufacturing System;
Aqua Distilled Water Company;Verify Customer Identity;Verify;Customer Identity;Verifies;Customer Identity;
2nd level support;Add to backlog;Add to;backlog;Adds to;backlog;
Seminar Coordinator;Make Internal Seminar Anoucement;Make;Seminar;Makes;Internal Seminar Anoucement;
Nobel Committee Medicine;Submit Report with Recommendations;Submit;Report with Recommendations;Submits;Report with Recommendations;
Reservation;Submit Car Reservation;Submit;Car Reservation;Submits;Car Reservation;
Nobel Committee Medicine;Send list of Selected Preliminary Candidates;Send;list of Preliminary Candidates;Sends|Selecteds;list|Preliminary Candidates;
2nd level support;edit 2nd level ticket;edit;2nd level|ticket;edits;2nd level ticket;
Nominator;Identify Potential Nominee(s);Identify;Potential Nominee;Identifies;Potential Nominee;
Travel Agent;Get Alternative Time;Get;Alternative Time;Gets;Alternative Time;
Organization;Check Solvency;Check;Solvency;Checks;Solvency;
Order Process;Enter Order;Enter;Order;Enters;Order;
Employee;Update Vacation Request;Update;Vacation Request;;Update Vacation Request;
Organization;Bill;Bill;;;Bill;
Trouble Ticket System;Insert issue into product backlog;Insert;issue into product|backlog;;Insert issue into product backlog;
Organization;Book Travel;Book;Travel;;Book Travel;
Candidate;Fill out Employment Froms;Fill out;Employment Froms;Fills out;Employment Froms;
Customer;Request Booking;Request;Booking;;Request Booking;
Trouble Ticket System;edit 2nd level ticket;edit;Edit 2nd level ticket;edits;2nd level ticket;
Business participant;Moderate E-mail Discussion;Moderate;E-mail Discussion;;Moderate E-mail Discussion;
Developer;Notify administrator;Notify;administrator;Notifies;administrator;
Trouble Ticket System;Send mail to account manager;Send;Mail to Account Manager;Sends;mail to account manager;
Sales Department;Prepare contract;Prepare;contract;Prepares;contract;
Seminar Speaker;Give talk;Give;talk;Gives;talk;
Aqua Distilled Water Company;Deliver Water;Deliver;Water;Delivers;Water;
Firm;Review Application;Review;Application;;Review Application;
Logistic Department Worker;Deliver Water;Deliver;Water;Delivers;Water;
No Magic;Arrange Facilities and Meals;Arrange;Facilities|Meals;Arranges;Facilities|Meals;
Travel Agent;Check Availability;Check;Availability;Checks;Availability;
Business participant;Reduce Number of Voting Members and Recalculate Votes;Reduce;Number of Voting Members|Recalculate Votes;Reduces|Votings|Recalculates;Number|Members|Votes;
Bank;Send quote;Send;quote;Sends;;
Administrator;Install new version;Install;new version;Installs;new version;
Clerk;Decide if normal post or special shipment;Decide;normal post|special shipment;Decides if;normal post|special shipment;
Nobel Committee Medicine;Determine Need for Expert Assistance;Determine;Need for Expert Assistance;Determines;Need for Expert Assistance;
Seller;Consider the proposal;Consider;proposal;Considers;proposal;
No Magic;Send Invitations to Customers;Send;Invitations to Customers;Sends;Invitations to Customers;
Sales Representative;Suggest Change;Suggest;Change;Suggests;Change;
Front Desk;Review & Escalate;Escalate;Review;Escalates;Review;
Clerk;Check if extra insurance is necessary;Check;extra insurance;Checks if|is;extra insurance;
System Communication;Store in Statistical System;Store in;Statistical System;;Store in Statistical System;
CRM;Get Client Information;Get;Client Information;Gets;Client Information;
Support Department;Receive Notification;Receive;Notification;Receives;Notification;
Vacation Request Approval Process;Approve Vacation Request;Approve;Vacation Request;Approves;Vacation Request;
Marketing Manager;Welcome Participants;Welcome;Participants;Welcomes;Participants;
2nd level support;edit 2nd level ticket;Edit;2nd Level Ticket;edits;2nd level ticket;
Customer Service Assistant;Forward Order;Forward;Order;;Forward Order;
Sales rep;Calculate terms;Calculate;terms;Calculates;terms;
Trouble Ticket System;Open ticket;Open;ticket;;Open ticket;
Business participant;Receive Book Request;Receive;Book Request;Receives;Book Request;
Support Manager;Receive Notification;Receive;Notification;Receives;Notification;
Nobel Assembly;Discuss Nominators (Meeting 1);Discuss;Nominators|Meeting 1;Discusses;Nominators|Meeting 1;
No Magic;Prepare Seminar Description;Prepare;Seminar Description;Prepares;Seminar Description;
Firm;Prepare Offer;Prepare;Offer;Prepares;Offer;
Sales Department;Indicate Price;Indicate;Price;Indicates;Price;
Reader;Find Wanted Title;Find Wanted;Title;Finds Wanted;Title;
Business participant;Post Results on Web Site;Post;Post Results on Web Site;;Post Results on Web Site;
Sales manager;Consider the proposal;Consider;proposal;Considers;proposal;
Librarian;Notify First Waiting Reader;Notify;First Waiting Reader;Notifies;First Waiting Reader;
Service Contract Implementation Layer;Store in Marketing System Client 200;Store in;Marketing System Client;;Store in Marketing System Client 200;
Marketing Manager;Arrange Facilities and Meals;Arrange;Facilities|Meals;Arranges;Facilities|Meals;
Recruiter;Prepare Offer;Prepare;Offer;Prepares;Offer;
1st level support;Send Mail to Account Manager;Send;Mail to Account Manager;Sends;Mail to Account Manager;
2nd level support;Insert issue into product backlog;Insert;issue into product|backlog;;Insert issue into product backlog;
Vacation Request Approval Process;Book Vacation;Book;Vacation;;Book Vacation;
Nobel Committee Medicine;Collect Candidates Work Assessment Reports;Collect;Candidates Work Assessment Reports;Collects|Reportses;Candidates Work Assessment;
Travel Agent;Get Booking Request;Get;Booking Request;Gets;Booking Request;
Nominator;Send Nominee Completed Form(s);Send;Form;Sends|Completeds;Nominee|Form;
Reservation;Get Confirmation;Get;Confirmation;Gets;Confirmation;
Key account manager;Get problem description;Get;problem description;Gets;problem description;
Business participant;Check Calendar for Conference Call;Check;Calendar for Call;Checks;Calendar for Conference Call;
Sales Department;Send quote;Send;quote;Sends;;
Manager;Approve Vacation Request;Approve;Vacation Request;Approves;Vacation Request;
Employee;Mark vacation in Calendar;Mark;vacation in Calendar;;Mark vacation in Calendar;
Trouble Ticket System;Close Ticket;Close;ticket;;Close Ticket;
Technician;Acknowledge;Acknowledge;;Acknowledges;;
